Year,Entity,Gini – posttax_dis,Gini – posttax_nat,Gini – pretax,Top 1pc share – posttax_dis,Top 1pc share – posttax_nat,Top 1pc share – pretax,Top 10pc share – posttax_dis,Top 10pc share – posttax_nat,Top 10pc share – pretax,Bottom 50pc share – posttax_dis,Bottom 50pc share – posttax_nat,Bottom 50pc share – pretax,Ratio Top 10 Bottom 50 share – posttax_dis,Ratio Top 10 Bottom 50 share – posttax_nat,Ratio Top 10 Bottom 50 share – pretax
2015,Albania,45.4366824595269,41.710782167956,49.3067210753804,7.689999999999999,7.090000000000001,9.62,31.790000000000003,30.01,35.23,19.69,22.17,17.61,161.45251396648047,135.36310329273792,200.05678591709253
2016,Albania,46.1120992503945,42.2333681722573,50.504972333087395,7.51,6.909999999999999,9.33,31.98,30.14,35.78,18.92,21.53,16.48,169.02748414376322,139.9907106363214,217.1116504854369
2017,Albania,45.4115623481543,41.6193770812103,49.776038364733196,7.39,6.81,9.48,31.57,29.770000000000003,35.45,19.43,21.98,17.06,162.4806999485332,135.44131028207462,207.79601406799534
2018,Albania,44.7469071268173,41.062778446801005,49.1265798578301,7.21,6.65,9.29,31.06,29.33,35.03,19.88,22.36,17.49,156.23742454728372,131.1717352415027,200.28587764436824
1820,Algeria,,,,,,18.0,,,50.4,,,14.42,,,349.5145631067961
1850,Algeria,,,,,,18.5,,,51.8,,,14.01,,,369.73590292648106
1880,Algeria,,,,,,19.0,,,53.2,,,13.6,,,391.1764705882353
1900,Algeria,,,,,,19.5,,,54.6,,,13.19,,,413.94996209249433
1910,Algeria,,,,,,22.0,,,61.6,,,11.16,,,551.9713261648745
1920,Algeria,,,,,,22.0,,,61.6,,,11.16,,,551.9713261648745
1930,Algeria,,,,,,22.0,,,61.6,,,11.16,,,551.9713261648745
1940,Algeria,,,,,,21.5,,,60.2,,,11.57,,,520.3111495246327
1950,Algeria,,,,,,13.900000000000002,,,41.7,,,16.939999999999998,,,246.16292798110985
1960,Algeria,,,,,,17.0,,,47.6,,,15.23,,,312.5410374261326
1970,Algeria,,,,,,17.0,,,47.6,,,15.23,,,312.5410374261326
1988,Algeria,,,60.861156970144506,,,19.37,,,51.09,,,13.27,,,385.0037678975132
1995,Algeria,,,54.793733280902,,,11.85,,,42.81,,,15.340000000000002,,,279.0743155149935
2011,Algeria,,,48.798551142830995,,,9.91,,,38.080000000000005,,,19.02,,,200.21030494216618
2018,Algeria,,37.9112385263627,,,7.46,,,31.290000000000003,,,25.74,,,121.56177156177156,
2019,Algeria,,37.828978884696305,,,7.46,,,31.27,,,25.790000000000003,,,121.24854594804187,
2020,Algeria,,37.8289966567002,,,7.46,,,31.27,,,25.790000000000003,,,121.24854594804187,
2021,Algeria,,37.8282300385009,,,7.46,,,31.27,,,25.790000000000003,,,121.24854594804187,
1995,Angola,,,68.2465771714575,,,21.98,,,58.03,,,9.15,,,634.2076502732241
2000,Angola,,,68.2465814322583,,,21.98,,,58.03,,,9.15,,,634.2076502732241
2008,Angola,,,60.9367853161926,,,15.3,,,49.32,,,12.23,,,403.27064595257565
2018,Angola,,65.6760878473349,68.559671704061,,25.16,25.98,,56.27,58.01,,10.81,9.04,,520.5365402405181,641.7035398230089
2019,Angola,,65.6405308279616,,,25.16,,,56.26,,,10.83,,,519.4829178208679,
2020,Angola,,65.6405227020585,,,25.16,,,56.26,,,10.83,,,519.4829178208679,
2021,Angola,,65.6398437045553,,,25.16,,,56.26,,,10.83,,,519.4829178208679,
1820,Argentina,,,,,,19.75,,,47.67,,,13.85,,,344.18772563176896
1850,Argentina,,,,,,19.96,,,48.18,,,13.71,,,351.4223194748359
1880,Argentina,,,,,,20.17,,,48.68,,,13.58,,,358.4683357879234
1900,Argentina,,,,,,20.37,,,49.18,,,13.45,,,365.65055762081784
1910,Argentina,,,,,,20.79,,,50.18,,,13.18,,,380.72837632776935
1920,Argentina,,,,,,20.79,,,50.18,,,13.18,,,380.72837632776935
1930,Argentina,,,,,,20.79,,,50.18,,,13.18,,,380.72837632776935
1940,Argentina,,,,,,20.5,,,50.0,,,13.23,,,377.92894935752076
1950,Argentina,,,,,,18.66,,,48.84,,,13.54,,,360.70901033973416
1960,Argentina,,,,,,13.03,,,45.3,,,14.47,,,313.0615065653075
1970,Argentina,,,,,,12.61,,,45.04,,,14.54,,,309.7661623108666
1980,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1981,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1982,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1983,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1984,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1985,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1986,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1987,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1988,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1989,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1990,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1991,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1992,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1993,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1994,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1995,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1996,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1997,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1998,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
1999,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
2000,Argentina,,,63.865039772344105,,,13.98,,,49.16,,,9.5,,,517.4736842105264
2001,Argentina,,61.275055244918995,66.0888058980976,,12.58,14.099999999999998,,47.46,50.54,,10.86,7.85,,437.01657458563534,643.8216560509554
2002,Argentina,,62.5594676971955,66.67468155915,,13.8,15.329999999999998,,49.18,51.580000000000005,,10.41,7.79,,472.43035542747356,662.1309370988447
2003,Argentina,,58.7883090370058,61.893838204896504,,14.55,15.340000000000002,,45.85,47.99,,12.71,10.96,,360.73957513768687,437.8649635036497
2004,Argentina,,57.1681982506841,60.244077391605,,12.73,13.45,,44.27,46.24,,13.55,11.78,,326.7158671586716,392.52971137521223
2005,Argentina,,56.00922068506819,59.255115439639404,,10.9,11.56,,42.66,44.64,,14.02,12.09,,304.2796005706134,369.2307692307692
2006,Argentina,,54.5060413263433,57.9356202747084,,9.36,10.36,,41.33,43.49,,14.760000000000002,12.73,,280.0135501355013,341.6339355852317
2007,Argentina,,55.349857682804206,58.7494054969792,,13.22,14.14,,43.11,45.31,,14.85,12.86,,290.3030303030303,352.3328149300156
2008,Argentina,,55.50009460466379,58.64837204950069,,13.0,14.17,,43.94,45.440000000000005,,15.010000000000002,13.06,,292.73817455029973,347.9326186830015
2009,Argentina,,52.5883650976294,56.8986677963753,,10.01,11.81,,39.82,42.39,,15.78,13.22,,252.34474017743983,320.6505295007564
2010,Argentina,,52.8696713097521,57.0942913625752,,10.6,11.76,,41.21,43.63,,16.21,13.64,,254.2257865515114,319.86803519061584
2011,Argentina,,50.721696720142894,55.481900045231,,10.46,11.36,,39.26,42.05,,17.36,14.43,,226.15207373271892,291.4067914067914
2012,Argentina,,48.6850438088722,53.6660613174198,,7.15,8.34,,36.11,39.05,,18.0,14.95,,200.61111111111111,261.2040133779264
2013,Argentina,,48.957375373926496,54.1737712518808,,8.55,9.85,,36.77,40.13,,17.97,14.87,,204.61880912632168,269.8722259583053
2014,Argentina,,50.984577455926306,55.9397848719031,,8.77,10.28,,38.3,41.35,,16.8,13.83,,227.97619047619045,298.9877078814172
2015,Argentina,,51.49833368112709,56.288186944950304,,9.99,15.6,,39.82,43.24,,16.900000000000002,14.45,,235.62130177514788,299.23875432525955
2016,Argentina,,52.0120873500702,56.6714773355065,,11.21,21.36,,41.34,45.29,,17.01,15.13,,243.03350970017638,299.3390614672835
2017,Argentina,,52.5258413373779,58.1354113310097,,12.43,13.86,,42.86,46.41,,17.119999999999997,13.76,,250.35046728971966,337.281976744186
2018,Argentina,,53.6127302679913,58.6629653950498,,13.22,14.499999999999998,,43.86,46.85,,16.53,13.46,,265.33575317604357,348.06835066864784
1996,Armenia,,,58.842226078120795,,,18.97,,,46.77,,,13.48,,,346.9584569732938
1999,Armenia,,,55.2911803744848,,,17.39,,,44.17,,,15.68,,,281.6964285714286
2002,Armenia,,,53.526513685688904,,,16.009999999999998,,,42.91,,,16.84,,,254.80997624703087
2003,Armenia,,,52.679757944448404,,,17.02,,,42.55,,,17.53,,,242.7267541357672
2004,Armenia,,,55.557885030715006,,,18.8,,,45.67,,,16.14,,,282.9615861214374
2005,Armenia,,,54.878909431526104,,,18.33,,,45.0,,,16.48,,,273.05825242718447
2006,Armenia,,,48.4885356993523,,,13.15,,,37.77,,,19.32,,,195.49689440993788
2007,Armenia,,,49.6552854209103,,,12.83,,,38.41,,,18.56,,,206.95043103448273
2008,Armenia,,,48.113927882865696,,,12.590000000000002,,,36.96,,,19.33,,,191.2053802379721
2009,Armenia,,,47.4680356055828,,,12.19,,,36.370000000000005,,,19.74,,,184.24518743667684
2010,Armenia,,,49.8014068033392,,,14.760000000000002,,,39.12,,,18.78,,,208.30670926517567
2011,Armenia,,,48.2049842063567,,,13.26,,,37.29,,,19.48,,,191.42710472279262
2012,Armenia,,,48.179293089735594,,,13.58,,,37.7,,,19.63,,,192.05298013245036
2013,Armenia,,,48.938826229422,,,13.87,,,37.99,,,19.06,,,199.3179433368311
2014,Armenia,,,49.9119021007033,,,14.24,,,39.16,,,18.57,,,210.87775982767903
2015,Armenia,,,51.1253043202704,,,15.04,,,40.56,,,18.03,,,224.9584026622296
2016,Armenia,,,51.5597946715879,,,16.53,,,39.83,,,17.36,,,229.43548387096774
2017,Armenia,,,53.8975675509633,,,18.72,,,43.5,,,16.830000000000002,,,258.4670231729055
2018,Armenia,,48.853288296791,53.986422609656906,,16.509999999999998,17.46,,40.88,43.74,,19.97,16.74,,204.70706059088636,261.2903225806452
2019,Armenia,,44.7538057288117,,,14.09,,,36.74,,,22.07,,,166.47032170367015,
2020,Armenia,,44.753796850961095,,,14.09,,,36.74,,,22.07,,,166.47032170367015,
2021,Armenia,,44.7537931449521,,,14.09,,,36.74,,,22.07,,,166.47032170367015,
1820,Australia,,,,,,14.56,,,43.68,,,15.989999999999998,,,273.1707317073171
1850,Australia,,,,,,14.89,,,44.66,,,15.71,,,284.2775302355188
1880,Australia,,,,,,14.72,,,44.17,,,15.85,,,278.67507886435334
1900,Australia,,,,,,16.36,,,49.08,,,14.46,,,339.4190871369294
1910,Australia,,,,,,16.36,,,49.08,,,14.46,,,339.4190871369294
1912,Australia,,,55.8610328758846,,,16.85,,,42.58,,,14.24,,,299.01685393258424
1913,Australia,,,53.387297273510406,,,15.47,,,39.14,,,15.07,,,259.721300597213
1914,Australia,,,51.7152301412921,,,14.56,,,36.83,,,15.63,,,235.63659628918745
1915,Australia,,,50.1552583874563,,,13.8,,,34.67,,,16.150000000000002,,,214.67492260061917
1916,Australia,,,46.6105147903505,,,11.94,,,29.9,,,17.32,,,172.63279445727483
1917,Australia,,,47.2431813252093,,,12.26,,,30.69,,,17.11,,,179.36879018118063
1918,Australia,,,47.6439409456098,,,12.45,,,31.230000000000004,,,16.98,,,183.92226148409895
1919,Australia,,,55.623587911789194,,,16.830000000000002,,,42.24,,,14.32,,,294.97206703910615
1920,Australia,,,49.76245882971,,,13.420000000000002,,,34.14,,,16.28,,,209.7051597051597
1921,Australia,,,53.235121375602304,,,15.27,,,38.940000000000005,,,15.12,,,257.5396825396826
1922,Australia,,,50.95363968769529,,,14.000000000000002,,,35.79,,,15.88,,,225.3778337531486
1923,Australia,,,53.528274495065595,,,15.409999999999998,,,39.35,,,15.02,,,261.9840213049268
1924,Australia,,,53.442700982552104,,,15.53,,,39.21,,,15.06,,,260.3585657370518
1925,Australia,,,52.531869009224195,,,14.95,,,37.96,,,15.36,,,247.13541666666669
1926,Australia,,,51.950201428135,,,14.62,,,37.15,,,15.55,,,238.90675241157555
1927,Australia,,,53.3019003112649,,,15.24,,,39.04,,,15.1,,,258.5430463576159
1928,Australia,,,53.8447976926946,,,15.72,,,39.77,,,14.92,,,266.5549597855228
1929,Australia,,,50.927931835808906,,,13.98,,,35.75,,,15.89,,,224.9842668344871
1930,Australia,,,48.6986383174404,,,12.75,,,32.690000000000005,,,16.63,,,196.57245941070357
1931,Australia,,,47.7043279355378,,,12.22,,,31.33,,,16.950000000000003,,,184.83775811209435
1932,Australia,,,47.5493315523814,,,12.15,,,31.12,,,17.0,,,183.05882352941177
1933,Australia,,,50.1197709847922,,,13.58,,,34.64,,,16.16,,,214.35643564356437
1934,Australia,,,50.19281220648541,,,13.59,,,34.74,,,16.14,,,215.24163568773233
1935,Australia,,,50.598176816842496,,,13.78,,,35.3,,,16.0,,,220.62499999999997
1936,Australia,,,52.3560350265228,,,14.73,,,37.73,,,15.409999999999998,,,244.84101232965608
1937,Australia,,,48.8685215189179,,,12.82,,,32.93,,,16.57,,,198.7326493663247
1938,Australia,,,50.21958979878251,,,13.56,,,34.78,,,16.13,,,215.62306261624306
1939,Australia,,,51.0298905243268,,,13.99,,,35.9,,,15.86,,,226.35561160151326
1940,Australia,,,49.9999032610354,,,13.43,,,34.48,,,16.2,,,212.83950617283952
1941,Australia,,,51.0789753614972,,,13.93,,,35.980000000000004,,,15.840000000000002,,,227.14646464646466
1942,Australia,,,50.643759686092004,,,13.420000000000002,,,35.39,,,15.98,,,221.46433041301626
1943,Australia,,,50.7057718425518,,,13.43,,,35.480000000000004,,,15.96,,,222.30576441102755
1944,Australia,,,48.3269058298822,,,11.53,,,32.24,,,16.74,,,192.59259259259264
1945,Australia,,,46.4738021828371,,,10.77,,,29.7,,,17.349999999999998,,,171.18155619596544
1946,Australia,,,48.6543963149074,,,12.1,,,32.68,,,16.63,,,196.51232711966327
1947,Australia,,,49.8883425516318,,,13.48,,,34.34,,,16.23,,,211.58348736906962
1948,Australia,,,49.669224284251904,,,13.63,,,34.03,,,16.3,,,208.77300613496934
1949,Australia,,,49.8880769670045,,,14.36,,,34.300000000000004,,,16.23,,,211.33703019100435
1950,Australia,,,49.2502531971841,,,17.97,,,33.83,,,16.32,,,207.29166666666666
1951,Australia,,,43.5959397161689,,,11.54,,,27.85,,,17.78,,,156.63667041619797
1952,Australia,,,43.226329910690595,,,11.38,,,27.46,,,17.87,,,153.6653609401231
1953,Australia,,,43.04742490722,,,11.08,,,27.23,,,17.919999999999998,,,151.95312500000003
1954,Australia,,,42.711284662140095,,,10.24,,,26.73,,,18.05,,,148.08864265927977
1955,Australia,,,42.464921035924704,,,9.59,,,26.36,,,18.15,,,145.23415977961434
1956,Australia,,,42.6391292464616,,,10.05,,,26.63,,,18.08,,,147.28982300884957
1957,Australia,,,40.9064180676311,,,8.93,,,24.74,,,18.52,,,133.585313174946
1958,Australia,,,46.8681999249836,,,9.38,,,30.3,,,17.22,,,175.95818815331012
1959,Australia,,,45.5914062375108,,,8.76,,,28.55,,,17.64,,,161.84807256235828
1960,Australia,,,45.434192071516996,,,8.42,,,28.34,,,17.69,,,160.20350480497453
1961,Australia,,,45.547120555348094,,,8.309999999999999,,,28.360000000000003,,,17.59,,,161.22797043774875
1962,Australia,,,46.025927146350796,,,8.5,,,28.87,,,17.37,,,166.2061024755325
1963,Australia,,,46.3126826594413,,,8.82,,,29.26,,,17.28,,,169.3287037037037
1964,Australia,,,45.617992709970004,,,8.459999999999999,,,28.59,,,17.630000000000003,,,162.1667612024957
1965,Australia,,,45.3351739187151,,,8.17,,,28.24,,,17.73,,,159.27805978567397
1966,Australia,,,44.5908741108769,,,7.66,,,27.37,,,18.04,,,151.71840354767184
1967,Australia,,,44.7741562034766,,,7.91,,,27.6,,,17.98,,,153.503893214683
1968,Australia,,,44.447480220581,,,7.689999999999999,,,27.28,,,18.14,,,150.38588754134508
1969,Australia,,,44.007719327561205,,,7.689999999999999,,,26.93,,,18.4,,,146.3586956521739
1970,Australia,,,43.749613571123405,,,7.3,,,26.62,,,18.5,,,143.89189189189187
1971,Australia,,,44.2714855503826,,,7.08,,,26.91,,,18.13,,,148.42801985659128
1972,Australia,,,43.820176057495004,,,7.22,,,26.57,,,18.4,,,144.4021739130435
1973,Australia,,,43.0282133318729,,,6.94,,,25.88,,,18.83,,,137.4402549123739
1974,Australia,,,42.0731731011028,,,6.17,,,24.77,,,19.21,,,128.94325871941697
1975,Australia,,,41.6240269059463,,,5.67,,,24.08,,,19.31,,,124.70222682547902
1976,Australia,,,41.285984570834,,,5.5,,,23.77,,,19.48,,,122.02258726899385
1977,Australia,,,41.38244034763,,,5.65,,,23.86,,,19.45,,,122.67352185089975
1978,Australia,,,41.2299090267628,,,5.56,,,23.71,,,19.53,,,121.40296979006655
1979,Australia,,,41.560210902844304,,,5.7700000000000005,,,24.12,,,19.41,,,124.26584234930449
1980,Australia,,,41.8851173410195,,,5.800000000000001,,,24.45,,,19.25,,,127.012987012987
1981,Australia,,,41.8885834578871,,,5.59,,,24.36,,,19.21,,,126.80895366996354
1982,Australia,,,42.566762839336704,,,5.609999999999999,,,24.82,,,18.8,,,132.02127659574467
1983,Australia,,,41.98355769636,,,5.6000000000000005,,,24.38,,,19.13,,,127.44380554103503
1984,Australia,,,42.1656474409751,,,5.99,,,24.82,,,19.16,,,129.54070981210856
1985,Australia,,,42.6776199749684,,,6.329999999999999,,,25.31,,,18.91,,,133.84452670544684
1986,Australia,,,43.4399137851146,,,6.75,,,26.05,,,18.54,,,140.5070118662352
1987,Australia,,,44.995988736478196,,,7.960000000000001,,,27.78,,,17.86,,,155.54311310190369
1988,Australia,,,46.2656877345854,,,9.81,,,29.48,,,17.45,,,168.93982808022923
1989,Australia,,,44.306560742091996,,,8.04,,,27.36,,,18.32,,,149.34497816593887
1990,Australia,,,43.8550458048646,,,7.5,,,26.71,,,18.45,,,144.76964769647697
1991,Australia,,30.6260193594041,44.6396961409123,,5.28,7.340000000000001,,23.42,27.22,,29.04,17.94,,80.6473829201102,151.72798216276476
1992,Australia,,29.870282233120697,44.9281935371115,,5.050000000000001,7.66,,22.95,27.63,,29.62,17.849999999999998,,77.4814314652262,154.78991596638656
1993,Australia,,30.719623322967298,45.3540099396387,,5.41,8.16,,23.68,28.19,,29.14,17.71,,81.26286890871654,159.17560700169395
1994,Australia,,30.453971635139997,45.729124389250906,,5.63,8.57,,23.78,28.64,,29.44,17.560000000000002,,80.77445652173914,163.09794988610477
1995,Australia,,30.1103718840889,45.3372424781126,,5.83,8.4,,23.92,28.2,,29.64,17.73,,80.70175438596492,159.0524534686971
1996,Australia,,29.594172290376196,44.9095257775714,,5.86,8.27,,23.79,27.860000000000003,,30.06,17.98,,79.14171656686626,154.9499443826474
1997,Australia,,28.884841441591604,45.7836840464584,,5.41,8.690000000000001,,23.04,28.7,,30.380000000000003,17.53,,75.83936800526662,163.71933827723902
1998,Australia,,29.2780002191176,45.9565003676335,,5.66,9.01,,23.41,28.96,,30.18,17.49,,77.56792577866136,165.58033161806748
1999,Australia,,29.030058378331802,47.0748479524804,,5.59,10.02,,23.17,30.15,,30.320000000000004,16.99,,76.41820580474933,177.45732783990584
2000,Australia,,28.5819580918327,47.479589187234,,5.81,10.59,,23.3,30.71,,30.7,16.869999999999997,,75.8957654723127,182.03912270302317
2001,Australia,,28.878784007504,46.1516017444685,,5.79,9.65,,23.53,29.33,,30.65,17.48,,76.7699836867863,167.79176201372997
2002,Australia,,30.7257189018297,46.919588643245206,,6.32,10.17,,24.67,30.16,,29.41,17.130000000000003,,83.88303298197893,176.06538237011088
2003,Australia,,29.9630976240095,46.8494319570162,,6.17,10.69,,24.16,30.29,,29.97,17.26,,80.61394728061396,175.49246813441482
2004,Australia,,30.026840855387398,47.134183082769695,,6.34,11.17,,24.46,30.66,,30.070000000000004,17.169999999999998,,81.34353175922845,178.56726849155507
2005,Australia,,30.258930330645402,47.793195630296395,,6.21,11.24,,24.48,31.19,,29.82,16.79,,82.09255533199196,185.7653365098273
2006,Australia,,30.229529877057498,49.012596599304494,,5.96,12.4,,24.32,32.56,,29.86,16.27,,81.44675150703281,200.12292562999386
2007,Australia,,29.8884433211756,47.999596669475096,,6.21,11.92,,24.24,31.51,,30.14,16.75,,80.42468480424684,188.11940298507463
2008,Australia,,31.3911932264688,46.4037505251721,,6.39,10.62,,24.98,29.770000000000003,,29.17,17.46,,85.6359273225917,170.504009163803
2009,Australia,,33.0188768471358,47.2468314793147,,7.33,11.27,,26.5,31.19,,28.33,17.4,,93.54041651959054,179.25287356321843
2010,Australia,,33.7209349504686,47.565083791964504,,7.489999999999999,11.49,,26.88,31.37,,27.84,17.18,,96.55172413793103,182.59604190919677
2011,Australia,,33.6080497332059,46.7760676156498,,7.68,10.94,,27.08,30.59,,28.06,17.580000000000002,,96.50748396293656,174.004550625711
2012,Australia,,33.5503712263469,48.0103778039222,,7.31,11.65,,26.86,31.82,,28.02,16.97,,95.86009992862242,187.50736593989393
2013,Australia,,33.4710942741252,49.256498291560305,,6.98,12.48,,26.540000000000003,32.93,,27.950000000000003,16.259999999999998,,94.95527728085868,202.52152521525218
2014,Australia,,33.288827416378204,49.0376672114181,,7.15,11.91,,26.48,32.71,,28.050000000000004,16.35,,94.40285204991086,200.0611620795107
2015,Australia,,33.0911480091177,49.2815894823785,,6.63,11.82,,26.12,32.879999999999995,,27.97,16.16,,93.38577046835897,203.46534653465343
2016,Australia,,31.9313083840864,49.0765116020356,,6.25,11.43,,25.32,32.5,,28.65,16.21,,88.37696335078535,200.49352251696484
2017,Australia,,32.3943613182706,49.6575624804549,,6.59,12.8,,25.92,33.56,,28.42,16.16,,91.2033779028853,207.6732673267327
2018,Australia,,30.6332675643696,48.632459463262,,6.19,11.23,,24.94,32.54,,29.54,16.59,,84.42789438050102,196.14225437010248
2019,Australia,,30.6332675643696,,,6.19,,,24.94,,,29.54,,,84.42789438050102,
2004,Austria,32.6530013421229,29.692638533015703,44.2337674475539,10.51,9.65,11.48,29.020000000000003,27.29,34.14,29.48,31.34,21.85,98.43962008141114,87.07721761327377,156.24713958810068
2005,Austria,34.5902677837954,31.4723745959835,45.5517653137877,10.23,9.4,11.27,30.620000000000005,28.77,35.49,28.42,30.36,21.2,107.74102744546094,94.76284584980237,167.40566037735852
2006,Austria,36.7595203502956,33.514014102848,47.4334389755549,12.41,11.4,13.31,32.81,30.8,37.48,27.33,29.33,20.28,120.05122575923895,105.01193317422435,184.8126232741617
2007,Austria,35.0346173056673,31.8989798455219,45.611787844430104,10.18,9.36,11.49,30.61,28.77,35.3,28.000000000000004,29.97,21.03,109.32142857142854,95.995995995996,167.85544460294815
2008,Austria,34.7729557705641,31.594939701417303,45.639882753754904,11.25,10.32,12.31,30.79,28.89,35.53,28.4,30.37,21.21,108.41549295774648,95.12676983865657,167.5153229608675
2009,Austria,33.5487475737338,30.3400439034668,44.8019286965796,9.55,8.74,10.82,28.98,27.16,34.239999999999995,28.8,30.82,21.41,100.62500000000001,88.12459441920831,159.9252685660906
2010,Austria,33.923172266426,30.7319322296213,45.210801321478996,10.36,9.48,11.37,29.69,27.84,34.72,28.68,30.680000000000003,21.19,103.52161785216178,90.7431551499348,163.850873053327
2011,Austria,33.246546799802005,30.1399137990302,44.313153496666104,10.08,9.23,11.11,28.99,27.22,33.86,29.04,31.0,21.66,99.82782369146005,87.80645161290323,156.32502308402584
2012,Austria,31.473904736895804,28.4291813116875,42.545517811782005,7.13,6.54,8.27,27.04,25.4,31.89,29.79,31.74,22.43,90.76871433366902,80.02520478890989,142.17565760142668
2013,Austria,31.054740731214498,28.025265080089103,42.5356300708595,7.920000000000001,7.24,8.959999999999999,27.12,25.45,32.12,30.17,32.11,22.59,89.89061982101425,79.25879788227967,142.1868083222665
2014,Austria,32.4910737974479,29.2738175384617,44.3200626011486,10.11,9.2,11.1,28.87,27.0,34.08,29.630000000000003,31.65,21.75,97.43503206209921,85.30805687203792,156.68965517241378
2015,Austria,31.0729721063368,27.920486228165796,43.7138413274193,8.780000000000001,7.99,10.16,27.36,25.6,33.31,30.34,32.33,21.98,90.1779828609097,79.18342097123416,151.54686078252956
2016,Austria,33.0063172152416,29.7762105291402,44.3169203622509,10.16,9.26,11.08,29.05,27.18,34.17,29.34,31.36,21.81,99.01158827539196,86.67091836734694,156.6712517193948
1995,Azerbaijan,,,55.56126770419429,,,15.89,,,42.870000000000005,,,14.82,,,289.2712550607288
2002,Azerbaijan,,,47.868649871581695,,,13.919999999999998,,,38.05,,,20.200000000000003,,,188.36633663366334
2003,Azerbaijan,,,47.4610032640513,,,13.29,,,37.45,,,20.26,,,184.84698914116487
2004,Azerbaijan,,,47.6596543732132,,,14.26,,,38.34,,,20.53,,,186.7510959571359
2018,Azerbaijan,,45.6085454428038,,,13.170000000000002,,,36.83,,,21.62,,,170.35152636447734,
2019,Azerbaijan,,45.5129979887687,,,13.16,,,36.8,,,21.67,,,169.82002768804796,
2020,Azerbaijan,,45.5128693745948,,,13.16,,,36.8,,,21.67,,,169.82002768804796,
