,dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
15,at97,hcexp,0,8061858,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,at98,dhi,0,8069819, 18811.62, 15844.78,    0.313,     4.39,     8.59,    15.41,     1.44,     2.42,     3.99,   0.0078,   0.0119,   0.0179,  4262.10,  5694.39,  7047.31,  2075.81,  2228.00,  2459.56
17,at98,dhci,0,8069819, 18811.62, 15844.78,    0.313,     4.39,     8.59,    15.41,     1.44,     2.42,     3.99,   0.0078,   0.0119,   0.0179,  4262.10,  5694.39,  7047.31,  2075.81,  2228.00,  2459.56
18,at98,mi,0,8069819, 18694.76, 14728.26,    0.488,    24.14,    28.30,    32.82,    18.58,    20.09,    21.81,   0.1667,   0.1763,   0.1865,  1460.65,  2298.74,  3187.08,  4877.26,  5623.65,  6319.79
19,at98,hcexp,0,8069819,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,at99,dhi,0,8077461, 19370.65, 16669.24,    0.297,     3.28,     7.90,    14.73,     0.96,     1.89,     3.50,   0.0048,   0.0081,   0.0137,  4712.90,  6342.57,  7621.91,  1954.80,  1992.06,  2379.64
21,at99,dhci,0,8077461, 19370.65, 16669.24,    0.297,     3.28,     7.90,    14.73,     0.96,     1.89,     3.50,   0.0048,   0.0081,   0.0137,  4712.90,  6342.57,  7621.91,  1954.80,  1992.06,  2379.64
22,at99,mi,0,8077461, 18989.87, 15370.46,    0.477,    24.12,    28.02,    32.55,    18.54,    20.02,    21.70,   0.1670,   0.1763,   0.1862,  1541.81,  2378.02,  3334.80,  5125.89,  5956.60,  6666.74
23,at99,hcexp,0,8077461,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24,at00,dhi,0,8097985, 18825.47, 16265.08,    0.289,     3.80,     8.00,    14.14,     1.30,     2.18,     3.66,   0.0064,   0.0103,   0.0160,  4274.29,  5917.30,  7234.86,  2231.74,  2215.24,  2524.19
25,at00,dhci,0,8097985, 18825.47, 16265.08,    0.289,     3.80,     8.00,    14.14,     1.30,     2.18,     3.66,   0.0064,   0.0103,   0.0160,  4274.29,  5917.30,  7234.86,  2231.74,  2215.24,  2524.19
26,at00,mi,0,8097985, 19246.03, 15548.48,    0.473,    23.10,    26.59,    30.75,    18.42,    19.68,    21.17,   0.1681,   0.1761,   0.1847,  1317.93,  2113.37,  3040.47,  5188.10,  6019.17,  6718.58
27,at00,hcexp,0,8097985,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
28,at03,dhi,0,8042480, 20321.72, 17579.53,    0.296,     4.35,     8.92,    15.24,     1.31,     2.33,     3.91,   0.0066,   0.0107,   0.0169,  4907.19,  6497.07,  7840.25,  2124.62,  2292.70,  2707.47
29,at03,dhci,0,8042480, 20215.68, 17491.03,    0.296,     4.40,     9.03,    15.41,     1.33,     2.37,     3.96,   0.0067,   0.0109,   0.0172,  4906.70,  6480.91,  7834.71,  2125.11,  2308.85,  2713.01
30,at03,mi,0,8042480, 19935.31, 16027.55,    0.483,    25.15,    28.68,    33.04,    18.90,    20.50,    22.20,   0.1707,   0.1802,   0.1904,  1746.21,  2505.28,  3458.80,  5285.60,  6284.49,  7088.92
31,at03,hcexp,0,8042480,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
32,at04,dhi,0,8139646, 21422.37, 18327.26,    0.299,     3.68,     8.47,    15.37,     1.08,     2.04,     3.62,   0.0051,   0.0087,   0.0146,  5188.51,  6959.91,  8409.31,  2142.39,  2203.72,  2587.04
33,at04,dhci,0,8139646, 21307.35, 18273.19,    0.300,     3.81,     8.65,    15.83,     1.10,     2.09,     3.71,   0.0052,   0.0089,   0.0149,  5212.29,  6951.76,  8421.54,  2118.61,  2211.87,  2574.81
34,at04,mi,0,8139646, 20366.41, 15949.26,    0.488,    25.00,    29.73,    35.26,    19.25,    20.83,    22.74,   0.1736,   0.1833,   0.1939,  1686.07,  2742.84,  3904.51,  5644.84,  6420.79,  7091.84
35,at04,hcexp,0,8139646,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
36,at05,dhi,0,8182229, 20393.27, 17808.17,    0.288,     3.52,     7.89,    14.52,     1.11,     2.04,     3.55,   0.0056,   0.0092,   0.0148,  4869.05,  6605.93,  8074.23,  2254.22,  2298.15,  2610.67
37,at05,dhci,0,8182229, 20299.42, 17732.67,    0.288,     3.57,     7.98,    14.84,     1.12,     2.06,     3.60,   0.0057,   0.0093,   0.0150,  4887.80,  6610.48,  8095.47,  2235.46,  2293.60,  2589.43
38,at05,mi,0,8182229, 18912.32, 15214.58,    0.495,    27.26,    31.19,    36.65,    21.35,    22.94,    24.77,   0.1940,   0.2040,   0.2145,  1545.12,  2355.11,  3463.18,  5578.15,  6548.97,  7221.72
39,at05,hcexp,0,8182229,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
40,at06,dhi,0,8210303, 20891.32, 17842.69,    0.297,     3.84,     7.94,    14.60,     1.12,     2.07,     3.56,   0.0054,   0.0091,   0.0148,  5052.83,  6596.27,  8097.68,  2084.25,  2325.07,  2607.93
41,at06,dhci,0,8210303, 20791.84, 17802.32,    0.297,     3.96,     8.14,    14.86,     1.14,     2.11,     3.62,   0.0054,   0.0092,   0.0151,  5082.76,  6609.98,  8097.50,  2054.31,  2311.36,  2608.12
42,at06,mi,0,8210303, 19596.53, 15380.84,    0.507,    27.66,    32.32,    37.01,    21.51,    23.19,    25.10,   0.1936,   0.2044,   0.2158,  1587.25,  2521.93,  3445.56,  5549.83,  6399.41,  7260.05
43,at06,hcexp,0,8210303,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
44,at07,dhi,0,8241523, 21885.99, 18843.16,    0.306,     5.48,    10.10,    17.29,     1.61,     2.82,     4.58,   0.0086,   0.0134,   0.0205,  5328.31,  6794.06,  8311.88,  2208.96,  2627.52,  2994.01
45,at07,dhci,0,8241523, 21747.50, 18735.48,    0.306,     5.59,    10.31,    17.54,     1.66,     2.90,     4.70,   0.0088,   0.0137,   0.0210,  5298.24,  6772.02,  8275.05,  2239.03,  2649.56,  3030.84
46,at07,mi,0,8241523, 21623.72, 16428.25,    0.514,    28.30,    32.04,    36.96,    21.16,    22.95,    24.83,   0.1876,   0.1996,   0.2116,  1902.72,  2672.96,  3711.77,  5634.54,  6748.62,  7594.12
47,at07,hcexp,0,8241523,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
48,at08,dhi,0,8260971, 22285.27, 19426.31,    0.304,     5.75,    10.23,    16.79,     1.86,     3.04,     4.75,   0.0102,   0.0153,   0.0225,  5257.59,  6824.98,  8360.26,  2512.94,  2888.18,  3295.53
49,at08,dhci,0,8260971, 22121.74, 19312.68,    0.305,     5.90,    10.56,    17.27,     1.92,     3.12,     4.87,   0.0106,   0.0158,   0.0231,  5243.95,  6842.53,  8365.29,  2526.58,  2870.63,  3290.50
50,at08,mi,0,8260971, 21961.21, 16915.14,    0.520,    28.77,    33.50,    37.04,    21.72,    23.58,    25.51,   0.1930,   0.2051,   0.2175,  1905.24,  2875.18,  3630.19,  5865.29,  6837.97,  8025.60
51,at08,hcexp,0,8260971,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
52,at09,dhi,0,8283237, 23145.32, 20100.23,    0.314,     6.04,    11.30,    17.47,     2.10,     3.37,     5.19,   0.0116,   0.0172,   0.0249,  5247.22,  7052.83,  8477.58,  2792.87,  2997.28,  3582.56
53,at09,dhci,0,8283237, 22940.13, 19900.53,    0.314,     6.24,    11.57,    17.95,     2.15,     3.45,     5.32,   0.0120,   0.0177,   0.0256,  5270.94,  7051.27,  8486.52,  2769.15,  2998.84,  3573.62
54,at09,mi,0,8283237, 22298.80, 16476.05,    0.533,    30.31,    34.67,    39.55,    22.96,    24.85,    26.92,   0.2033,   0.2163,   0.2294,  1950.49,  2846.16,  3852.84,  6089.60,  7203.95,  8207.30
55,at09,hcexp,0,8283237,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
56,at10,dhi,0,8315881, 22946.72, 20000.96,    0.303,     5.32,    10.53,    17.32,     1.64,     2.88,     4.70,   0.0086,   0.0135,   0.0209,  5526.02,  7264.54,  8741.98,  2474.37,  2735.94,  3258.59
57,at10,dhci,0,8315881, 22801.31, 19782.50,    0.304,     5.41,    10.70,    17.61,     1.69,     2.95,     4.80,   0.0091,   0.0141,   0.0215,  5499.67,  7243.97,  8729.49,  2500.71,  2756.52,  3271.08
58,at10,mi,0,8315881, 21590.20, 16329.87,    0.524,    31.00,    35.65,    39.72,    23.21,    25.20,    27.26,   0.2056,   0.2188,   0.2322,  2010.34,  2932.31,  3763.45,  5990.04,  7068.17,  8237.12
59,at10,hcexp,0,8315881,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
60,at11,dhi,0,8344294, 22790.77, 19612.49,    0.309,     5.91,    10.06,    17.30,     2.01,     3.16,     4.88,   0.0114,   0.0165,   0.0237,  5182.66,  6722.52,  8445.20,  2662.34,  3083.72,  3322.30
61,at11,dhci,0,8344294, 22672.51, 19496.87,    0.310,     5.98,    10.30,    17.76,     2.02,     3.20,     4.96,   0.0115,   0.0167,   0.0239,  5187.68,  6762.07,  8481.83,  2657.32,  3044.18,  3285.67
62,at11,mi,0,8344294, 21779.57, 16440.35,    0.524,    30.04,    34.83,    39.30,    22.55,    24.55,    26.64,   0.2005,   0.2132,   0.2263,  1955.33,  2895.36,  3788.85,  5889.67,  6910.89,  7978.65
63,at11,hcexp,0,8344294,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
64,at12,dhi,0,8336278, 22263.85, 19261.46,    0.306,     6.02,    10.61,    16.82,     2.14,     3.35,     5.08,   0.0122,   0.0176,   0.0251,  4971.49,  6587.64,  8068.73,  2733.09,  3043.10,  3488.15
65,at12,dhci,0,8336278, 22149.93, 19143.89,    0.306,     6.07,    10.66,    17.06,     2.16,     3.38,     5.13,   0.0123,   0.0178,   0.0253,  4966.09,  6576.62,  8081.66,  2738.49,  3054.12,  3475.22
66,at12,mi,0,8336278, 21309.66, 16358.91,    0.524,    30.00,    33.94,    38.55,    23.30,    25.04,    26.89,   0.2085,   0.2205,   0.2325,  1720.11,  2524.80,  3496.21,  5984.48,  7105.93,  8060.67
67,at12,hcexp,0,8336278,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
68,at13,dhi,0,8382355, 23297.10, 19815.51,    0.311,     5.27,     9.49,    16.07,     1.58,     2.72,     4.36,   0.0082,   0.0129,   0.0197,  5546.70,  7068.44,  8665.56,  2379.51,  2839.31,  3223.75
69,at13,dhci,0,8382355, 23297.10, 19815.51,    0.311,     5.27,     9.49,    16.07,     1.58,     2.72,     4.36,   0.0082,   0.0129,   0.0197,  5546.70,  7068.44,  8665.56,  2379.51,  2839.31,  3223.75
70,at13,mi,0,8382355, 22275.60, 16995.46,    0.529,    29.80,    34.00,    38.10,    23.26,    24.98,    26.81,   0.2076,   0.2197,   0.2318,  1737.43,  2630.13,  3523.05,  6188.78,  7277.63,  8366.26
71,at13,hcexp,0,8382355,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
72,at14,dhi,0,8469190, 22909.87, 19946.95,    0.307,     5.70,    10.41,    17.42,     1.62,     2.84,     4.66,   0.0084,   0.0133,   0.0207,  5717.00,  7251.79,  8766.37,  2261.78,  2721.69,  3201.80
73,at14,dhci,0,8469190, 22909.87, 19946.95,    0.307,     5.70,    10.41,    17.42,     1.62,     2.84,     4.66,   0.0084,   0.0133,   0.0207,  5717.00,  7251.79,  8766.37,  2261.78,  2721.69,  3201.80
74,at14,mi,0,8469190, 21786.65, 16509.68,    0.528,    30.26,    35.19,    39.38,    23.02,    24.97,    27.00,   0.2071,   0.2190,   0.2316,  1909.20,  2896.15,  3762.86,  6069.58,  7077.32,  8205.31
75,at14,hcexp,0,8469190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
76,at15,dhi,0,8590169, 22826.48, 20006.43,    0.308,     5.05,    11.26,    17.98,     2.04,     3.20,     5.10,   0.0127,   0.0174,   0.0247,  4768.64,  7157.88,  8601.13,  3233.93,  2845.33,  3402.73
77,at15,dhci,0,8590169, 22826.48, 20006.43,    0.308,     5.05,    11.26,    17.98,     2.04,     3.20,     5.10,   0.0127,   0.0174,   0.0247,  4768.64,  7157.88,  8601.13,  3233.93,  2845.33,  3402.73
78,at15,mi,0,8590169, 22079.93, 16589.27,    0.529,    30.34,    35.05,    39.05,    23.13,    25.05,    27.06,   0.2087,   0.2204,   0.2327,  1902.69,  2853.96,  3686.95,  6099.88,  7149.25,  8316.91
79,at15,hcexp,0,8590169,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
80,at16,dhi,0,8622278, 23883.75, 20776.89,    0.310,     6.07,    10.79,    17.52,     2.39,     3.55,     5.29,   0.0147,   0.0200,   0.0273,  5036.38,  6970.42,  8701.06,  3274.38,  3418.03,  3765.08
81,at16,dhci,0,8622278, 23883.75, 20776.89,    0.310,     6.07,    10.79,    17.52,     2.39,     3.55,     5.29,   0.0147,   0.0200,   0.0273,  5036.38,  6970.42,  8701.06,  3274.38,  3418.03,  3765.08
82,at16,mi,0,8622278, 22820.36, 16961.39,    0.530,    30.39,    34.33,    38.63,    23.80,    25.45,    27.27,   0.2150,   0.2263,   0.2378,  1803.00,  2685.94,  3665.00,  6507.76,  7702.51,  8801.14
83,at16,hcexp,0,8622278,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
84,at17,dhi,0,8631607, 23569.23, 20842.82,    0.300,     5.79,    10.80,    17.18,     1.88,     3.13,     4.98,   0.0093,   0.0149,   0.0227,  5625.50,  7401.95,  8884.10,  2711.62,  3019.46,  3621.59
85,at17,dhci,0,8631607, 23569.23, 20842.82,    0.300,     5.79,    10.80,    17.18,     1.88,     3.13,     4.98,   0.0093,   0.0149,   0.0227,  5625.50,  7401.95,  8884.10,  2711.62,  3019.46,  3621.59
86,at17,mi,0,8631607, 22705.54, 17772.25,    0.515,    29.49,    33.80,    38.32,    22.90,    24.62,    26.50,   0.2067,   0.2179,   0.2294,  1861.61,  2830.00,  3857.32,  6475.52,  7591.41,  8648.37
87,at17,hcexp,0,8631607,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
88,at18,dhi,0,8704953, 23801.41, 20638.92,    0.310,     5.58,    10.40,    17.65,     1.96,     3.09,     4.84,   0.0113,   0.0162,   0.0233,  5353.65,  7253.81,  8983.81,  2901.92,  3065.65,  3399.54
89,at18,dhci,0,8704953, 23801.41, 20638.92,    0.310,     5.58,    10.40,    17.65,     1.96,     3.09,     4.84,   0.0113,   0.0162,   0.0233,  5353.65,  7253.81,  8983.81,  2901.92,  3065.65,  3399.54
90,at18,mi,0,8704953, 22941.64, 17057.17,    0.528,    29.39,    33.39,    39.03,    23.30,    24.91,    26.87,   0.2115,   0.2222,   0.2334,  1712.15,  2622.40,  3859.16,  6543.42,  7697.06,  8524.19
91,at18,hcexp,0,8704953,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92,at19,dhi,0,8694404, 24250.79, 20997.89,    0.304,     6.31,    10.60,    16.26,     2.09,     3.31,     4.98,   0.0114,   0.0170,   0.0244,  5615.32,  7224.02,  8741.21,  2783.84,  3274.93,  3857.52
93,at19,dhci,0,8694404, 24250.79, 20997.89,    0.304,     6.31,    10.60,    16.26,     2.09,     3.31,     4.98,   0.0114,   0.0170,   0.0244,  5615.32,  7224.02,  8741.21,  2783.84,  3274.93,  3857.52
94,at19,mi,0,8694404, 23758.43, 18245.80,    0.522,    29.72,    33.36,    38.40,    22.85,    24.60,    26.49,   0.2067,   0.2178,   0.2293,  1940.62,  2754.79,  3906.78,  6458.54,  7744.16,  8691.95
95,at19,hcexp,0,8694404,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
96,au81,dhi,0,15054659, 13695.38, 11524.56,    0.313,     6.08,    10.51,    16.03,     2.14,     3.37,     4.99,   0.0129,   0.0181,   0.0253,  2984.94,  3914.16,  4763.55,  1624.88,  1848.12,  2151.19
97,au81,dhci,0,15054659, 13695.38, 11524.56,    0.313,     6.08,    10.51,    16.03,     2.14,     3.37,     4.99,   0.0129,   0.0181,   0.0253,  2984.94,  3914.16,  4763.55,  1624.88,  1848.12,  2151.19
98,au81,mi,0,15054659, 15569.25, 12944.79,    0.440,    18.95,    21.62,    25.04,    14.27,    15.46,    16.77,   0.1244,   0.1332,   0.1418,  1140.24,  1641.30,  2285.09,  3469.59,  4120.98,  4629.64
99,au81,hcexp,0,15054659,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100,au85,dhi,0,15900414, 14151.30, 11697.10,    0.325,     5.86,    10.69,    16.34,     2.23,     3.41,     5.07,   0.0137,   0.0188,   0.0260,  2897.20,  3984.36,  4840.26,  1781.64,  1864.19,  2178.01
101,au85,dhci,0,15900414, 14151.30, 11697.10,    0.325,     5.86,    10.69,    16.34,     2.23,     3.41,     5.07,   0.0137,   0.0188,   0.0260,  2897.20,  3984.36,  4840.26,  1781.64,  1864.19,  2178.01
102,au85,mi,0,15900414, 16020.24, 12827.52,    0.474,    22.10,    24.52,    27.77,    16.47,    17.82,    19.19,   0.1422,   0.1529,   0.1627,  1191.24,  1598.74,  2169.27,  3487.60,  4249.81,  4849.00
103,au85,hcexp,0,15900414,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104,au89,dhi,0,16674962, 14543.15, 12009.50,    0.331,     6.52,    11.26,    17.46,     2.37,     3.62,     5.39,   0.0136,   0.0194,   0.0272,  3057.99,  4072.95,  4979.10,  1745.81,  1931.80,  2226.60
105,au89,dhci,0,16674962, 14543.15, 12009.50,    0.331,     6.52,    11.26,    17.46,     2.37,     3.62,     5.39,   0.0136,   0.0194,   0.0272,  3057.99,  4072.95,  4979.10,  1745.81,  1931.80,  2226.60
106,au89,mi,0,16674962, 16770.74, 13438.84,    0.463,    20.35,    23.52,    27.15,    14.57,    16.04,    17.59,   0.1243,   0.1347,   0.1450,  1362.89,  1909.48,  2537.47,  3440.92,  4095.27,  4668.24
107,au89,hcexp,0,16674962,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
108,au95,dhi,0,17578427, 13316.09, 10997.42,    0.329,     5.73,    10.65,    17.29,     2.46,     3.57,     5.28,   0.0173,   0.0218,   0.0286,  2508.90,  3657.79,  4582.93,  1890.07,  1840.92,  2015.53
109,au95,dhci,0,17578427, 13316.09, 10997.42,    0.329,     5.73,    10.65,    17.29,     2.46,     3.57,     5.28,   0.0173,   0.0218,   0.0286,  2508.90,  3657.79,  4582.93,  1890.07,  1840.92,  2015.53
110,au95,mi,0,17578427, 14419.23, 11713.51,    0.497,    25.41,    28.16,    31.74,    20.31,    21.64,    23.02,   0.1850,   0.1940,   0.2030,   883.26,  1273.63,  1813.66,  3515.71,  4225.08,  4784.79
111,au95,hcexp,0,17578427,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
112,au01,dhi,0,18747308, 15358.68, 12507.63,    0.337,     6.37,    10.54,    17.40,     2.44,     3.63,     5.31,   0.0160,   0.0211,   0.0283,  3086.43,  4100.81,  5214.58,  1916.62,  2153.01,  2290.00
113,au01,dhci,0,18747308, 15358.68, 12507.63,    0.337,     6.37,    10.54,    17.40,     2.44,     3.63,     5.31,   0.0160,   0.0211,   0.0283,  3086.43,  4100.81,  5214.58,  1916.62,  2153.01,  2290.00
114,au01,mi,0,18747308, 16412.37, 12907.48,    0.505,    26.05,    29.30,    33.25,    20.60,    21.98,    23.52,   0.1855,   0.1954,   0.2053,  1046.95,  1561.79,  2196.25,  3956.10,  4692.02,  5308.33
115,au01,hcexp,0,18747308,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116,au03,dhi,0,19236087, 15851.29, 12931.29,    0.337,     6.25,    10.64,    17.35,     2.46,     3.64,     5.32,   0.0168,   0.0217,   0.0286,  3136.77,  4253.61,  5380.18,  2035.75,  2212.04,  2378.59
117,au03,dhci,0,19236087, 15851.29, 12931.29,    0.337,     6.25,    10.64,    17.35,     2.46,     3.64,     5.32,   0.0168,   0.0217,   0.0286,  3136.77,  4253.61,  5380.18,  2035.75,  2212.04,  2378.59
118,au03,mi,0,19236087, 17380.66, 13786.35,    0.496,    24.38,    28.20,    31.64,    19.00,    20.46,    22.03,   0.1713,   0.1807,   0.1905,  1140.80,  1773.19,  2356.27,  4031.72,  4692.46,  5402.50
119,au03,hcexp,0,19236087,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
120,au04,dhi,0,12053106, 17400.74, 14332.40,    0.327,     4.95,     9.59,    16.87,     1.67,     2.76,     4.43,   0.0106,   0.0147,   0.0211,  3791.45,  5104.94,  6339.19,  1941.50,  2061.26,  2260.25
121,au04,dhci,0,12053106, 17130.75, 14229.93,    0.323,     5.01,     9.72,    17.13,     1.69,     2.79,     4.50,   0.0107,   0.0148,   0.0213,  3797.13,  5107.75,  6341.55,  1935.83,  2058.45,  2257.89
122,au04,mi,0,12053106, 18887.74, 15102.09,    0.481,    23.33,    26.82,    30.29,    17.59,    19.09,    20.67,   0.1548,   0.1652,   0.1755,  1411.17,  2064.32,  2730.42,  4321.79,  5101.88,  5869.01
123,au04,hcexp,0,12053106, 14428.23, 11990.78,    0.327,     9.83,    18.20,    27.84,     2.35,     4.64,     7.67,   0.0092,   0.0183,   0.0315,  4364.12,  5337.66,  6231.49,  1368.84,  1828.54,  2367.95
124,au08,dhi,0,20507949, 21863.45, 17259.51,    0.355,     5.63,    10.37,    18.45,     1.78,     3.01,     4.87,   0.0102,   0.0151,   0.0224,  4718.81,  6128.71,  7623.91,  2185.00,  2501.05,  2731.80
125,au08,dhci,0,20507949, 21180.89, 17006.66,    0.347,     5.77,    10.67,    18.88,     1.82,     3.08,     4.99,   0.0104,   0.0154,   0.0229,  4726.22,  6135.36,  7620.45,  2177.58,  2494.40,  2735.26
126,au08,mi,0,20507949, 23792.41, 18191.10,    0.494,    22.43,    26.13,    30.85,    15.45,    17.22,    19.09,   0.1315,   0.1431,   0.1549,  2147.76,  2943.57,  3947.71,  4756.04,  5686.18,  6408.00
127,au08,hcexp,0,20507949,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
128,au10,dhi,0,11719109, 21668.45, 17312.87,    0.349,     6.19,    10.65,    18.08,     2.20,     3.44,     5.19,   0.0131,   0.0185,   0.0259,  4461.81,  5862.69,  7405.16,  2463.34,  2793.74,  2982.56
129,au10,dhci,0,11719109, 21107.10, 16868.74,    0.343,     6.21,    10.82,    18.46,     2.21,     3.46,     5.27,   0.0131,   0.0185,   0.0261,  4457.82,  5890.83,  7422.04,  2467.33,  2765.60,  2965.68
130,au10,mi,0,11719109, 22794.91, 17804.08,    0.494,    24.60,    28.40,    32.56,    17.75,    19.49,    21.30,   0.1544,   0.1659,   0.1776,  1928.58,  2716.82,  3589.74,  4996.57,  5939.61,  6797.98
131,au10,hcexp,0,11719109, 15937.54, 13248.58,    0.334,    13.75,    23.52,    34.35,     3.45,     6.45,    10.19,   0.0130,   0.0261,   0.0436,  5188.09,  6282.33,  7305.20,  1737.06,  2374.10,  3082.52
132,au14,dhi,0,22389211, 23175.42, 18613.99,    0.342,     5.39,    10.00,    16.81,     1.97,     3.06,     4.75,   0.0121,   0.0167,   0.0235,  4728.40,  6459.48,  8013.49,  2717.19,  2847.51,  3154.90
133,au14,dhci,0,22389211, 22578.24, 18298.66,    0.337,     5.46,    10.29,    17.20,     1.98,     3.09,     4.83,   0.0121,   0.0168,   0.0237,  4753.23,  6507.75,  8031.42,  2692.36,  2799.24,  3136.97
134,au14,mi,0,22389211, 25206.17, 19340.98,    0.499,    23.05,    27.01,    31.19,    16.17,    17.94,    19.79,   0.1381,   0.1499,   0.1618,  2223.53,  3125.76,  4081.11,  5222.07,  6181.24,  7087.28
135,au14,hcexp,0,22389211,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
