"","Entity","Year","Gini.coefficient","Palma.ratio..S90.S40.ratio.","S90.S10.ratio","S80.S20.ratio","S90.S50.ratio","P90.P10.ratio","P90.P50.ratio","P50.P10.ratio","P0.P10...share.of.the.bottom.10.","P0.P40...share.of.the.bottom.40.","P0.P50...share.of.the.bottom.50.","P10.P20...share.of.national.income","P20.P30...share.of.national.income","P30.P40...share.of.national.income","P40.P50...share.of.national.income","P50.P60...share.of.national.income","P50.P90...share.of.the.middle.40.","P60.P70...share.of.national.income","P70.P80...share.of.national.income","P80.P90...share.of.national.income","P90.P100...share.of.the.top.10.","P99.999.P100...share.of.the.top.0.001.","P99.99.P100...share.of.the.top.0.01.","P99.9.P100...share.of.the.top.0.1.","P99.P100...share.of.the.top.1.","Mean.income","P0.P10...mean.income.of.the.bottom.10.","P10.P20...mean.income","P20.P30...mean.income","P30.P40...mean.income","P40.P50...mean.income","P50.P60...mean.income","P60.P70...mean.income","P70.P80...mean.income","P80.P90...mean.income","P90.P100...mean.income.of.the.top.10.","P99.999.P100...mean.income.of.the.top.0.001.","P99.99.P100...mean.income.of.the.top.0.01.","P99.9.P100...mean.income.of.the.top.0.1.","P99.P100...mean.income.of.the.top.1.","P0...income.threshold.of.the.bottom.10.","P10...income.threshold","P20...income.threshold","P30...income.threshold","P40...income.threshold","P50...income.threshold..median.","P60...income.threshold","P70...income.threshold","P80...income.threshold","P90...income.threshold.of.the.top.10.","P99.999...income.threshold.of.the.top.0.001.","P99.99...income.threshold.of.the.top.0.01.","P99.9...income.threshold.of.the.top.0.1.","P99...income.threshold.of.the.top.1."
"11","Albania",2005,0.474481877113181,3.0752089,220.8,26.336842,1.79707,28.230373,2.5387337,11.119864,0.15,10.77,18.43,1.75,3.91,5.57,7.04,8.45,48.44,10.25,12.82,16.92,33.12,0.14,0.54,2.14,8.42,12005.416970997,181.763406740567,2103.51461994656,4697.55875530077,6690.82389118688,8457.31510817431,10147.4185571407,12307.142524844,15385.4036952181,20316.5267268382,39766.6899147095,1663050.92520785,653971.812254904,257165.376992097,101126.721430969,0,839.907665950814,3434.84000207302,5933.558928243,7614.52767015602,9339.65875504307,11214.9583190702,13539.1620571612,17710.1603695619,23710.9073074488,991594.94338442,389930.995714526,153334.977427316,60296.8602009241
"12","Albania",2008,0.472131626400237,3.0200913,206.6875,25.166666,1.7789134,26.992661,2.5243707,10.692827,0.16,10.95,18.59,1.82,4.01,5.6,7,8.48,48.35,10.29,12.82,16.76,33.07,0.15,0.58,2.22,8.58,13937.2086058422,216.228098512553,2530.57906301387,5586.21738453123,7811.35796429048,9759.80023606805,11822.5326799069,14339.5635537415,17861.7449659828,23357.7811998621,46086.2809125127,2085970.31293111,804218.430544805,310055.831225636,119537.947423614,0,1003.33910923488,4144.73509138212,6881.23662202587,8893.95460571795,10728.5320410133,13136.8221211059,15757.7399591333,20405.1216259777,27082.7926398763,1225829.14826046,472602.271264474,182205.593114456,70246.9680849234
"13","Albania",2012,0.467515321284942,2.9151943,206.25,23.62381,1.7322835,25.343693,2.5132415,10.084066,0.16,11.32,19.05,1.94,4.12,5.73,7.1,8.45,47.95,10.2,12.69,16.61,33,0.15,0.57,2.21,8.55,14835.3246967713,244.495400700569,2875.5937709109,6118.11954190924,8496.10070903452,10526.7978778499,12534.1716450901,15139.0243080998,18819.1878642655,24641.8968346895,48957.8465052927,2201760.45092767,850223.524903175,328319.13050784,126782.485681462,0,1136.58173430327,4716.13841418271,7467.7743855182,9612.12122105234,11461.3652279024,13863.2327407517,16662.4062179796,21497.4384363731,28805.1790592916,1295443.07188928,500243.429440666,193172.132937602,74594.6232751422
"14","Albania",2015,0.493067210753804,3.4437928,185.42105,27.209425,2.0005679,24.663992,2.6793411,9.205245,0.19,10.23,17.61,1.72,3.53,5.37,6.78,8.08,47.16,9.81,12.53,16.74,35.23,0.2,0.72,2.63,9.62,15345.7574153039,296.008543269965,2646.45798856157,5423.84177427278,8247.84734339446,10411.446868815,12396.0601786287,15061.1303517341,19224.0347782631,25686.1732424197,54064.5655777573,3005803.71577116,1100775.17383075,403122.160710789,147630.023862936,0,1238.42458574274,4026.36419973606,7086.10325663014,9339.81637940472,11400.0018137174,13642.185840326,16763.5109870907,22053.6722908461,30544.4938347525,1698168.81233448,621897.561480534,227749.213381415,83405.5373639881
"15","Albania",2016,0.505049723330874,3.7862434,178.89999,28.467741,2.1711166,25.580271,2.8643167,8.9306707,0.2,9.45,16.48,1.66,3.25,4.89,6.47,8.02,47.75,9.93,12.63,17.17,35.78,0.17,0.63,2.43,9.33,15871.2044797765,321.866444501434,2626.88254402988,5165.31780538597,7767.25566869231,10271.7916843991,12731.0744964704,15756.9042998192,20042.4429816806,27249.2589776155,56779.2448912225,2625732.71434328,1006897.51923056,386117.994853079,148065.817693269,0,1298.03161418382,3896.35912901634,6519.36361335499,9039.81468563979,11592.2935270261,14144.2794795355,17537.2214250993,22884.9006090105,33203.9996176946,1535505.27490876,588824.767881077,225798.399238291,86587.5854195953
"16","Albania",2017,0.497760383647332,3.5771947,161.13637,26.18,2.0779603,22.890213,2.7753119,8.247798,0.22,9.91,17.06,1.78,3.4,5.09,6.57,8.08,47.49,9.94,12.56,16.91,35.45,0.18,0.68,2.53,9.48,16115.0893988224,357.569613400618,2860.5769229969,5473.86374034155,8210.30021966145,10592.587284031,13016.5822548861,16013.1039348653,20244.612488319,27255.5039047054,57126.1961269911,2917452.22367371,1091343.92531369,408243.71648904,152713.492091071,0,1430.28595952445,4219.34145391925,6945.05447269941,9402.38574505509,11796.7098063114,14402.045350302,17797.2916139147,22978.4444127108,32739.5506792039,1672018.68054048,625459.271579912,233968.245040438,87521.5097623313
"17","Albania",2018,0.491265747704805,3.4075875,152.30435,24.803827,2.0028589,21.789345,2.7470617,7.9318733,0.23,10.28,17.49,1.86,3.62,5.16,6.62,8.12,47.48,9.98,12.58,16.81,35.03,0.17,0.65,2.46,9.29,16599.4240266201,384.986244430558,3079.85242583455,6002.88362367808,8566.52627302711,10990.8490024755,13471.3310402008,16558.6343445904,20890.2193558436,27900.6178833531,58148.3300648715,2872651.17177445,1083543.8437462,408705.103011361,154160.691394797,0,1539.92746390427,4542.78414203711,7416.82168512354,9792.63864474372,12214.5094396777,14944.2556405367,18375.9306455069,23811.9395193141,33554.0107676583,1657639.53575814,625250.006475026,235839.896726381,88957.1549501517
"18","Armenia",1996,0.588422260781208,5.641737,222.71428,32.397907,3.4695845,20.82604,3.3363519,6.2421598,0.21,8.29,13.48,1.7,3.01,3.78,4.78,6.08,39.75,7.91,10.64,15.11,46.77,0.84,2.41,7.08,18.97,4779.68712046425,101.668954215595,813.359832884835,1439.46283306249,1805.82211843073,2283.71331687923,2906.06488597062,3782.62447541209,5086.13451246561,7222.34683172364,22355.6715514838,4029284.75580234,1151487.19382153,338609.090603468,90683.0863207276,0,406.679601090107,1199.70488628628,1622.11299921721,1960.56486651132,2538.55897960123,3218.35197205868,4283.67514754713,5829.66525252149,8469.52611624884,2694722.12494489,484519.046257897,142054.724463036,32896.4493031319
"19","Armenia",1999,0.552911803744848,4.4706478,163.59259,24.081966,2.8169644,15.364313,2.8930049,5.3108492,0.27,9.88,15.68,2.17,3.58,4.33,5.32,6.56,40.15,8.28,10.72,14.59,44.17,0.71,2.09,6.31,17.39,5579.67538467729,151.644096277153,1213.14204823867,1995.78971959937,2416.06100527403,2970.91835004377,3662.04825806537,4618.66949210841,5984.05102178654,8139.98736666002,24644.4424887195,3980444.77105473,1165825.61880196,352257.958653202,97023.6601586118,0,606.571970176265,1789.38658670967,2148.47195568284,2600.0015930835,3221.41215088023,3984.92992037855,5119.51013960462,6705.17408806423,9319.56142285024,2669140.34186239,500558.470248732,151355.044349306,36748.1466565323
"20","Armenia",2002,0.535265136856889,4.0027986,147.96552,21.69434,2.5480998,14.631277,2.886622,5.0686502,0.29,10.72,16.84,2.36,3.89,4.68,5.61,6.75,40.25,8.32,10.6,14.58,42.91,0.57,1.73,5.48,16.01,7200.54589579094,212.266793752006,1698.14317988074,2802.94468042189,3370.38016745008,4041.90209950652,4857.0632247892,5993.43590654841,7630.29162628366,10500.6914273407,30898.3385905269,4140166.94536364,1244166.13797796,394242.748650159,115266.315141742,0,849.072220644992,2504.76267247995,3007.55345866458,3580.57257370331,4303.65019360177,5228.98532491548,6524.86446675839,8478.80504263437,12423.0109963336,2781537.35462912,551902.619760835,178287.56967652,46454.7885343721
"21","Armenia",2003,0.526797579444484,3.7889581,137.25807,20.163702,2.4272676,12.970344,2.6464131,4.901103,0.31,11.23,17.53,2.5,4.09,4.85,5.77,6.9,39.92,8.37,10.54,14.11,42.55,0.64,1.95,6.07,17.02,8227.75811384521,257.417676166823,2059.33068735602,3365.22100364954,3990.55139066636,4750.43125591022,5674.94205628416,6886.70286140264,8671.19644166186,11612.272371854,35009.5153935004,5300930.24695174,1603796.26356139,499403.362486203,140056.464273436,0,1029.66755114418,3037.51886591734,3553.68689711535,4218.79077894755,5046.50671041771,6031.89879716115,7453.84380937278,9550.07450129048,13355.1419699396,3569262.60184058,704772.099432217,218595.309148239,52832.9624589474
"22","Armenia",2004,0.55557885030715,4.4382896,163.10715,23.305882,2.8296158,14.444767,2.8736019,5.026711,0.28,10.29,16.14,2.27,3.73,4.49,5.37,6.43,38.19,7.95,10.04,13.76,45.67,0.7,2.16,6.78,18.8,9208.31584966797,261.739894935174,2093.96583162335,3432.08830757784,4132.32748244189,4945.46089236775,5923.04927083441,7322.9234055355,9243.06641288096,12673.7633860647,42054.7736124182,6444424.70653732,1991406.4492544,624421.651400426,173160.405305634,0,1046.98165440243,3088.59647965657,3667.13426012986,4410.90088371404,5262.87434561606,6397.32653180404,7962.16082944743,10309.6528897255,15123.4062588888,4395902.22326075,889195.327645933,273947.031507323,64597.1457151333
"23","Armenia",2005,0.548789094315261,4.2654028,155.17241,22.192453,2.7305825,13.80054,2.7984207,4.9315462,0.29,10.55,16.48,2.36,3.84,4.55,5.44,6.54,38.52,8.01,10.15,13.81,45,0.69,2.1,6.56,18.33,10504.2277881512,309.675968956738,2477.42414997405,4028.84588314527,4783.3035807616,5712.28670760371,6870.49186052668,8411.35055270383,10666.2526517869,14509.4159409593,47273.2312157984,7207097.76576816,2204824.60816771,689593.801058041,192510.45840023,0,1238.71081357778,3654.197246942,4272.68196600147,5050.12695494278,6108.75961581067,7373.00198315492,9163.40968064614,11848.3602484401,17094.8785311173,4888137.20894036,978138.201527144,302702.116592202,72618.6236834899
"24","Armenia",2006,0.484885356993523,3.0484262,111.08823,16.948387,1.9549689,12.213416,2.5006561,4.8840852,0.34,12.39,19.32,2.76,4.51,5.36,6.36,7.6,42.91,9.18,11.36,14.77,37.77,0.47,1.39,4.41,13.15,12047.4585604083,415.498113102231,3323.99184256868,5427.73485722822,6452.58508647649,7659.98709195859,9159.56301316209,11054.4008897,13683.9617162603,17799.1819665597,45497.6829191801,5629514.86028273,1672797.13526447,531387.734069157,158439.72539127,0,1661.99371381817,4902.88265410237,5764.42390510638,6808.55035968912,8117.31858116869,9736.33608210557,11852.7215708949,14930.3173005504,20298.6214920376,3746394.32961439,735863.768540953,241887.987650755,65659.12615613
"25","Armenia",2007,0.496552854209103,3.2606113,120.03125,18.564014,2.0695043,13.577842,2.6572866,5.109664,0.32,11.78,18.56,2.57,4.25,5.2,6.21,7.38,43.04,9.03,11.39,15.24,38.41,0.46,1.32,4.17,12.83,13776.9408222065,443.095224502783,3544.78450138862,5856.78744334236,7165.39546584817,8559.05148368991,10172.765389468,12438.4872263259,15686.3530211287,20991.7910988038,52910.8954754528,6284407.233802,1816719.02291598,574446.801355108,176781.515788153,0,1772.39225069431,5228.55707647776,6275.76389242992,7624.71115179623,9056.32865007694,10890.9348660051,13439.8802893065,17378.892390451,24065.2620202373,4149695.32173386,788622.563289983,265733.895018708,76719.9886146731
"26","Armenia",2008,0.481139278828657,2.9878738,108.70588,16.809677,1.9120538,12.461524,2.5456526,4.8952174,0.34,12.37,19.33,2.76,4.48,5.36,6.38,7.65,43.71,9.36,11.55,15.15,36.96,0.48,1.4,4.33,12.59,14916.7098483503,514.240597875954,4113.96073317103,6679.34042678425,8001.91981805652,9522.67227761784,11418.2178047407,13957.1552071146,17226.82193785,22601.809706207,55130.958712676,7103702.50488854,2081368.30276625,646360.025438524,187845.499603866,0,2056.97878982396,6068.08673620561,7070.89005471896,8425.82900798565,10069.3588440213,12192.1541838748,14988.5016939601,18720.1917255819,25633.0909034217,4704509.5263075,898148.709534232,286769.988071507,75885.06183727
"27","Armenia",2009,0.474680356055828,2.8660362,103.91428,16.229559,1.8424519,11.96841,2.4977667,4.7916451,0.35,12.69,19.74,2.83,4.62,5.47,6.46,7.69,43.9,9.34,11.63,15.24,36.37,0.47,1.35,4.14,12.19,12493.8832746058,442.586245873561,3540.6603238713,5776.80337540919,6830.80540294901,8065.9312914605,9602.43496822901,11675.2299378361,14528.3295111366,19036.4282840073,45439.6246666946,5883920.30063978,1684605.78319645,517640.809110573,152341.45060908,0,1770.33363081106,5222.48402168125,6088.18224684288,7172.5993740303,8482.81001697831,10226.7940701293,12521.7169002393,15827.8087149567,21188.0802523897,3863642.41958835,714832.191333241,229810.498720518,62986.105366244
"28","Armenia",2010,0.498014068033392,3.26,118.54546,17.950001,2.0830672,12.643315,2.5962498,4.8698378,0.33,12,18.78,2.67,4.35,5.21,6.21,7.35,42.11,8.91,11.11,14.73,39.12,0.66,1.92,5.62,14.76,12754.1441672045,425.844822411264,3406.7043386927,5549.33092394725,6650.79347422433,7915.5713097919,9374.22459236039,11370.1846022074,14165.5463209699,18791.9450982098,49891.2980813438,8460504.53059352,2448252.04173229,716728.336660458,188302.819740393,0,1703.35280005097,5024.89057093898,5878.35060363292,7066.57729651992,8295.05177409736,9956.29431871181,12230.7879954399,15497.9249699401,21536.0261163451,5618719.60835338,1018617.02593438,292977.054985903,67019.1586799166
"29","Armenia",2011,0.482049842063567,2.9855886,106.54285,16.70607,1.914271,12.231459,2.5095365,4.873991,0.35,12.49,19.48,2.78,4.53,5.42,6.41,7.59,43.23,9.19,11.44,15,37.29,0.5,1.49,4.64,13.26,13153.7314948304,456.842693128751,3654.74911348546,5954.45457673712,7129.79155928284,8427.1074462526,9988.20040408367,12088.2462282544,15053.5248175763,19730.056413033,49054.3379122423,6590336.55872054,1959794.32332304,609754.019421038,174393.301022605,0,1827.37455674273,5390.75601458891,6318.53575701398,7503.33078605761,8906.6075721895,10524.1712989748,13010.856715605,16380.4302118447,22351.4559217964,4393570.73533023,852675.108178894,268768.315863527,68366.8609283609
"30","Armenia",2012,0.481792930897356,2.9992044,107.71429,16.696486,1.9205298,11.975106,2.4601049,4.8677216,0.35,12.57,19.63,2.78,4.56,5.47,6.47,7.66,42.67,9.19,11.26,14.56,37.7,0.47,1.43,4.61,13.58,13982.2755414681,486.552034305344,3892.44276403683,6376.02574463586,7651.45744266293,9045.04975933794,10711.4420071836,12843.0508134123,15741.6374346906,20359.6251351036,52715.4697564932,6573857.60992407,2005527.48233533,644413.001800227,189917.160566565,0,1946.22138201842,5741.35399147603,6808.7439860078,8060.3457713361,9473.6633750358,11341.6988279958,13719.9005269795,16978.1332136391,23306.2071166379,4411978.83359604,896545.105192825,292862.115375755,76159.0399246729
"31","Armenia",2013,0.48938826229422,3.126749,111.73529,17.417763,1.9931794,12.680347,2.552438,4.9679356,0.34,12.15,19.06,2.7,4.4,5.28,6.33,7.54,42.96,9.14,11.32,14.96,37.99,0.58,1.7,5.13,13.87,14634.5376465102,493.678996523696,3949.4508933282,6440.03784874447,7732.88014783681,9270.31979026302,11037.4147528448,13376.4686159972,16567.6056836557,21887.2882251982,55590.227726482,8419759.45927613,2490471.4399728,750308.921988069,202913.835258059,0,1974.72860018721,5825.44836142487,6819.13421393569,8205.86509503782,9810.32404120601,11763.0233903877,14391.9636036008,18104.8081811444,25040.2443272096,5634038.96949241,1064288.51717163,316734.663706903,74849.8863426698
"32","Armenia",2014,0.499119021007033,3.3214588,118.66666,18.341297,2.1087775,12.821553,2.5186634,5.0906181,0.33,11.79,18.57,2.6,4.26,5.16,6.22,7.5,42.26,9.03,11.15,14.58,39.16,0.46,1.4,4.61,14.24,14777.3972888248,480.926779789814,3847.4558648235,6294.69259951817,7626.64930709685,9196.13189779769,11076.7139577851,13349.4990556946,16477.7454120608,21550.2989619204,57873.8603131698,6831153.62127737,2072835.75664426,680536.856840254,210420.566803434,0,1923.72540959327,5674.99062053999,6736.34414114327,8151.00451498127,9792.951282418,11771.9093877943,14310.5005333312,17914.7201153931,24665.1472600208,4578706.4579403,937461.184499774,321081.934062804,89100.6004928537
"33","Armenia",2015,0.511253043202704,3.5610185,130.83871,19.567858,2.249584,13.048218,2.5141397,5.1899333,0.31,11.39,18.03,2.49,4.11,5.04,6.08,7.32,41.41,8.9,10.96,14.23,40.56,0.51,1.55,5,15.04,14898.5789826077,463.238037986635,3705.88601345907,6115.86891829963,7512.43879149082,9058.05425792026,10904.2212895531,13259.5378713604,16333.0706018468,21202.1127995044,60431.3587218378,7652142.40491046,2308056.81802729,744302.942628016,224045.647828383,0,1852.94647560495,5466.192702204,6576.55575609394,8067.96089893118,9616.66871011784,11693.6376829074,14284.0582420918,17794.126238317,24177.6485380792,5133750.33990877,1033519.71837253,344116.629147108,93960.3309674855
"34","Armenia",2016,0.515597946715879,3.6982358,137.34483,20.813688,2.2943549,14.12483,2.5327492,5.5768766,0.29,10.77,17.36,2.34,3.86,4.82,6.05,7.39,42.81,9.13,11.37,14.91,39.83,1.04,2.75,7.16,16.53,14548.5990962493,425.838515365053,3406.71506067126,5610.0223682258,7013.07651562645,8803.48421311767,10758.2976841892,13284.4071852747,16546.5483484713,21690.5878521994,57947.0125886473,15097325.2970655,4000669.88896882,1042116.27722933,240428.113954745,0,1703.35847639256,5024.90823066837,6053.62846347167,7726.36812262403,9499.420090352,11595.9043255274,14390.4612651933,18221.6891001161,24059.6487491096,9865327.08482236,1500579.49839658,373592.382560233,73030.032307829
"35","Armenia",2017,0.538975675509633,4.0540543,145,21.503731,2.5846703,13.344285,2.667273,5.0029697,0.3,10.73,16.83,2.38,3.89,4.67,5.59,6.74,39.68,8.27,10.53,14.13,43.5,1.02,2.82,7.73,18.72,15892.2213164997,473.426440435774,3787.40017080301,6180.40072301602,7415.86151568131,8883.99491940945,10710.5495601448,13147.4358013027,16741.9002749902,22456.6656517548,69124.5793688682,16175140.3993828,4480651.22297977,1227719.81679294,297554.657408018,0,1893.70071610613,5586.41698637215,6570.25312481536,7918.58670858534,9474.1269429323,11502.5795934489,14335.9463112692,18581.2834477185,25270.0825517053,10691726.5339228,1767352.01255712,465813.104041819,95013.3049464929
