,dataset,variable,eq,percentile,thr,share
134,at97,dhci,0,50,        15659.81,   8.4538
135,at97,dhci,0,60,        17875.08,   9.1081
136,at97,dhci,0,70,        20380.73,  10.6456
137,at97,dhci,0,80,        23933.04,  12.2674
138,at97,dhci,0,90,        30497.95,  14.9532
139,at97,dhci,0,100,               .,  22.6440
140,at97,mi,0,10,          149.28,   0.0151
141,at97,mi,0,20,         4055.38,   0.7834
142,at97,mi,0,30,         8451.27,   3.6068
143,at97,mi,0,40,        11790.86,   5.6932
144,at97,mi,0,50,        14625.65,   7.3788
145,at97,mi,0,60,        17999.92,   9.0381
146,at97,mi,0,70,        22175.11,  11.0939
147,at97,mi,0,80,        27484.04,  13.8007
148,at97,mi,0,90,        37384.45,  17.8210
149,at97,mi,0,100,               .,  30.7690
150,at97,hcexp,0,10,.,.
151,at97,hcexp,0,20,.,.
152,at97,hcexp,0,30,.,.
153,at97,hcexp,0,40,.,.
154,at97,hcexp,0,50,.,.
155,at97,hcexp,0,60,.,.
156,at97,hcexp,0,70,.,.
157,at97,hcexp,0,80,.,.
158,at97,hcexp,0,90,.,.
159,at97,hcexp,0,100,.,.
160,at98,dhi,0,10,         8285.31,   3.2105
161,at98,dhi,0,20,        10434.41,   5.0050
162,at98,dhi,0,30,        12118.34,   5.9775
163,at98,dhi,0,40,        14006.40,   6.9321
164,at98,dhi,0,50,        15844.78,   7.9458
165,at98,dhi,0,60,        18044.08,   8.9197
166,at98,dhi,0,70,        20811.38,  10.3275
167,at98,dhi,0,80,        24705.01,  12.0336
168,at98,dhi,0,90,        31703.61,  14.6502
169,at98,dhi,0,100,               .,  24.9982
170,at98,dhci,0,10,         8285.31,   3.2105
171,at98,dhci,0,20,        10434.41,   5.0050
172,at98,dhci,0,30,        12118.34,   5.9775
173,at98,dhci,0,40,        14006.40,   6.9321
174,at98,dhci,0,50,        15844.78,   7.9458
175,at98,dhci,0,60,        18044.08,   8.9197
176,at98,dhci,0,70,        20811.38,  10.3275
177,at98,dhci,0,80,        24705.01,  12.0336
178,at98,dhci,0,90,        31703.61,  14.6502
179,at98,dhci,0,100,               .,  24.9982
180,at98,mi,0,10,          147.92,   0.0149
181,at98,mi,0,20,         3891.20,   0.7181
182,at98,mi,0,30,         8427.88,   3.5300
183,at98,mi,0,40,        11782.00,   5.4272
184,at98,mi,0,50,        14728.26,   7.0607
185,at98,mi,0,60,        18339.60,   8.8223
186,at98,mi,0,70,        22468.44,  10.8151
187,at98,mi,0,80,        28557.20,  13.5321
188,at98,mi,0,90,        38759.30,  18.0284
189,at98,mi,0,100,               .,  32.0512
190,at98,hcexp,0,10,.,.
191,at98,hcexp,0,20,.,.
192,at98,hcexp,0,30,.,.
193,at98,hcexp,0,40,.,.
194,at98,hcexp,0,50,.,.
195,at98,hcexp,0,60,.,.
196,at98,hcexp,0,70,.,.
197,at98,hcexp,0,80,.,.
198,at98,hcexp,0,90,.,.
199,at98,hcexp,0,100,.,.
200,at99,dhi,0,10,         8822.75,   3.5553
201,at99,dhi,0,20,        10965.50,   5.1221
202,at99,dhi,0,30,        12671.61,   6.0973
203,at99,dhi,0,40,        14576.25,   6.9703
204,at99,dhi,0,50,        16669.24,   8.0607
205,at99,dhi,0,60,        19127.63,   9.2626
206,at99,dhi,0,70,        21698.33,  10.5457
207,at99,dhi,0,80,        25199.97,  12.0846
208,at99,dhi,0,90,        32357.94,  14.5547
209,at99,dhi,0,100,               .,  23.7468
210,at99,dhci,0,10,         8822.75,   3.5553
211,at99,dhci,0,20,        10965.50,   5.1221
212,at99,dhci,0,30,        12671.61,   6.0973
213,at99,dhci,0,40,        14576.25,   6.9703
214,at99,dhci,0,50,        16669.24,   8.0607
215,at99,dhci,0,60,        19127.63,   9.2626
216,at99,dhci,0,70,        21698.33,  10.5457
217,at99,dhci,0,80,        25199.97,  12.0846
218,at99,dhci,0,90,        32357.94,  14.5547
219,at99,dhci,0,100,               .,  23.7468
220,at99,mi,0,10,          140.95,   0.0127
221,at99,mi,0,20,         4178.64,   0.7497
222,at99,mi,0,30,         9178.91,   3.6881
223,at99,mi,0,40,        12203.62,   5.7199
224,at99,mi,0,50,        15370.46,   7.2440
225,at99,mi,0,60,        18655.94,   8.9503
226,at99,mi,0,70,        23006.00,  10.8940
227,at99,mi,0,80,        29253.06,  13.6491
228,at99,mi,0,90,        40651.82,  18.0026
229,at99,mi,0,100,               .,  31.0896
230,at99,hcexp,0,10,.,.
231,at99,hcexp,0,20,.,.
232,at99,hcexp,0,30,.,.
233,at99,hcexp,0,40,.,.
234,at99,hcexp,0,50,.,.
235,at99,hcexp,0,60,.,.
236,at99,hcexp,0,70,.,.
237,at99,hcexp,0,80,.,.
238,at99,hcexp,0,90,.,.
239,at99,hcexp,0,100,.,.
240,at00,dhi,0,10,         8682.26,   3.4283
241,at00,dhi,0,20,        10934.11,   5.2559
242,at00,dhi,0,30,        12581.48,   6.2648
243,at00,dhi,0,40,        14395.24,   7.1082
244,at00,dhi,0,50,        16265.08,   8.1907
245,at00,dhi,0,60,        18715.75,   9.2986
246,at00,dhi,0,70,        21397.24,  10.5942
247,at00,dhi,0,80,        24962.05,  12.3389
248,at00,dhi,0,90,        31428.79,  14.5837
249,at00,dhi,0,100,               .,  22.9367
250,at00,dhci,0,10,         8682.26,   3.4283
251,at00,dhci,0,20,        10934.11,   5.2559
252,at00,dhci,0,30,        12581.48,   6.2648
253,at00,dhci,0,40,        14395.24,   7.1082
254,at00,dhci,0,50,        16265.08,   8.1907
255,at00,dhci,0,60,        18715.75,   9.2986
256,at00,dhci,0,70,        21397.24,  10.5942
257,at00,dhci,0,80,        24962.05,  12.3389
258,at00,dhci,0,90,        31428.79,  14.5837
259,at00,dhci,0,100,               .,  22.9367
260,at00,mi,0,10,          125.99,   0.0110
261,at00,mi,0,20,         4650.87,   0.6726
262,at00,mi,0,30,         9420.78,   3.8169
263,at00,mi,0,40,        12735.15,   5.8326
264,at00,mi,0,50,        15548.48,   7.2221
265,at00,mi,0,60,        19143.47,   9.0357
266,at00,mi,0,70,        23690.91,  11.0139
267,at00,mi,0,80,        30097.24,  13.7757
268,at00,mi,0,90,        40268.93,  18.2161
269,at00,mi,0,100,               .,  30.4035
270,at00,hcexp,0,10,.,.
271,at00,hcexp,0,20,.,.
272,at00,hcexp,0,30,.,.
273,at00,hcexp,0,40,.,.
274,at00,hcexp,0,50,.,.
275,at00,hcexp,0,60,.,.
276,at00,hcexp,0,70,.,.
277,at00,hcexp,0,80,.,.
278,at00,hcexp,0,90,.,.
279,at00,hcexp,0,100,.,.
280,at03,dhi,0,10,         9149.19,   3.3439
281,at03,dhi,0,20,        11544.09,   5.1376
282,at03,dhi,0,30,        13578.91,   6.1998
283,at03,dhi,0,40,        15570.16,   7.1840
284,at03,dhi,0,50,        17579.53,   8.1509
285,at03,dhi,0,60,        19919.58,   9.2177
286,at03,dhi,0,70,        22899.22,  10.4898
287,at03,dhi,0,80,        26609.78,  12.1077
288,at03,dhi,0,90,        33569.82,  14.6294
289,at03,dhi,0,100,               .,  23.5392
290,at03,dhci,0,10,         9142.41,   3.3389
291,at03,dhci,0,20,        11508.21,   5.1539
292,at03,dhci,0,30,        13506.96,   6.1764
293,at03,dhci,0,40,        15520.49,   7.2029
294,at03,dhci,0,50,        17491.03,   8.1648
295,at03,dhci,0,60,        19816.03,   9.1780
296,at03,dhci,0,70,        22675.74,  10.5151
297,at03,dhci,0,80,        26518.29,  12.1171
298,at03,dhci,0,90,        33445.01,  14.6085
299,at03,dhci,0,100,               .,  23.5444
300,at03,mi,0,10,            0.01,   0.0000
301,at03,mi,0,20,         4407.96,   0.6999
302,at03,mi,0,30,         9412.30,   3.5102
303,at03,mi,0,40,        12685.53,   5.5666
304,at03,mi,0,50,        16027.55,   7.2059
305,at03,mi,0,60,        19809.91,   9.0096
306,at03,mi,0,70,        24088.39,  10.9899
307,at03,mi,0,80,        30616.90,  13.5795
308,at03,mi,0,90,        41663.04,  17.7572
309,at03,mi,0,100,               .,  31.6812
310,at03,hcexp,0,10,.,.
311,at03,hcexp,0,20,.,.
312,at03,hcexp,0,30,.,.
313,at03,hcexp,0,40,.,.
314,at03,hcexp,0,50,.,.
315,at03,hcexp,0,60,.,.
316,at03,hcexp,0,70,.,.
317,at03,hcexp,0,80,.,.
318,at03,hcexp,0,90,.,.
319,at03,hcexp,0,100,.,.
320,at04,dhi,0,10,         9686.97,   3.4278
321,at04,dhi,0,20,        12079.76,   5.1139
322,at04,dhi,0,30,        14205.25,   6.1337
323,at04,dhi,0,40,        16206.77,   7.0663
324,at04,dhi,0,50,        18327.26,   8.0681
325,at04,dhi,0,60,        20810.18,   9.1073
326,at04,dhi,0,70,        23810.12,  10.3752
327,at04,dhi,0,80,        28126.42,  12.1219
328,at04,dhi,0,90,        35607.73,  14.7056
329,at04,dhi,0,100,               .,  23.8801
330,at04,dhci,0,10,         9636.25,   3.4222
331,at04,dhci,0,20,        11984.23,   5.0910
332,at04,dhci,0,30,        14062.97,   6.1336
333,at04,dhci,0,40,        16097.13,   7.0586
334,at04,dhci,0,50,        18273.19,   8.0792
335,at04,dhci,0,60,        20615.98,   9.0942
336,at04,dhci,0,70,        23691.98,  10.3612
337,at04,dhci,0,80,        28035.51,  12.0816
338,at04,dhci,0,90,        35290.55,  14.7458
339,at04,dhci,0,100,               .,  23.9327
340,at04,mi,0,10,          104.80,   0.0155
341,at04,mi,0,20,         3810.83,   0.6166
342,at04,mi,0,30,         9248.77,   3.4940
343,at04,mi,0,40,        12556.42,   5.3799
344,at04,mi,0,50,        15949.26,   6.9613
345,at04,mi,0,60,        20006.31,   8.8074
346,at04,mi,0,70,        24814.86,  10.9424
347,at04,mi,0,80,        32043.19,  13.8209
348,at04,mi,0,90,        43442.39,  18.2570
349,at04,mi,0,100,               .,  31.7050
350,at04,hcexp,0,10,.,.
351,at04,hcexp,0,20,.,.
352,at04,hcexp,0,30,.,.
353,at04,hcexp,0,40,.,.
354,at04,hcexp,0,50,.,.
355,at04,hcexp,0,60,.,.
356,at04,hcexp,0,70,.,.
357,at04,hcexp,0,80,.,.
358,at04,hcexp,0,90,.,.
359,at04,hcexp,0,100,.,.
360,at05,dhi,0,10,         9557.70,   3.5170
361,at05,dhi,0,20,        11751.22,   5.2656
362,at05,dhi,0,30,        13781.24,   6.2695
363,at05,dhi,0,40,        15570.09,   7.1601
364,at05,dhi,0,50,        17808.17,   8.1556
365,at05,dhi,0,60,        20020.63,   9.2594
366,at05,dhi,0,70,        23146.33,  10.6196
367,at05,dhi,0,80,        27044.61,  12.1749
368,at05,dhi,0,90,        33763.11,  14.7104
369,at05,dhi,0,100,               .,  22.8680
370,at05,dhci,0,10,         9486.85,   3.5188
371,at05,dhci,0,20,        11705.45,   5.2602
372,at05,dhci,0,30,        13704.07,   6.2699
373,at05,dhci,0,40,        15495.00,   7.1465
374,at05,dhci,0,50,        17732.67,   8.1726
375,at05,dhci,0,60,        19971.99,   9.2830
376,at05,dhci,0,70,        23054.55,  10.5172
377,at05,dhci,0,80,        26957.96,  12.2420
378,at05,dhci,0,90,        33611.07,  14.7105
379,at05,dhci,0,100,               .,  22.8793
380,at05,mi,0,10,           46.56,   0.0050
381,at05,mi,0,20,         2275.17,   0.3242
382,at05,mi,0,30,         8434.77,   3.0175
383,at05,mi,0,40,        11797.18,   5.3689
384,at05,mi,0,50,        15214.58,   7.1043
385,at05,mi,0,60,        18907.71,   9.0262
386,at05,mi,0,70,        23408.34,  11.1837
387,at05,mi,0,80,        29623.51,  13.8342
388,at05,mi,0,90,        40563.52,  18.2924
389,at05,mi,0,100,               .,  31.8437
390,at05,hcexp,0,10,.,.
391,at05,hcexp,0,20,.,.
392,at05,hcexp,0,30,.,.
393,at05,hcexp,0,40,.,.
394,at05,hcexp,0,50,.,.
395,at05,hcexp,0,60,.,.
396,at05,hcexp,0,70,.,.
397,at05,hcexp,0,80,.,.
398,at05,hcexp,0,90,.,.
399,at05,hcexp,0,100,.,.
400,at06,dhi,0,10,         9596.39,   3.4206
401,at06,dhi,0,20,        11868.22,   5.1676
402,at06,dhi,0,30,        13895.78,   6.2105
403,at06,dhi,0,40,        15813.88,   7.0923
404,at06,dhi,0,50,        17842.69,   8.0381
405,at06,dhi,0,60,        20340.83,   9.1373
406,at06,dhi,0,70,        23457.25,  10.4455
407,at06,dhi,0,80,        27428.29,  12.1112
408,at06,dhi,0,90,        34592.56,  14.5968
409,at06,dhi,0,100,               .,  23.7801
410,at06,dhci,0,10,         9552.72,   3.4244
411,at06,dhci,0,20,        11789.36,   5.1767
412,at06,dhci,0,30,        13825.86,   6.2014
413,at06,dhci,0,40,        15645.09,   7.0731
414,at06,dhci,0,50,        17802.32,   8.0368
415,at06,dhci,0,60,        20270.80,   9.1563
416,at06,dhci,0,70,        23363.92,  10.4186
417,at06,dhci,0,80,        27271.16,  12.1230
418,at06,dhci,0,90,        34295.87,  14.5994
419,at06,dhci,0,100,               .,  23.7904
420,at06,mi,0,10,           64.26,   0.0046
421,at06,mi,0,20,         2306.17,   0.3355
422,at06,mi,0,30,         7997.95,   2.8093
423,at06,mi,0,40,        11733.75,   5.0736
424,at06,mi,0,50,        15380.84,   6.9209
425,at06,mi,0,60,        19265.84,   8.8002
426,at06,mi,0,70,        23845.73,  10.9633
427,at06,mi,0,80,        30661.02,  13.7877
428,at06,mi,0,90,        42623.49,  18.3666
429,at06,mi,0,100,               .,  32.9382
430,at06,hcexp,0,10,.,.
431,at06,hcexp,0,20,.,.
432,at06,hcexp,0,30,.,.
433,at06,hcexp,0,40,.,.
434,at06,hcexp,0,50,.,.
435,at06,hcexp,0,60,.,.
436,at06,hcexp,0,70,.,.
437,at06,hcexp,0,80,.,.
438,at06,hcexp,0,90,.,.
439,at06,hcexp,0,100,.,.
440,at07,dhi,0,10,         9384.05,   3.0946
441,at07,dhi,0,20,        11997.44,   4.9384
442,at07,dhi,0,30,        14325.61,   6.0318
443,at07,dhi,0,40,        16641.80,   7.0744
444,at07,dhi,0,50,        18843.16,   8.0994
445,at07,dhi,0,60,        21731.29,   9.2434
446,at07,dhi,0,70,        24839.05,  10.5801
447,at07,dhi,0,80,        28772.19,  12.1793
448,at07,dhi,0,90,        37133.06,  14.8876
449,at07,dhi,0,100,               .,  23.8709
450,at07,dhci,0,10,         9330.75,   3.1019
451,at07,dhci,0,20,        11928.92,   4.9033
452,at07,dhci,0,30,        14205.89,   6.0291
453,at07,dhci,0,40,        16526.99,   7.0924
454,at07,dhci,0,50,        18735.48,   8.0647
455,at07,dhci,0,60,        21583.90,   9.2450
456,at07,dhci,0,70,        24609.55,  10.5789
457,at07,dhci,0,80,        28614.33,  12.1932
458,at07,dhci,0,90,        36868.62,  14.8532
459,at07,dhci,0,100,               .,  23.9383
460,at07,mi,0,10,          143.95,   0.0180
461,at07,mi,0,20,         2939.18,   0.4141
462,at07,mi,0,30,         8479.91,   2.6911
463,at07,mi,0,40,        12504.26,   4.8966
464,at07,mi,0,50,        16428.25,   6.7068
465,at07,mi,0,60,        20930.66,   8.6086
466,at07,mi,0,70,        26483.93,  10.8699
467,at07,mi,0,80,        33459.93,  13.8006
468,at07,mi,0,90,        46911.22,  18.1821
469,at07,mi,0,100,               .,  33.8121
470,at07,hcexp,0,10,.,.
471,at07,hcexp,0,20,.,.
472,at07,hcexp,0,30,.,.
473,at07,hcexp,0,40,.,.
474,at07,hcexp,0,50,.,.
475,at07,hcexp,0,60,.,.
476,at07,hcexp,0,70,.,.
477,at07,hcexp,0,80,.,.
478,at07,hcexp,0,90,.,.
479,at07,hcexp,0,100,.,.
480,at08,dhi,0,10,         9677.92,   3.0388
481,at08,dhi,0,20,        12488.05,   5.0106
482,at08,dhi,0,30,        14821.51,   6.1655
483,at08,dhi,0,40,        16972.34,   7.1258
484,at08,dhi,0,50,        19426.31,   8.1895
485,at08,dhi,0,60,        22064.91,   9.3270
486,at08,dhi,0,70,        24979.72,  10.4887
487,at08,dhi,0,80,        28935.02,  12.0471
488,at08,dhi,0,90,        36661.50,  14.4930
489,at08,dhi,0,100,               .,  24.1139
490,at08,dhci,0,10,         9574.50,   3.0321
491,at08,dhci,0,20,        12406.99,   5.0042
492,at08,dhci,0,30,        14708.87,   6.1428
493,at08,dhci,0,40,        16807.97,   7.1191
494,at08,dhci,0,50,        19312.68,   8.1861
495,at08,dhci,0,60,        21817.49,   9.2952
496,at08,dhci,0,70,        24791.77,  10.5177
497,at08,dhci,0,80,        28756.63,  12.0407
498,at08,dhci,0,90,        36523.41,  14.5058
499,at08,dhci,0,100,               .,  24.1563
500,at08,mi,0,10,          139.29,   0.0171
501,at08,mi,0,20,         2315.74,   0.3621
502,at08,mi,0,30,         8388.12,   2.5747
503,at08,mi,0,40,        12908.98,   4.8446
504,at08,mi,0,50,        16915.14,   6.7695
505,at08,mi,0,60,        20944.66,   8.5898
506,at08,mi,0,70,        26479.59,  10.7169
507,at08,mi,0,80,        33555.39,  13.5799
508,at08,mi,0,90,        46912.60,  17.9604
509,at08,mi,0,100,               .,  34.5851
510,at08,hcexp,0,10,.,.
511,at08,hcexp,0,20,.,.
512,at08,hcexp,0,30,.,.
513,at08,hcexp,0,40,.,.
514,at08,hcexp,0,50,.,.
515,at08,hcexp,0,60,.,.
516,at08,hcexp,0,70,.,.
517,at08,hcexp,0,80,.,.
518,at08,hcexp,0,90,.,.
519,at08,hcexp,0,100,.,.
520,at09,dhi,0,10,         9566.38,   2.8963
521,at09,dhi,0,20,        12648.36,   4.8574
522,at09,dhi,0,30,        15107.16,   5.9909
523,at09,dhi,0,40,        17374.11,   7.0338
524,at09,dhi,0,50,        20100.23,   8.0835
525,at09,dhi,0,60,        22683.53,   9.2366
526,at09,dhi,0,70,        25960.76,  10.4969
527,at09,dhi,0,80,        30215.59,  12.0364
528,at09,dhi,0,90,        38415.89,  14.6636
529,at09,dhi,0,100,               .,  24.7046
530,at09,dhci,0,10,         9552.95,   2.8971
531,at09,dhci,0,20,        12526.82,   4.8441
532,at09,dhci,0,30,        14909.56,   5.9935
533,at09,dhci,0,40,        17284.20,   7.0440
534,at09,dhci,0,50,        19900.53,   8.0977
535,at09,dhci,0,60,        22574.97,   9.2643
536,at09,dhci,0,70,        25709.70,  10.5131
537,at09,dhci,0,80,        29860.28,  12.0181
538,at09,dhci,0,90,        38088.23,  14.6512
539,at09,dhci,0,100,               .,  24.6769
540,at09,mi,0,10,           96.78,   0.0128
541,at09,mi,0,20,         2136.91,   0.2793
542,at09,mi,0,30,         7901.79,   2.2484
543,at09,mi,0,40,        12257.14,   4.5419
544,at09,mi,0,50,        16476.05,   6.4691
545,at09,mi,0,60,        21115.74,   8.4360
546,at09,mi,0,70,        27282.35,  10.7966
547,at09,mi,0,80,        34328.39,  13.7277
548,at09,mi,0,90,        48496.77,  18.1547
549,at09,mi,0,100,               .,  35.3334
550,at09,hcexp,0,10,.,.
551,at09,hcexp,0,20,.,.
552,at09,hcexp,0,30,.,.
553,at09,hcexp,0,40,.,.
554,at09,hcexp,0,50,.,.
555,at09,hcexp,0,60,.,.
556,at09,hcexp,0,70,.,.
557,at09,hcexp,0,80,.,.
558,at09,hcexp,0,90,.,.
559,at09,hcexp,0,100,.,.
560,at10,dhi,0,10,         9807.60,   3.1045
561,at10,dhi,0,20,        12758.51,   4.9417
562,at10,dhi,0,30,        15142.92,   6.0622
563,at10,dhi,0,40,        17498.18,   7.1332
564,at10,dhi,0,50,        20000.96,   8.1272
565,at10,dhi,0,60,        22690.96,   9.2922
566,at10,dhi,0,70,        26085.52,  10.5923
567,at10,dhi,0,80,        30586.37,  12.2587
568,at10,dhi,0,90,        38475.57,  14.8208
569,at10,dhi,0,100,               .,  23.6672
570,at10,dhci,0,10,         9794.70,   3.0983
571,at10,dhci,0,20,        12630.56,   4.9413
572,at10,dhci,0,30,        15093.16,   6.0610
573,at10,dhci,0,40,        17380.55,   7.1202
574,at10,dhci,0,50,        19782.50,   8.1421
575,at10,dhci,0,60,        22535.94,   9.2759
576,at10,dhci,0,70,        25949.69,  10.5973
577,at10,dhci,0,80,        30341.38,  12.2605
578,at10,dhci,0,90,        38189.15,  14.8435
579,at10,dhci,0,100,               .,  23.6598
580,at10,mi,0,10,           97.76,   0.0114
581,at10,mi,0,20,         2039.07,   0.2676
582,at10,mi,0,30,         7488.70,   2.2531
583,at10,mi,0,40,        12114.47,   4.5513
584,at10,mi,0,50,        16329.87,   6.5759
585,at10,mi,0,60,        20966.60,   8.5533
586,at10,mi,0,70,        26929.96,  11.1104
587,at10,mi,0,80,        35173.73,  14.1437
588,at10,mi,0,90,        47900.85,  18.9193
589,at10,mi,0,100,               .,  33.6140
590,at10,hcexp,0,10,.,.
591,at10,hcexp,0,20,.,.
592,at10,hcexp,0,30,.,.
593,at10,hcexp,0,40,.,.
594,at10,hcexp,0,50,.,.
595,at10,hcexp,0,60,.,.
596,at10,hcexp,0,70,.,.
597,at10,hcexp,0,80,.,.
598,at10,hcexp,0,90,.,.
599,at10,hcexp,0,100,.,.
600,at11,dhi,0,10,         9803.29,   2.9495
601,at11,dhi,0,20,        12403.71,   4.9031
602,at11,dhi,0,30,        14789.57,   6.0042
603,at11,dhi,0,40,        17136.72,   7.0097
604,at11,dhi,0,50,        19612.49,   8.0857
605,at11,dhi,0,60,        22623.30,   9.2625
606,at11,dhi,0,70,        25973.24,  10.6057
607,at11,dhi,0,80,        30737.17,  12.3469
608,at11,dhi,0,90,        38427.49,  14.9591
609,at11,dhi,0,100,               .,  23.8736
610,at11,dhci,0,10,         9747.59,   2.9470
611,at11,dhci,0,20,        12348.11,   4.8986
