,dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
24,at00,dhi,1,8097985, 30732.92, 28213.49,    0.254,     3.54,     7.40,    13.72,     1.30,     2.13,     3.50,   0.0066,   0.0103,   0.0156,  7142.30, 10050.20, 12607.19,  4143.10,  4056.55,  4320.90
25,at00,dhci,1,8097985, 30732.92, 28213.49,    0.254,     3.54,     7.40,    13.72,     1.30,     2.13,     3.50,   0.0066,   0.0103,   0.0156,  7142.30, 10050.20, 12607.19,  4143.10,  4056.55,  4320.90
26,at00,mi,1,8097985, 32530.80, 28857.55,    0.436,    22.14,    24.30,    27.81,    18.46,    19.40,    20.50,   0.1702,   0.1771,   0.1840,  1876.67,  2842.47,  4449.60,  9408.73, 11264.28, 12478.49
27,at00,hcexp,1,8097985,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
28,at03,dhi,1,8042480, 32907.30, 29942.54,    0.265,     4.35,     8.15,    14.00,     1.41,     2.36,     3.78,   0.0078,   0.0118,   0.0175,  8082.16, 10627.07, 13111.59,  3894.86,  4344.20,  4853.94
29,at03,dhci,1,8042480, 32719.18, 29845.89,    0.265,     4.43,     8.23,    14.14,     1.43,     2.39,     3.82,   0.0079,   0.0118,   0.0176,  8121.16, 10631.67, 13117.02,  3855.86,  4339.60,  4848.51
30,at03,mi,1,8042480, 33474.84, 29318.14,    0.451,    23.58,    26.84,    30.58,    18.78,    20.08,    21.52,   0.1720,   0.1801,   0.1886,  2437.78,  3769.70,  5320.43,  9539.24, 11201.57, 12645.10
31,at03,hcexp,1,8042480,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
32,at04,dhi,1,8139646, 34519.05, 30868.00,    0.268,     3.41,     7.25,    13.34,     1.12,     1.87,     3.23,   0.0057,   0.0090,   0.0139,  8284.14, 11447.15, 14037.27,  4063.06,  3986.85,  4483.53
33,at04,dhci,1,8139646, 34321.28, 30691.67,    0.268,     3.50,     7.39,    13.57,     1.14,     1.91,     3.29,   0.0058,   0.0091,   0.0142,  8334.02, 11448.94, 14024.56,  4013.18,  3985.06,  4496.24
34,at04,mi,1,8139646, 34035.11, 29866.62,    0.456,    24.03,    27.13,    31.28,    19.31,    20.54,    21.98,   0.1760,   0.1844,   0.1930,  2424.65,  3750.88,  5507.86,  9922.55, 11683.12, 13012.94
35,at04,hcexp,1,8139646,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
36,at05,dhi,1,8182229, 32982.96, 29877.08,    0.260,     3.35,     7.62,    13.92,     1.17,     1.95,     3.39,   0.0062,   0.0094,   0.0146,  7767.53, 11112.12, 13558.74,  4183.30,  3826.42,  4367.51
37,at05,dhci,1,8182229, 32825.62, 29709.08,    0.260,     3.36,     7.77,    14.10,     1.18,     1.97,     3.43,   0.0062,   0.0095,   0.0148,  7744.80, 11142.97, 13563.09,  4206.03,  3795.57,  4363.16
38,at05,mi,1,8182229, 31703.54, 28240.06,    0.462,    25.88,    29.13,    33.10,    21.27,    22.51,    23.93,   0.1955,   0.2039,   0.2126,  2128.22,  3396.21,  4962.61,  9822.61, 11542.33, 12963.64
39,at05,hcexp,1,8182229,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
40,at06,dhi,1,8210303, 33608.16, 30047.12,    0.268,     3.46,     7.94,    13.46,     1.11,     1.94,     3.39,   0.0056,   0.0090,   0.0143,  8175.63, 11347.56, 13492.31,  3843.22,  3676.00,  4535.96
41,at06,dhci,1,8210303, 33441.49, 29906.42,    0.268,     3.60,     8.09,    13.71,     1.12,     1.98,     3.44,   0.0057,   0.0091,   0.0145,  8282.28, 11352.04, 13507.62,  3736.57,  3671.52,  4520.65
42,at06,mi,1,8210303, 32756.20, 28358.92,    0.477,    27.01,    29.98,    34.49,    21.47,    22.86,    24.41,   0.1952,   0.2048,   0.2144,  2466.18,  3568.35,  5270.61,  9552.67, 11455.21, 12757.66
43,at06,hcexp,1,8210303,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
44,at07,dhi,1,8241523, 35329.02, 31510.04,    0.284,     4.73,     9.73,    15.91,     1.58,     2.67,     4.36,   0.0091,   0.0133,   0.0200,  8409.12, 11434.47, 13717.82,  4194.90,  4320.55,  5188.20
45,at07,dhci,1,8241523, 35096.30, 31357.54,    0.284,     4.80,     9.89,    16.33,     1.61,     2.73,     4.46,   0.0093,   0.0137,   0.0204,  8364.10, 11403.08, 13748.11,  4239.92,  4351.94,  5157.91
46,at07,mi,1,8241523, 36152.35, 30297.21,    0.486,    26.92,    30.03,    33.94,    21.17,    22.61,    24.19,   0.1900,   0.2005,   0.2108,  2690.98,  3893.35,  5435.66,  9913.04, 11861.67, 13470.36
47,at07,hcexp,1,8241523,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
48,at08,dhi,1,8260971, 35798.01, 32193.61,    0.280,     4.54,     9.09,    15.47,     1.79,     2.76,     4.31,   0.0107,   0.0149,   0.0211,  7805.63, 11216.90, 13932.83,  5071.81,  4879.90,  5383.34
49,at08,dhci,1,8260971, 35525.38, 31962.46,    0.281,     4.67,     9.27,    15.97,     1.84,     2.83,     4.42,   0.0111,   0.0154,   0.0217,  7794.71, 11180.00, 13970.29,  5082.73,  4916.80,  5345.88
50,at08,mi,1,8260971, 36512.52, 31224.82,    0.490,    27.49,    30.69,    34.54,    21.69,    23.13,    24.69,   0.1950,   0.2055,   0.2158,  2717.32,  3964.80,  5510.40, 10160.12, 12132.00, 13805.77
51,at08,hcexp,1,8260971,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
52,at09,dhi,1,8283237, 36989.92, 32937.19,    0.289,     5.68,     9.79,    15.73,     2.02,     3.15,     4.75,   0.0117,   0.0168,   0.0237,  8494.10, 11163.07, 13793.73,  4680.78,  5305.52,  5968.58
53,at09,dhci,1,8283237, 36666.07, 32758.57,    0.289,     5.78,     9.97,    16.09,     2.07,     3.22,     4.84,   0.0122,   0.0173,   0.0243,  8449.48, 11147.63, 13816.80,  4725.40,  5320.96,  5945.51
54,at09,mi,1,8283237, 36977.03, 30246.47,    0.506,    28.74,    32.73,    36.19,    22.74,    24.31,    26.00,   0.2044,   0.2156,   0.2266,  2748.70,  4238.92,  5566.22, 10426.18, 12229.67, 14196.09
55,at09,hcexp,1,8283237,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
56,at10,dhi,1,8315881, 36759.87, 32718.44,    0.280,     4.45,     9.03,    15.23,     1.59,     2.57,     4.13,   0.0093,   0.0133,   0.0194,  8411.19, 11695.50, 14303.34,  4676.19,  4663.72,  5327.72
57,at10,dhci,1,8315881, 36529.92, 32532.12,    0.280,     4.50,     9.16,    15.40,     1.64,     2.64,     4.22,   0.0098,   0.0138,   0.0200,  8328.61, 11653.81, 14254.29,  4758.77,  4705.41,  5376.77
58,at10,mi,1,8315881, 35839.43, 29948.80,    0.498,    29.27,    32.61,    36.35,    22.85,    24.46,    26.12,   0.2057,   0.2169,   0.2279,  2871.73,  4090.16,  5524.51, 10215.65, 12269.06, 14106.55
59,at10,hcexp,1,8315881,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
60,at11,dhi,1,8344294, 36295.65, 32325.13,    0.282,     5.02,     8.93,    15.35,     1.93,     2.93,     4.44,   0.0118,   0.0162,   0.0224,  7954.39, 10863.09, 13780.31,  4975.66,  5299.48,  5614.77
61,at11,dhci,1,8344294, 36097.32, 32092.34,    0.282,     5.09,     9.01,    15.61,     1.95,     2.96,     4.49,   0.0119,   0.0164,   0.0227,  7979.65, 10847.07, 13814.35,  4950.40,  5315.50,  5580.73
62,at11,mi,1,8344294, 36046.53, 30072.46,    0.496,    28.72,    31.90,    36.23,    22.57,    24.06,    25.74,   0.2026,   0.2137,   0.2245,  2769.50,  3968.81,  5617.68, 10160.55, 12193.76, 13777.40
63,at11,hcexp,1,8344294,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
64,at12,dhi,1,8336278, 35273.95, 32010.74,    0.277,     5.37,     9.61,    15.13,     2.08,     3.11,     4.63,   0.0125,   0.0173,   0.0238,  7843.90, 10827.53, 13329.02,  4960.40,  5177.84,  5877.43
65,at12,dhci,1,8336278, 35088.26, 31752.28,    0.277,     5.37,     9.65,    15.23,     2.09,     3.13,     4.67,   0.0126,   0.0174,   0.0239,  7821.02, 10807.39, 13317.12,  4983.28,  5197.98,  5889.33
66,at12,mi,1,8336278, 35096.60, 29715.67,    0.495,    29.34,    32.18,    35.42,    23.31,    24.77,    26.25,   0.2106,   0.2214,   0.2318,  2633.44,  3681.73,  4972.04, 10170.86, 12323.64, 14234.41
67,at12,hcexp,1,8336278,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
68,at13,dhi,1,8382355, 36649.82, 32329.12,    0.280,     4.50,     8.80,    14.14,     1.43,     2.46,     3.94,   0.0081,   0.0121,   0.0181,  8818.01, 11648.50, 13990.14,  4113.64,  4516.06,  5407.33
69,at13,dhci,1,8382355, 36649.82, 32329.12,    0.280,     4.50,     8.80,    14.14,     1.43,     2.46,     3.94,   0.0081,   0.0121,   0.0181,  8818.01, 11648.50, 13990.14,  4113.64,  4516.06,  5407.33
70,at13,mi,1,8382355, 36309.83, 30511.12,    0.497,    29.23,    31.80,    35.37,    23.09,    24.57,    26.06,   0.2077,   0.2188,   0.2294,  2717.30,  3674.20,  5107.97, 10214.35, 12490.36, 14289.50
71,at13,hcexp,1,8382355,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
72,at14,dhi,1,8469190, 35919.44, 32400.65,    0.275,     4.28,     9.00,    14.45,     1.48,     2.49,     4.04,   0.0080,   0.0121,   0.0184,  8468.15, 11725.29, 14005.49,  4492.11,  4475.03,  5434.90
73,at14,dhci,1,8469190, 35919.44, 32400.65,    0.275,     4.28,     9.00,    14.45,     1.48,     2.49,     4.04,   0.0080,   0.0121,   0.0184,  8468.15, 11725.29, 14005.49,  4492.11,  4475.03,  5434.90
74,at14,mi,1,8469190, 35424.01, 30197.51,    0.495,    28.44,    32.01,    36.09,    22.85,    24.32,    25.96,   0.2082,   0.2182,   0.2284,  2547.64,  3893.24,  5453.99, 10412.62, 12307.08, 13986.40
75,at14,hcexp,1,8469190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
76,at15,dhi,1,8590169, 35737.63, 32296.66,    0.276,     4.92,     8.64,    14.53,     1.91,     2.84,     4.28,   0.0118,   0.0161,   0.0220,  7896.07, 10836.24, 13673.48,  5022.59,  5312.09,  5704.52
77,at15,dhci,1,8590169, 35737.63, 32296.66,    0.276,     4.92,     8.64,    14.53,     1.91,     2.84,     4.28,   0.0118,   0.0161,   0.0220,  7896.07, 10836.24, 13673.48,  5022.59,  5312.09,  5704.52
78,at15,mi,1,8590169, 35932.65, 30280.17,    0.497,    28.34,    31.55,    35.80,    23.05,    24.40,    25.93,   0.2102,   0.2200,   0.2297,  2409.83,  3661.16,  5340.23, 10508.83, 12487.17, 14037.77
79,at15,hcexp,1,8590169,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
80,at16,dhi,1,8622278, 37607.52, 33703.86,    0.285,     5.93,     9.64,    14.99,     2.28,     3.36,     4.86,   0.0142,   0.0192,   0.0258,  8298.58, 10980.67, 13671.28,  5182.96,  5871.26,  6551.04
81,at16,dhci,1,8622278, 37607.52, 33703.86,    0.285,     5.93,     9.64,    14.99,     2.28,     3.36,     4.86,   0.0142,   0.0192,   0.0258,  8298.58, 10980.67, 13671.28,  5182.96,  5871.26,  6551.04
82,at16,mi,1,8622278, 37342.56, 31306.78,    0.503,    29.04,    32.56,    35.92,    23.67,    25.03,    26.56,   0.2160,   0.2259,   0.2358,  2493.68,  3897.58,  5270.20, 10987.86, 12954.35, 14952.12
83,at16,hcexp,1,8622278,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
84,at17,dhi,1,8631607, 37090.63, 33359.19,    0.277,     4.89,     9.30,    15.17,     1.59,     2.71,     4.31,   0.0085,   0.0131,   0.0197,  9015.54, 11822.47, 14336.23,  4328.13,  4857.12,  5679.28
85,at17,dhci,1,8631607, 37090.63, 33359.19,    0.277,     4.89,     9.30,    15.17,     1.59,     2.71,     4.31,   0.0085,   0.0131,   0.0197,  9015.54, 11822.47, 14336.23,  4328.13,  4857.12,  5679.28
86,at17,mi,1,8631607, 37029.48, 31806.45,    0.488,    28.09,    31.41,    35.22,    22.61,    24.08,    25.62,   0.2068,   0.2165,   0.2263,  2605.04,  3890.77,  5454.72, 10738.63, 12788.82, 14560.79
87,at17,hcexp,1,8631607,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
88,at18,dhi,1,8704953, 37302.30, 33224.44,    0.280,     4.68,     9.01,    14.29,     1.86,     2.85,     4.28,   0.0116,   0.0158,   0.0218,  7993.63, 11366.20, 13955.20,  5296.14,  5246.02,  5979.46
89,at18,dhci,1,8704953, 37302.30, 33224.44,    0.280,     4.68,     9.01,    14.29,     1.86,     2.85,     4.28,   0.0116,   0.0158,   0.0218,  7993.63, 11366.20, 13955.20,  5296.14,  5246.02,  5979.46
90,at18,mi,1,8704953, 37062.80, 31175.35,    0.497,    28.19,    30.76,    35.17,    23.21,    24.47,    25.88,   0.2128,   0.2221,   0.2311,  2346.03,  3397.01,  5269.69, 10943.74, 13215.21, 14664.97
91,at18,hcexp,1,8704953,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92,at19,dhi,1,8694404, 37773.70, 34097.46,    0.274,     4.91,     9.98,    15.41,     1.79,     2.87,     4.47,   0.0108,   0.0152,   0.0218,  8675.11, 12141.56, 14517.15,  4963.87,  4907.17,  5941.32
93,at19,dhci,1,8694404, 37773.70, 34097.46,    0.274,     4.91,     9.98,    15.41,     1.79,     2.87,     4.47,   0.0108,   0.0152,   0.0218,  8675.11, 12141.56, 14517.15,  4963.87,  4907.17,  5941.32
94,at19,mi,1,8694404, 38134.03, 33026.88,    0.491,    28.33,    31.28,    35.03,    22.71,    24.14,    25.67,   0.2074,   0.2172,   0.2270,  2702.74,  3893.58,  5463.65, 10936.24, 13155.16, 14994.82
95,at19,hcexp,1,8694404,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
96,au81,dhi,1,15054659, 24152.80, 21880.08,    0.282,     5.30,    11.41,    18.38,     2.01,     3.29,     5.25,   0.0128,   0.0176,   0.0252,  5423.18,  7782.64,  9379.90,  3328.85,  3157.40,  3748.15
97,au81,dhci,1,15054659, 24152.80, 21880.08,    0.282,     5.30,    11.41,    18.38,     2.01,     3.29,     5.25,   0.0128,   0.0176,   0.0252,  5423.18,  7782.64,  9379.90,  3328.85,  3157.40,  3748.15
98,au81,mi,1,15054659, 27826.20, 25384.12,    0.404,    18.77,    20.89,    23.76,    14.64,    15.67,    16.77,   0.1294,   0.1374,   0.1450,  1927.17,  2734.33,  3859.96,  6824.87,  8205.71,  9268.09
99,au81,hcexp,1,15054659,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100,au85,dhi,1,15900414, 24170.80, 21807.39,    0.293,     5.44,    11.91,    19.78,     2.10,     3.38,     5.47,   0.0134,   0.0182,   0.0261,  5349.61,  7809.02,  9469.54,  3373.35,  3094.67,  3614.89
101,au85,dhci,1,15900414, 24170.80, 21807.39,    0.293,     5.44,    11.91,    19.78,     2.10,     3.38,     5.47,   0.0134,   0.0182,   0.0261,  5349.61,  7809.02,  9469.54,  3373.35,  3094.67,  3614.89
102,au85,mi,1,15900414, 27775.73, 24954.36,    0.437,    21.99,    23.93,    26.69,    16.99,    18.18,    19.37,   0.1489,   0.1587,   0.1676,  1984.19,  2620.70,  3587.56,  6738.76,  8282.99,  9496.87
103,au85,hcexp,1,15900414,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104,au89,dhi,1,16674962, 24933.88, 22009.95,    0.304,     6.22,    12.32,    19.07,     2.20,     3.57,     5.59,   0.0129,   0.0185,   0.0268,  5689.24,  7811.39,  9338.83,  3114.74,  3193.58,  3867.14
105,au89,dhci,1,16674962, 24933.88, 22009.95,    0.304,     6.22,    12.32,    19.07,     2.20,     3.57,     5.59,   0.0129,   0.0185,   0.0268,  5689.24,  7811.39,  9338.83,  3114.74,  3193.58,  3867.14
106,au89,mi,1,16674962, 29077.51, 25359.01,    0.431,    19.93,    22.35,    25.64,    15.00,    16.20,    17.52,   0.1300,   0.1394,   0.1484,  2177.04,  3028.09,  4182.93,  6626.94,  7976.88,  9023.04
107,au89,hcexp,1,16674962,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
108,au95,dhi,1,17578427, 22993.11, 20206.26,    0.311,     5.14,    11.57,    20.71,     2.43,     3.54,     5.67,   0.0176,   0.0218,   0.0291,  4265.51,  7012.48,  8803.77,  3816.99,  3090.65,  3319.99
109,au95,dhci,1,17578427, 22993.11, 20206.26,    0.311,     5.14,    11.57,    20.71,     2.43,     3.54,     5.67,   0.0176,   0.0218,   0.0291,  4265.51,  7012.48,  8803.77,  3816.99,  3090.65,  3319.99
110,au95,mi,1,17578427, 25201.79, 22039.63,    0.470,    24.82,    27.08,    30.35,    20.51,    21.60,    22.80,   0.1884,   0.1964,   0.2043,  1406.10,  2044.76,  3016.38,  6676.40,  8058.37,  9107.38
111,au95,hcexp,1,17578427,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
112,au01,dhi,1,18747308, 25918.99, 22712.27,    0.320,     5.89,    13.24,    21.79,     2.42,     3.76,     6.11,   0.0166,   0.0215,   0.0300,  5354.95,  8132.83,  9804.82,  3729.96,  3223.30,  3822.54
113,au01,dhci,1,18747308, 25918.99, 22712.27,    0.320,     5.89,    13.24,    21.79,     2.42,     3.76,     6.11,   0.0166,   0.0215,   0.0300,  5354.95,  8132.83,  9804.82,  3729.96,  3223.30,  3822.54
114,au01,mi,1,18747308, 28061.39, 24325.33,    0.481,    25.93,    28.53,    31.66,    20.89,    22.14,    23.46,   0.1888,   0.1983,   0.2074,  1768.05,  2544.27,  3529.26,  7316.86,  8811.86, 10098.10
115,au01,hcexp,1,18747308,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116,au03,dhi,1,19236087, 26403.00, 22958.89,    0.316,     5.80,    12.50,    20.58,     2.47,     3.76,     5.95,   0.0173,   0.0221,   0.0301,  5262.64,  8027.24,  9791.57,  3920.92,  3452.21,  3983.77
117,au03,dhci,1,19236087, 26403.00, 22958.89,    0.316,     5.80,    12.50,    20.58,     2.47,     3.76,     5.95,   0.0173,   0.0221,   0.0301,  5262.64,  8027.24,  9791.57,  3920.92,  3452.21,  3983.77
118,au03,mi,1,19236087, 29258.39, 25143.69,    0.469,    24.13,    27.17,    31.10,    19.20,    20.49,    21.91,   0.1741,   0.1829,   0.1918,  1876.44,  2821.62,  4068.95,  7307.12,  8657.83,  9706.39
119,au03,hcexp,1,19236087,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
120,au04,dhi,1,12053106, 29367.33, 25649.91,    0.311,     5.04,    13.06,    20.70,     1.76,     3.16,     5.44,   0.0112,   0.0158,   0.0241,  6671.93,  9721.85, 11343.66,  3588.03,  3103.11,  4046.29
121,au04,dhci,1,12053106, 28908.23, 25482.91,    0.307,     5.10,    13.16,    20.88,     1.78,     3.19,     5.49,   0.0113,   0.0160,   0.0243,  6679.36,  9717.96, 11342.15,  3580.60,  3107.00,  4047.80
122,au04,mi,1,12053106, 32176.49, 28046.74,    0.457,    23.37,    26.14,    29.44,    17.86,    19.23,    20.63,   0.1587,   0.1685,   0.1779,  2417.20,  3389.93,  4604.32,  7842.76,  9435.03, 10785.63
123,au04,hcexp,1,12053106, 24179.79, 21210.04,    0.305,    11.18,    20.08,    29.21,     2.81,     5.31,     8.48,   0.0111,   0.0216,   0.0361,  7684.86,  9430.53, 10922.68,  2575.10,  3394.43,  4467.27
124,au08,dhi,1,20507949, 36635.78, 31256.07,    0.335,     7.06,    14.23,    21.20,     2.07,     3.77,     6.10,   0.0117,   0.0179,   0.0275,  8839.20, 11483.70, 13357.11,  3663.23,  4144.34,  5396.53
125,au08,dhci,1,20507949, 35469.89, 30637.36,    0.327,     7.13,    14.48,    21.55,     2.10,     3.83,     6.20,   0.0119,   0.0181,   0.0279,  8824.11, 11494.13, 13362.73,  3678.32,  4133.91,  5390.91
126,au08,mi,1,20507949, 40054.77, 33349.03,    0.469,    22.14,    26.13,    29.94,    15.77,    17.42,    19.19,   0.1356,   0.1465,   0.1578,  3598.58,  5213.94,  6733.53,  8903.85, 10414.10, 12020.11
127,au08,hcexp,1,20507949,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
128,au10,dhi,1,11719109, 36580.71, 31115.15,    0.333,     6.21,    14.48,    21.86,     2.15,     3.77,     6.17,   0.0134,   0.0190,   0.0284,  8141.79, 11502.78, 13396.14,  4304.27,  4054.80,  5272.95
129,au10,dhci,1,11719109, 35606.03, 30530.07,    0.326,     6.26,    14.57,    22.02,     2.16,     3.80,     6.21,   0.0134,   0.0191,   0.0285,  8150.05, 11504.22, 13404.08,  4296.01,  4053.36,  5265.01
130,au10,mi,1,11719109, 38852.20, 32226.68,    0.473,    24.14,    27.69,    31.39,    18.12,    19.70,    21.32,   0.1590,   0.1699,   0.1807,  3101.46,  4491.91,  5985.78,  9344.60, 11065.67, 12683.31
131,au10,hcexp,1,11719109, 26808.51, 23140.30,    0.315,    14.94,    25.53,    36.02,     3.87,     7.13,    10.99,   0.0152,   0.0295,   0.0482,  9223.55, 11210.68, 12971.06,  3222.51,  4346.90,  5698.03
132,au14,dhi,1,22389211, 39217.73, 33399.60,    0.329,     5.58,    12.47,    20.04,     2.02,     3.38,     5.51,   0.0129,   0.0178,   0.0259,  8512.17, 12178.25, 14524.88,  4847.67,  4521.55,  5514.88
133,au14,dhci,1,22389211, 38168.48, 32680.31,    0.322,     5.63,    12.59,    20.22,     2.03,     3.40,     5.56,   0.0129,   0.0178,   0.0260,  8536.82, 12189.98, 14524.74,  4823.02,  4509.82,  5515.02
134,au14,mi,1,22389211, 43120.52, 35147.77,    0.481,    23.08,    26.78,    30.75,    16.57,    18.24,    19.99,   0.1428,   0.1542,   0.1655,  3768.65,  5325.21,  7009.02,  9591.19, 11374.59, 13030.74
135,au14,hcexp,1,22389211,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
