"Date","NEC","Atira","Aten","Apollo","Amor","PHA-km","PHA","NEA-km","NEA-140m","NEA","NEO"
"2014-08-01","104","13","854","6122","4354","147","1476","805","6119","11343","11447"
"2014-07-01","104","13","852","6081","4321","147","1466","805","6085","11267","11371"
"2014-06-01","104","13","843","6047","4269","147","1461","804","6047","11172","11276"
"2014-05-01","104","13","836","5976","4218","147","1448","803","6002","11043","11147"
"2014-04-01","104","13","824","5856","4111","147","1441","803","5952","10804","10908"
"2014-03-01","104","12","817","5799","4085","147","1436","803","5921","10713","10817"
"2014-02-01","104","12","809","5753","4047","147","1429","803","5887","10621","10725"
"2014-01-01","104","12","802","5699","4010","147","1425","802","5855","10523","10627"
"2013-12-01","104","12","797","5644","3982","147","1421","801","5822","10435","10539"
"2013-11-01","104","12","796","5573","3954","147","1413","800","5789","10335","10439"
"2013-10-01","103","11","784","5514","3892","146","1406","796","5749","10201","10304"
"2013-09-01","103","11","778","5457","3834","146","1402","795","5709","10080","10183"
"2013-08-01","103","11","776","5427","3797","146","1396","795","5682","10011","10114"
"2013-07-01","103","11","771","5399","3773","146","1390","793","5656","9954","10057"
"2013-06-01","103","11","768","5369","3754","145","1383","790","5626","9902","10005"
"2013-05-01","103","10","763","5330","3734","145","1376","790","5596","9837","9940"
"2013-04-01","103","10","758","5290","3701","145","1367","790","5563","9759","9862"
"2013-03-01","103","10","753","5244","3673","145","1360","790","5538","9680","9783"
"2013-02-01","102","10","748","5205","3647","145","1358","790","5515","9610","9712"
"2013-01-01","102","10","741","5125","3609","145","1344","789","5462","9485","9587"
"2012-12-01","102","10","733","5070","3579","145","1334","789","5427","9392","9494"
"2012-11-01","101","9","725","5018","3541","145","1326","787","5394","9293","9394"
"2012-10-01","101","9","719","4943","3484","145","1314","786","5338","9155","9256"
"2012-09-01","100","9","715","4910","3452","145","1311","785","5310","9086","9186"
"2012-08-01","100","9","710","4885","3420","145","1305","784","5280","9024","9124"
"2012-07-01","99","9","709","4879","3411","145","1300","783","5265","9008","9107"
"2012-06-01","99","9","704","4854","3387","145","1291","780","5230","8954","9053"
"2012-05-01","99","9","702","4821","3363","145","1285","777","5204","8895","8994"
"2012-04-01","99","9","700","4770","3336","145","1280","776","5174","8815","8914"
"2012-03-01","99","9","694","4690","3309","145","1273","774","5141","8702","8801"
"2012-02-01","99","9","684","4644","3267","145","1268","774","5106","8604","8703"
"2012-01-01","99","9","674","4577","3227","145","1259","773","5067","8487","8586"
"2011-12-01","99","9","671","4545","3203","145","1253","771","5042","8428","8527"
"2011-11-01","99","9","668","4505","3171","143","1242","769","5009","8353","8452"
"2011-10-01","99","9","661","4444","3125","142","1231","768","4972","8239","8338"
"2011-09-01","98","9","660","4409","3071","142","1225","767","4934","8149","8247"
"2011-08-01","98","9","660","4393","3042","142","1222","764","4910","8104","8202"
"2011-07-01","97","9","658","4380","3019","142","1218","764","4892","8066","8163"
"2011-06-01","97","9","658","4361","2994","142","1212","763","4864","8022","8119"
"2011-05-01","97","9","655","4335","2972","142","1204","762","4835","7971","8068"
"2011-04-01","97","9","644","4287","2941","142","1195","758","4791","7881","7978"
"2011-03-01","97","9","633","4224","2917","142","1186","756","4758","7783","7880"
"2011-02-01","97","9","624","4178","2901","142","1178","756","4736","7712","7809"
"2011-01-01","97","9","618","4104","2866","141","1162","755","4687","7597","7694"
"2010-12-01","97","8","609","4051","2832","141","1154","755","4649","7500","7597"
"2010-11-01","97","8","598","3982","2789","141","1148","755","4613","7377","7474"
"2010-10-01","97","8","588","3923","2753","141","1133","755","4575","7272","7369"
"2010-09-01","97","8","582","3875","2687","141","1128","753","4540","7152","7249"
"2010-08-01","97","8","579","3863","2676","141","1127","750","4526","7126","7223"
"2010-07-01","97","8","575","3837","2665","141","1124","749","4494","7085","7182"
"2010-06-01","96","8","569","3804","2644","141","1117","749","4457","7025","7121"
"2010-05-01","95","8","560","3760","2623","141","1103","748","4414","6951","7046"
"2010-04-01","95","8","552","3714","2603","140","1098","746","4378","6877","6972"
"2010-03-01","95","8","544","3677","2575","139","1090","745","4345","6804","6899"
"2010-02-01","95","8","540","3623","2549","139","1080","744","4304","6720","6815"
"2010-01-01","95","8","534","3589","2531","139","1074","742","4278","6662","6757"
"2009-01-01","93","8","480","3123","2269","136","996","721","3935","5880","5973"
"2008-01-01","89","6","425","2668","1976","132","902","701","3549","5075","5164"
"2007-01-01","87","6","358","2321","1740","128","822","676","3212","4425","4512"
"2006-01-01","83","5","312","1979","1488","125","739","646","2843","3784","3867"
"2005-01-01","80","4","259","1639","1250","117","646","599","2464","3152","3232"
"2004-01-01","76","2","203","1329","1079","104","550","551","2120","2613","2689"
"2003-01-01","72","1","168","1093","911","96","467","501","1802","2173","2245"
"2002-01-01","68","1","125","841","718","86","376","437","1419","1685","1753"
"2001-01-01","62","1","95","619","528","72","292","377","1072","1243","1305"
"2000-01-01","61","1","58","450","372","60","216","297","765","881","942"
"1990-01-01","52","0","8","63","63","20","42","88","134","134","186"
"1980-01-01","48","0","3","27","21","12","17","43","51","51","99"
"1970-01-01","44","0","0","13","14","8","10","24","27","27","71"
"1960-01-01","42","0","0","10","10","7","8","18","20","20","62"
"1950-01-01","42","0","0","7","6","4","5","12","13","13","55"
"1940-01-01","37","0","0","3","6","2","3","8","9","9","46"
"1930-01-01","35","0","0","0","5","0","0","5","5","5","40"
"1920-01-01","33","0","0","0","3","0","0","3","3","3","36"
"1910-01-01","30","0","0","0","1","0","0","1","1","1","31"
"1900-01-01","27","0","0","0","1","0","0","1","1","1","28"
