"survey_code","gini_coef","percentile_1","percentile_2","percentile_3","percentile_4","percentile_5","percentile_6","percentile_7","percentile_8","percentile_9","lisppp_2011","lisppp_2017"
"CZ16",0.252,150535.69,184547,208813.582,232281,260357,289144.161,323030.5,370320.546,453867.239,15.4961922089488,13.5923205652526
"CZ13",0.258,132000,162972,186345.264,206435.582,228172.752,252857.479,284462.787,326527.193,401398.351,15.290927637922,13.4122749248485
"CZ10",0.256,126346.667,156340.5,176193.332,195680.749,219928.019,245606.5,274448.5,313734.702,385450.715,14.3197696362518,12.5604339886869
"CZ07",0.251,115145.268,138875.772,157073.165,174726.086,195397,217594.656,242606.922,278238,341890.664,13.1343667385725,11.5206704153536
"CZ04",0.266,87288,108462.754,122845.103,137178.716,151465,171259.41,194522,225568,280025.599,12.2273539153482,10.7250937418182
"CZ02",0.255,82224,97356,111183,123535,136236.5,151767.099,171008,196210.5,245716,11.8848186624473,10.424642579394
"CZ96",0.256,56073.568,67599.408,76367.532,84568.091,94600,105944.901,119450,137120.689,166850,8.74555362930736,7.67106956646468
"CZ92",0.205,33500,39200,43245.555,47284.987,51384.174,55541.096,60910.492,67665.452,79054.538,5.5497338449774,4.8678901536342
"DK16",0.254,138997.077,167483.191,192703.399,219619.588,246748.76,274604.5,306917.795,347213.505,412957.396,8.73802237793231,7.89451053007893
"DK13",0.249,135483.781,160675.425,185080.598,211246,236617.443,263212.721,293168.652,330429.983,390467.08,8.62834312780196,7.79541900139712
"DK10",0.248,128609.288,153934.283,179203.486,205246.426,230670.25,255490,283435,317923.699,372565.371,8.13587603119031,7.35049147526298
"DK07",0.238,118085.418,141791.88,166967.003,190975.5,212684,233280,256402,285988.724,333940.701,7.59038519113818,6.85765877301118
"DK04",0.228,108497,129480.616,151918.5,173187.995,192933.717,211766,233248.342,260287.49,301446.094,7.19234393900958,6.49804183448389
"DK00",0.225,95885.094,114723.833,134774.977,153083.495,169678.505,186035.005,204406.99,227026.495,263676.583,6.64547724176808,6.00396609134713
"DK95",0.218,82465.826,98040,114099.053,129176,143094.111,156485.002,171093.01,190233.209,220352.899,5.9282599291758,5.35598427329708
"DK92",0.238,69031.462,84125.908,99102.43,114019,126981,140241.5,154233.351,170256.5,197755.169,5.62310668769997,5.08028854102216
"DK87",0.255,55682,70816,86101.564,99850,111508,121977,134377,150142,179321.573,4.78469293209052,4.32280979629639
"DO07",0.49,22045.408,34648.232,46331.328,58787.754,71591.433,88785.762,112429.312,148407.887,234005,16.44578127569,16.303513328338
"EG12",0.465,2449.49,3756.594,4829.907,6000,7200,8660.254,10794.665,14279.709,21000,1.83663599661319,1.73847986391872
"EE16",0.309,4702.35,6343.816,7687.495,9274.947,10929.94,12669.802,14805.586,17460.833,21934.467,0.62511274838944,0.586482511447548
"EE13",0.352,3514.08,4543.416,5695.993,6716.567,8100.184,9642.741,11565.297,13829.716,17986.094,0.627939623446147,0.589134693453238
"EE10",0.319,2975.646,3837,4649.325,5414.045,6343.471,7375.125,8658.319,10289.7,12997.684,0.559934610289448,0.525332201806856
"EE07",0.312,2860.046,3732.338,4561.566,5447.886,6305.74,7214.988,8349.187,9959.703,12678.106,0.493103016967608,0.462630615898684
"EE04",0.347,1598.25,2087.993,2538.274,2994.084,3522.048,4060.78,4847.534,5947.426,7649.247,0.425551370565285,0.399253474196609
"EE00",0.361,1064.948,1396.885,1691.33,1997.542,2325.841,2749.008,3238.223,3940.198,5321.441,0.37208076218129,0.349087201353079
"FI16",0.258,14741.5,18115.728,20882.277,23584.5,26209,29125.728,32673,37269.477,44750.667,1.02815038196976,0.931412013269588
"FI13",0.259,14110.316,17365.5,20341.205,23056.631,25894.25,28832.295,32271.646,37017.747,44396.504,1.01605173236071,0.920451722063334
"FI10",0.261,12944.77,15919.486,18711.345,21419,24050,26896.221,30102.95,34327.913,41089.441,0.941723132962965,0.853116678841421
"FI07",0.264,11860,14676.001,17490.173,19997.104,22297,24827.794,27793.431,31348.165,38082.027,0.89433896023887,0.810190869068818
"FI04",0.257,10721,13162,15245,17359.471,19439,21527.159,24209,27587.771,33229.972,0.853652023282093,0.773332154109163
"FI00",0.252,9257.736,11134.161,12890.598,14624.832,16356.72,18180.947,20097.088,22714.905,27155.371,0.810677579366962,0.734401163051757
"FI95",0.216,8337.611,9951.44,11231.254,12476.013,13640.798,14922.648,16382.694,18380.379,21479.485,0.753193879515479,0.682326087705017
"FI91",0.209,8360.556,10325.227,11784.459,13065.255,14220.29,15577.219,17130.782,18913.798,21858.751,0.702868214158002,0.636735549480505
"FI87",0.207,6168.005,7476.93,8524.703,9571.575,10462.971,11382.454,12435.055,13714.877,15825.593,0.566703594905247,0.513382619424378
"FR10",0.289,10849.846,13888.738,16472.052,18804.798,21050.768,23697,26751.423,30724.468,38711.913,0.864414050612625,0.793375136571713
"FR05",0.28,9029.612,11560.3,13617.6,15468.5,17300.782,19365.5,21983.679,25284.724,31860.6,0.80179882881835,0.735905732751525
"FR00",0.278,8232,10180,11902.999,13492.098,15090.365,17015.817,19361.29,22713.53,28409.674,0.729471516870875,0.669522393709866
"FR94",0.288,7455.998,9355.888,10845.566,12342.882,13850.93,15691.469,17962.12,20840.542,26399.595,0.674819144246842,0.619361439519185
"FR89",0.287,5841.83,7300.968,8610.93,9880.22,11132.589,12555.956,14223.463,16331.356,20229.753,0.596312258257293,0.547306373605303
"FR84",0.338,4139.433,5759.168,6797.41,7851.124,8917.587,10073.601,11509.005,13363.366,16626.577,0.500509812891925,0.459377124743851
"FR78",0.312,2425.44,3193.942,3700.912,4294.356,4928.923,5586.582,6437.173,7587.02,9514.493,0.2663516463303,0.24446244671016
"GE19",0.377,2121.32,2969.848,3650,4453.333,5410.4,6438.207,7756.718,9634.66,12561.752,1.02814314793802,0.994905282607117
"GE18",0.369,1951.615,2660,3285.582,4143.066,4869.908,5793.043,7060.376,8764.177,11529.685,0.980557681687094,0.948858161791966
"GE17",0.405,1586.328,2400.5,3175.426,3904,4640,5542.563,6761.7,8273.149,11733.872,0.955567259445938,0.924675631224921
"GE16",0.39,1739.483,2501.176,3111.27,3780.379,4520,5488.12,6739.107,8442.575,11359.225,0.90117829059583,0.872044951797597
"GE15",0.386,1682.914,2368.808,2906.667,3630.781,4329.028,5237.257,6312.8,7770,10227.719,0.882340954104688,0.853816589703397
"GE14",0.39,1590,2260,2873.2,3370,4030,4886.924,5921.108,7477.411,10531.173,0.848375574491261,0.820949244654289
"GE13",0.401,1422.139,1945.67,2429.894,2902.917,3538.362,4351.883,5404.892,6754.998,9070.173,0.823115700253636,0.796505972948977
"GE12",0.409,1174.122,1598,2049.133,2526.757,3061.512,3807.382,4623.004,5819.691,7710,0.827352226919735,0.800605540959969
"GE11",0.443,895.322,1349.601,1714.643,2146.625,2573.869,3195,4018.358,5182.304,7043.673,0.835233986377716,0.808232498486954
"GE10",0.441,776.944,1153,1502,1868.961,2353.251,2950,3752.777,4760.368,6663.483,0.769496420197831,0.744620099776454
"GE09",0.453,640.859,996.392,1335,1631.735,2020,2551.443,3261.948,4367.077,6113,0.71841577295696,0.695190790364768
"DE18",0.292,12406,16034,19036.022,22026.376,24720.453,27827,31241.392,36222,45212.408,0.905225071186222,0.813021102867879
"DE17",0.286,11693,15471.255,18385.483,21135.422,23766.566,26454,30008.358,34891.009,42976.222,0.889812034876573,0.799178
"DE16",0.293,11418,14983,17715,20242.346,22857.297,25883,29482.391,34137,42679,0.87658008861074,0.787293826783234
"DE15",0.291,11234.513,14543.317,17167.138,19816.393,22305.683,25262.097,28515,33322.407,41380.5,0.872290611524556,0.783441265136035
"DE14",0.287,10985.821,14084.545,16658,19187.343,21626,24392.818,27663,32789,40565.302,0.867826334611973,0.77943170833684
"DE13",0.291,10971.387,13946,16450,18753.179,21281.793,24135,27335.334,32007.077,39560.503,0.860027621780996,0.772427352946548
"DE12",0.288,10750.144,13695.326,16183,18439.5,20851.582,23569.99,26872.5,31131.5,38976.433,0.847278445255759,0.760976775748524
"DE11",0.287,10807.997,13715.533,16013.847,18171.937,20479,23258.863,26458,30800.157,37859.204,0.830596,0.745993562764158
"DE10",0.286,10430,13206.5,15550,17877,20390.838,23095,26100,29927,37619.495,0.813710095394661,0.730827614292178
"DE09",0.284,10190,13072,15399.5,17615.444,20055.67,22427.171,25510,29552.821,36391,0.804826348429284,0.722848743638579
"DE08",0.286,10238.906,13225.018,15405.028,17513,19672.669,22146.464,25071.178,29183.711,36125.384,0.802317200631974,0.720595171378639
"DE07",0.286,10057.887,12815.5,14968.96,17083,19213,21693.359,24436.927,28115,35093.71,0.781769318546062,0.702140245320089
"DE06",0.285,9736,12521.5,14667,16744.996,18509.934,20867,23629.214,27662.583,34290.565,0.764205269424295,0.686365226440981
"DE05",0.287,9494.323,12068,14206.482,16219.5,18264,20326,23029.5,26856.518,33524.64,0.752337682224472,0.675706442078174
"DE04",0.271,9838,12360.934,14450.5,16450.132,18265.63,20309.5,22838.822,26345,32822.5,0.740876984642624,0.665413102571548
"DE03",0.268,9533.208,12244.968,14175.104,16146.755,17985.5,20043.292,22361,25457.258,31463.287,0.728738149814651,0.654510699187562
"DE02",0.27,9555.134,12257.696,14330.74,16091.5,17925,20020.314,22493.566,25752.709,31727.881,0.721278487430984,0.647810859411535
"DE01",0.27,9412.164,11897,13849.393,15639.264,17286.594,19140,21563,24815.669,30882.182,0.711174086152284,0.638735667248924
"DE00",0.26,9572.104,12060.5,13941.884,15486.266,17249,19226.94,21598.5,24677.693,30303,0.69733986095205,0.626310561728064
"DE99",0.261,9249.729,11732.649,13487,15059.604,16638.657,18549.74,20893.729,24110.147,29653.937,0.687438897212037,0.617418085463777
"DE98",0.254,9252.5,11590.884,13136.5,14561,16130,18135,20465.792,23595.118,28573,0.683437825662355,0.613824553084352
"DE97",0.251,8937.123,11160.692,12796.134,14196.466,15590.29,17326.396,19616.556,22677.5,27475,0.677266671303274,0.608281977118782
"DE96",0.255,8778,11004,12627.076,14050.974,15479.915,17261.184,19448.265,22384.172,27350.237,0.664381852788215,0.596709574085757
"DE95",0.258,8452,10675.191,12368.005,13679.5,15178.539,16980,19014.808,21984.657,26889,0.654887771395876,0.588182536147886
"DE94",0.262,8049.995,10225.471,11870.202,13220.166,14910,16600,18661.962,21639.5,26689.745,0.643901773521465,0.578315544620294
"DE93",0.258,8219.786,10258.36,11842.031,13213.26,14761,16513.372,18707,21503.824,26199,0.627015876186422,0.563149602678076
"DE92",0.265,7746.886,9609.279,11209.764,12652.631,14209.49,15858.08,17934.349,20837,25417.66,0.600161212292205,0.539030287878485
"DE91",0.269,7104,8896.968,10385.984,11762.165,13292,14945,16915,20009,24358,0.571272100308114,0.513083748797988
"DE90",0.259,7768,9485.13,11032,12378.905,13848.863,15657.465,17474.661,20122.389,24223.357,0.549051772917202,0.493126728542493
"DE89",0.256,7379,8922.358,10327,11653.492,12887.354,14382.373,16177.896,18367.51,21923.752,0.534635480216975,0.480178843465641
"DE88",0.257,6970,8630.777,10034,11277.383,12416.495,13879,15690,17894.751,21224,0.520171792430095,0.467188390847469
"DE87",0.251,6715.673,8266.785,9488.174,10759.5,11917,13221.5,14841,16927.5,20259.798,0.51362754080812,0.461310720375781
"DE86",0.247,6484,8009.003,9318.433,10353,11604,12909.649,14399.522,16432.5,19489,0.512347153708796,0.46016075031339
"DE85",0.25,6091,7517.252,8749,9946.871,11069.05,12389,13847.5,15626.353,18746.563,0.513011055707234,0.460757028909893
"DE84",0.256,5974.345,7379,8633.696,9716.718,10851.261,12113.386,13471.798,15199.448,18538.926,0.502625650057588,0.451429454780797
"DE83",0.26,7284.99,8826.315,10072.45,11318.505,12680.038,14208.441,16029,18508.695,22648.443,0.490817584805061,0.440824129608169
"DE81",0.244,5859.164,7033.479,8070.617,8970.616,9983.15,11204.177,12621.29,14302.441,16905.865,0.451504745419256,0.405515598004607
"DE78",0.263,5775.042,7017.481,7982.059,8937.382,9998.312,11155.4,12533.958,14396.635,17744.141,0.387010843421954,0.347590884031112
"DE73",0.271,3906.27,4811.256,5520.684,6214.837,6940.023,7772.471,8791.664,10177.293,12581.52,0.307484170893842,0.276164600044643
"GR16",0.318,4105,5656.854,6800,7969.999,9150,10520,12147.45,14260.552,17819.091,0.747472223706164,0.644684567908528
"GR13",0.332,3852.081,5400,6576.093,7764.032,9004.932,10422.904,12170.623,14528.5,18385.002,0.777201456148943,0.670325624209717
"GR10",0.324,5741.221,7583.35,9214.999,10881.666,12907.242,14800.001,16859,19863.766,25125.708,0.747926078309924,0.645076011295772
"GR07",0.319,6000,7795.29,9328.377,10928.5,12775.218,14538.563,16715.357,19999.999,24912.294,0.677584495492352,0.584407358352522
"GR04",0.327,5055.813,6642,8163.3,9475.231,10908.811,12701.706,14888.5,17545.675,22112.515,0.616278637018883,0.53153189405197
"GR00",0.333,3419.844,4593.537,5722.671,6847.989,7895.678,9358.768,10914.16,12948.926,16161.406,0.540012302279519,0.465753223623753
"GR95",0.349,2201.027,3215.476,3903.155,4710.198,5540.719,6422.792,7624.582,8929.232,11786.842,0.426382835188025,0.367749362650382
"GT14",0.394,7705.667,10065.884,12452.215,14953.786,17607.694,20937.333,24622.5,30317.294,41718.5,4.35915254133855,3.94292626507335
"GT11",0.481,4209.04,6363.961,8492.352,11098.748,13856.406,17320.508,21658.7,29519.667,43502.703,3.89240765571594,3.52074772207496
"GT06",0.472,4651.348,6447.046,8593.469,11046.422,14007,17594.938,22385.836,28828.73,42370.093,2.91217919674257,2.63411471256076
"HU15",0.268,1044000,1303977.432,1495200,1673600,1885796.833,2163746.75,2440000,2811527.273,3370201.656,149.580695866728,148.781887504052
"HU12",0.288,743700,960000,1122506.125,1312000,1489794.635,1689138.733,1917924,2205247.088,2759130.66,147.458591249819,146.671115598925
"HU09",0.271,712450.232,895932.148,1043000,1187939.392,1293264.603,1442497.834,1640365.813,1920000,2420022,128.073626901434,127.38967310904
"HU07",0.269,698621.5,859097.201,984292.639,1106406.435,1238262.892,1398400,1568029.086,1758733.635,2147000,115.894591708732,115.275677827436
"HU05",0.286,622112.546,750786.29,858600,964059.479,1086116.016,1236106.926,1390836.798,1594178.554,2036467.53,103.291135592649,102.739528164808
"HU99",0.29,317080.768,384000,437699.098,500631.601,573402.348,648218.928,716677.471,852368.183,1085834.61,70.7849114524591,70.4068975724471
"HU94",0.324,128900,168432.835,198873.782,226162,259013.214,294580.685,339764.808,414248.818,538275,30.0787652766813,29.9181351291696
"HU91",0.288,94324.418,118276.878,138601.68,158756,180940,202031.425,228572.972,265465.654,330525,16.7098014394853,16.6205657994773
"IS10",0.244,2074999.062,2518494.013,2860078.182,3193333.672,3563842.279,3955699.415,4347372.461,4900862.561,5761214.897,135.932207173966,129.148756374952
"IS07",0.276,1842079.299,2239899.689,2582094.904,2888699.91,3217688.562,3548961.642,4009583.066,4603750.559,5737151.583,102.179260383754,97.080189310732
"IS04",0.255,1352006.401,1659888.574,1886207.949,2109622.683,2324187.986,2529194.912,2849286.697,3223173.406,3887622.038,87.6736698919,83.2984740612346
"IN11",0.479,11985.324,17903.729,22986,28829.714,35362.521,43900.275,56221.01,76756.068,118018.014,15.2828931808472,13.2173956320406
"IN04",0.472,5140.317,7492.022,9512.667,11792.492,14622.88,18217.147,23642.063,32142.614,48170,8.89437315512055,7.69229016385183
"IE17",0.289,14470,18052.436,21389.98,24685,28432.764,32042.854,36690,42123.049,51485,0.98302208676109,0.986703
"IE16",0.305,13337.472,16517.991,19210,22410,25887.179,29785.5,34323.643,40401.276,50960,0.979685946908662,0.983354368015894
"IE15",0.296,12794.082,15848.265,18639.335,21980,25544.841,29064.412,33238.055,37834.27,46534.432,0.979604577643967,0.983272694065061
"IE14",0.295,12526.453,15460,18052.739,20882.759,24462.584,27834.056,32127.825,37020.341,46527.626,0.982452501908235,0.986131282344175
