,Country,Our World In Data Name
6209,Latin America and the Caribbean (UN SDG),Latin America and the Caribbean (UN SDG)
6240,Latvia,Latvia
6282,Least developed countries (UN SDG),Least developed countries (UN SDG)
6313,Lebanon,Lebanon
6378,Lesotho,Lesotho
6447,Liberia,Liberia
6514,Libya,Libya
6579,Lithuania,Lithuania
6633,Luxembourg,Luxembourg
6705,Madagascar,Madagascar
6758,Malawi,Malawi
6818,Malaysia,Malaysia
6889,Maldives,Maldives
6948,Mali,Mali
7006,Malta,Malta
7078,Marshall Islands,Marshall Islands
7140,Mauritania,Mauritania
7221,Mauritius,Mauritius
7292,Mexico,Mexico
7362,Micronesia (Federated States of),Micronesia (country)
7425,Middle East and North Africa (UNICEF),Middle East and North Africa (UNICEF)
7456,Monaco,Monaco
7492,Mongolia,Mongolia
7535,Montenegro,Montenegro
7572,Morocco,Morocco
7637,Mozambique,Mozambique
7695,Myanmar,Myanmar
7748,Namibia,Namibia
7802,Nauru,Nauru
7838,Nepal,Nepal
7909,Netherlands,Netherlands
7981,New Zealand,New Zealand
8053,Nicaragua,Nicaragua
8119,Niger,Niger
8173,Nigeria,Nigeria
8230,Niue,Niue
8308,North America (UNICEF),North America (UNICEF)
8339,North Macedonia,North Macedonia
8379,Northern Africa (UN SDG),Northern Africa (UN SDG)
8410,Northern America (UN SDG),Northern America (UN SDG)
8441,Northern America and Europe (UN SDG),Northern America and Europe (UN SDG)
8472,Norway,Norway
8543,Oceania (UN SDG),Oceania (UN SDG)
8574,Oceania excluding Australia and New Zealand (UN SDG),Oceania excluding Australia and New Zealand (UN SDG)
8605,Oman,Oman
8667,Pakistan,Pakistan
8738,Palau,Palau
8794,Panama,Panama
8864,Papua New Guinea,Papua New Guinea
8937,Paraguay,Paraguay
9002,Peru,Peru
9071,Philippines,Philippines
9139,Poland,Poland
9211,Portugal,Portugal
9283,Qatar,Qatar
9335,Republic of Korea,South Korea
9406,Republic of Moldova,Moldova
9456,Romania,Romania
9522,Russian Federation,Russia
9573,Rwanda,Rwanda
9638,Saint Kitts and Nevis,Saint Kitts and Nevis
9688,Saint Lucia,Saint Lucia
9760,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
9830,Samoa,Samoa
9911,San Marino,San Marino
9947,Sao Tome and Principe,Sao Tome and Principe
10003,Saudi Arabia,Saudi Arabia
10052,Senegal,Senegal
10129,Serbia,Serbia
10166,Seychelles,Seychelles
10244,Sierra Leone,Sierra Leone
10309,Singapore,Singapore
10381,Slovakia,Slovakia
10421,Slovenia,Slovenia
10461,Small island developing States (UN SDG),Small island developing States (UN SDG)
10492,Solomon Islands,Solomon Islands
10558,Somalia,Somalia
10597,South Africa,South Africa
10644,South Asia (UNICEF),South Asia (UNICEF)
10675,South Sudan,South Sudan
10742,South-Eastern Asia (UN SDG),South-Eastern Asia (UN SDG)
10773,Southern Asia (UN SDG),Southern Asia (UN SDG)
10804,Spain,Spain
10851,Sri Lanka,Sri Lanka
10921,State of Palestine,Palestine
10967,Sub-Saharan Africa (UN SDG),Sub-Saharan Africa (UN SDG)
10998,Sub-Saharan Africa (UNICEF),Sub-Saharan Africa (UNICEF)
11029,Sudan,Sudan
11097,Suriname,Suriname
11135,Sweden,Sweden
11206,Switzerland,Switzerland
11277,Syrian Arab Republic,Syria
11345,Tajikistan,Tajikistan
11394,Thailand,Thailand
11466,Timor-Leste,Timor
11502,Togo,Togo
11579,Tonga,Tonga
11637,Trinidad and Tobago,Trinidad and Tobago
11705,Tunisia,Tunisia
11764,Turkey,Turkey
11832,Turkmenistan,Turkmenistan
11876,Tuvalu,Tuvalu
11943,Uganda,Uganda
12011,Ukraine,Ukraine
12061,United Arab Emirates,United Arab Emirates
12122,United Kingdom of Great Britain and Northern Ireland,United Kingdom
12194,United Republic of Tanzania,Tanzania
12264,United States of America,United States
12336,Uruguay,Uruguay
12408,Uzbekistan,Uzbekistan
12450,Vanuatu,Vanuatu
12519,Venezuela (Bolivarian Republic of),Venezuela
12589,Viet Nam,Vietnam
12646,West and Central Africa (UNICEF),West and Central Africa (UNICEF)
12677,Western Asia (UN SDG),Western Asia (UN SDG)
12708,Western Asia and Northern Africa (UN SDG),Western Asia and Northern Africa (UN SDG)
12739,Western Europe (UNICEF),Western Europe (UNICEF)
12770,World,World
12801,World Bank High Income Economies (WB),High income
12832,World Bank Low Income Economies (WB),Low income
12863,World Bank Lower-Middle Income Economies (WB),Lower-middle income
12894,World Bank Upper-Middle Income Economies (WB),Upper-middle income
12925,Yemen,Yemen
12989,Zambia,Zambia
13058,Zimbabwe,Zimbabwe
