MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Gases,EJ/yr,5.019783081,6.789987305,10.62515216,15.38125122,22.16671088,22.05598511,17.56445062,12.23706223,8.482039978,7.129208633,5.752084473
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Heat,EJ/yr,3.951446686,5.723558289,4.024533707,2.324014481,2.181471375,1.947747398,1.518652077,1.079072422,0.756562782,0.464585438,0.26856567
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Hydrogen,EJ/yr,4.19491E-13,7.05604E-07,0.000327904,2.916949783,12.13868384,15.31930048,14.67056284,14.72068271,15.85428888,17.09650012,19.4011267
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Industry,EJ/yr,43.00498096,62.39868188,61.00904028,54.55845337,56.27847852,59.25790991,59.33573413,55.64157092,50.44374304,44.29612872,38.76181427
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Liquids,EJ/yr,34.49979089,39.44038336,38.66923237,26.57359163,22.56326831,22.44678228,21.79723179,20.72359424,19.35547726,17.49174216,15.44544734
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Residential and Commercial,EJ/yr,32.48076776,37.51245102,34.11234352,31.13686278,36.22850702,43.14806567,48.46215149,52.06356799,53.6311571,52.57932919,50.30509326
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Solar,EJ/yr,0.0011304,0.0066708,0.381578452,0.987938051,16.75871597,26.06495019,30.70984005,31.59445564,34.03273482,35.41981696,33.61726293
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Solids,EJ/yr,43.17271835,56.43428219,42.90010752,31.40476993,21.76252016,20.23926857,22.88657872,24.19503683,23.29222808,20.2058237,17.81649577
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Solids|Biomass,EJ/yr,21.50110285,25.98616302,15.39693274,11.78304343,11.63236863,13.1166517,15.53490022,17.49185861,17.79843712,15.87288845,14.68172105
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Solids|Biomass|Traditional,EJ/yr,21.50110285,23.14510136,10.48625653,4.077808624,3.248382633,2.748881411,2.027319136,1.309758087,0.895661764,0.588078418,0.362962885
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Solids|Coal,EJ/yr,21.6716155,30.44811917,27.50317477,19.6217265,10.13015154,7.122616867,7.351678497,6.703178223,5.493790955,4.332935257,3.134774719
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Transportation,EJ/yr,15.83655511,17.81408154,22.45499487,17.6553291,21.02831384,23.54085419,23.83373413,24.62063226,25.32622882,25.48838641,25.12124512
IMAGE,SSP1-19,R5.2ASIA,GDP|PPP,billion US$2005/yr,13228.9621,20108.84821,39497.61255,72150.40259,111663.4548,148575.7236,178232.6445,201455.7476,217154.9697,226768.8726,230410.3496
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|BC,Mt BC/yr,,,3.735783201,1.940365751,1.266360732,0.894646209,0.776793204,0.73037605,0.690960318,0.671523732,0.65174768
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|CH4|Fossil Fuels and Industry,Mt CH4/yr,,,81.58910616,46.2805957,34.09623433,29.429074,26.52366038,23.63576763,19.97159088,16.61418881,14.40453674
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|CH4|Land Use,Mt CH4/yr,,,62.60190163,47.76151343,36.97142461,27.73815168,25.94323903,24.37691961,22.70090455,21.02115728,19.31660347
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|CO,Mt CO/yr,,,330.8908961,203.0349046,187.8807018,155.9121493,137.391467,125.5688139,115.6131485,111.0890206,107.0199155
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,16170.48097,10830.25794,3999.140925,910.2776467,-47.94342484,-1024.001098,-1761.671592,-2623.7019,-3549.173965
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|CO2|Land Use,Mt CO2/yr,,,0,0,0,0,0,0,0,0,0
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|NH3,Mt NH3/yr,,,32.98950537,33.11980552,32.75622399,32.37645029,31.49531569,30.85355408,30.18937884,29.56715887,28.97327559
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|NOx,Mt NO2/yr,,,59.82508386,34.82119335,24.41873713,19.39736565,17.2341501,16.53282869,15.28830187,13.95974813,13.24683917
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|OC,Mt OC/yr,,,10.47487406,6.760131546,6.039554306,4.941809671,4.601215757,4.530622314,4.331243639,4.315598702,4.213268414
IMAGE,SSP1-19,R5.2ASIA,Harmonized Emissions|Sulfur,Mt SO2/yr,,,35.7560455,17.41583738,9.31895498,7.144652813,5.952581273,4.706178634,3.562457412,2.814394204,2.133934216
IMAGE,SSP1-19,R5.2ASIA,Land Cover|Built-up Area,million ha,12.3732863,11.73899182,15.62770442,19.45277856,22.84826855,25.48272603,25.40543713,24.80806438,23.73912683,22.31928396,20.67534529
IMAGE,SSP1-19,R5.2ASIA,Land Cover|Cropland,million ha,458.7866219,475.1712629,448.1151043,434.3792906,440.910532,443.7948824,442.6606574,450.4899012,460.9426328,467.5077512,477.3174652
IMAGE,SSP1-19,R5.2ASIA,Land Cover|Forest,million ha,434.4522086,426.6162813,419.7196344,431.7099273,462.8469836,499.4724141,533.3578219,556.93285,577.1252813,596.9338859,603.9940438
IMAGE,SSP1-19,R5.2ASIA,Land Cover|Pasture,million ha,552.3437331,554.5196442,548.3620675,527.5263773,492.4013425,460.0932578,437.9972238,419.9537247,404.980889,391.3087853,375.2430805
IMAGE,SSP1-19,R5.2ASIA,Population,million,3497.970284,3684.396255,3967.963753,4136.290855,4197.338318,4148.399857,4001.249588,3776.712128,3493.949886,3167.127491,2814.792175
IMAGE,SSP1-19,R5.2ASIA,Price|Carbon,US$2005/t CO2,0,0,6.506277264,303.6736287,546.2075423,651.0313616,707.6402484,652.1972441,519.7958102,335.3369921,238.8174885
IMAGE,SSP1-19,R5.2ASIA,Primary Energy,EJ/yr,135.524085,183.0474985,186.928458,166.3068008,163.2965151,175.8633218,184.8193525,193.0431069,188.2120046,173.471187,163.7732571
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Biomass,EJ/yr,21.91888864,27.58178038,19.73129393,25.87933127,37.52462061,46.2500821,51.7594738,59.67692653,67.6866924,69.24163762,78.75039551
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Biomass|Traditional,EJ/yr,21.50110285,23.14510136,10.48625653,4.077808624,3.248382633,2.74888142,2.027319136,1.309758072,0.895661764,0.588078418,0.362962893
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0.197099703,3.824709362,12.9333121,15.24827002,17.81704132,24.48820703,32.05560284,37.09631421,48.93418611
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Biomass|w/o CCS,EJ/yr,21.91888902,27.58178252,19.53419003,22.05462964,24.59130817,31.00180151,33.94243121,35.18872559,35.63109583,32.14532617,29.81620313
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Coal,EJ/yr,59.16537868,90.41148598,80.95157373,44.50446512,18.40842215,15.03842725,16.47141885,19.18602045,16.95237094,12.02732236,6.869961624
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0.240302538,1.624884659,6.551256302,10.29388425,13.71131921,16.87301068,15.16919031,10.72070543,5.99359594
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Coal|w/o CCS,EJ/yr,59.16537868,90.41148598,80.71127747,42.87958522,11.85716879,4.744542816,2.760100754,2.313004421,1.783180683,1.306616989,0.876365244
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Fossil,EJ/yr,110.3994738,150.6332476,158.4374816,129.3657982,92.46390897,84.32249969,82.93235526,82.8978385,65.40422266,46.36805881,30.49891936
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Fossil|w/ CCS,EJ/yr,0,0,0.71639815,9.768164842,34.25699211,44.6476748,49.71722157,57.38616089,45.7562227,30.25931028,17.01609341
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Fossil|w/o CCS,EJ/yr,110.3994738,150.6332476,157.7210919,119.5976467,58.20692074,39.67482199,33.21513429,25.51167846,19.64799498,16.10874825,13.48282721
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Gas,EJ/yr,11.33389917,15.54638123,35.31568958,56.25536011,56.33806494,54.92332104,53.70349579,52.00366772,37.9542128,24.76618042,15.09397665
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0.419262029,7.99463353,27.57189014,34.29015216,35.89208228,40.17287708,30.10153717,19.03040936,10.65313177
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Gas|w/o CCS,EJ/yr,11.33389917,15.54638123,34.89643604,48.2607334,28.76617578,20.63316626,17.81141214,11.83079788,7.852670677,5.735771271,4.440846336
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Hydro,EJ/yr,2.239272208,3.52941528,5.643723384,6.574141876,8.315552608,8.211416304,8.386348392,8.674885496,8.824190896,9.00005524,8.836720428
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,2.330874208,3.844789634,7.345139159,9.507353384,31.18078892,43.28740662,48.08736904,47.9949957,51.65988688,53.45829398,50.5469025
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Nuclear,EJ/yr,0.934729216,1.057647584,1.523868001,1.759477636,2.510972472,2.408567408,2.506643656,3.064861944,4.10925658,5.13613402,4.819669104
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Oil,EJ/yr,39.90019592,44.67538037,42.17021826,28.60597302,17.71742188,14.3607514,12.75744061,11.70815033,10.49763892,9.57455603,8.534981079
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Oil|w/ CCS,EJ/yr,0,0,0.056833583,0.148646653,0.133845674,0.06363839,0.11382008,0.340273129,0.485495222,0.508195491,0.369365694
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Oil|w/o CCS,EJ/yr,39.90019592,44.67538037,42.11337842,28.45732813,17.58357617,14.29711292,12.6436214,11.36787616,10.01214362,9.066359985,8.165615631
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Other,EJ/yr,0.0598824,0.0700272,0.109359225,0.205180602,0.383781308,0.40522739,0.466482738,0.5915433,0.648061052,0.732943362,0.842640754
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Solar,EJ/yr,0.0011304,0.0066708,0.381578421,0.987938019,16.75871651,26.06494952,30.70983971,31.59444387,34.03272994,35.41980773,33.61724979
IMAGE,SSP1-19,R5.2ASIA,Primary Energy|Wind,EJ/yr,0.0305892,0.238676354,1.210478129,1.740092887,5.722738496,8.605813399,8.5246982,7.134123028,8.154904991,8.305487653,7.250291522
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity,EJ/yr,16.33501744,24.52350042,33.56588134,33.36953734,44.72982144,57.13624627,66.23329779,73.70337114,76.13754112,72.98517754,67.29948621
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Biomass,EJ/yr,0.058561785,0.212318582,0.593874027,1.778344348,2.713970645,2.926954136,3.501464702,4.677125362,5.408168137,5.712540321,7.095206678
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,5.49005E-05,0.695465391,2.689449232,2.912054127,3.501257819,4.677117224,5.40815992,5.7086261,7.087323465
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.058561785,0.212318582,0.593819126,1.082878957,0.024521412,0.01490001,0.000206884,8.13777E-06,8.21639E-06,0.003914221,0.007883213
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Coal,EJ/yr,10.37171221,16.09049958,15.92412898,6.772512919,1.237090064,2.258814658,3.624301444,5.281352677,4.918719599,3.25465597,1.496284033
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,0.023538966,1.073944025,2.228393745,3.624301394,5.281352631,4.918719552,3.254655876,1.496283857
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,10.37171221,16.09049958,15.92412898,6.748973953,0.163146039,0.030420913,4.99753E-08,4.59485E-08,4.73866E-08,9.42906E-08,1.75833E-07
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Gas,EJ/yr,1.805150732,2.696790174,7.924674463,12.57403352,7.030590823,6.245078058,8.496417868,12.65667969,10.00104909,5.38472989,3.311997834
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,0.065585699,0.906715831,4.361588939,6.16592966,8.494674962,12.44890807,9.778590185,5.167004027,3.004761801
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,1.805150732,2.696790174,7.859088764,11.66731769,2.669001884,0.079148398,0.001742906,0.207771615,0.222458905,0.217725863,0.307236033
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Hydro,EJ/yr,2.239272208,3.52941528,5.643723384,6.574141876,8.315552608,8.211416304,8.386348392,8.674885496,8.824190896,9.00005524,8.836720428
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,2.330874208,3.844789634,7.345139159,9.507353384,31.18078892,43.28740662,48.08736904,47.9949957,51.65988688,53.45829398,50.5469025
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Nuclear,EJ/yr,0.934729216,1.057647584,1.523868001,1.759477636,2.510972472,2.408567408,2.506643656,3.064861944,4.10925658,5.13613402,4.819669104
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Oil,EJ/yr,0.83398858,0.621451739,0.254201382,0.977812185,0.056413424,0.009420413,0.017101717,0.028353404,0.040463253,0.038827616,0.02943364
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Solar,EJ/yr,0.0011304,0.0066708,0.381578421,0.987938019,18.0765135,28.23721191,33.12323523,33.90509602,37.3279296,40.41295712,38.90676963
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Electricity|Wind,EJ/yr,0.0305892,0.238676354,1.210478129,1.740092887,5.79245856,8.789504093,8.682345592,7.222426232,8.286893269,8.393454408,7.365083149
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Gases,EJ/yr,5.019783081,6.789987305,10.62515216,15.38125122,22.16671088,22.05598511,17.56445062,12.23706223,8.482039978,7.129208633,5.752084473
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Gases|Natural Gas,EJ/yr,5.019783081,6.789987305,10.62515216,15.38125122,22.16671088,22.05598511,17.56445062,12.23706223,8.482039978,7.129208633,5.752084473
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Heat,EJ/yr,2.507141247,3.203656269,4.920408849,4.375543813,4.268401491,4.036598915,3.279664948,2.340224077,1.699604874,0.935512766,0.732744008
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Hydrogen,EJ/yr,0,9.10309E-13,0.000173838,1.608460059,11.5226919,15.24033505,14.91503214,14.61059745,15.59877602,16.95316939,19.2602575
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Hydrogen|Biomass,EJ/yr,0,1.93817E-15,8.50064E-08,0.691086457,2.243295064,3.10628764,2.977438254,4.546783217,8.412925336,11.412807,16.99971974
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Hydrogen|Biomass|w/ CCS,EJ/yr,0,0,1.80157E-08,0.691086328,2.243295064,3.10628764,2.977438296,4.546783168,8.416392974,11.41948677,17.00098527
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Hydrogen|Biomass|w/o CCS,EJ/yr,0,1.93817E-15,6.69907E-08,0.000000129,0,0,-4.1675E-08,4.86758E-08,-0.003467638,-0.006679773,-0.001265531
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,5.43591E-18,1.24061E-09,1.97865E-09,1.49117E-09,1.20153E-06,1.48701E-06,3.54778E-06,7.47787E-06,9.91889E-06,1.45473E-05
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Liquids,EJ/yr,34.49979089,39.44038336,38.66923237,26.57359163,22.56326831,22.44678228,21.79723179,20.72359424,19.35547726,17.49174216,15.44544734
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Liquids|Biomass,EJ/yr,0.022803033,0.029090941,0.22668641,2.768023763,6.538372219,9.68779746,10.71939786,10.7147924,10.50379388,9.364809463,8.03740221
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Liquids|Biomass|w/o CCS,EJ/yr,0.022803033,0.029090941,0.22668641,2.768023763,6.538372219,9.68779746,10.71939786,10.7147924,10.50379388,9.364809463,8.03740221
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Liquids|Oil,EJ/yr,34.47698785,39.41129242,38.44254596,23.80556787,16.02489609,12.75898482,11.07783394,10.00880185,8.851683372,8.126932699,7.408045134
IMAGE,SSP1-19,R5.2ASIA,Secondary Energy|Solids,EJ/yr,25.62306219,39.01273911,36.4383847,29.65097578,20.6956089,19.43813456,22.37791166,23.96435117,23.1531291,20.08233072,17.72209855
IMAGE,SSP1-19,R5.2LAM,Agricultural Demand|Crops,million t DM/yr,426.3097451,493.3328008,580.3379492,652.0364404,725.1728438,794.2220039,801.3081338,807.6213799,813.5057266,818.9513105,823.9879473
IMAGE,SSP1-19,R5.2LAM,Agricultural Demand|Livestock,million t DM/yr,29.4677142,31.85424467,34.5722717,37.29774085,40.78413143,44.26817162,44.3331781,44.39894125,44.46547354,44.53284795,44.60111643
IMAGE,SSP1-19,R5.2LAM,Agricultural Production|Crops|Energy,million t DM/yr,4.510198823,2.519837177,3.298744359,72.32156202,502.6355772,652.9551699,1018.786027,1529.066512,2018.879827,2384.449804,2864.470627
IMAGE,SSP1-19,R5.2LAM,Agricultural Production|Crops|Non-Energy,million t DM/yr,455.7845234,520.5135137,587.9533789,786.0094648,719.9345703,744.2646523,755.348957,766.7493398,778.1569727,789.5947578,801.0621914
