object.internationalDesignator_s1,object.internationalDesignator@official_s1,object.nationalDesignator_s1,object.nameOfSpaceObjectIno_s1,object.nameOfSpaceObjectO_s1,object.launch.stateOfRegistry_s1,object.launch.stateOfRegistry@official_s1,object.launch.dateOfLaunch_s1,object.status.gsoLocation_s1,object.unRegistration.unRegistered_s1,en#object.status.objectStatus_s1,object.status@official_s1,object.status.dateOfDecay_s1,object.launch.dateOfLaunch@official_s1,object.functionOfSpaceObject_s1,object.remark_s1,object.status.webSite_s1,object.unRegistration.registrationDocuments.document@uri_s,object.unRegistration.registrationDocuments.document..document.symbol_s,object.unRegistration.decayDocuments.document@uri_s,object.unRegistration.decayDocuments.document..document.symbol_s,object.status.dateOfDecay@official_s1,object.status.gsoLocation@official_s1
2021-115E,false,,STARLINK 3240,,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115F,false,,STARLINK 3251,,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115G,false,,STARLINK 3249,,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115M,false,,STARLINK 3113, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115N,false,,STARLINK 3148, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115P,false,,STARLINK 3225, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115Q,false,,STARLINK 3143, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115S,false,,STARLINK 3226, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115T,false,,STARLINK 3244, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115U,false,,STARLINK 3202, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AU,false,,STARLINK 3190, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AL,false,,STARLINK 3194, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AK,false,,STARLINK 3197, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AM,false,,STARLINK 3204, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AN,false,,STARLINK 3199, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AP,false,,STARLINK 3203, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AQ,false,,STARLINK 3195, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AR,false,,STARLINK 3198, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AS,false,,STARLINK 3206, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AT,false,,STARLINK 3227, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AD,false,,STARLINK 3229, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AF,false,,STARLINK 3200, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AG,false,,STARLINK 3193, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AH,false,,STARLINK 3210, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AJ,false,,STARLINK 3207, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AC,false,,STARLINK 3236, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AE,false,,STARLINK 3209, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AA,false,,STARLINK 3248, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115AB,false,,STARLINK 3250, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115Z,false,,STARLINK 3247, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115V,false,,STARLINK 3239, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115W,false,,STARLINK 3231, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115X,false,,STARLINK 3241, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115Y,false,,STARLINK 3233, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115R,false,,STARLINK 3155, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115*,false,,BLACKSKY GLOBAL, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-115*,false,,BLACKSKY GLOBAL, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-115*,false,,STARLINK, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-115*,false,,STARLINK, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-115*,false,,STARLINK, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-115*,false,,STARLINK, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-115*,false,,STARLINK, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-114A,false,,ZHONGXING 1D (CHINASAT 1D),,China,false,2021-11-26,,F,in GSO,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-113A,false,,COSMOS 2552,,Russian Federation,false,2021-11-25,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-112A,false,,SHIYAN 11 (SY-11),,China,false,2021-11-24,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-110A,false,,DART,,USA,false,2021-11-24,,F,heliocentric,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-111A,false,,PROGRESS M-UM (PRICHAL),,Russian Federation,false,2021-11-24,,F,in orbit,false,,false,------,Not registered with the United Nations. ISS flight element.,,,,,,,
2021-109A,false,,GAOFEN 3-02,,China,false,2021-11-22,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-108A,false,,ASTRA DUMMY MASS,,USA,false,2021-11-20,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-107*,false,,GAOFEN 11-03,,China,false,2021-11-20,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-106B,false,,BLACKSKY GLOBAL-15,,(for USA),false,2021-11-18,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-106A,false,,BLACKSKY GLOBAL-14,,(for USA),false,2021-11-18,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-105A,false,,CERES 1,,France,false,2021-11-16,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-105B,false,,CERES 2,,France,false,2021-11-16,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-105C,false,,CERES 3,,France,false,2021-11-16,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104A,false,,STARLINK 3151,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104B,false,,STARLINK 3075,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104C,false,,STARLINK 3147,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104D,false,,STARLINK 3162,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104E,false,,STARLINK 3144,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104F,false,,STARLINK 3157,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104G,false,,STARLINK 3146,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104H,false,,STARLINK 3159,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104K,false,,STARLINK 3154,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104M,false,,STARLINK 3120,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104N,false,,STARLINK 3110,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104J,false,,STARLINK 3133,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104L,false,,STARLINK 3111,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AC,false,,STARLINK 3134,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AA,false,,STARLINK 3158,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AB,false,,STARLINK 3079,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AD,false,,STARLINK 3117,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AE,false,,STARLINK 3049,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AG,false,,STARLINK 3044,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AF,false,,STARLINK 3130,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104Y,false,,STARLINK 3138,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104Z,false,,STARLINK 3153,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AL,false,,STARLINK 3098,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AJ,false,,STARLINK 3105,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AK,false,,STARLINK 3128,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AN,false,,STARLINK 3126,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AP,false,,STARLINK 3122,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AQ,false,,STARLINK 3099,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AR,false,,STARLINK 3115,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AH,false,,STARLINK 3108,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AM,false,,STARLINK 3136,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104BB,false,,STARLINK 3132,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104BC,false,,STARLINK 3156,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104BD,false,,STARLINK 3141,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104BE,false,,STARLINK 3140,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AU,false,,STARLINK 3127,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AS,false,,STARLINK 3097,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AT,false,,STARLINK 3137,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AV,false,,STARLINK 3125,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AX,false,,STARLINK 3129,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AW,false,,STARLINK 3150,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AY,false,,STARLINK 3160,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104AZ,false,,STARLINK 3145,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104BA,false,,STARLINK 3124,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104S,false,,STARLINK 3135,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104V,false,,STARLINK 3131,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104P,false,,STARLINK 3112,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104Q,false,,STARLINK 3161,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104T,false,,STARLINK 3139,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104U,false,,STARLINK 3114,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104R,false,,STARLINK 3149,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104W,false,,STARLINK 3121,,USA,false,2021-11-13,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-104X,false,,STARLINK 3123,,USA,false,2021-11-13,,F,decayed,false,2021-12-01,false,------,Not registered with the United Nations.,,,,,,,
2021-103A,false,,DRAGON ENDURANCE,,USA,false,2021-11-11,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-102*,false,,DRUMS,,Japan,false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-102*,false,,NANO DRAGON,,(for Viet Nam),false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-102*,false,,TEIKYOSAT 4,,Japan,false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-102*,false,,RAISE 2,,Japan,false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-102*,false,,KOSEN 1,,Japan,false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-102*,false,,Z SAT,,Japan,false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-102*,false,,ASTERISC,,Japan,false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-102*,false,,HIBARI,,Japan,false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-102*,false,,ARICA,,Japan,false,2021-11-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-101*,false,,YAOGAN 35,,China,false,2021-11-06,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-101*,false,,YAOGAN 35,,China,false,2021-11-06,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-101*,false,,YAOGAN 35,,China,false,2021-11-06,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-100A,false,,SDGSAT 1,,China,false,2021-11-05,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-099*,false,,YAOGAN 32 2,,China,false,2021-11-03,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-099*,false,,YAOGAN 32 2,,China,false,2021-11-03,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-098A,false,3574-2021-11,,Progress MS-18,Russian Federation,true,2021-10-28,,T,in orbit,true,,true,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",The registration submission for this space object is presently being processed by the United Nations Secretariat.,,['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,,,
2021-097A,false,,JILIN 01 GAOFEN 2F,,China,false,2021-10-27,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-096A,false,,QZS-1R,,Japan,false,2021-10-26,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-095A,false,,SES 17,,(for Luxembourg),false,2021-10-24,-067.1 degrees East,F,in GSO,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-094A,false,,SJ 21,,China,false,2021-10-24,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-095B,false,,SYRACUSE 4A,,France,false,2021-10-24,,F,in GSO,false,,false,------,Not registered with the United Nations.,,,,,,,
2020-029C,true,,,FalconSat 8,USA,true,2021-10-20,,T,in orbit,true,,false,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,The registration submission for this space object is presently being processed by the United Nations Secretariat. Day of launch is estimated date of deployment from USA 299 (X-37B) (international designator 2020-029A).,,['/osoindex/data/documents/us/st/stsgser.e1031.html'],['ST/SG/SER.E/1031'],,,,
2021-093A,true,,,Lucy,USA,true,2021-10-16,,T,heliocentric,true,,true,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,['/osoindex/data/documents/us/st/stsgser.e1031.html'],['ST/SG/SER.E/1031'],,,,
2021-092A,false,,SHENZHOU 13 (SZ 13),,China,false,2021-10-15,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-090AB,true,49304,ONEWEB 0378,OWLID000348 (SL0378),United Kingdom,true,2021-10-14,,T,in orbit,true,,true,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,https://www.oneweb.world/,['/osoindex/data/documents/gb/st/stsgser.e1026.html'],['ST/SG/SER.E/1026'],['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,
2021-090AE,true,49307,ONEWEB 0381,OWLID000351 (SL0381),United Kingdom,true,2021-10-14,,T,in orbit,true,,true,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,https://www.oneweb.world/,['/osoindex/data/documents/gb/st/stsgser.e1026.html'],['ST/SG/SER.E/1026'],['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,
2021-090AF,true,49308,ONEWEB 0382,OWLID000352 (SL0382),United Kingdom,true,2021-10-14,,T,in orbit,true,,true,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,https://www.oneweb.world/,['/osoindex/data/documents/gb/st/stsgser.e1026.html'],['ST/SG/SER.E/1026'],['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,
2021-090AG,true,49309,ONEWEB 0383,OWLID000353 (SL0383),United Kingdom,true,2021-10-14,,T,in orbit,true,,true,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,https://www.oneweb.world/,['/osoindex/data/documents/gb/st/stsgser.e1026.html'],['ST/SG/SER.E/1026'],['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,
2021-090AB,true,49304,ONEWEB 0378,OWLID000348 (SL0378),United Kingdom,true,2021-10-14,,T,in orbit,true,,true,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,https://www.oneweb.world/,['/osoindex/data/documents/gb/st/stsgser.e1026.html'],['ST/SG/SER.E/1026'],['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,
2021-090AH,true,49310,ONEWEB 0384,OWLID000354 (SL0384),United Kingdom,true,2021-10-14,,T,in orbit,true,,true,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,https://www.oneweb.world/,['/osoindex/data/documents/gb/st/stsgser.e1026.html'],['ST/SG/SER.E/1026'],['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,
2021-090AJ,true,49311,ONEWEB 0385,OWLID000355 (SL0385),United Kingdom,true,2021-10-14,,T,in orbit,true,,true,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,https://www.oneweb.world/,['/osoindex/data/documents/gb/st/stsgser.e1026.html'],['ST/SG/SER.E/1026'],['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,
2021-090AD,true,49306,ONEWEB 0380,OWLID000350 (SL0380),United Kingdom,true,2021-10-14,,T,in orbit,true,,true,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,https://www.oneweb.world/,['/osoindex/data/documents/gb/st/stsgser.e1026.html'],['ST/SG/SER.E/1026'],['/osoindex/data/documents/ru/st/stsgser.e1028.html'],['ST/SG/SER.E/1028'],,
