,Entity,metric,value
87,Cape Verde,threshold below $1.90 per day,15060.2
88,Serbia,threshold below $1.90 per day,379492.4
89,Jordan,threshold below $1.90 per day,10182.32
90,Tonga,threshold below $1.90 per day,595.65
91,Morocco,threshold below $1.90 per day,249961.29
92,Belize,threshold below $1.90 per day,51334.37
93,Nicaragua,threshold below $1.90 per day,137381.39
94,Jamaica,threshold below $1.90 per day,53639.63
95,Guyana,threshold below $1.90 per day,49300.23
96,China,threshold below $1.90 per day,4892188.67
97,Mauritius,threshold below $1.90 per day,2654.79
98,Peru,threshold below $1.90 per day,1076442.68
99,Namibia,threshold below $1.90 per day,354961.53
100,Mexico,threshold below $1.90 per day,2405691.83
101,Bolivia,threshold below $1.90 per day,732718.47
102,Dominican Republic,threshold below $1.90 per day,72746.18
103,Ecuador,threshold below $1.90 per day,541061.84
104,Colombia,threshold below $1.90 per day,1969910.97
105,South Africa,threshold below $1.90 per day,10858072.91
106,Thailand,threshold below $1.90 per day,20657.47
107,Montenegro,threshold below $1.90 per day,14992.67
108,Maldives,threshold below $1.90 per day,0.0
109,Belarus,threshold below $1.90 per day,0.0
110,Romania,threshold below $1.90 per day,601771.69
111,Iran,threshold below $1.90 per day,287126.82
112,Paraguay,threshold below $1.90 per day,60953.87
113,Poland,threshold below $1.90 per day,0.0
114,Azerbaijan,threshold below $1.90 per day,0.0
115,Bulgaria,threshold below $1.90 per day,97065.44
116,Russia,threshold below $1.90 per day,62558.75
117,Seychelles,threshold below $1.90 per day,572.0
118,Turkey,threshold below $1.90 per day,112445.58
119,Brazil,threshold below $1.90 per day,9183006.89
120,Saint Lucia,threshold below $1.90 per day,8106.61
121,Croatia,threshold below $1.90 per day,21850.26
122,Argentina (Urban),threshold below $1.90 per day,375209.23
123,Greece,threshold below $1.90 per day,95401.92
124,Lebanon,threshold below $1.90 per day,0.0
125,Bosnia and Herzegovina,threshold below $1.90 per day,1976.95
126,Chile,threshold below $1.90 per day,53119.36
127,Costa Rica,threshold below $1.90 per day,52367.59
128,Hungary,threshold below $1.90 per day,57938.75
129,Panama,threshold below $1.90 per day,103618.35
130,Trinidad and Tobago,threshold below $1.90 per day,3830.24
131,Slovakia,threshold below $1.90 per day,40643.22
132,Latvia,threshold below $1.90 per day,14606.76
133,Uruguay,threshold below $1.90 per day,1860.86
134,Portugal,threshold below $1.90 per day,42282.32
135,Malaysia,threshold below $1.90 per day,2840.81
136,Lithuania,threshold below $1.90 per day,28920.62
137,Czechia,threshold below $1.90 per day,0.0
138,Estonia,threshold below $1.90 per day,3539.89
139,Israel,threshold below $1.90 per day,21033.44
140,Spain,threshold below $1.90 per day,320448.15
141,Slovenia,threshold below $1.90 per day,0.0
142,Italy,threshold below $1.90 per day,858463.2
143,Cyprus,threshold below $1.90 per day,387.28
144,South Korea,threshold below $1.90 per day,116419.53
145,Taiwan,threshold below $1.90 per day,0.0
146,United Kingdom,threshold below $1.90 per day,196892.0
147,Japan,threshold below $1.90 per day,922858.48
148,Malta,threshold below $1.90 per day,748.27
149,United States,threshold below $1.90 per day,4062069.0
150,France,threshold below $1.90 per day,9110.91
151,Ireland,threshold below $1.90 per day,11691.38
152,Germany,threshold below $1.90 per day,0.0
153,Belgium,threshold below $1.90 per day,16820.29
154,Canada,threshold below $1.90 per day,90265.88
155,Australia,threshold below $1.90 per day,122636.29
156,Finland,threshold below $1.90 per day,3623.18
157,Austria,threshold below $1.90 per day,27984.14
158,Netherlands,threshold below $1.90 per day,32338.1
159,Sweden,threshold below $1.90 per day,24978.29
160,Denmark,threshold below $1.90 per day,8123.16
161,Luxembourg,threshold below $1.90 per day,1688.41
162,Switzerland,threshold below $1.90 per day,0.0
163,Iceland,threshold below $1.90 per day,0.0
164,Norway,threshold below $1.90 per day,13271.26
165,United Arab Emirates,threshold below $1.90 per day,0.0
166,Guinea-Bissau,threshold $1.90 - $10 per day,592097.73
167,Mali,threshold $1.90 - $10 per day,10122569.630000003
168,Somalia,threshold $1.90 - $10 per day,4525268.98
169,Madagascar,threshold $1.90 - $10 per day,5539934.210000001
170,Burundi,threshold $1.90 - $10 per day,2314525.3999999985
171,Niger,threshold $1.90 - $10 per day,12144404.26
172,Democratic Republic of Congo,threshold $1.90 - $10 per day,21841445.449999996
173,South Sudan,threshold $1.90 - $10 per day,2336009.869999999
174,Timor,threshold $1.90 - $10 per day,959443.54
175,Nigeria,threshold $1.90 - $10 per day,109218185.73999998
176,Yemen,threshold $1.90 - $10 per day,12702749.02
177,Togo,threshold $1.90 - $10 per day,3841494.3699999996
178,Sierra Leone,threshold $1.90 - $10 per day,4067057.4799999995
179,Liberia,threshold $1.90 - $10 per day,2565260.05
180,Malawi,threshold $1.90 - $10 per day,5374623.389999999
181,Burkina Faso,threshold $1.90 - $10 per day,11402806.799999999
182,Guinea,threshold $1.90 - $10 per day,8865943.670000002
183,Chad,threshold $1.90 - $10 per day,8443272.23
184,Ethiopia,threshold $1.90 - $10 per day,77140145.08
185,Benin,threshold $1.90 - $10 per day,5449187.040000001
186,Papua New Guinea,threshold $1.90 - $10 per day,5661228.91
187,Senegal,threshold $1.90 - $10 per day,9960732.010000002
188,Tanzania,threshold $1.90 - $10 per day,26658761.53
189,Kenya,threshold $1.90 - $10 per day,30760787.810000002
190,Solomon Islands,threshold $1.90 - $10 per day,466793.69999999995
191,Uzbekistan,threshold $1.90 - $10 per day,26450681.36
192,Rwanda,threshold $1.90 - $10 per day,5009058.430000001
193,Uganda,threshold $1.90 - $10 per day,22673471.200000003
194,Bangladesh,threshold $1.90 - $10 per day,135700428.44
195,Syria,threshold $1.90 - $10 per day,12053458.850000001
196,Nepal,threshold $1.90 - $10 per day,23983909.19
197,Kyrgyzstan,threshold $1.90 - $10 per day,5656404.3
198,Mauritania,threshold $1.90 - $10 per day,3589927.7800000003
199,Cote d'Ivoire,threshold $1.90 - $10 per day,16793553.33
200,Iraq,threshold $1.90 - $10 per day,31885336.32
201,Congo,threshold $1.90 - $10 per day,2453079.2100000004
202,Angola,threshold $1.90 - $10 per day,15246999.830000002
203,Central African Republic,threshold $1.90 - $10 per day,1173805.79
204,Vanuatu,threshold $1.90 - $10 per day,224117.84999999998
205,Sudan,threshold $1.90 - $10 per day,34416749.18
206,Micronesia (country),threshold $1.90 - $10 per day,83799.29000000001
207,India,threshold $1.90 - $10 per day,1127569739.29
208,Pakistan,threshold $1.90 - $10 per day,187307943.31
209,Gambia,threshold $1.90 - $10 per day,1843659.42
210,Myanmar,threshold $1.90 - $10 per day,46521165.19
211,Lesotho,threshold $1.90 - $10 per day,1340654.28
212,Egypt,threshold $1.90 - $10 per day,86741361.2
213,Kiribati,threshold $1.90 - $10 per day,91566.26
214,Zimbabwe,threshold $1.90 - $10 per day,8589698.8
215,Zambia,threshold $1.90 - $10 per day,6260942.85
216,Haiti,threshold $1.90 - $10 per day,7918629.630000001
217,Mozambique,threshold $1.90 - $10 per day,9915507.270000003
218,Laos,threshold $1.90 - $10 per day,5639066.44
219,Moldova,threshold $1.90 - $10 per day,1824857.01
220,Tajikistan,threshold $1.90 - $10 per day,6910678.11
221,Albania,threshold $1.90 - $10 per day,1990457.55
222,Djibouti,threshold $1.90 - $10 per day,698576.84
223,Cameroon,threshold $1.90 - $10 per day,15873598.09
224,Philippines,threshold $1.90 - $10 per day,84306814.81
225,Indonesia,threshold $1.90 - $10 per day,211104246.76
226,Algeria,threshold $1.90 - $10 per day,28416471.619999997
227,Kosovo,threshold $1.90 - $10 per day,1319789.73
228,Sao Tome and Principe,threshold $1.90 - $10 per day,122495.42000000001
229,Comoros,threshold $1.90 - $10 per day,554628.57
230,Bhutan,threshold $1.90 - $10 per day,517911.96
231,Armenia,threshold $1.90 - $10 per day,2390126.7399999998
232,Ghana,threshold $1.90 - $10 per day,20114960.09
233,Mongolia,threshold $1.90 - $10 per day,2165477.1599999997
234,Georgia,threshold $1.90 - $10 per day,2688384.1
235,Eswatini,threshold $1.90 - $10 per day,636155.8
236,Nauru,threshold $1.90 - $10 per day,9188.460000000001
237,Palestine,threshold $1.90 - $10 per day,2514250.19
238,Kazakhstan,threshold $1.90 - $10 per day,8944058.76
239,Gabon,threshold $1.90 - $10 per day,1269708.79
240,Sri Lanka,threshold $1.90 - $10 per day,16308926.52
241,North Macedonia,threshold $1.90 - $10 per day,875445.55
242,Vietnam,threshold $1.90 - $10 per day,57438080.19
243,Tuvalu,threshold $1.90 - $10 per day,8310.76
244,Ukraine,threshold $1.90 - $10 per day,16539244.98
245,Tunisia,threshold $1.90 - $10 per day,6320086.64
246,El Salvador,threshold $1.90 - $10 per day,3970894.65
247,Turkmenistan,threshold $1.90 - $10 per day,3796510.27
248,Fiji,threshold $1.90 - $10 per day,571632.8200000001
249,Honduras,threshold $1.90 - $10 per day,5656323.459999999
250,Guatemala,threshold $1.90 - $10 per day,10714048.73
251,Botswana,threshold $1.90 - $10 per day,1404445.36
252,Samoa,threshold $1.90 - $10 per day,127878.16
253,Cape Verde,threshold $1.90 - $10 per day,356395.32
254,Serbia,threshold $1.90 - $10 per day,2860527.5500000003
255,Jordan,threshold $1.90 - $10 per day,5582751.64
256,Tonga,threshold $1.90 - $10 per day,63172.15
257,Morocco,threshold $1.90 - $10 per day,22543091.86
258,Belize,threshold $1.90 - $10 per day,229610.38
259,Nicaragua,threshold $1.90 - $10 per day,3853903.21
260,Jamaica,threshold $1.90 - $10 per day,1774675.61
261,Guyana,threshold $1.90 - $10 per day,402031.65
262,China,threshold $1.90 - $10 per day,712068537.5500001
263,Mauritius,threshold $1.90 - $10 per day,584052.5499999999
264,Peru,threshold $1.90 - $10 per day,15139264.94
265,Namibia,threshold $1.90 - $10 per day,1380287.01
266,Mexico,threshold $1.90 - $10 per day,67909399.77
267,Bolivia,threshold $1.90 - $10 per day,4963036.15
268,Dominican Republic,threshold $1.90 - $10 per day,4864671.15
269,Ecuador,threshold $1.90 - $10 per day,7970861.859999999
270,Colombia,threshold $1.90 - $10 per day,25177864.77
271,South Africa,threshold $1.90 - $10 per day,30916417.62
272,Thailand,threshold $1.90 - $10 per day,26405590.35
273,Montenegro,threshold $1.90 - $10 per day,207853.4
274,Maldives,threshold $1.90 - $10 per day,107937.95
275,Belarus,threshold $1.90 - $10 per day,1092042.01
276,Romania,threshold $1.90 - $10 per day,5694664.529999999
277,Iran,threshold $1.90 - $10 per day,32383725.81
278,Paraguay,threshold $1.90 - $10 per day,2934390.59
279,Poland,threshold $1.90 - $10 per day,7007460.46
280,Azerbaijan,threshold $1.90 - $10 per day,429375.79
281,Bulgaria,threshold $1.90 - $10 per day,1557283.8900000001
282,Russia,threshold $1.90 - $10 per day,35082053.95
283,Seychelles,threshold $1.90 - $10 per day,17985.23
284,Turkey,threshold $1.90 - $10 per day,24512546.220000003
285,Brazil,threshold $1.90 - $10 per day,77032036.16
286,Saint Lucia,threshold $1.90 - $10 per day,64906.69
287,Croatia,threshold $1.90 - $10 per day,542082.84
288,Argentina (Urban),threshold $1.90 - $10 per day,11030731.79
289,Greece,threshold $1.90 - $10 per day,1716775.47
290,Lebanon,threshold $1.90 - $10 per day,828502.91
291,Bosnia and Herzegovina,threshold $1.90 - $10 per day,467156.06
292,Chile,threshold $1.90 - $10 per day,3557568.87
293,Costa Rica,threshold $1.90 - $10 per day,1434743.13
294,Hungary,threshold $1.90 - $10 per day,823895.03
295,Panama,threshold $1.90 - $10 per day,1132227.73
296,Trinidad and Tobago,threshold $1.90 - $10 per day,297381.89
297,Slovakia,threshold $1.90 - $10 per day,342782.32999999996
298,Latvia,threshold $1.90 - $10 per day,197881.19
299,Uruguay,threshold $1.90 - $10 per day,520064.63
300,Portugal,threshold $1.90 - $10 per day,786280.8200000001
301,Malaysia,threshold $1.90 - $10 per day,4294455.670000001
302,Lithuania,threshold $1.90 - $10 per day,274372.99
303,Czechia,threshold $1.90 - $10 per day,182273.17
304,Estonia,threshold $1.90 - $10 per day,46654.8
305,Israel,threshold $1.90 - $10 per day,891788.42
306,Spain,threshold $1.90 - $10 per day,2739852.43
307,Slovenia,threshold $1.90 - $10 per day,16580.11
308,Italy,threshold $1.90 - $10 per day,2636130.3200000003
309,Cyprus,threshold $1.90 - $10 per day,8726.92
310,South Korea,threshold $1.90 - $10 per day,1294965.21
311,Taiwan,threshold $1.90 - $10 per day,175697.89
312,United Kingdom,threshold $1.90 - $10 per day,1264456.79
313,Japan,threshold $1.90 - $10 per day,2466445.37
314,Malta,threshold $1.90 - $10 per day,3712.03
315,United States,threshold $1.90 - $10 per day,5668167.029999999
316,France,threshold $1.90 - $10 per day,252418.28
317,Ireland,threshold $1.90 - $10 per day,23015.030000000006
318,Germany,threshold $1.90 - $10 per day,1028698.63
319,Belgium,threshold $1.90 - $10 per day,60366.23
320,Canada,threshold $1.90 - $10 per day,457815.95999999996
321,Australia,threshold $1.90 - $10 per day,241025.45
322,Finland,threshold $1.90 - $10 per day,18738.079999999998
323,Austria,threshold $1.90 - $10 per day,82461.12
324,Netherlands,threshold $1.90 - $10 per day,144857.06
325,Sweden,threshold $1.90 - $10 per day,98308.47
326,Denmark,threshold $1.90 - $10 per day,10701.93
327,Luxembourg,threshold $1.90 - $10 per day,8314.02
328,Switzerland,threshold $1.90 - $10 per day,32297.69
329,Iceland,threshold $1.90 - $10 per day,793.63
330,Norway,threshold $1.90 - $10 per day,37258.18
331,United Arab Emirates,threshold $1.90 - $10 per day,77597.28
332,Guinea-Bissau,threshold $10 - $30 per day,62164.45999999996
333,Mali,threshold $10 - $30 per day,137054.65999999642
334,Somalia,threshold $10 - $30 per day,52544.169999999925
335,Madagascar,threshold $10 - $30 per day,132133.2100000009
336,Burundi,threshold $10 - $30 per day,35220.31000000052
337,Niger,threshold $10 - $30 per day,234287.44999999925
338,Democratic Republic of Congo,threshold $10 - $30 per day,400604.0200000107
339,South Sudan,threshold $10 - $30 per day,38532.44000000134
340,Timor,threshold $10 - $30 per day,15147.270000000019
341,Nigeria,threshold $10 - $30 per day,2641343.050000012
342,Yemen,threshold $10 - $30 per day,244612.41000000015
343,Togo,threshold $10 - $30 per day,164208.48000000045
344,Sierra Leone,threshold $10 - $30 per day,121948.35000000056
345,Liberia,threshold $10 - $30 per day,38945.73000000045
346,Malawi,threshold $10 - $30 per day,142779.2400000021
347,Burkina Faso,threshold $10 - $30 per day,397381.58999999985
348,Guinea,threshold $10 - $30 per day,253598.12999999896
349,Chad,threshold $10 - $30 per day,424507.6500000004
350,Ethiopia,threshold $10 - $30 per day,2887143.370000005
351,Benin,threshold $10 - $30 per day,377624.6699999999
352,Papua New Guinea,threshold $10 - $30 per day,487578.0100000007
353,Senegal,threshold $10 - $30 per day,720584.6799999997
354,Tanzania,threshold $10 - $30 per day,1069231.4699999988
355,Kenya,threshold $10 - $30 per day,1743845.2299999967
356,Solomon Islands,threshold $10 - $30 per day,23430.170000000042
357,Uzbekistan,threshold $10 - $30 per day,1764945.5
358,Rwanda,threshold $10 - $30 per day,201140.75999999978
359,Uganda,threshold $10 - $30 per day,1384676.509999998
360,Bangladesh,threshold $10 - $30 per day,5511493.560000002
361,Syria,threshold $10 - $30 per day,643733.3499999996
362,Nepal,threshold $10 - $30 per day,1933868.289999999
363,Kyrgyzstan,threshold $10 - $30 per day,459703.7599999998
364,Mauritania,threshold $10 - $30 per day,435011.01999999955
365,Cote d'Ivoire,threshold $10 - $30 per day,1347017.7300000004
366,Iraq,threshold $10 - $30 per day,5088570.809999995
367,Congo,threshold $10 - $30 per day,173323.83000000007
368,Angola,threshold $10 - $30 per day,1022416.2799999975
369,Central African Republic,threshold $10 - $30 per day,78369.62999999989
370,Vanuatu,threshold $10 - $30 per day,18046.600000000035
371,Sudan,threshold $10 - $30 per day,2059305.1999999955
372,Micronesia (country),threshold $10 - $30 per day,10047.059999999998
373,India,threshold $10 - $30 per day,64233402.339999914
374,Pakistan,threshold $10 - $30 per day,11348913.76999998
375,Gambia,threshold $10 - $30 per day,136892.81000000006
376,Myanmar,threshold $10 - $30 per day,5897461.990000002
377,Lesotho,threshold $10 - $30 per day,172444.24
378,Egypt,threshold $10 - $30 per day,6395638.769999996
379,Kiribati,threshold $10 - $30 per day,9303.220000000001
380,Zimbabwe,threshold $10 - $30 per day,757604.1199999992
381,Zambia,threshold $10 - $30 per day,666593.6899999995
382,Haiti,threshold $10 - $30 per day,752083.4100000001
383,Mozambique,threshold $10 - $30 per day,746269.3899999969
384,Laos,threshold $10 - $30 per day,527306.3599999994
385,Moldova,threshold $10 - $30 per day,910080.76
386,Tajikistan,threshold $10 - $30 per day,1656195.7299999995
387,Albania,threshold $10 - $30 per day,824128.1499999999
388,Djibouti,threshold $10 - $30 per day,77485.72000000009
389,Cameroon,threshold $10 - $30 per day,2669056.5700000003
390,Philippines,threshold $10 - $30 per day,14030250.14
391,Indonesia,threshold $10 - $30 per day,39195087.84
392,Algeria,threshold $10 - $30 per day,12431998.899999999
393,Kosovo,threshold $10 - $30 per day,443727.80000000005
394,Sao Tome and Principe,threshold $10 - $30 per day,8490.789999999979
395,Comoros,threshold $10 - $30 per day,98213.4900000001
396,Bhutan,threshold $10 - $30 per day,207245.68999999994
397,Armenia,threshold $10 - $30 per day,493307.93000000017
398,Ghana,threshold $10 - $30 per day,5042705.960000001
399,Mongolia,threshold $10 - $30 per day,891372.4900000002
400,Georgia,threshold $10 - $30 per day,796454.1299999999
401,Eswatini,threshold $10 - $30 per day,143401.62
402,Nauru,threshold $10 - $30 per day,3319.67
403,Palestine,threshold $10 - $30 per day,1801598.8800000004
404,Kazakhstan,threshold $10 - $30 per day,8688062.56
405,Gabon,threshold $10 - $30 per day,678312.1099999999
406,Sri Lanka,threshold $10 - $30 per day,4435423.3500000015
407,North Macedonia,threshold $10 - $30 per day,1058623.34
408,Vietnam,threshold $10 - $30 per day,33021814.71
409,Tuvalu,threshold $10 - $30 per day,2679.09
410,Ukraine,threshold $10 - $30 per day,27084949.88
411,Tunisia,threshold $10 - $30 per day,4775581.07
412,El Salvador,threshold $10 - $30 per day,2117656.05
413,Turkmenistan,threshold $10 - $30 per day,1660647.0399999996
414,Fiji,threshold $10 - $30 per day,276861.13
415,Honduras,threshold $10 - $30 per day,2011363.1100000013
416,Guatemala,threshold $10 - $30 per day,3648867.709999999
417,Botswana,threshold $10 - $30 per day,418124.4600000002
418,Samoa,threshold $10 - $30 per day,59396.56
419,Cape Verde,threshold $10 - $30 per day,146682.76999999996
420,Serbia,threshold $10 - $30 per day,3522563.8499999996
421,Jordan,threshold $10 - $30 per day,3791734.4899999993
422,Tonga,threshold $10 - $30 per day,33932.229999999996
423,Morocco,threshold $10 - $30 per day,11243667.550000004
424,Belize,threshold $10 - $30 per day,76480.26000000001
425,Nicaragua,threshold $10 - $30 per day,2048589.6599999997
426,Jamaica,threshold $10 - $30 per day,919921.1900000002
427,Guyana,threshold $10 - $30 per day,278026.5
428,China,threshold $10 - $30 per day,587010872.8
429,Mauritius,threshold $10 - $30 per day,599974.9
430,Peru,threshold $10 - $30 per day,13074972.62
431,Namibia,threshold $10 - $30 per day,496796.7999999998
432,Mexico,threshold $10 - $30 per day,45419707.07000001
433,Bolivia,threshold $10 - $30 per day,4587618.430000001
434,Dominican Republic,threshold $10 - $30 per day,4693956.35
435,Ecuador,threshold $10 - $30 per day,6837721.59
436,Colombia,threshold $10 - $30 per day,17525864.400000002
437,South Africa,threshold $10 - $30 per day,9996704.89
438,Thailand,threshold $10 - $30 per day,36378646.16
439,Montenegro,threshold $10 - $30 per day,339619.98000000004
440,Maldives,threshold $10 - $30 per day,339886.35
441,Belarus,threshold $10 - $30 per day,7471963.24
442,Romania,threshold $10 - $30 per day,11350438.900000002
443,Iran,threshold $10 - $30 per day,39410419.04000001
444,Paraguay,threshold $10 - $30 per day,3096747.62
445,Poland,threshold $10 - $30 per day,26672074.740000002
446,Azerbaijan,threshold $10 - $30 per day,8237187.11
447,Bulgaria,threshold $10 - $30 per day,4381220.47
448,Russia,threshold $10 - $30 per day,87157861.53
449,Seychelles,threshold $10 - $30 per day,62532.48000000001
450,Turkey,threshold $10 - $30 per day,43676499.370000005
451,Brazil,threshold $10 - $30 per day,88290284.63000001
452,Saint Lucia,threshold $10 - $30 per day,77814.55999999998
453,Croatia,threshold $10 - $30 per day,2754610.92
454,Argentina (Urban),threshold $10 - $30 per day,20856373.17
455,Greece,threshold $10 - $30 per day,6771407.240000001
456,Lebanon,threshold $10 - $30 per day,4574085.53
457,Bosnia and Herzegovina,threshold $10 - $30 per day,2159348.29
458,Chile,threshold $10 - $30 per day,10831272.299999999
459,Costa Rica,threshold $10 - $30 per day,2366838.33
460,Hungary,threshold $10 - $30 per day,6667470.72
461,Panama,threshold $10 - $30 per day,1892811.1600000001
462,Trinidad and Tobago,threshold $10 - $30 per day,750468.2000000001
463,Slovakia,threshold $10 - $30 per day,3730144.8600000003
464,Latvia,threshold $10 - $30 per day,1146347.98
465,Uruguay,threshold $10 - $30 per day,1861936.66
466,Portugal,threshold $10 - $30 per day,6184694.82
467,Malaysia,threshold $10 - $30 per day,16616122.440000001
468,Lithuania,threshold $10 - $30 per day,1589231.0
469,Czechia,threshold $10 - $30 per day,6078073.48
470,Estonia,threshold $10 - $30 per day,633726.3999999999
471,Israel,threshold $10 - $30 per day,3421846.23
472,Spain,threshold $10 - $30 per day,17917022.619999997
473,Slovenia,threshold $10 - $30 per day,833213.6900000001
474,Italy,threshold $10 - $30 per day,19796911.32
475,Cyprus,threshold $10 - $30 per day,417842.31
476,South Korea,threshold $10 - $30 per day,15665526.15
477,Taiwan,threshold $10 - $30 per day,7183926.12
478,United Kingdom,threshold $10 - $30 per day,18922988.23
479,Japan,threshold $10 - $30 per day,34295796.449999996
480,Malta,threshold $10 - $30 per day,132109.39
481,United States,threshold $10 - $30 per day,63385303.019999996
482,France,threshold $10 - $30 per day,14354656.31
483,Ireland,threshold $10 - $30 per day,999025.27
484,Germany,threshold $10 - $30 per day,16726587.47
485,Belgium,threshold $10 - $30 per day,2280312.7
486,Canada,threshold $10 - $30 per day,6482999.29
487,Australia,threshold $10 - $30 per day,4307653.33
488,Finland,threshold $10 - $30 per day,957439.3
489,Austria,threshold $10 - $30 per day,1401958.39
490,Netherlands,threshold $10 - $30 per day,2669604.81
491,Sweden,threshold $10 - $30 per day,1481926.8699999999
492,Denmark,threshold $10 - $30 per day,795000.99
493,Luxembourg,threshold $10 - $30 per day,67964.85999999999
494,Switzerland,threshold $10 - $30 per day,942365.9600000001
495,Iceland,threshold $10 - $30 per day,33211.26
496,Norway,threshold $10 - $30 per day,337902.9
497,United Arab Emirates,threshold $10 - $30 per day,520996.93999999994
498,Guinea-Bissau,threshold Above $30 per day,0.0
499,Mali,threshold Above $30 per day,25.92000000178814
500,Somalia,threshold Above $30 per day,872.429999999702
501,Madagascar,threshold Above $30 per day,1567.469999998808
502,Burundi,threshold Above $30 per day,1732.320000000298
503,Niger,threshold Above $30 per day,4085.030000001192
504,Democratic Republic of Congo,threshold Above $30 per day,18282.159999996424
505,South Sudan,threshold Above $30 per day,3116.109999999404
506,Timor,threshold Above $30 per day,429.1699999999255
507,Nigeria,threshold Above $30 per day,66729.31000000238
508,Yemen,threshold Above $30 per day,16478.210000000894
509,Togo,threshold Above $30 per day,4926.25
510,Sierra Leone,threshold Above $30 per day,5096.629999999888
511,Liberia,threshold Above $30 per day,3400.179999999702
