,Entity,threshold below $1.90 per day,threshold $1.90 - $10 per day,threshold $10 - $30 per day,threshold Above $30 per day,share below $1.90 per day,share $1.90 - $10 per day,share $10 - $30 per day,share Above $30 per day,Population,cum_pop
4029,Micronesia (country),17156.79,83799.29000000001,10047.059999999998,455.8600000000006,0.15392915780690658,0.7518396002117371,0.0901413075660108,0.004089934415345558,111459.0,1179084244.0
2649,India,141279509.99,1127569739.29,64233402.339999914,5576183.380000114,0.10553809999692716,0.8423130000034699,0.04798339999750565,0.0041655000020973335,1338658835.0,2517743079.0
4708,Pakistan,8351444.8,187307943.31,11348913.76999998,888384.1200000048,0.040171130000600394,0.9009664699994304,0.05458919999330812,0.004273200006661024,207896686.0,2725639765.0
2142,Gambia,223787.71,1843659.42,136892.81000000006,9554.060000000056,0.10108329938109051,0.8327677025187294,0.06183349790008016,0.00431550020009994,2213894.0,2727853659.0
4302,Myanmar,728152.28,46521165.19,5897461.990000002,235801.5399999991,0.013640259919242196,0.8714671400020917,0.11047540001859411,0.004417200060072013,53382581.0,2781236240.0
3527,Lesotho,568817.01,1340654.28,172444.24,9496.469999999972,0.2719775013244641,0.641028300497463,0.08245350031461997,0.004540697863453003,2091412.0,2783327652.0
1752,Egypt,2860944.45,86741361.2,6395638.769999996,444648.5799999982,0.029664740038667356,0.8994092599729251,0.06631549993683802,0.0046105000515695195,96442593.0,2879770245.0
3273,Kiribati,12746.19,91566.26,9303.220000000001,542.3300000000017,0.11165393577322659,0.802101123004958,0.08149424481858478,0.0047506964032306255,114158.0,2879884403.0
6992,Zimbabwe,4820944.83,8589698.8,757604.1199999992,68497.25,0.3386269003202628,0.6033470993545225,0.05321470041080312,0.004811299914411616,14236745.0,2894121148.0
6953,Zambia,9842772.89,6260942.85,666593.6899999995,83378.5700000003,0.5840130000033228,0.3714880001338579,0.039551799582382176,0.004947200280437154,16853688.0,2910974836.0
2493,Haiti,2257279.27,7918629.630000001,752083.4100000001,54373.68999999948,0.20553670037949928,0.721031299630699,0.06848100036003173,0.0049509996297700766,10982366.0,2921957202.0
4263,Mozambique,17823234.83,9915507.270000003,746269.3899999969,163995.51000000164,0.6221239999697022,0.34610300000973865,0.02604870004743958,0.0057242999731195445,28649007.0,2950606209.0
3371,Laos,745345.88,5639066.44,527306.3599999994,41316.3200000003,0.10719719949633505,0.8110223003335953,0.07583830082834322,0.005942199341726353,6953035.0,2957559244.0
4107,Moldova,1687.38,1824857.01,910080.76,18532.850000000093,0.000612444005026209,0.6623420544302723,0.3303189000413044,0.00672660152339724,2755158.0,2960314402.0
6089,Tajikistan,248271.6,6910678.11,1656195.7299999995,65122.56000000052,0.027957669746003163,0.7782060304936743,0.1865028994620432,0.007333400298279345,8880268.0,2969194670.0
36,Albania,36393.68,1990457.55,824128.1499999999,22477.62000000011,0.01266546880638896,0.6927048325414301,0.2868071977412573,0.007822500910923711,2873457.0,2972068127.0
1596,Djibouti,160562.48,698576.84,77485.72000000009,7471.959999999963,0.17006989747875484,0.7399418068270527,0.0820738970677802,0.00791439862641229,944097.0,2973012224.0
855,Cameroon,5812051.11,15873598.09,2669056.5700000003,211339.23000000045,0.23658880011007064,0.6461600998451318,0.10864819998497928,0.008602900059818357,24566045.0,2997578269.0
4942,Philippines,5903427.89,84306814.81,14030250.14,932771.1599999964,0.05613049995291579,0.8015993000844778,0.1334012999729665,0.008868899989639918,105173264.0,3102751533.0
2766,Indonesia,11790469.11,211104246.76,39195087.84,2556082.2900000215,0.044551870003374995,0.7976857299795697,0.14810390001679452,0.009658500000260806,264645886.00000003,3367397419.0
75,Algeria,136301.21,28416471.619999997,12431998.899999999,404426.2700000033,0.0032931590025010874,0.686567341072905,0.30036819993467856,0.009771299989915322,41389198.0,3408786617.0
3293,Kosovo,7884.73,1319789.73,443727.80000000005,19600.73999999999,0.00440241026955287,0.7368997874375419,0.24775380052406393,0.010944001768841253,1791003.0,3410577620.0
5254,Sao Tome and Principe,73803.5,122495.42000000001,8490.789999999979,2299.290000000008,0.35638541882958535,0.5915109928581431,0.041000680866680406,0.011102907445591066,207089.0,3410784709.0
1245,Comoros,151739.75,554628.57,98213.4900000001,9310.189999999944,0.18643720542774717,0.6814522934246804,0.12067140357688748,0.011439097570684986,813892.0,3411598601.0
543,Bhutan,11501.19,517911.96,207245.68999999994,8909.160000000033,0.015426077835958625,0.6946542233572257,0.2779702052663204,0.011949493540495343,745568.0,3412344169.0
192,Armenia,25937.68,2390126.7399999998,493307.93000000017,35436.64999999991,0.008807932874424114,0.8116406666782123,0.16751780166387706,0.012033598783486435,2944809.0,3415288978.0
2259,Ghana,3594853.39,20114960.09,5042705.960000001,368951.55999999866,0.12344339988869381,0.690726099996803,0.17316110027546344,0.012669399839039678,29121471.0,3444410449.0
4146,Mongolia,16190.85,2165477.1599999997,891372.4900000002,40738.5,0.0051997428205405715,0.6954498569102046,0.2862671018078034,0.013083298461451504,3113779.0,3447524228.0
2181,Georgia,185509.58,2688384.1,796454.1299999999,57656.189999999944,0.04976110004173815,0.7211323002872315,0.2136409000634119,0.015465699607618432,3728004.0,3451252232.0
1869,Eswatini,321772.04,636155.8,143401.62,23423.540000000037,0.28608240209183705,0.565596001966654,0.1274960991435453,0.020825496797963673,1124753.0,3452376985.0
4357,Nauru,84.56,9188.460000000001,3319.67,283.3099999999995,0.006567256912084499,0.7136113699906804,0.25781842187014603,0.022002951227089118,12876.0,3452389861.0
4747,Palestine,39770.59,2514250.19,1801598.8800000004,99185.33999999985,0.008927571464968724,0.5643906276481238,0.40441700141757053,0.02226479946933701,4454805.0,3456844666.0
3195,Kazakhstan,3502.46,8944058.76,8688062.56,402152.2199999988,0.00019417360543783226,0.4958515262635482,0.481659299904822,0.022295000226191897,18037776.0,3474882442.0
2103,Gabon,69899.23,1269708.79,678312.1099999999,46902.87000000011,0.033852407688213466,0.6149237924994055,0.3285085985578424,0.02271520125453858,2064823.0,3476947265.0
5739,Sri Lanka,176204.23,16308926.52,4435423.3500000015,523445.8999999985,0.00821694786420444,0.7605356519306099,0.20683750000000006,0.02440990020518553,21444000.0,3498391265.0
4591,North Macedonia,94836.21,875445.55,1058623.34,53090.89999999991,0.045550620654410484,0.42048378094866656,0.5084655974363064,0.025500000960616595,2081996.0,3500473261.0
6836,Vietnam,1698982.18,57438080.19,33021814.71,2437764.920000002,0.01796028002769908,0.6071894200007649,0.3490802000138652,0.025770099957670822,94596642.0,3595069903.0
6451,Tuvalu,83.58,8310.76,2679.09,296.5699999999997,0.007350923482849604,0.7309375549692173,0.2356279683377309,0.02608355321020226,11370.0,3595081273.0
6529,Ukraine,10285.07,16539244.98,27084949.88,1196655.0700000003,0.0002294180149576851,0.36892318206978253,0.6041548999372869,0.026692499977972906,44831135.0,3639912408.0
6343,Tunisia,28147.36,6320086.64,4775581.07,309627.9299999997,0.0024618446079627985,0.5527719550445128,0.4176853000447897,0.02708090030273468,11433443.0,3651345851.0
1791,El Salvador,121679.35,3970894.65,2117656.05,177891.9500000002,0.019047749870775794,0.6216059508569185,0.33149899923639525,0.027847300035910426,6388122.0,3657733973.0
6421,Turkmenistan,134826.7,3796510.27,1660647.0399999996,165684.99000000022,0.023416889717001795,0.6593832104624284,0.2884234991625951,0.028776400657974648,5757669.0,3663491642.0
1986,Fiji,1857.97,571632.8200000001,276861.13,27107.079999999958,0.002117443664034445,0.6514638518722813,0.31552600178469875,0.03089270267898552,877459.0,3664369101.0
2532,Honduras,1455394.56,5656323.459999999,2011363.1100000013,305931.8699999992,0.15435280023476478,0.5998849996282749,0.21331640013647252,0.032445800000487766,9429013.0,3673798114.0
2337,Guatemala,1191995.15,10714048.73,3648867.709999999,532506.4100000001,0.07409487028931554,0.6659893296736618,0.22681499977187136,0.033100800265151324,16087418.0,3689885532.0
660,Botswana,308381.42,1404445.36,418124.4600000002,74176.75999999978,0.13984740114859545,0.6368996992464837,0.1896145983362418,0.03363830126867909,2205128.0,3692090660.0
5215,Samoa,1092.0,127878.16,59396.56,6985.279999999999,0.005589909496703386,0.6546037921290798,0.3040488963512019,0.03575740202301486,195352.0,3692286012.0
933,Cape Verde,15060.2,356395.32,146682.76999999996,19358.71000000002,0.02801913313004538,0.6630647612916909,0.2728996999053017,0.03601640567296194,537497.0,3692823509.0
5332,Serbia,379492.4,2860527.5500000003,3522563.8499999996,258274.2000000002,0.0540521400660717,0.4074327596427674,0.501728399862239,0.03678670042892196,7020858.0,3699844367.0
3156,Jordan,10182.32,5582751.64,3791734.4899999993,394504.55000000075,0.001041225060646744,0.5708817749721781,0.38773570014560527,0.04034129982156986,9779173.0,3709623540.0
6265,Tonga,595.65,63172.15,33932.229999999996,4297.970000000001,0.005839820388635071,0.6193469479793722,0.33267544461656107,0.04213778701543169,101998.0,3709725538.0
4224,Morocco,249961.29,22543091.86,11243667.550000004,1544573.299999997,0.0070250758727324536,0.633565824222132,0.31599939985319264,0.04340970005194294,35581294.0,3745306832.0
465,Belize,51334.37,229610.38,76480.26000000001,18343.98999999999,0.13661150866622845,0.6110413046313028,0.203529987838273,0.0488171988641958,375769.0,3745682601.0
4474,Nicaragua,137381.39,3853903.21,2048589.6599999997,344980.7400000002,0.02151675958185425,0.6036007411288119,0.32085139913122535,0.05403110015810856,6384855.0,3752067456.0
3078,Jamaica,53639.63,1774675.61,919921.1900000002,172616.56999999983,0.018364371640750148,0.6075881292211557,0.31494949934145955,0.059097999796634694,2920853.0,3754988309.0
2454,Guyana,49300.23,402031.65,278026.5,45862.619999999995,0.06359506514916392,0.5186026307336876,0.35864160026624664,0.059160703850901865,775221.0,3755763530.0
1089,China,4892188.67,712068537.5500001,587010872.8,82423400.98000002,0.0035287119976630038,0.513611588003419,0.4234081000003606,0.059451599998557425,1386395000.0,5142158530.0
3956,Mauritius,2654.79,584052.5499999999,599974.9,77930.76000000001,0.0020992904548664294,0.4618429116259282,0.4744336014258908,0.06162419649331456,1264613.0,5143423143.0
4903,Peru,1076442.68,15139264.94,13074972.62,2153616.7600000016,0.0342333199562388,0.48146298007552846,0.41581379987601563,0.06848990009221709,31444297.0,5174867440.0
4341,Namibia,354961.53,1380287.01,496796.7999999998,170557.66000000015,0.14774040072371508,0.5744964981730232,0.20677440259585117,0.07098869850741056,2402603.0,5177270043.0
3995,Mexico,2405691.83,67909399.77,45419707.07000001,9042525.329999998,0.019279879972421914,0.5442447200582695,0.36400609993847927,0.07246930003082931,124777324.0,5302047367.0
582,Bolivia,732718.47,4963036.15,4587618.430000001,909480.9499999993,0.06546305973436266,0.44341113982188995,0.4098703002826625,0.08125550016108485,11192854.0,5313240221.0
1635,Dominican Republic,72746.18,4864671.15,4693956.35,881757.3200000003,0.0069195542222388355,0.4627233456902611,0.4464851003949251,0.08387199969257496,10513131.0,5323753352.0
1713,Ecuador,541061.84,7970861.859999999,6837721.59,1435715.710000001,0.032234149745126124,0.47486984998416176,0.4073622003125223,0.08553379995818981,16785361.0,5340538713.0
1206,Colombia,1969910.97,25177864.77,17525864.400000002,4236203.859999999,0.0402763699266757,0.514781130154494,0.35832999998936826,0.08661249992946204,48909844.0,5389448557.0
5571,South Africa,10858072.91,30916417.62,9996704.89,5229255.579999998,0.1904909999747195,0.5423890000449295,0.1753793998928184,0.09174060008753261,57000451.0,5446449008.0
6167,Thailand,20657.47,26405590.35,36378646.16,6404964.020000003,0.00029847583273469514,0.3815293241896263,0.5256280999738505,0.09254410000378853,69209858.0,5515658866.0
4185,Montenegro,14992.67,207853.4,339619.98000000004,59906.94999999995,0.024089525091866133,0.3339691792542414,0.5456855936873869,0.09625570196650554,622373.0,5516281239.0
3800,Maldives,0.0,107937.95,339886.35,48577.70000000001,0.0,0.21744060257613787,0.6846997997590661,0.09785959766479589,496402.0,5516777641.0
387,Belarus,0.0,1092042.01,7471963.24,934258.75,0.0,0.1149728002927693,0.7866661992128245,0.09836100049440613,9498264.0,5526275905.0
5059,Romania,601771.69,5694664.529999999,11350438.900000002,1940414.879999999,0.030722559884496525,0.29073263989045955,0.5794798004216001,0.09906499980344391,19587290.0,5545863195.0
2883,Iran,287126.82,32383725.81,39410419.04000001,8592679.329999998,0.003559101995636733,0.4014148979761757,0.4885148000251036,0.10651120000308399,80673951.0,5626537146.0
4864,Paraguay,60953.87,2934390.59,3096747.62,774969.9199999999,0.008876266152832173,0.42731383377636606,0.4509567002598783,0.1128531998109235,6867062.0,5633404208.0
4981,Poland,0.0,7007460.46,26672074.740000002,4295290.799999997,0.0,0.18452909988316998,0.7023620000260173,0.11310890009081272,37974826.0,5671379034.0
309,Azerbaijan,0.0,429375.79,8237187.11,1187470.0999999996,0.0,0.043573609911799566,0.8359203901590344,0.12050599992916602,9854033.0,5681233067.0
738,Bulgaria,97065.44,1557283.8900000001,4381220.47,1040377.2000000002,0.013717660689092217,0.22008133893597565,0.6191708996689771,0.147030100705955,7075947.0,5688309014.0
5098,Russia,62558.75,35082053.95,87157861.53,22194265.769999996,0.00043294229336938674,0.2427878577053019,0.6031822000274886,0.15359699997384021,144496740.0,5832805754.0
5371,Seychelles,572.0,17985.23,62532.48000000001,14753.289999999994,0.005968093653161942,0.1876530367371639,0.6524470227350981,0.15393184687457606,95843.0,5832901597.0
6382,Turkey,112445.58,24512546.220000003,43676499.370000005,12800400.829999998,0.0013864729567591345,0.30224382706139585,0.5385385999379645,0.1578311000438806,81101892.0,5914003489.0
699,Brazil,9183006.89,77032036.16,88290284.63000001,33328503.319999993,0.044184370012406694,0.3706424300093857,0.4248118999933173,0.1603612999848903,207833831.0,6121837320.0
5176,Saint Lucia,8106.61,64906.69,77814.55999999998,30127.140000000014,0.04479903843497002,0.3586896742283993,0.4300216075819954,0.16648967975463522,180955.0,6122018275.0
1401,Croatia,21850.26,542082.84,2754610.92,805986.98,0.005297635052324737,0.1314289648932206,0.6678603991581104,0.19541300089634434,4124531.0,6126142806.0
153,Argentina (Urban),375209.23,11030731.79,20856373.17,8148359.809999999,0.0092849040330285,0.2729657958686856,0.5161105001614178,0.20163879993686812,40410674.0,6166553480.0
2298,Greece,95401.92,1716775.47,6771407.240000001,2171094.369999999,0.008870736169810368,0.159630563590043,0.6296243002696781,0.2018743999704686,10754679.0,6177308159.0
3488,Lebanon,0.0,828502.91,4574085.53,1409284.5599999996,0.0,0.12162630013800904,0.6714872003632482,0.2068864994987428,6811873.0,6184120032.0
621,Bosnia and Herzegovina,1976.95,467156.06,2159348.29,723045.7000000002,0.0005898654553581099,0.13938603508191938,0.6442878992172821,0.2157362002454404,3351527.0,6187471559.0
1050,Chile,53119.36,3557568.87,10831272.299999999,4028478.4700000007,0.0028759121534685777,0.19260878802068537,0.5864112000803012,0.2181040997455448,18470439.0,6205941998.0
1323,Costa Rica,52367.59,1434743.13,2366838.33,1096004.9500000002,0.010579409424814857,0.28984979052330584,0.4781536010233631,0.22141719902851625,4949954.0,6210891952.0
2571,Hungary,57938.75,823895.03,6667470.72,2238661.5,0.005919386111476072,0.08417428401365513,0.6811906293912341,0.2287157004836347,9787966.0,6220679918.0
4786,Panama,103618.35,1132227.73,1892811.1600000001,978113.7599999998,0.02523110005403272,0.2756978000477748,0.4609000988854748,0.23817100101271774,4106771.0,6224786689.0
6304,Trinidad and Tobago,3830.24,297381.89,750468.2000000001,332391.6699999999,0.0027673704836164593,0.21486013010883828,0.5422176013964592,0.24015489801108608,1384072.0,6226170761.0
5445,Slovakia,40643.22,342782.32999999996,3730144.8600000003,1325661.5899999999,0.007472235050830706,0.06302035471184167,0.6857852101178991,0.2437222001194286,5439232.0,6231609993.0
3449,Latvia,14606.76,197881.19,1146347.98,583412.0700000001,0.007520543205605051,0.10188255567775073,0.5902170989492588,0.30037980216738547,1942248.0,6233552241.0
6685,Uruguay,1860.86,520064.63,1861936.66,1052783.85,0.0005414756131414176,0.15132912438464713,0.5417889011553706,0.30634049884684084,3436646.0,6236988887.0
5020,Portugal,42282.32,786280.8200000001,6184694.82,3287042.04,0.00410496004970729,0.07633572031882567,0.6004383192722542,0.31912100035921287,10300300.0,6247289187.0
3761,Malaysia,2840.81,4294455.670000001,16616122.440000001,10191609.079999998,9.132960754769293e-05,0.13806307038206173,0.5341941000663945,0.3276514999439961,31105028.0,6278394215.0
3605,Lithuania,28920.62,274372.99,1589231.0,935878.3899999999,0.010225070472630668,0.09700632830611479,0.5618828010011303,0.3308858002201242,2828403.0,6281222618.0
1479,Czechia,0.0,182273.17,6078073.48,4334091.35,0.0,0.017204609626296365,0.5737041908216368,0.4090911995520668,10594438.0,6291817056.0
1830,Estonia,3539.89,46654.8,633726.3999999999,633462.91,0.002687060113072574,0.03541473101236997,0.4810491094472074,0.48084909942735,1317384.0,6293134440.0
3000,Israel,21033.44,891788.42,3421846.23,4378631.91,0.0024139464955872055,0.10234795312912445,0.3927153007471337,0.5025227996281547,8713300.0,6301847740.0
5700,Spain,320448.15,2739852.43,17917022.619999997,25615912.8,0.006877568022963677,0.05880365188629526,0.3845412801978381,0.5497774998929029,46593236.0,6348440976.0
5484,Slovenia,0.0,16580.11,833213.6900000001,1216594.2,0.0,0.008023715778450126,0.4032222844886827,0.5887539997328671,2066388.0,6350507364.0
3039,Italy,858463.2,2636130.3200000003,19796911.32,37245204.16,0.014180869990801778,0.0435459800102447,0.3270232499754818,0.6152499000234717,60536709.0,6411044073.0
1440,Cyprus,387.28,8726.92,417842.31,752723.49,0.00032829241828292413,0.0073977010714770105,0.3541997067001221,0.638074299810118,1179680.0,6412223753.0
5649,South Korea,116419.53,1294965.21,15665526.15,34285000.11,0.0022666510597707315,0.02521255897195881,0.3050027899078755,0.667518000060395,51361911.0,6463585664.0
6050,Taiwan,0.0,175697.89,7183926.12,16192845.99,0.0,0.007459849858634785,0.30501795013431715,0.6875222000070481,23552470.0,6487138134.0
6607,United Kingdom,196892.0,1264456.79,18922988.23,45674521.980000004,0.0029805540540747155,0.019141365884021704,0.28645648012176533,0.6914215999401383,66058859.0,6553196993.0
3117,Japan,922858.48,2466445.37,34295796.449999996,89100696.7,0.007278879037215817,0.019453640931089467,0.27050188003313963,0.702765599998555,126785797.0,6679982790.0
3878,Malta,748.27,3712.03,132109.39,331429.31,0.001598870937758414,0.007931704982275604,0.2822856245419328,0.7081837995380332,467999.0,6680450789.0
6646,United States,4062069.0,5668167.029999999,63385303.019999996,251869999.95,0.012499230004200279,0.017441289995368068,0.19504037999672347,0.7750191000037081,324985539.0,7005436328.0
2064,France,9110.91,252418.28,14354656.31,52248193.5,0.0001362595471050438,0.0037750785063000434,0.21468316201665463,0.7814054999299402,66864379.0,7072300707.0
2961,Ireland,11691.38,23015.030000000006,999025.27,3773656.32,0.0024319609734017723,0.004787429265122767,0.20781040972769413,0.7849702000337813,4807388.0,7077108095.0
2220,Germany,0.0,1028698.63,16726587.47,64901715.9,0.0,0.012445390046931536,0.20236140998677887,0.7851931999662896,82657002.0,7159765097.0
426,Belgium,16820.29,60366.23,2280312.7,9017658.78,0.0014786862740719733,0.005306847605984902,0.2004642660787657,0.7927502000411774,11375158.0,7171140255.0
894,Canada,90265.88,457815.95999999996,6482999.29,29512239.87,0.002470106096815886,0.012528033782151326,0.17740586002022093,0.8075960001008119,36543321.0,7207683576.0
231,Australia,122636.29,241025.45,4307653.33,19930544.93,0.004984838138254587,0.009797041768386618,0.17509462008157106,0.8101235000117877,24601860.0,7232285436.0
2025,Finland,3623.18,18738.079999999998,957439.3,4528413.4399999995,0.0006577776389951444,0.0034018431382658696,0.1738202800399549,0.8221200991827841,5508214.0,7237793650.0
270,Austria,27984.14,82461.12,1401958.39,7285162.35,0.0031808957159287013,0.009373174352997182,0.15935753025325414,0.8280883996778199,8797566.0,7246591216.0
4435,Netherlands,32338.1,144857.06,2669604.81,14284496.03,0.0018876622060584325,0.008455697689188255,0.15583204037803094,0.8338245997267223,17131296.0,7263722512.0
5933,Sweden,24978.29,98308.47,1481926.8699999999,8452484.370000001,0.0024834997034112577,0.00977445037621929,0.14734254995526808,0.8403994999651014,10057698.0,7273780210.0
1557,Denmark,8123.16,10701.93,795000.99,4951153.92,0.0014090525899482739,0.0018563689726590552,0.1379017776297576,0.858832800807635,5764980.0,7279545190.0
3644,Luxembourg,1688.41,8314.02,67964.85999999999,518368.71,0.0028313065117651793,0.01394183815835368,0.113970748034665,0.8692561072952162,596336.0,7280141526.0
5972,Switzerland,0.0,32297.69,942365.9600000001,7477176.35,0.0,0.0038213797232318643,0.11149831989247312,0.884680300384295,8451840.0,7288593366.0
2610,Iceland,0.0,793.63,33211.26,309395.11,0.0,0.002311094933022714,0.0967130460104834,0.9009758590564938,343400.0,7288936766.0
