country,year,region
POL,1910,Eastern Europe
ROU,1910,Eastern Europe
BGR,1950,Eastern Europe
CSK,1950,Eastern Europe
HUN,1950,Eastern Europe
POL,1950,Eastern Europe
ROU,1950,Eastern Europe
BGR,1990,Eastern Europe
CSK,1990,Eastern Europe
HUN,1990,Eastern Europe
POL,1990,Eastern Europe
ROU,1990,Eastern Europe
ARG,1820,Latin America
BRA,1820,Latin America
CHL,1820,Latin America
COL,1820,Latin America
MEX,1820,Latin America
PER,1820,Latin America
URY,1820,Latin America
VEN,1820,Latin America
ARG,1890,Latin America
BOL,1890,Latin America
BRA,1890,Latin America
CHL,1890,Latin America
COL,1890,Latin America
MEX,1890,Latin America
PER,1890,Latin America
URY,1890,Latin America
VEN,1890,Latin America
ARG,1900,Latin America
BOL,1900,Latin America
BRA,1900,Latin America
CHL,1900,Latin America
COL,1900,Latin America
ECU,1900,Latin America
MEX,1900,Latin America
PER,1900,Latin America
URY,1900,Latin America
VEN,1900,Latin America
ARG,1910,Latin America
BOL,1910,Latin America
BRA,1910,Latin America
CHL,1910,Latin America
COL,1910,Latin America
CUB,1910,Latin America
ECU,1910,Latin America
MEX,1910,Latin America
PAN,1910,Latin America
PER,1910,Latin America
URY,1910,Latin America
VEN,1910,Latin America
ARG,1920,Latin America
BOL,1920,Latin America
BRA,1920,Latin America
CHL,1920,Latin America
COL,1920,Latin America
CRI,1920,Latin America
CUB,1920,Latin America
ECU,1920,Latin America
SLV,1920,Latin America
GTM,1920,Latin America
HND,1920,Latin America
MEX,1920,Latin America
NIC,1920,Latin America
PAN,1920,Latin America
PER,1920,Latin America
URY,1920,Latin America
VEN,1920,Latin America
ARG,1940,Latin America
BOL,1940,Latin America
BRA,1940,Latin America
CHL,1940,Latin America
COL,1940,Latin America
CRI,1940,Latin America
CUB,1940,Latin America
ECU,1940,Latin America
SLV,1940,Latin America
GTM,1940,Latin America
HND,1940,Latin America
MEX,1940,Latin America
NIC,1940,Latin America
PAN,1940,Latin America
PRY,1940,Latin America
PER,1940,Latin America
URY,1940,Latin America
VEN,1940,Latin America
ARG,1950,Latin America
BRB,1950,Latin America
BOL,1950,Latin America
BRA,1950,Latin America
CHL,1950,Latin America
COL,1950,Latin America
CRI,1950,Latin America
CUB,1950,Latin America
DOM,1950,Latin America
DMA,1950,Latin America
ECU,1950,Latin America
SLV,1950,Latin America
GTM,1950,Latin America
HTI,1950,Latin America
HND,1950,Latin America
JAM,1950,Latin America
MEX,1950,Latin America
NIC,1950,Latin America
PAN,1950,Latin America
PRY,1950,Latin America
PER,1950,Latin America
PRI,1950,Latin America
LCA,1950,Latin America
TTO,1950,Latin America
URY,1950,Latin America
VEN,1950,Latin America
IND,1820,South and South East Asia
IDN,1820,South and South East Asia
IND,1870,South and South East Asia
IDN,1870,South and South East Asia
LKA,1870,South and South East Asia
IND,1920,South and South East Asia
IDN,1920,South and South East Asia
MYS,1920,South and South East Asia
PHL,1920,South and South East Asia
SGP,1920,South and South East Asia
LKA,1920,South and South East Asia
IND,1940,South and South East Asia
IDN,1940,South and South East Asia
MYS,1940,South and South East Asia
PHL,1940,South and South East Asia
SGP,1940,South and South East Asia
LKA,1940,South and South East Asia
AFG,1950,South and South East Asia
KHM,1950,South and South East Asia
IND,1950,South and South East Asia
IDN,1950,South and South East Asia
LAO,1950,South and South East Asia
MYS,1950,South and South East Asia
MNG,1950,South and South East Asia
MMR,1950,South and South East Asia
NPL,1950,South and South East Asia
PAK,1950,South and South East Asia
PHL,1950,South and South East Asia
SGP,1950,South and South East Asia
LKA,1950,South and South East Asia
THA,1950,South and South East Asia
VNM,1950,South and South East Asia
CHN,1820,East Asia
JPN,1820,East Asia
CHN,1850,East Asia
JPN,1850,East Asia
CHN,1870,East Asia
JPN,1870,East Asia
CHN,1920,East Asia
JPN,1920,East Asia
CHN,1940,East Asia
JPN,1940,East Asia
CHN,1950,East Asia
HKG,1950,East Asia
JPN,1950,East Asia
KOR,1950,East Asia
KOR,1950,East Asia
TWN,1950,East Asia
TUR,1820,Middle East
ARE,1950,Middle East
BHR,1950,Middle East
DZA,1950,Middle East
EGY,1950,Middle East
IRN,1950,Middle East
IRQ,1950,Middle East
ISR,1950,Middle East
JOR,1950,Middle East
KWT,1950,Middle East
LBN,1950,Middle East
LBY,1950,Middle East
MAR,1950,Middle East
OMN,1950,Middle East
QAT,1950,Middle East
SAU,1950,Middle East
SYR,1950,Middle East
TUN,1950,Middle East
TUR,1950,Middle East
YEM,1950,Middle East
AGO,1950,Sub Saharan Africa
BDI,1950,Sub Saharan Africa
BEN,1950,Sub Saharan Africa
BFA,1950,Sub Saharan Africa
BWA,1950,Sub Saharan Africa
CAF,1950,Sub Saharan Africa
CMR,1950,Sub Saharan Africa
COD,1950,Sub Saharan Africa
COG,1950,Sub Saharan Africa
COM,1950,Sub Saharan Africa
CPV,1950,Sub Saharan Africa
DJI,1950,Sub Saharan Africa
ETH,1950,Sub Saharan Africa
GHA,1950,Sub Saharan Africa
GIN,1950,Sub Saharan Africa
GNB,1950,Sub Saharan Africa
GNQ,1950,Sub Saharan Africa
KEN,1950,Sub Saharan Africa
LBR,1950,Sub Saharan Africa
LSO,1950,Sub Saharan Africa
MDG,1950,Sub Saharan Africa
MLI,1950,Sub Saharan Africa
MOZ,1950,Sub Saharan Africa
MRT,1950,Sub Saharan Africa
MUS,1950,Sub Saharan Africa
MWI,1950,Sub Saharan Africa
NAM,1950,Sub Saharan Africa
NER,1950,Sub Saharan Africa
NGA,1950,Sub Saharan Africa
RWA,1950,Sub Saharan Africa
SDN,1950,Sub Saharan Africa
SEN,1950,Sub Saharan Africa
SLE,1950,Sub Saharan Africa
STP,1950,Sub Saharan Africa
SWZ,1950,Sub Saharan Africa
SYC,1950,Sub Saharan Africa
TCD,1950,Sub Saharan Africa
TGO,1950,Sub Saharan Africa
TZA,1950,Sub Saharan Africa
UGA,1950,Sub Saharan Africa
ZAF,1950,Sub Saharan Africa
ZMB,1950,Sub Saharan Africa
ZWE,1950,Sub Saharan Africa
