country,Our World In Data Name,year,region
USA,United States,1820,Western Offshoots
BGR,Bulgaria,1910,Eastern Europe
CSK,Czechoslovakia,1910,Eastern Europe
HUN,Hungary,1910,Eastern Europe
POL,Poland,1910,Eastern Europe
ROU,Romania,1910,Eastern Europe
BGR,Bulgaria,1950,Eastern Europe
CSK,Czechoslovakia,1950,Eastern Europe
HUN,Hungary,1950,Eastern Europe
POL,Poland,1950,Eastern Europe
ROU,Romania,1950,Eastern Europe
BGR,Bulgaria,1990,Eastern Europe
CSK,Czechoslovakia,1990,Eastern Europe
HUN,Hungary,1990,Eastern Europe
POL,Poland,1990,Eastern Europe
ROU,Romania,1990,Eastern Europe
ARG,Argentina,1820,Latin America
BRA,Brazil,1820,Latin America
CHL,Chile,1820,Latin America
COL,Colombia,1820,Latin America
MEX,Mexico,1820,Latin America
PER,Peru,1820,Latin America
URY,Uruguay,1820,Latin America
VEN,Venezuela,1820,Latin America
ARG,Argentina,1890,Latin America
BOL,Bolivia,1890,Latin America
BRA,Brazil,1890,Latin America
CHL,Chile,1890,Latin America
COL,Colombia,1890,Latin America
MEX,Mexico,1890,Latin America
PER,Peru,1890,Latin America
URY,Uruguay,1890,Latin America
VEN,Venezuela,1890,Latin America
ARG,Argentina,1900,Latin America
BOL,Bolivia,1900,Latin America
BRA,Brazil,1900,Latin America
CHL,Chile,1900,Latin America
COL,Colombia,1900,Latin America
ECU,Ecuador,1900,Latin America
MEX,Mexico,1900,Latin America
PER,Peru,1900,Latin America
URY,Uruguay,1900,Latin America
VEN,Venezuela,1900,Latin America
ARG,Argentina,1910,Latin America
BOL,Bolivia,1910,Latin America
BRA,Brazil,1910,Latin America
CHL,Chile,1910,Latin America
COL,Colombia,1910,Latin America
CUB,Cuba,1910,Latin America
ECU,Ecuador,1910,Latin America
MEX,Mexico,1910,Latin America
PAN,Panama,1910,Latin America
PER,Peru,1910,Latin America
URY,Uruguay,1910,Latin America
VEN,Venezuela,1910,Latin America
ARG,Argentina,1920,Latin America
BOL,Bolivia,1920,Latin America
BRA,Brazil,1920,Latin America
CHL,Chile,1920,Latin America
COL,Colombia,1920,Latin America
CRI,Costa Rica,1920,Latin America
CUB,Cuba,1920,Latin America
ECU,Ecuador,1920,Latin America
SLV,El Salvador,1920,Latin America
GTM,Guatemala,1920,Latin America
HND,Honduras,1920,Latin America
MEX,Mexico,1920,Latin America
NIC,Nicaragua,1920,Latin America
PAN,Panama,1920,Latin America
PER,Peru,1920,Latin America
URY,Uruguay,1920,Latin America
VEN,Venezuela,1920,Latin America
ARG,Argentina,1940,Latin America
BOL,Bolivia,1940,Latin America
BRA,Brazil,1940,Latin America
CHL,Chile,1940,Latin America
COL,Colombia,1940,Latin America
CRI,Costa Rica,1940,Latin America
CUB,Cuba,1940,Latin America
ECU,Ecuador,1940,Latin America
SLV,El Salvador,1940,Latin America
GTM,Guatemala,1940,Latin America
HND,Honduras,1940,Latin America
MEX,Mexico,1940,Latin America
NIC,Nicaragua,1940,Latin America
PAN,Panama,1940,Latin America
PRY,Paraguay,1940,Latin America
PER,Peru,1940,Latin America
URY,Uruguay,1940,Latin America
VEN,Venezuela,1940,Latin America
ARG,Argentina,1950,Latin America
BRB,Barbados,1950,Latin America
BOL,Bolivia,1950,Latin America
BRA,Brazil,1950,Latin America
CHL,Chile,1950,Latin America
COL,Colombia,1950,Latin America
CRI,Costa Rica,1950,Latin America
CUB,Cuba,1950,Latin America
DOM,Dominican Republic,1950,Latin America
DMA,Dominica,1950,Latin America
ECU,Ecuador,1950,Latin America
SLV,El Salvador,1950,Latin America
GTM,Guatemala,1950,Latin America
HTI,Haiti,1950,Latin America
HND,Honduras,1950,Latin America
JAM,Jamaica,1950,Latin America
MEX,Mexico,1950,Latin America
NIC,Nicaragua,1950,Latin America
PAN,Panama,1950,Latin America
PRY,Paraguay,1950,Latin America
PER,Peru,1950,Latin America
PRI,Puerto Rico,1950,Latin America
LCA,Saint Lucia,1950,Latin America
TTO,Trinidad and Tobago,1950,Latin America
URY,Uruguay,1950,Latin America
VEN,Venezuela,1950,Latin America
IND,India,1820,South and South East Asia
IDN,Indonesia,1820,South and South East Asia
IND,India,1870,South and South East Asia
IDN,Indonesia,1870,South and South East Asia
LKA,Sri Lanka,1870,South and South East Asia
IND,India,1920,South and South East Asia
IDN,Indonesia,1920,South and South East Asia
MYS,Malaysia,1920,South and South East Asia
PHL,Philippines,1920,South and South East Asia
SGP,Singapore,1920,South and South East Asia
LKA,Sri Lanka,1920,South and South East Asia
IND,India,1940,South and South East Asia
IDN,Indonesia,1940,South and South East Asia
MYS,Malaysia,1940,South and South East Asia
PHL,Philippines,1940,South and South East Asia
SGP,Singapore,1940,South and South East Asia
LKA,Sri Lanka,1940,South and South East Asia
AFG,Afghanistan,1950,South and South East Asia
KHM,Cambodia,1950,South and South East Asia
IND,India,1950,South and South East Asia
IDN,Indonesia,1950,South and South East Asia
LAO,Laos,1950,South and South East Asia
MYS,Malaysia,1950,South and South East Asia
MNG,Mongolia,1950,South and South East Asia
MMR,Myanmar,1950,South and South East Asia
NPL,Nepal,1950,South and South East Asia
PAK,Pakistan,1950,South and South East Asia
PHL,Philippines,1950,South and South East Asia
SGP,Singapore,1950,South and South East Asia
LKA,Sri Lanka,1950,South and South East Asia
THA,Thailand,1950,South and South East Asia
VNM,Vietnam,1950,South and South East Asia
CHN,China,1820,East Asia
JPN,Japan,1820,East Asia
CHN,China,1850,East Asia
JPN,Japan,1850,East Asia
CHN,China,1870,East Asia
JPN,Japan,1870,East Asia
CHN,China,1920,East Asia
JPN,Japan,1920,East Asia
CHN,China,1940,East Asia
JPN,Japan,1940,East Asia
CHN,China,1950,East Asia
HKG,Hong Kong,1950,East Asia
JPN,Japan,1950,East Asia
KOR,South Korea,1950,East Asia
KOR,South Korea,1950,East Asia
TWN,Taiwan,1950,East Asia
TUR,Turkey,1820,Middle East
ARE,United Arab Emirates,1950,Middle East
BHR,Bahrain,1950,Middle East
DZA,Algeria,1950,Middle East
EGY,Egypt,1950,Middle East
IRN,Iran,1950,Middle East
IRQ,Iraq,1950,Middle East
ISR,Israel,1950,Middle East
JOR,Jordan,1950,Middle East
KWT,Kuwait,1950,Middle East
LBN,Lebanon,1950,Middle East
LBY,Libya,1950,Middle East
MAR,Morocco,1950,Middle East
OMN,Oman,1950,Middle East
QAT,Qatar,1950,Middle East
SAU,Saudi Arabia,1950,Middle East
SYR,Syria,1950,Middle East
TUN,Tunisia,1950,Middle East
TUR,Turkey,1950,Middle East
YEM,Yemen,1950,Middle East
AGO,Angola,1950,Sub Saharan Africa
BDI,Burundi,1950,Sub Saharan Africa
BEN,Benin,1950,Sub Saharan Africa
BFA,Burkina Faso,1950,Sub Saharan Africa
BWA,Botswana,1950,Sub Saharan Africa
CAF,Central African Republic,1950,Sub Saharan Africa
CMR,Cameroon,1950,Sub Saharan Africa
COD,Democratic Republic of Congo,1950,Sub Saharan Africa
COG,Congo,1950,Sub Saharan Africa
COM,Comoros,1950,Sub Saharan Africa
CPV,Cape Verde,1950,Sub Saharan Africa
DJI,Djibouti,1950,Sub Saharan Africa
ETH,Ethiopia,1950,Sub Saharan Africa
GHA,Ghana,1950,Sub Saharan Africa
GIN,Guinea,1950,Sub Saharan Africa
GNB,Guinea-Bissau,1950,Sub Saharan Africa
GNQ,Equatorial Guinea,1950,Sub Saharan Africa
KEN,Kenya,1950,Sub Saharan Africa
LBR,Liberia,1950,Sub Saharan Africa
LSO,Lesotho,1950,Sub Saharan Africa
MDG,Madagascar,1950,Sub Saharan Africa
MLI,Mali,1950,Sub Saharan Africa
MOZ,Mozambique,1950,Sub Saharan Africa
MRT,Mauritania,1950,Sub Saharan Africa
MUS,Mauritius,1950,Sub Saharan Africa
MWI,Malawi,1950,Sub Saharan Africa
NAM,Namibia,1950,Sub Saharan Africa
NER,Niger,1950,Sub Saharan Africa
NGA,Nigeria,1950,Sub Saharan Africa
RWA,Rwanda,1950,Sub Saharan Africa
SDN,Sudan,1950,Sub Saharan Africa
SEN,Senegal,1950,Sub Saharan Africa
SLE,Sierra Leone,1950,Sub Saharan Africa
STP,Sao Tome and Principe,1950,Sub Saharan Africa
SWZ,Eswatini,1950,Sub Saharan Africa
SYC,Seychelles,1950,Sub Saharan Africa
TCD,Chad,1950,Sub Saharan Africa
TGO,Togo,1950,Sub Saharan Africa
TZA,Tanzania,1950,Sub Saharan Africa
UGA,Uganda,1950,Sub Saharan Africa
ZAF,South Africa,1950,Sub Saharan Africa
ZMB,Zambia,1950,Sub Saharan Africa
ZWE,Zimbabwe,1950,Sub Saharan Africa
