"entity","year","public_health_expenditure_pc_gdp"
"Bulgaria",2017,4.238
"Bulgaria",2018,4.338
"Bulgaria",2019,4.318
"Canada",1970,4.469
"Canada",1971,4.858
"Canada",1972,4.841
"Canada",1973,4.612
"Canada",1974,4.605
"Canada",1975,5.002
"Canada",1976,5.089
"Canada",1977,5.046
"Canada",1978,5
"Canada",1979,4.872
"Canada",1980,5.015
"Canada",1981,5.185
"Canada",1982,5.777
"Canada",1983,5.906
"Canada",1984,5.77
"Canada",1985,5.734
"Canada",1986,5.878
"Canada",1987,5.828
"Canada",1988,5.802
"Canada",1989,5.944
"Canada",1990,6.234
"Canada",1991,6.748
"Canada",1992,6.89
"Canada",1993,6.673
"Canada",1994,6.335
"Canada",1995,6.072
"Canada",1996,5.9
"Canada",1997,5.803
"Canada",1998,6.004
"Canada",1999,5.81
"Canada",2000,5.771
"Canada",2001,6.012
"Canada",2002,6.135
"Canada",2003,6.303
"Canada",2004,6.335
"Canada",2005,6.312
"Canada",2006,6.487
"Canada",2007,6.573
"Canada",2008,6.701
"Canada",2009,7.521
"Canada",2010,7.477
"Canada",2011,7.303
"Canada",2012,7.401
"Canada",2013,7.358
"Canada",2014,7.232
"Canada",2015,7.581
"Canada",2016,7.678
"Canada",2017,7.563
"Canada",2018,7.583
"Canada",2019,7.609
"Canada",1969,4.13562701612903
"Canada",1968,3.80225403225807
"Canada",1967,3.4688810483871
"Canada",1966,3.13550806451613
"Canada",1965,2.80213508064516
"Canada",1964,2.66157782258065
"Canada",1963,2.52102056451613
"Canada",1962,2.38046330645161
"Canada",1961,2.2399060483871
"Canada",1960,2.09934879032258
"Chile",2000,3.752
"Chile",2001,3.77
"Chile",2002,3.837
"Chile",2003,3.829
"Chile",2004,3.658
"Chile",2005,3.487
"Chile",2006,3.265
"Chile",2007,3.395
"Chile",2008,3.802
"Chile",2009,4.612
"Chile",2010,3.999
"Chile",2011,4.026
"Chile",2012,4.212
"Chile",2013,4.419
"Chile",2014,4.602
"Chile",2015,4.878
"Chile",2016,4.983
"Chile",2017,5.454
"Chile",2018,5.524
"Chile",2019,5.656
"Chile",2020,5.883
"China",2000,0.986
"China",2001,0.971
"China",2002,1.109
"China",2003,1.251
"China",2004,1.295
"China",2005,1.37
"China",2006,1.391
"China",2007,1.436
"China",2008,1.73
"China",2009,2.143
"China",2010,2.177
"China",2011,2.315
"China",2012,2.547
"China",2013,2.705
"China",2014,2.804
"China",2015,2.986
"China",2016,2.892
"China",2017,2.86
"China",2018,2.914
"Colombia",2000,4.312
"Colombia",2001,4.577
"Colombia",2002,4.495
"Colombia",2003,4.608
"Colombia",2004,4.407
"Colombia",2005,4.499
"Colombia",2006,4.712
"Colombia",2007,4.749
"Colombia",2008,4.911
"Colombia",2009,5.438
"Colombia",2010,5.29
"Colombia",2011,5.15
"Colombia",2012,4.984
"Colombia",2013,5.304
"Colombia",2014,5.474
"Colombia",2015,5.741
"Colombia",2016,5.731
"Colombia",2017,5.882
"Colombia",2018,5.892
"Colombia",2019,5.977
"Costa Rica",2000,4.335
"Costa Rica",2001,4.297
"Costa Rica",2002,4.65
"Costa Rica",2003,4.689
"Costa Rica",2004,4.431
"Costa Rica",2005,4.321
"Costa Rica",2006,4.641
"Costa Rica",2007,4.685
"Costa Rica",2008,5.121
"Costa Rica",2009,5.638
"Costa Rica",2010,5.871
"Costa Rica",2011,5.919
"Costa Rica",2012,5.766
"Costa Rica",2013,5.751
"Costa Rica",2014,5.59
"Costa Rica",2015,5.682
"Costa Rica",2016,5.494
"Costa Rica",2017,5.282
"Costa Rica",2018,5.386
"Costa Rica",2019,5.378
"Croatia",2003,5.239
"Croatia",2004,5.312
"Croatia",2005,5.936
"Croatia",2006,5.986
"Croatia",2007,6.478
"Croatia",2008,6.559
"Croatia",2009,6.96
"Croatia",2010,6.911
"Croatia",2011,6.032
"Croatia",2012,6.168
"Croatia",2013,5.531
"Croatia",2014,5.556
"Croatia",2015,5.608
"Croatia",2016,5.635
"Croatia",2017,5.579
"Croatia",2018,5.62
"Croatia",2019,5.716
"Cyprus",2003,2.496
"Cyprus",2004,2.248
"Cyprus",2005,2.244
"Cyprus",2006,2.336
"Cyprus",2007,2.301
"Cyprus",2008,2.528
"Cyprus",2009,2.778
"Cyprus",2010,3.007
"Cyprus",2011,3.085
"Cyprus",2012,3.038
"Cyprus",2013,3.201
"Cyprus",2014,2.993
"Cyprus",2015,2.872
"Cyprus",2016,2.8
"Cyprus",2017,2.775
"Cyprus",2018,2.901
"Cyprus",2019,3.959
"Czechia",1990,3.604
"Czechia",1991,3.703
"Czechia",1992,3.762
"Czechia",1993,5.002
"Czechia",1994,5.095
"Czechia",1995,5.115
"Czechia",1996,5.01
"Czechia",1997,5.002
"Czechia",1998,5.006
"Czechia",1999,5.193
"Czechia",2000,5.12
"Czechia",2001,5.239
"Czechia",2002,5.56
"Czechia",2003,5.832
"Czechia",2004,5.638
"Czechia",2005,5.506
"Czechia",2006,5.32
"Czechia",2007,5.069
"Czechia",2008,5.197
"Czechia",2009,6.036
"Czechia",2010,5.729
"Czechia",2011,5.811
"Czechia",2012,5.844
"Czechia",2013,6.457
"Czechia",2014,6.282
"Czechia",2015,5.928
"Czechia",2016,5.826
"Czechia",2017,5.863
"Czechia",2018,6.248
"Czechia",2019,6.409
"Czechia",2020,7.436
"Denmark",1971,6.422
"Denmark",1972,6.527
"Denmark",1973,6.358
"Denmark",1974,7.05
"Denmark",1975,7.292
"Denmark",1976,7.341
"Denmark",1977,7.143
"Denmark",1978,7.276
"Denmark",1979,7.438
"Denmark",1980,7.344
"Denmark",1981,7.481
"Denmark",1982,7.511
"Denmark",1983,7.255
"Denmark",1984,6.805
"Denmark",1985,6.755
"Denmark",1986,6.503
"Denmark",1987,6.758
"Denmark",1988,6.899
"Denmark",1989,6.754
"Denmark",1990,6.622
"Denmark",1991,6.607
"Denmark",1992,6.592
"Denmark",1993,6.82
"Denmark",1994,6.602
"Denmark",1995,6.374
"Denmark",1996,6.42
"Denmark",1997,6.331
"Denmark",1998,6.118
"Denmark",1999,6.937
"Denmark",2000,6.735
"Denmark",2001,7.046
"Denmark",2002,7.293
"Denmark",2003,7.471
"Denmark",2004,7.526
"Denmark",2005,7.613
"Denmark",2006,7.69
"Denmark",2007,7.806
"Denmark",2008,7.991
"Denmark",2009,9.015
"Denmark",2010,8.667
"Denmark",2011,8.489
"Denmark",2012,8.601
"Denmark",2013,8.569
"Denmark",2014,8.564
"Denmark",2015,8.61
"Denmark",2016,8.534
"Denmark",2017,8.436
"Denmark",2018,8.447
"Denmark",2019,8.292
"Denmark",2020,8.894
"Denmark",1970,6.11786156648452
"Denmark",1969,6.35181420765027
"Denmark",1968,6.14125683060109
"Denmark",1967,5.81372313296903
"Denmark",1966,5.32242258652095
"Denmark",1965,4.86621493624772
"Denmark",1964,4.56207650273224
"Denmark",1963,4.64395992714025
"Denmark",1962,4.44510018214936
"Denmark",1961,4.25793806921676
"Denmark",1960,3.77833515482696
"Estonia",1999,4.362
"Estonia",2000,3.969
"Estonia",2001,3.743
"Estonia",2002,3.599
"Estonia",2003,3.725
"Estonia",2004,3.835
"Estonia",2005,3.783
"Estonia",2006,3.608
"Estonia",2007,3.784
"Estonia",2008,4.396
"Estonia",2009,5.071
"Estonia",2010,4.787
"Estonia",2011,4.422
"Estonia",2012,4.438
"Estonia",2013,4.52
"Estonia",2014,4.602
"Estonia",2015,4.799
"Estonia",2016,4.865
"Estonia",2017,4.851
"Estonia",2018,4.928
"Estonia",2019,5.014
"Estonia",2020,6.296
"Finland",1970,3.555
"Finland",1971,3.756
"Finland",1972,3.754
"Finland",1973,3.758
"Finland",1974,3.764
"Finland",1975,4.35
"Finland",1976,4.605
"Finland",1977,4.793
"Finland",1978,4.698
"Finland",1979,4.62
"Finland",1980,4.611
"Finland",1981,4.742
"Finland",1982,4.831
"Finland",1983,4.836
"Finland",1984,4.837
"Finland",1985,5.165
"Finland",1986,5.295
"Finland",1987,5.426
"Finland",1988,5.262
"Finland",1989,5.333
"Finland",1990,5.802
"Finland",1991,6.681
"Finland",1992,6.725
"Finland",1993,5.903
"Finland",1994,5.448
"Finland",1995,5.239
"Finland",1996,5.316
"Finland",1997,5.089
"Finland",1998,4.911
"Finland",1999,4.841
"Finland",2000,5.257
"Finland",2001,5.408
"Finland",2002,5.73
"Finland",2003,5.991
"Finland",2004,6.126
"Finland",2005,6.312
"Finland",2006,6.402
"Finland",2007,6.239
"Finland",2008,6.456
"Finland",2009,7.102
"Finland",2010,7.047
"Finland",2011,7.158
"Finland",2012,7.495
"Finland",2013,7.643
"Finland",2014,7.631
"Finland",2015,7.421
"Finland",2016,7.148
"Finland",2017,6.974
"Finland",2018,6.952
"Finland",2019,7.123
"Finland",2020,7.479
"Finland",1969,3.60566508313539
"Finland",1968,3.53811163895487
"Finland",1967,3.39456057007126
"Finland",1966,2.93013064133017
"Finland",1965,2.73591448931116
"Finland",1964,2.3137054631829
"Finland",1963,2.1194893111639
"Finland",1962,1.97593824228028
"Finland",1961,1.81549881235154
"Finland",1960,1.79016627078385
"France",1970,3.894
"France",1971,4.0692
"France",1972,4.2444
"France",1973,4.4196
"France",1974,4.5948
"France",1975,4.77
"France",1976,4.8916
"France",1977,5.0132
"France",1978,5.1348
"France",1979,5.2564
"France",1980,5.378
"France",1981,5.4996
"France",1982,5.6212
"France",1983,5.7428
"France",1984,5.8644
"France",1985,5.986
"France",1986,6.004
"France",1987,6.022
"France",1988,6.04
"France",1989,6.058
"France",1990,6.076
"France",1991,6.217
"France",1992,6.411
"France",1993,6.716
"France",1994,6.656
"France",1995,7.818
"France",1996,7.809
"France",1997,7.719
"France",1998,7.628
"France",1999,7.624
"France",2000,7.56
"France",2001,7.659
"France",2002,7.935
"France",2003,7.943
"France",2004,8.008
"France",2005,8.038
"France",2006,8.021
"France",2007,7.945
"France",2008,8.032
"France",2009,8.636
"France",2010,8.561
"France",2011,8.501
"France",2012,8.596
"France",2013,8.703
"France",2014,8.828
"France",2015,8.769
"France",2016,9.524
"France",2017,9.426
"France",2018,9.352
"France",2019,9.302
"France",1969,3.64335172413793
"France",1968,3.33004137931035
"France",1967,3.44641379310345
"France",1966,3.33899310344828
"France",1965,3.17786206896552
"France",1964,3.09729655172414
"France",1963,2.90035862068966
"France",1962,2.69446896551724
"France",1961,2.45277241379311
"France",1960,2.1931724137931
"Germany",1970,4.08
"Germany",1971,4.537
"Germany",1972,4.845
"Germany",1973,5.183
"Germany",1974,5.674
"Germany",1975,6.26
"Germany",1976,6.274
"Germany",1977,6.207
"Germany",1978,6.264
"Germany",1979,6.135
"Germany",1980,6.303
"Germany",1981,6.54
"Germany",1982,6.361
"Germany",1983,6.278
"Germany",1984,6.387
"Germany",1985,6.495
"Germany",1986,6.437
"Germany",1987,6.507
"Germany",1988,6.624
"Germany",1989,6.058
"Germany",1990,6.058
"Germany",1991,6.6085
"Germany",1992,7.159
"Germany",1993,7.1
"Germany",1994,7.327
"Germany",1995,7.643
"Germany",1996,7.942
"Germany",1997,7.728
"Germany",1998,7.681
"Germany",1999,7.716
"Germany",2000,7.722
"Germany",2001,7.743
"Germany",2002,7.904
"Germany",2003,8.022
"Germany",2004,7.666
"Germany",2005,7.769
"Germany",2006,7.628
"Germany",2007,7.531
"Germany",2008,7.694
"Germany",2009,9.365
"Germany",2010,9.236
"Germany",2011,8.958
"Germany",2012,9.006
"Germany",2013,9.221
"Germany",2014,9.282
"Germany",2015,9.415
"Germany",2016,9.474
"Germany",2017,9.576
"Germany",2018,9.672
"Germany",2019,9.896
"Germany",2020,10.665
"Germany",1969,4.29946210268949
"Germany",1968,4.30943765281174
"Germany",1967,4.12987775061125
"Germany",1966,3.98024449877751
"Germany",1965,3.62112469437653
"Germany",1964,3.40166259168704
"Germany",1963,3.41163814180929
"Germany",1962,3.35178484107579
"Germany",1961,3.2520293398533
"Germany",1960,3.16224938875306
"Greece",1988,2.967
"Greece",1989,3.387
"Greece",1990,3.285
"Greece",1991,3.211
"Greece",1992,3.607
"Greece",1993,4.046
"Greece",1994,4.099
"Greece",1995,4.214
"Greece",1996,4.265
"Greece",1997,4.147
"Greece",1998,4.038
"Greece",1999,4.254
"Greece",2000,4.464
"Greece",2001,5.049
"Greece",2002,4.978
"Greece",2003,5.058
"Greece",2004,4.745
"Greece",2005,5.21
"Greece",2006,5.088
"Greece",2007,5.319
"Greece",2008,5.768
"Greece",2009,6.427
"Greece",2010,6.613
"Greece",2011,6.04
"Greece",2012,5.899
"Greece",2013,5.162
"Greece",2014,4.561
"Greece",2015,4.646
"Greece",2016,5.054
"Greece",2017,4.899
"Greece",2018,4.65
"Greece",2019,4.684
"Greece",1987,2.95985060240964
"Greece",1986,3.08853975903614
"Greece",1985,2.81686265060241
"Greece",1984,2.84546024096386
"Greece",1983,2.90265542168675
"Greece",1982,2.88120722891566
"Greece",1981,2.70247228915663
"Greece",1980,2.54518554216867
"Greece",1979,2.2806578313253
"Greece",1978,2.24491084337349
"Greece",1977,2.17341686746988
"Greece",1976,1.95178554216867
"Greece",1975,1.75160240963855
"Greece",1974,1.70155662650602
"Greece",1973,1.5585686746988
"Greece",1972,1.63721204819277
"Greece",1971,1.63721204819277
"Greece",1970,1.54426987951807
"Greece",1969,1.54426987951807
"Greece",1968,1.54426987951807
"Greece",1967,1.60146506024096
"Greece",1966,1.64436144578313
"Greece",1965,1.5943156626506
"Greece",1964,1.5013734939759
"Greece",1963,1.35123614457831
"Greece",1962,1.35123614457831
"Greece",1961,1.26544337349398
"Greece",1960,1.32263855421687
"Hungary",1991,5.602
"Hungary",1992,5.949
"Hungary",1993,5.969
"Hungary",1994,6.369
"Hungary",1995,5.572
"Hungary",1996,5.361
"Hungary",1997,5.046
"Hungary",1998,4.933
"Hungary",1999,4.905
"Hungary",2000,4.721
"Hungary",2001,4.653
"Hungary",2002,4.954
"Hungary",2003,5.728
"Hungary",2004,5.469
"Hungary",2005,5.656
"Hungary",2006,5.509
"Hungary",2007,4.969
"Hungary",2008,4.888
"Hungary",2009,4.945
"Hungary",2010,5.006
"Hungary",2011,4.981
"Hungary",2012,4.867
"Hungary",2013,4.83
"Hungary",2014,4.736
"Hungary",2015,4.676
"Hungary",2016,4.762
"Hungary",2017,4.647
"Hungary",2018,4.575
"Hungary",2019,4.339
"Iceland",1970,3.085
"Iceland",1971,3.391
"Iceland",1972,4.075
"Iceland",1973,3.758
"Iceland",1974,4.569
"Iceland",1975,4.916
"Iceland",1976,4.603
"Iceland",1977,4.572
"Iceland",1978,5.052
"Iceland",1979,5.704
"Iceland",1980,5.175
"Iceland",1981,5.32
"Iceland",1982,5.589
"Iceland",1983,6.166
"Iceland",1984,5.635
"Iceland",1985,5.839
"Iceland",1986,6.198
"Iceland",1987,6.411
"Iceland",1988,6.906
"Iceland",1989,6.707
"Iceland",1990,6.416
"Iceland",1991,6.572
"Iceland",1992,6.602
"Iceland",1993,6.557
"Iceland",1994,6.433
"Iceland",1995,6.562
"Iceland",1996,6.562
"Iceland",1997,6.34
"Iceland",1998,6.762
"Iceland",1999,7.176
"Iceland",2000,7.195
"Iceland",2001,7.075
"Iceland",2002,7.708
"Iceland",2003,7.908
"Iceland",2004,7.551
"Iceland",2005,7.247
"Iceland",2006,6.981
"Iceland",2007,6.851
"Iceland",2008,6.86
"Iceland",2009,7.164
"Iceland",2010,6.678
"Iceland",2011,6.563
"Iceland",2012,6.538
"Iceland",2013,6.559
"Iceland",2014,6.624
"Iceland",2015,6.521
"Iceland",2016,6.6
"Iceland",2017,6.811
"Iceland",2018,6.952
"Iceland",2019,7.1
"Iceland",2020,8.224
"Iceland",1969,3.25599307159353
"Iceland",1968,3.29874133949192
"Iceland",1967,2.99950346420323
"Iceland",1966,2.48652424942263
"Iceland",1965,2.3226558891455
"Iceland",1964,2.42952655889146
"Iceland",1963,2.0519168591224
"Iceland",1962,2.43665127020785
"Iceland",1961,2.18016166281755
"Iceland",1960,1.67430715935335
"India",2000,0.939
"India",2001,0.909
"India",2002,0.877
"India",2003,0.819
"India",2004,0.801
"India",2005,0.828
"India",2006,0.805
"India",2007,0.795
"India",2008,0.836
"India",2009,0.907
"India",2010,0.862
"India",2011,0.91
"India",2012,0.903
"India",2013,0.829
"India",2014,0.829
"India",2015,0.928
"India",2016,0.956
"India",2017,0.99
"India",2018,0.97
"Indonesia",2000,0.585
"Indonesia",2001,0.782
"Indonesia",2002,0.673
"Indonesia",2003,0.813
"Indonesia",2004,0.748
"Indonesia",2005,0.734
"Indonesia",2006,0.834
"Indonesia",2007,1.028
"Indonesia",2008,0.917
"Indonesia",2009,0.949
"Indonesia",2010,0.779
"Indonesia",2011,0.816
"Indonesia",2012,0.886
"Indonesia",2013,0.946
"Indonesia",2014,1.124
"Indonesia",2015,1.243
"Indonesia",2016,1.431
"Indonesia",2017,1.353
"Indonesia",2018,1.432
"Ireland",1970,3.739
"Ireland",1971,3.98
"Ireland",1972,4.209
"Ireland",1973,4.544
"Ireland",1974,5
"Ireland",1975,5.513
"Ireland",1976,5.289
"Ireland",1977,4.94
"Ireland",1978,5.213
"Ireland",1979,5.601
"Ireland",1980,6.064
"Ireland",1981,5.825
"Ireland",1982,5.694
"Ireland",1983,5.595
"Ireland",1984,5.298
"Ireland",1985,5.234
"Ireland",1986,5.092
"Ireland",1987,4.751
"Ireland",1988,4.435
"Ireland",1989,4.26
"Ireland",1990,4.108
"Ireland",1991,4.468
"Ireland",1992,4.702
"Ireland",1993,4.768
"Ireland",1994,4.676
"Ireland",1995,4.525
"Ireland",1996,4.362
"Ireland",1997,4.361
"Ireland",1998,4.233
"Ireland",1999,4.218
"Ireland",2000,4.577
"Ireland",2001,5.017
"Ireland",2002,5.272
"Ireland",2003,5.521
"Ireland",2004,5.7
"Ireland",2005,6.03
"Ireland",2006,5.85
"Ireland",2007,6.184
"Ireland",2008,7.226
"Ireland",2009,8.097
"Ireland",2010,8.003
"Ireland",2011,7.676
"Ireland",2012,7.643
"Ireland",2013,7.269
"Ireland",2014,6.77
"Ireland",2015,5.268
"Ireland",2016,5.399
"Ireland",2017,5.155
"Ireland",2018,5.085
"Ireland",2019,4.981
"Ireland",2020,5.544
"Ireland",1969,3.18264989059081
"Ireland",1968,3.01901750547046
"Ireland",1967,3.26446608315098
"Ireland",1966,2.99447264770241
"Ireland",1965,2.73266083150985
"Ireland",1964,2.72447921225383
"Ireland",1963,2.58539168490153
"Ireland",1962,2.44630415754923
"Ireland",1961,2.40539606126915
"Ireland",1960,2.46266739606127
"Israel",1995,4.696
"Israel",1996,4.871
"Israel",1997,4.903
"Israel",1998,4.585
"Israel",1999,4.4
"Israel",2000,4.28
"Israel",2001,4.519
"Israel",2002,4.565
"Israel",2003,4.419
"Israel",2004,4.333
"Israel",2005,4.265
"Israel",2006,4.304
"Israel",2007,4.17
"Israel",2008,4.266
"Israel",2009,4.325
"Israel",2010,4.407
"Israel",2011,4.375
"Israel",2012,4.455
"Israel",2013,4.489
"Israel",2014,4.509
"Israel",2015,4.502
"Israel",2016,4.542
"Israel",2017,4.657
"Israel",2018,4.862
"Israel",2019,4.833
"Italy",1988,5.389
"Italy",1989,5.311
"Italy",1990,5.685
"Italy",1991,5.864
"Italy",1992,5.735
"Italy",1993,5.55
"Italy",1994,5.276
"Italy",1995,4.88
"Italy",1996,4.952
"Italy",1997,5.135
"Italy",1998,5.117
"Italy",1999,5.191
"Italy",2000,5.496
"Italy",2001,5.774
"Italy",2002,5.897
"Italy",2003,5.901
"Italy",2004,6.226
"Italy",2005,6.462
"Italy",2006,6.56
"Italy",2007,6.305
"Italy",2008,6.628
"Italy",2009,7.01
"Italy",2010,6.995
"Italy",2011,6.757
"Italy",2012,6.665
"Italy",2013,6.648
"Italy",2014,6.689
"Italy",2015,6.593
"Italy",2016,6.492
"Italy",2017,6.399
"Italy",2018,6.406
"Italy",2019,6.408
"Italy",2020,7.412
"Italy",1987,5.22431069609508
"Italy",1986,4.82173684210526
"Italy",1985,4.9589779286927
"Italy",1984,4.87663327674024
"Italy",1983,5.05962139219015
"Italy",1982,4.9681273344652
"Italy",1981,4.86748387096774
"Italy",1980,5.09621901528014
"Italy",1979,4.77598981324279
"Italy",1978,4.75769100169779
"Italy",1977,4.47405942275043
"Italy",1976,4.76684040747029
"Italy",1975,4.79428862478778
"Italy",1974,4.80343803056027
"Italy",1973,4.78513921901528
"Italy",1972,4.84003565365026
"Italy",1971,4.49235823429542
"Italy",1970,4.0897843803056
"Italy",1969,3.89764685908319
"Italy",1968,3.83360101867572
"Italy",1967,3.76040577249576
"Italy",1966,3.61401528013582
"Italy",1965,3.47677419354839
"Italy",1964,3.27548726655348
"Italy",1963,3.07420033955857
"Italy",1962,2.82716638370119
"Italy",1961,2.82716638370119
"Italy",1960,2.74482173174873
"Japan",1970,3.045
"Japan",1971,2.941
"Japan",1972,3.099
"Japan",1973,3.069
"Japan",1974,3.629
"Japan",1975,3.899
"Japan",1976,4.066
"Japan",1977,4.039
"Japan",1978,4.362
"Japan",1979,4.352
"Japan",1980,4.454
"Japan",1981,4.495
"Japan",1982,4.599
"Japan",1983,4.766
"Japan",1984,4.64
"Japan",1985,4.584
"Japan",1986,4.645
"Japan",1987,4.705
"Japan",1988,4.59
"Japan",1989,4.518
"Japan",1990,4.467
"Japan",1991,4.523
"Japan",1992,4.708
"Japan",1993,5.014
"Japan",1994,5.176
"Japan",1995,5.136
"Japan",1996,5.006
"Japan",1997,5.17
"Japan",1998,5.299
"Japan",1999,5.585
"Japan",2000,5.752
"Japan",2001,5.958
"Japan",2002,6.035
"Japan",2003,6.086
"Japan",2004,6.147
"Japan",2005,6.315
"Japan",2006,6.271
"Japan",2007,6.411
"Japan",2008,6.656
"Japan",2009,7.364
"Japan",2010,7.502
"Japan",2011,8.891
"Japan",2012,9.057
"Japan",2013,9.093
"Japan",2014,9.112
"Japan",2015,9.153
"Japan",2016,9.105
"Japan",2017,9.092
