Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,3.5154,3.3476,3.3302,3.4983,3.6312,3.2,3.11,3.1716,3.0869,3.5026,3.2678,3.5363,3.378,3.3987,3.6742,3.7038,3.5483,3.2822,3.244,3.292,3.3744
Luxembourg,,,,,,,3.5219,3.814,4.0585,4.1515,4.2395,4.353,4.2445,3.982,3.9011,3.9587,3.9517,4.4863,4.6661,4.5439,4.7257,4.5286,4.7443,4.8092,4.6264,4.879,4.9737,4.9056,4.9664,4.9358,4.8122,5.3592,5.6687,5.8477,6.1831,6.0364,5.621,5.3077,5.7824,6.4165,6.0686,5.1955,5.5152,5.336,5.2084,6.0175
Mexico,,,,,,,,,,,,,,,,,,,,,1.7481,2.0422,2.1547,2.2406,2.3373,2.1302,1.9018,2.1086,2.2098,2.3017,2.1959,2.2985,2.308,2.4679,2.6286,2.5011,2.4473,2.5499,2.6373,2.8821,2.9285,2.954,3.0563,3.1736,2.9488,2.9821
Netherlands,,,3.8785,3.9403,4.1457,4.487,4.4456,4.5406,4.6443,4.7361,4.8292,4.9257,5.1389,5.094,4.8957,4.8559,4.7472,4.8598,4.7683,4.9809,5.0425,5.2863,5.705,5.8549,5.6971,5.5508,5.0962,5.0553,4.8146,4.7221,4.6826,4.8947,5.2119,5.6274,5.5912,6.6689,7.9745,7.9805,8.2097,8.9015,9.0813,9.0859,8.8867,8.8651,8.8163,8.6876
New Zealand,4.1552,3.822,3.9766,3.9665,4.4313,4.8125,4.5334,4.8331,5.2059,5.3005,5.0498,5.3873,5.1081,5.007,4.6731,4.2937,4.3466,4.8588,5.2479,5.3855,5.495,5.8396,5.7126,5.3071,5.3749,5.3621,5.2837,5.4863,5.7879,5.7319,5.8278,5.792,6.1542,6.0492,6.2918,6.5921,6.9124,6.8563,7.369,7.8012,7.7832,7.6918,7.7514,7.5015,7.47,7.4995
Norway,3.625,3.7902,4.3974,4.5002,4.5126,4.9753,5.1678,5.442,5.6038,5.2816,5.3117,5.3461,5.4691,5.6274,5.3269,5.2747,5.6907,5.9924,5.8875,5.6315,5.8579,6.1738,6.3418,6.2245,6.1548,6.0985,6.0182,6.2438,6.8548,6.8824,6.297,6.6411,7.4642,7.6671,7.3274,6.9205,6.5976,6.7395,6.7022,7.6582,7.5453,7.4216,7.4368,7.5924,7.8783,8.4683
Poland,,,,,,,,,,,,,,,,,,,,,3.9407,4.1797,4.2639,3.9289,3.6323,3.6187,3.8711,3.529,3.4631,3.829,3.6494,4.0331,4.2823,4.1233,4,4.0106,4.0338,4.1183,4.5989,4.7555,4.6019,4.4188,4.3444,4.5808,4.598,4.5298
Portugal,1.2762,1.4192,1.7391,1.9017,2.1275,2.7194,2.9741,2.8002,2.7483,2.7634,2.9885,3.0981,2.7403,2.4194,2.4538,2.8734,3.0529,2.9165,3.1848,2.9025,3.5803,3.7495,3.6267,4.0074,3.9916,4.4256,4.776,4.7744,4.8734,5.0671,5.9015,5.9512,6.2121,6.3205,6.6017,6.7232,6.3161,6.2293,6.3957,6.9074,6.8509,6.4521,6.1296,6.0829,5.9508,5.8473
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1838,5.0838,4.9529,4.7368,4.7577,4.909,4.7918,5.0269,4.9836,4.8161,4.9959,5.2631,5.8659,5.6254,5.4875,5.5309,5.6114,5.581,5.6334
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,5.7021,5.7301,5.7267,5.7975,5.8016,6.0075,6.1671,5.8664,5.8858,5.8204,5.8533,5.7051,5.3602,5.7736,6.2562,6.2778,6.2613,6.2685,6.2191,6.0706,6.0373
Spain,2.0121,2.2767,2.5377,2.8178,2.8989,3.2218,3.4182,3.7116,3.9076,3.8871,3.9718,4.0163,4.1216,4.5487,4.2296,4.0601,3.9808,4.0295,4.4594,4.4846,4.7811,4.8478,5.1378,5.3132,5.2065,5.0773,5.103,5.0205,4.9737,4.9673,4.8638,4.818,4.8328,5.3702,5.454,5.5171,5.6201,5.6992,6.1037,6.7669,6.7383,6.7062,6.5372,6.3726,6.3367,6.29
Sweden,4.6119,5.0557,5.1459,5.1032,5.5765,5.8514,6.1071,6.8807,6.9392,6.8532,7.2084,7.2444,7.3002,7.2102,7.0411,6.5768,6.3758,6.4504,6.3453,6.4108,5.7734,5.6376,6.5637,6.7888,6.431,6.3172,6.5372,6.2881,6.3486,6.3658,6.3404,6.5758,6.8726,6.989,6.788,6.7672,6.6762,6.6087,6.8049,7.331,6.9489,8.9668,9.1424,9.2563,9.3228,9.2654
Switzerland,,,,,,,,,,,,,,,,3.4029,3.4673,3.5573,3.6152,3.7515,3.7512,4.0939,4.368,4.4535,4.4841,4.7392,5.0099,5.0479,5.0884,5.2047,5.1764,5.5172,5.8295,6.0642,6.0861,6.0982,5.7983,5.6926,6.3724,6.8083,6.7052,6.814,7.1131,7.3578,7.4294,7.8374
Turkey,,,,,,,,,,0.5219,0.7111,0.2825,0.4254,0.3745,0.9131,0.7419,0.7428,0.7168,1.0477,1.3254,1.5027,1.7945,1.884,1.8325,1.8503,1.7629,2.0072,2.244,2.5847,2.7448,2.919,3.3835,3.6599,3.707,3.6704,3.4756,3.7176,3.7929,4.0012,4.6728,4.1614,3.9861,3.9277,3.9844,3.9473,4.0388
United Kingdom,3.4288,3.4686,3.5575,3.4761,4.1425,4.486,4.4867,4.3782,4.3514,4.2524,4.5319,4.71,4.4978,4.6656,4.5632,4.4275,4.4067,4.4212,4.3309,4.2488,4.2906,4.586,4.9751,5.0663,5.0907,5.0789,5.0684,4.6511,4.7463,4.9474,4.956,5.219,5.442,5.623,5.882,6.017,6.195,6.197,6.475,7.217,7.016,6.953,6.948,7.893,7.858,7.7077
United States,2.318,2.4263,2.485,2.5325,2.7622,2.9809,3.0424,3.1075,3.1335,3.2109,3.452,3.5749,3.8208,3.8664,3.7832,3.8247,3.9641,4.0882,4.1127,4.2578,4.5305,4.9878,5.268,5.5149,5.6719,5.7794,5.7621,5.6965,5.5437,5.4845,5.5243,5.9454,6.2974,6.4918,6.5763,6.5987,6.7604,6.883,7.2226,7.8634,7.9327,7.9224,7.8997,7.9544,8.1754,8.3616
