"";"Entity";"Year";"headcount_ratio_1_00";"headcount_ratio_1_90";"headcount_ratio_3_20";"headcount_ratio_5_50";"headcount_ratio_10_00";"headcount_ratio_15_00";"headcount_ratio_20_00";"headcount_ratio_30_00";"headcount_ratio_40_00";"poverty_gap_index_1_00";"poverty_gap_index_1_90";"poverty_gap_index_3_20";"poverty_gap_index_5_50";"poverty_gap_index_10_00";"poverty_gap_index_15_00";"poverty_gap_index_20_00";"poverty_gap_index_30_00";"poverty_gap_index_40_00";"headcount_1_00";"headcount_1_90";"headcount_3_20";"headcount_5_50";"headcount_10_00";"headcount_15_00";"headcount_20_00";"headcount_30_00";"headcount_40_00";"total_shortfall_annual_1_00";"total_shortfall_annual_1_90";"total_shortfall_annual_3_20";"total_shortfall_annual_5_50";"total_shortfall_annual_10_00";"total_shortfall_annual_15_00";"total_shortfall_annual_20_00";"total_shortfall_annual_30_00";"total_shortfall_annual_40_00";"income_gap_ratio_1_00";"income_gap_ratio_1_90";"income_gap_ratio_3_20";"income_gap_ratio_5_50";"income_gap_ratio_10_00";"income_gap_ratio_15_00";"income_gap_ratio_20_00";"income_gap_ratio_30_00";"income_gap_ratio_40_00";"watts_index_1_00";"watts_index_1_90";"watts_index_3_20";"watts_index_5_50";"watts_index_10_00";"watts_index_15_00";"watts_index_20_00";"watts_index_30_00";"watts_index_40_00";"headcount_ratio_40_median";"headcount_ratio_50_median";"headcount_ratio_60_median";"poverty_gap_index_40_median";"poverty_gap_index_50_median";"poverty_gap_index_60_median";"headcount_40_median";"headcount_50_median";"headcount_60_median";"total_shortfall_annual_40_median";"total_shortfall_annual_50_median";"total_shortfall_annual_60_median";"income_gap_ratio_40_median";"income_gap_ratio_50_median";"income_gap_ratio_60_median";"watts_index_40_median";"watts_index_50_median";"watts_index_60_median";"headcount_ratio_40_median_est";"headcount_ratio_50_median_est";"headcount_ratio_60_median_est";"poverty_gap_index_40_median_est";"poverty_gap_index_50_median_est";"poverty_gap_index_60_median_est";"headcount_40_median_est";"headcount_50_median_est";"headcount_60_median_est";"total_shortfall_annual_40_median_est";"total_shortfall_annual_50_median_est";"total_shortfall_annual_60_median_est";"income_gap_ratio_40_median_est";"income_gap_ratio_50_median_est";"income_gap_ratio_60_median_est";"watts_index_40_median_est";"watts_index_50_median_est";"watts_index_60_median_est";"MeanPerDay";"MeanPerDay_est";"MedianPerDay";"MedianPerDay_est";"MedianPerDay_gp_est";"PPP";"Population";"share_decile_1";"share_decile_2";"share_decile_3";"share_decile_4";"share_decile_5";"share_decile_6";"share_decile_7";"share_decile_8";"share_decile_9";"share_decile_10";"share_decile_1_est";"share_decile_2_est";"share_decile_3_est";"share_decile_4_est";"share_decile_5_est";"share_decile_6_est";"share_decile_7_est";"share_decile_8_est";"share_decile_9_est";"share_decile_10_est";"threshold_decile_1_est";"threshold_decile_2_est";"threshold_decile_3_est";"threshold_decile_4_est";"threshold_decile_5_est";"threshold_decile_6_est";"threshold_decile_7_est";"threshold_decile_8_est";"threshold_decile_9_est";"average_decile_1_est";"average_decile_2_est";"average_decile_3_est";"average_decile_4_est";"average_decile_5_est";"average_decile_6_est";"average_decile_7_est";"average_decile_8_est";"average_decile_9_est";"average_decile_10_est";"Gini";"Gini_est";"Polarization";"Polarization_est";"MLD";"MLD_est";"Palma";"P90_P10_ratio";"P90_P50_ratio";"Entropy_0_5";"Entropy_1_0";"Entropy_1_5";"Entropy_2_0";"Atkinson_0_5";"Atkinson_1_0";"Atkinson_1_5";"Atkinson_2_0";"Theil_0_0";"Theil_0_5";"Theil_1_0";"Theil_1_5";"Theil_2_0";"Var.Coeff";"survey_year";"is_interpolated";"distribution_type";"reporting_level";"estimation_type";"welfare_type";"comparable_spell";"survey_comparability";"survey_acronym";"IsSurveyYear";"MaxHeadcountRatio";"MonotonicityBreaks";"MonotonicityBreaksDistinct";"RowsWithIncreasingHeadcount";"DataframeRowsForGpinter";"reporting_gdp";"reporting_pce";"ISO3Year"
"AllCols78";"LAC";1990;0,0628;0,1557;0,297;0,5033;0,7297;0,842;0,8963;0,9472;0,9693;0,0286;0,0664;0,1315;0,2462;0,42;0,5447;0,6269;0,7268;0,785;27479602;68130159;129959263;220230629;319297219;368436698;392196926;414469406;424139775;10,439;46,0484;153,592;494,2465;1533;2982,2325;4576,37;7958,46;11461;0,451140009812932;0,425141095203153;0,442474558731287;0,490317958849174;0,575063001264868;0,646771078903985;0,69925491163837;0,767168884778584;0,809878689797719;0,032;0,0932;0,204;0,4147;0,7813;1,0987;1,3469;1,7187;1,9923;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,186;0,2462;0,3044;0,0801;0,1073;0,1356;81388629;107730540;133197305;63,910989;106,997414;162,290826;0,429959519075974;0,435798278485363;0,445701935581105;0,116;0,1623;0,2112;9,6466;9,6466;NA;5,465;5,46;NA;437573275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00807521793738497;0,019099145213585;0,0285862270737834;0,0386384879522669;0,050058647437772;0,0640979664328462;0,0828537183359547;0,110747118790983;0,163824759799908;0,434018711025516;500,050000000001;841,690000000001;1177,49;1550,885;1992,9;2544,05;3325,15;4584,4;7416,8;284,329150344939;672,482621893398;1006,52362802835;1360,46463826323;1762,56948156222;2256,89516691749;2917,28687944361;3899,41601987119;5768,28453678315;15281,8378768924;NA;0,557987128580108;NA;NA;NA;0,615954736726873;4,59770073402231;14,8321167883212;3,72161172161172;0,52414187732655;0,554204169607274;0,677960179450133;0,960205242194747;0,244900644440313;0,459875028084789;0,863207687923853;0,995147491803767;0,554204169607274;0,615954736726873;0,615954736726873;0,615954736726873;0,615954736726873;1,3857887589346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5680;979;NA;NA;"LAC1990"
"AllCols79";"LAC";1991;0,0594;0,147;0,285;0,4956;0,7283;0,8446;0,8992;0,9502;0,9709;0,028;0,0629;0,1252;0,2384;0,4137;0,5407;0,6245;0,726;0,7852;26471535;65510364;127009889;220863513;324565974;376394922;400727343;423455428;432680357;10,22;43,62115;146,2336;478,588;1510,005;2960,3325;4558,85;7949,7;11463,92;0,473364406779663;0,427423916935196;0,439087171052632;0,481383971559952;0,567322976472765;0,640476337442888;0,694189123027084;0,763891594106209;0,808194140886379;0,0319;0,0888;0,1941;0,3991;0,7628;1,0801;1,329;1,7016;1,9758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1817;0,2418;0,2996;0,0777;0,1044;0,1322;80974375;107757864;133516361;63,130473;106,010892;161,116767;0,426496796105961;0,431039118061208;0,440396825396826;0,1134;0,1584;0,2062;9,5602;9,5602;NA;5,565;5,55999999999999;NA;445648735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00842560824212613;0,0201145792673484;0,0299188817654432;0,0400970619946049;0,0517342946072745;0,0657985442424843;0,084311577008563;0,111959542559942;0,163829203416256;0,423810706895958;525,600000000001;877,46;1218,37;1595,05;2029,4;2580,55;3343,4;4591,7;7310,95;294,009324694766;701,89281259772;1044,01130110706;1399,176152095;1805,2542420613;2296,02243573455;2942,02971558801;3906,79800855267;5716,77581932533;14788,7601882436;NA;0,547164001040618;NA;NA;NA;0,593876118715921;4,30019625807914;13,9097222222222;3,60251798561152;0,501999815055425;0,527932296808503;0,639634487816374;0,892097896447898;0,235249669132982;0,447817194814999;0,861525011397961;0,995112398596107;0,527932296808503;0,593876118715921;0,593876118715921;0,593876118715921;0,593876118715921;1,33573792073737;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5642;979;NA;NA;"LAC1991"
"AllCols80";"LAC";1992;0,061;0,1473;0,2859;0,4969;0,7357;0,8492;0,9047;0,9544;0,9746;0,0296;0,0641;0,1262;0,2397;0,4169;0,5445;0,6287;0,7304;0,7897;27674835;66827922;129708778;225436487;333776662;385270003;410449567;432997752;442162206;10,804;44,45335;147,4016;481,19775;1521,685;2981,1375;4589,51;7997,88;11529,62;0,484000000000005;0,435495882563553;0,441137354102068;0,483142495411306;0,56619388642564;0,6411497774899;0,694191804861083;0,76528936645652;0,810071654722423;0,0341;0,0914;0,1969;0,4026;0,769;1,0883;1,3386;1,713;1,9882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1812;0,2406;0,2979;0,0782;0,1049;0,1323;82207872;109156810;135153008;63,194202;105,982568;160,3694295;0,43202723003289;0,436754736383388;0,443637000331642;0,115;0,16;0,2074;9,2054;9,2054;NA;5,535;5,52758110074708;NA;453685826;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00853084472516197;0,020803741664045;0,0310211936339798;0,0414900421504089;0,0534189210295324;0,0676755907269488;0,0862893188287004;0,114254909727408;0,166003059052773;0,410512378461041;521,585;867,716625056387;1218,005;1588,48;2017,56710177268;2536,75;3288,65;4496,79999999999;7102,9;286,633908820472;698,999686826828;1042,30310995557;1394,05338414151;1794,86025510519;2273,88022250417;2899,29608874187;3838,93183291709;5577,65464328606;13793,0968677012;NA;0,535843906912692;NA;NA;NA;0,581738444209698;4,03072379111757;13,6179146256123;3,52052726958088;0,483817191774284;0,503439700106515;0,600792892542985;0,819766308504438;0,22727865369612;0,441074139938897;0,872538648805578;0,995666912171003;0,503439700106515;0,581738444209698;0,581738444209698;0,581738444209698;0,581738444209698;1,2804423520834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5397;967;NA;NA;"LAC1992"
"AllCols81";"LAC";1993;0,0599;0,1459;0,2869;0,4956;0,7297;0,8407;0,8957;0,9459;0,9677;0,0289;0,0631;0,1254;0,2391;0,4148;0,5406;0,623;0,7237;0,783;27654828;67359590;132456932;228810231;336890286;388137129;413529709;436706210;446770905;10,5485;43,75985;146,4672;479,99325;1514,02;2959,785;4547,9;7924,515;11431,8;0,480325000000002;0,431807341461451;0,436625514278453;0,482982387264549;0,568830305664078;0,642610908511267;0,695263228211422;0,764766373697466;0,807913473283422;0,0338;0,0904;0,1957;0,4013;0,7661;1,0823;1,3301;1,7009;1,9739;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,182;0,2406;0,3027;0,0779;0,1045;0,1324;84026356;111080996;139751527;63,292971;106,112435;161,360514;0,427631638035161;0,433589152542741;0,436824627784174;0,1149;0,1599;0,2079;9,8484;9,8484;NA;5,565;5,56;NA;461683275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00810486600753035;0,0195442979508264;0,0290238458560349;0,0387892564925908;0,0499882969988485;0,0635367018824341;0,0815217081096496;0,109142274555096;0,162050962626434;0,438297789520555;525,6;872,350000000001;1205,595;1588,48;2029,4;2573,25;3343,4;4635,5;7489,8;291,342862718251;702,552233377051;1043,3103188793;1394,34421479195;1796,91231619663;2283,93222008922;2930,43312403682;3923,30023505867;5825,19085620515;15755,341618647;NA;0,559124406067414;NA;NA;NA;0,619578289434936;4,5913197588574;14,25;3,69064748201439;0,527563480653516;0,561420529079541;0,693230512878489;0,993748885343787;0,246386538694305;0,461828657711884;0,866779548996159;0,995266751469579;0,561420529079541;0,619578289434936;0,619578289434936;0,619578289434936;0,619578289434936;1,40978642733131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5616;966;NA;NA;"LAC1993"
"AllCols82";"LAC";1994;0,0547;0,1352;0,2691;0,4776;0,7124;0,8296;0,8867;0,9399;0,9629;0,0271;0,0582;0,1164;0,2257;0,3989;0,5254;0,6094;0,7124;0,7724;25689539;63495900;126381263;224302085;334574550;389616854;416433540;441418613;452220430;9,8915;40,3617;135,9552;453,09275;1455,985;2876,565;4448,62;7800,78;11277,04;0,492527272727256;0,430350877192979;0,432594196033278;0,473041459829327;0,560063303806278;0,632926253010245;0,68694385093906;0,757583826796416;0,801897557519702;0,03;0,081;0,1784;0,3731;0,7262;1,0367;1,2817;1,6495;1,9208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1781;0,2394;0,2975;0,0763;0,1027;0,1304;83643638;112432829;139719159;64,833636;109,082805;166,205232;0,428121668547018;0,42935775153198;0,437314133114853;0,1109;0,1551;0,2024;10,4183;10,4183;NA;5,82;5,82;NA;469644231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00814707573672002;0,0196148439692767;0,0289437477165539;0,0385960597398441;0,0495941745810284;0,063070306013709;0,0809333050468228;0,108381461860754;0,160728458409078;0,441990566926213;561,005;927,465;1278,595;1668,415;2124,3;2697,35;3511,3;4850,85;7880,35;309,807178889726;745,889650576672;1100,63796094912;1467,68445153481;1885,90750998698;2398,36159737058;3077,634199688;4121,3996319792;6111,98813858804;16807,4846804369;NA;0,561156870849294;NA;NA;NA;0,628695776900485;4,63780227375164;14,0468445022772;3,70962199312715;0,534185062197454;0,571124129282387;0,709713561497883;1,02528148581125;0,249257926056546;0,466713127297863;0,883067938850058;0,996155084053968;0,571124129282387;0,628695776900485;0,628695776900485;0,628695776900485;0,628695776900485;1,43197869105043;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5552;969;NA;NA;"LAC1994"
"AllCols83";"LAC";1995;0,0546;0,1357;0,2745;0,4774;0,7125;0,8285;0,8855;0,9368;0,961;0,0272;0,0585;0,1177;0,2278;0,4005;0,5264;0,6098;0,7118;0,7716;26075250;64806069;131092602;227991286;340267682;395665649;422887063;447386337;458943499;9,928;40,56975;137,4736;457,3085;1461,825;2882,04;4451,54;7794,21;11265,36;0,493681818181804;0,429778873216929;0,429316539069623;0,478420684637621;0,56234479699695;0,635581922842382;0,688165585762466;0,759376171458943;0,802509249663639;0,0282;0,079;0,1773;0,3732;0,7263;1,0365;1,2808;1,6472;1,9176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1797;0,2409;0,3002;0,0764;0,1032;0,1312;85819091;115046294;143366117;64,639748;109,161864;166,506576;0,424362143704473;0,427856900395403;0,437114122765071;0,1084;0,1527;0,2003;10,576;10,576;NA;5,795;5,79;NA;477568677;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00801190814317543;0,0191533623262482;0,0281864008553177;0,0376627301048884;0,0486095330498347;0,0618167983916735;0,0795961269235659;0,106898431939788;0,159326106627822;0,450738601637687;557,72;916,149999999999;1267,28;1654,545;2113,35;2693,7;3514,95;4865,45;8030;309,278882906115;739,365753862764;1088,06272037731;1453,87177260094;1876,44463860294;2386,27677823474;3072,60152995426;4126,53602911245;6150,37009848984;17399,5917958586;NA;0,568430303512537;NA;NA;NA;0,650604005612011;4,84590122292723;14,3979057591623;3,79965457685665;0,551398587957812;0,593109828567738;0,744755613152028;1,09240781649495;0,256696768803789;0,478269446609948;0,897183894182062;0,996703730952639;0,593109828567738;0,650604005612011;0,650604005612011;0,650604005612011;0,650604005612011;1,47811218552243;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5379;943;NA;NA;"LAC1995"
"AllCols84";"LAC";1996;0,0663;0,153;0,2933;0,493;0,717;0,8294;0,8859;0,9381;0,9618;0,0331;0,0686;0,1312;0,2427;0,4127;0,5354;0,6167;0,7165;0,7752;32185812;74274951;142384596;239330398;348072810;402638198;430066530;455407396;466912731;12,0815;47,5741;153,2416;487,22025;1506,355;2931,315;4501,91;7845,675;11317,92;0,500325757575751;0,448369569919359;0,447640422368527;0,493118918545926;0,57538695875993;0,645670625161664;0,695937380379048;0,763713450589626;0,805709108617258;0,0338;0,0926;0,1994;0,4032;0,7605;1,0711;1,3149;1,6807;1,9507;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1892;0,2499;0,3077;0,0842;0,1112;0,1393;91848501;121315753;149375179;68,84192;113,6464;170,83752;0,445302909668482;0,44478293481992;0,452083004805128;0,1187;0,1647;0,2134;10,3862;10,3862;NA;5,6;5,6;NA;485457196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00700231243220728;0,0179201472977024;0,0269621907060449;0,0365328810802904;0,0476458234623627;0,0611692293093797;0,0794827409831955;0,107561234404672;0,161682791775046;0,454040648549098;500,78;852,64;1192,455;1579,72;2044;2628;3460,2;4821,65;7942,40000000001;265,455073449378;679,346153601398;1022,1266736556;1384,94800458781;1806,23553850349;2318,90285050374;3013,16130205878;4077,60659862439;6129,33481355905;17212,5129914564;NA;0,576248524837644;NA;NA;NA;0,68953996111681;5,13518801942211;15,8600583090379;3,88571428571429;0,569298762559991;0,606780333560777;0,758057265589601;1,10806780725352;0,264393063714224;0,498193133355437;0,91774633678971;0,99735284756009;0,606780333560777;0,68953996111681;0,68953996111681;0,68953996111681;0,68953996111681;1,488669074881;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5523;961;NA;NA;"LAC1996"
"AllCols85";"LAC";1997;0,0609;0,1443;0,279;0,4775;0,7048;0,8214;0,8811;0,9359;0,9605;0,0301;0,0638;0,1238;0,2325;0,401;0,5245;0,607;0,709;0,7692;30041884;71182987;137630308;235550080;347676850;405195467;434645393;461678156;473813301;10,9865;44,2453;144,5984;466,74375;1463,65;2871,6375;4431,1;7763,55;11230,32;0,492803278688515;0,443125970337865;0,443506537649804;0,486363393939342;0,568658313027478;0,638679545862841;0,688848010222514;0,757346378604294;0,801111622687723;0,0308;0,0859;0,1873;0,3844;0,7342;1,0413;1,2836;1,6486;1,9185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1885;0,2479;0,3078;0,0827;0,1098;0,138;92986785;122288722;151837308;70,271844;116,62407;175,89204;0,439601801721762;0,442814766622333;0,447839623047248;0,1173;0,1634;0,2121;10,6794;10,6794;NA;5,82;5,82;NA;493298596;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00730703970993485;0,018218395598205;0,0273346156493415;0,0369105315135076;0,0480699998503293;0,0616295696436141;0,0801687907284889;0,108218265985768;0,162130110980839;0,450012680339972;524,87;888,044999999999;1244,285;1642,5;2124,3;2715,6;3587,95;5000,5;8165,05;284,827019555715;710,149598922869;1065,49812443436;1438,76550539554;1873,75946086587;2402,30891508985;3124,96423052626;4218,32744665469;6319,80092131201;17541,4087772428;NA;0,572498382060492;NA;NA;NA;0,672057572289855;5,01291924317637;15,5563282336578;3,84364261168385;0,559254974162286;0,595683320347069;0,741629418506539;1,07840549092934;0,260079604198314;0,48934321716045;0,909492544153009;0,997114320387622;0,595683320347069;0,672057572289855;0,672057572289855;0,672057572289855;0,672057572289855;1,46860851892486;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5485;942;NA;NA;"LAC1997"
"AllCols86";"LAC";1998;0,0575;0,1371;0,2657;0,468;0,7013;0,8192;0,8783;0,9342;0,9596;0,0281;0,06;0,1175;0,2239;0,3927;0,5174;0,6007;0,7038;0,7649;28811346;68696270;133133471;234499301;351398204;410473990;440087042;468096681;480823780;10,2565;41,61;137,24;449,47925;1433,355;2832,765;4385,11;7706,61;11167,54;0,48393103448277;0,43772638074254;0,441569887449337;0,479333089349607;0,560070431414546;0,632367947585689;0,68478647188577;0,754265390319342;0,797551049922794;0,0276;0,0791;0,1754;0,3658;0,7106;1,0159;1,257;1,6208;1,8902;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1859;0,2445;0,304;0,0808;0,1077;0,1355;93148333;122510853;152324332;70,48588;117,4204635;177,3051375;0,434147440442643;0,441089720603072;0,445742681434605;0,1133;0,1586;0,2065;10,9514;10,9514;NA;5,975;5,97;NA;501066882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00753205079502395;0,0184750283849963;0,0276871428144762;0,037233483316958;0,0482155734404627;0,0615409166236905;0,0795455477484035;0,107259230172126;0,161239335898306;0,451271690805557;547,5;923,815000000001;1290,275;1689,22;2179,05;2766,7;3646,34523023231;5073,5;8325,65;301,075728929682;738,495104372385;1106,72736173736;1488,31950757027;1927,30231306197;2459,9510592413;3179,64315738331;4287,43137657063;6445,15709052197;18038,5073006111;NA;0,571947784095969;NA;NA;NA;0,669041722615473;4,9629723884466;15,2066666666667;3,82077051926299;0,559217722669555;0,599805920056577;0,754421295306403;1,11408064271962;0,260063582500545;0,487800828430975;0,910486049730858;0,997186514967834;0,599805920056577;0,669041722615473;0,669041722615473;0,669041722615473;0,669041722615473;1,49270267817782;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5362;956;NA;NA;"LAC1998"
"AllCols87";"LAC";1999;0,0571;0,1387;0,2719;0,4734;0,7092;0,8248;0,8823;0,9367;0,9611;0,0285;0,0604;0,1189;0,2272;0,398;0,5235;0,6067;0,709;0,7693;29048033;70559757;138321543;240829048;360785723;419593999;448845520;476520003;488932823;10,4025;41,8874;138,8752;456,104;1452,7;2866,1625;4428,91;7763,55;11231,78;0,498666666666656;0,434384702764102;0,437051580851554;0,48012460721638;0,561137065240298;0,634344391536814;0,687730994170206;0,75658514527438;0,800479147597888;0,0287;0,0804;0,1783;0,372;0,7212;1,0294;1,2722;1,6375;1,9076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1829;0,2435;0,3024;0,0797;0,1066;0,1345;93045274;123873835;153837567;68,362675;114,314642;173,0510625;0,432956562066967;0,436743366087092;0,445224457257238;0,1122;0,1573;0,205;10,6115;10,6115;NA;5,875;5,87;NA;508722113;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00773447587053633;0,0189144890889348;0,0281802215895912;0,0378304529954244;0,0489970143049278;0,0624010126976399;0,0803299074450297;0,107815466428874;0,161699916002251;0,446097043576791;546,77;913,96;1272,39;1669,875;2142,55;2722,9;3547,8;4938,44999999999;8150,45;299,571526055716;732,595518530395;1091,47563810251;1465,24815965745;1897,7511331331;2416,91446377967;3111,3359669132;4175,90595033647;6262,95710410128;17278,2195393902;NA;0,566581452734029;NA;NA;NA;0,658627425297728;4,81436195704837;14,9065420560747;3,80408858603066;0,549304810014407;0,586354799136293;0,729991066723433;1,05847567861113;0,255793919113143;0,482438761354954;0,908444870329539;0,997104651008345;0,586354799136293;0,658627425297728;0,658627425297728;0,658627425297728;0,658627425297728;1,45497469298344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5458;960;NA;NA;"LAC1999"
"AllCols88";"LAC";2000;0,0529;0,1278;0,2519;0,4529;0,6913;0,813;0,875;0,9318;0,9573;0,0273;0,0561;0,1104;0,214;0,3814;0,5077;0,5925;0,6975;0,7596;27309266;65975882;130041664;233806548;356878928;419705726;451712805;481035419;494199621;9,9645;38,90535;128,9472;429,605;1392,11;2779,6575;4325,25;7637,625;11090,16;0,514698113207559;0,438050986842108;0,438040674603175;0,473215259743676;0,55180472729092;0,624253167330566;0,677040992891215;0,74825133675237;0,793643087136788;0,0265;0,0733;0,1636;0,3465;0,6831;0,9851;1,2251;1,5877;1,8564;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1831;0,2416;0,3014;0,079;0,1056;0,1333;94524131;124724359;155595702;71,28012;119,10096;180,410886;0,431426512458664;0,436090828853407;0,442757331727755;0,1108;0,1554;0,2028;11,1337;11,1337;NA;6,18;6,17999999999999;NA;516243206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00779408680153792;0,0191067871347286;0,0284620558400043;0,0380672855485565;0,0490828747171154;0,0626469805395317;0,0807311964827939;0,107997148535741;0,161267888619513;0,444843695780478;582,175000000001;969,075000000002;1344,66;1753,095;2255,7;2876,2;3741,25;5190,3;8504,5;316,736138411332;776,461711115035;1156,64116753637;1546,97854045867;1994,63010816851;2545,84830840039;3280,75476632376;4388,78866218118;6553,60526405922;18077,5603333455;NA;0,564785388822919;NA;NA;NA;0,657555599307731;4,76124018588523;14,6081504702194;3,77022653721683;0,547410108217491;0,584268921418592;0,726940073633774;1,05218634705493;0,254976439947578;0,481883728371706;0,911042169648698;0,997245364393189;0,584268921418592;0,657555599307731;0,657555599307731;0,657555599307731;0,657555599307731;1,45064561285996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;5682;980;NA;NA;"LAC2000"
"AllCols89";"LAC";2001;0,0507;0,1254;0,2504;0,4499;0,6877;0,8109;0,8728;0,9312;0,9562;0,0235;0,0533;0,1081;0,2114;0,3783;0,5046;0,5897;0,6953;0,7578;26546895;65660368;131111294;235570971;360084812;424593244;457004542;487583215;500673400;8,5775;36,96355;126,2608;424,3855;1380,795;2762,685;4304,81;7613,535;11063,88;0,459852941176466;0,426435789473683;0,432433125;0,469526275750171;0,54965883435858;0,622000995119668;0,67529966240726;0,746746942557492;0,792571184770679;0,0284;0,0774;0,1695;0,3535;0,6909;0,9938;1,2346;1,5989;1,8689;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1826;0,243;0,3015;0,0771;0,1042;0,1322;95610712;127236599;157867632;70,072335;118,358696;180,224955;0,42123356815239;0,428771012514943;0,437768291709886;0,117;0,1628;0,2112;11,2015;11,2015;NA;6,225;6,22;NA;523607404;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00816559914700332;0,0191783381310063;0,0284388098642485;0,0381235833981369;0,0491980972926115;0,0629148634334897;0,0810179435388708;0,108402557013112;0,161929360268489;0,442630847913032;587,650000000001;973,090000000001;1356,705;1770,615;2270,3;2909,05;3766,8;5241,4;8544,65;333,854399784826;784,115464196806;1162,73424973449;1558,70081593494;2011,48757690463;2572,30407603836;3312,45710510991;4432,09003469565;6620,55881102332;18097,1724665771;NA;0,562943962361054;NA;NA;NA;0,619348940415098;4,71353576873742;14,5403726708074;3,7636655948553;0,541549476870147;0,580492622064381;0,721389523109999;1,04058344923641;0,252444998691428;0,461705214486775;0,835509710149918;0,993896907824899;0,580492622064381;0,619348940415098;0,619348940415098;0,619348940415098;0,619348940415098;1,44262500271998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;6113;991;NA;NA;"LAC2001"
