dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
uk18,dhi,1,  65464513, 31659.22, 26553.60,    0.317,     4.73,     9.43,    16.62,     1.50,     2.59,     4.32,   0.0083,   0.0126,   0.0192,  7263.29,  9633.15, 11791.80,  3358.15,  3643.65,  4140.36
uk18,dhci,1,  65464513, 31620.44, 26535.72,    0.317,     4.80,     9.68,    16.75,     1.51,     2.63,     4.39,   0.0084,   0.0127,   0.0195,  7275.71,  9665.15, 11756.30,  3345.73,  3611.65,  4175.87
uk18,mi,1,  65464513, 32410.03, 26169.88,    0.479,    24.93,    29.04,    33.15,    16.84,    18.88,    20.92,   0.1410,   0.1547,   0.1683,  3447.55,  4645.72,  5876.21,  7173.89,  8631.08, 10055.96
uk18,hcexp,1,  65464513,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk19,dhi,1,  65614604, 32117.32, 27572.26,    0.311,     5.07,    10.56,    17.74,     1.65,     2.83,     4.68,   0.0093,   0.0139,   0.0210,  7446.32, 10091.64, 12181.38,  3582.58,  3694.49,  4361.97
uk19,dhci,1,  65614604, 32077.66, 27522.95,    0.312,     5.25,    10.75,    17.95,     1.68,     2.90,     4.76,   0.0094,   0.0142,   0.0215,  7501.81, 10072.57, 12155.64,  3527.09,  3713.56,  4387.71
uk19,mi,1,  65614604, 33156.24, 27483.14,    0.469,    24.68,    28.62,    32.78,    16.54,    18.55,    20.58,   0.1376,   0.1514,   0.1650,  3636.40,  4847.96,  6157.44,  7392.50,  8938.17, 10385.91
uk19,hcexp,1,  65614604,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk20,dhi,1,  66004521, 31739.24, 27222.48,    0.305,     4.50,     8.85,    15.52,     1.63,     2.59,     4.15,   0.0102,   0.0140,   0.0199,  6958.97,  9625.90, 11966.08,  3930.02,  3985.34,  4367.41
uk20,dhci,1,  66004521, 31712.03, 27194.63,    0.305,     4.60,     8.87,    15.64,     1.64,     2.61,     4.19,   0.0102,   0.0141,   0.0201,  7009.37,  9601.27, 11953.16,  3879.62,  4009.97,  4380.33
uk20,mi,1,  66004521, 31531.70, 25817.51,    0.474,    25.67,    30.00,    34.85,    17.06,    19.19,    21.39,   0.1425,   0.1566,   0.1708,  3652.30,  4904.02,  6306.23,  7236.69,  8707.22, 10027.26
uk20,hcexp,1,  66004521,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
