dataset,variable,eq,percentile,thr,share
uk17,dhi,1,7,        35155.07,  10.5514
uk17,dhi,1,8,        42220.64,  12.4223
uk17,dhi,1,9,        53057.14,  15.1356
uk17,dhi,1,10,               .,  23.9299
uk17,dhci,1,1,        13262.18,   3.1694
uk17,dhci,1,2,        16744.33,   4.8674
uk17,dhci,1,3,        19797.33,   5.8943
uk17,dhci,1,4,        22872.12,   6.8696
uk17,dhci,1,5,        26479.19,   7.9605
uk17,dhci,1,6,        30442.83,   9.1530
uk17,dhci,1,7,        35131.40,  10.5554
uk17,dhci,1,8,        42199.98,  12.4319
uk17,dhci,1,9,        53057.14,  15.1441
uk17,dhci,1,10,               .,  23.9543
uk17,mi,1,1,          797.90,   0.0203
uk17,mi,1,2,         6996.95,   1.2681
uk17,mi,1,3,        13344.15,   3.2343
uk17,mi,1,4,        19365.39,   5.1898
uk17,mi,1,5,        25597.42,   7.1936
uk17,mi,1,6,        32608.21,   9.2399
uk17,mi,1,7,        39274.96,  11.4047
uk17,mi,1,8,        49014.31,  13.9744
uk17,mi,1,9,        65098.43,  17.8697
uk17,mi,1,10,               .,  30.6050
uk17,hcexp,1,1,.,.
uk17,hcexp,1,2,.,.
uk17,hcexp,1,3,.,.
uk17,hcexp,1,4,.,.
uk17,hcexp,1,5,.,.
uk17,hcexp,1,6,.,.
uk17,hcexp,1,7,.,.
uk17,hcexp,1,8,.,.
uk17,hcexp,1,9,.,.
uk17,hcexp,1,10,.,.
uk18,dhi,1,1,        13517.27,   3.1101
uk18,dhi,1,2,        17030.40,   4.8424
uk18,dhi,1,3,        20086.51,   5.8551
uk18,dhi,1,4,        23180.28,   6.8268
uk18,dhi,1,5,        26553.60,   7.8540
uk18,dhi,1,6,        30750.29,   9.0344
uk18,dhi,1,7,        35760.54,  10.4713
uk18,dhi,1,8,        42431.34,  12.3137
uk18,dhi,1,9,        54940.36,  15.0744
uk18,dhi,1,10,               .,  24.6179
uk18,dhci,1,1,        13422.82,   3.0948
uk18,dhci,1,2,        16976.42,   4.8304
uk18,dhci,1,3,        19996.17,   5.8384
uk18,dhci,1,4,        23092.56,   6.8170
uk18,dhci,1,5,        26535.72,   7.8679
uk18,dhci,1,6,        30685.29,   9.0128
uk18,dhci,1,7,        35760.54,  10.5012
uk18,dhci,1,8,        42392.58,  12.2922
uk18,dhci,1,9,        54835.41,  15.1005
uk18,dhci,1,10,               .,  24.6448
uk18,mi,1,1,          707.48,   0.0187
uk18,mi,1,2,         7212.63,   1.2756
uk18,mi,1,3,        13831.58,   3.2732
uk18,mi,1,4,        19963.10,   5.2542
uk18,mi,1,5,        26169.88,   7.1081
uk18,mi,1,6,        32513.80,   9.0657
uk18,mi,1,7,        40088.53,  11.1761
uk18,mi,1,8,        49866.43,  13.8406
uk18,mi,1,9,        66884.07,  17.6948
uk18,mi,1,10,               .,  31.2928
uk18,hcexp,1,1,.,.
uk18,hcexp,1,2,.,.
uk18,hcexp,1,3,.,.
uk18,hcexp,1,4,.,.
uk18,hcexp,1,5,.,.
uk18,hcexp,1,6,.,.
uk18,hcexp,1,7,.,.
uk18,hcexp,1,8,.,.
uk18,hcexp,1,9,.,.
uk18,hcexp,1,10,.,.
uk19,dhi,1,1,        13582.34,   3.0808
uk19,dhi,1,2,        17264.91,   4.8383
uk19,dhi,1,3,        20521.05,   5.8902
uk19,dhi,1,4,        23953.28,   6.9036
uk19,dhi,1,5,        27572.26,   8.0063
uk19,dhi,1,6,        31711.58,   9.2016
uk19,dhi,1,7,        36713.43,  10.6352
uk19,dhi,1,8,        43604.03,  12.4237
uk19,dhi,1,9,        55006.13,  15.1044
uk19,dhi,1,10,               .,  23.9159
uk19,dhci,1,1,        13485.73,   3.0565
uk19,dhci,1,2,        17198.98,   4.8246
uk19,dhci,1,3,        20461.31,   5.8776
uk19,dhci,1,4,        23898.74,   6.8941
uk19,dhci,1,5,        27522.95,   8.0119
uk19,dhci,1,6,        31671.13,   9.2055
uk19,dhci,1,7,        36662.56,  10.6376
uk19,dhci,1,8,        43589.33,  12.4365
uk19,dhci,1,9,        55006.13,  15.1154
uk19,dhci,1,10,               .,  23.9405
uk19,mi,1,1,         1033.29,   0.0308
uk19,mi,1,2,         7730.95,   1.3589
uk19,mi,1,3,        14699.80,   3.3913
uk19,mi,1,4,        21192.07,   5.4127
uk19,mi,1,5,        27483.14,   7.3491
uk19,mi,1,6,        33728.53,   9.2302
uk19,mi,1,7,        40898.17,  11.2661
uk19,mi,1,8,        50685.73,  13.7811
uk19,mi,1,9,        68032.50,  17.4794
uk19,mi,1,10,               .,  30.7004
uk19,hcexp,1,1,.,.
uk19,hcexp,1,2,.,.
uk19,hcexp,1,3,.,.
uk19,hcexp,1,4,.,.
uk19,hcexp,1,5,.,.
uk19,hcexp,1,6,.,.
uk19,hcexp,1,7,.,.
uk19,hcexp,1,8,.,.
uk19,hcexp,1,9,.,.
uk19,hcexp,1,10,.,.
uk20,dhi,1,1,        14228.50,   3.1963
uk20,dhi,1,2,        17578.72,   5.0790
uk20,dhi,1,3,        20488.77,   5.9907
uk20,dhi,1,4,        23811.20,   6.9611
uk20,dhi,1,5,        27222.48,   8.0025
uk20,dhi,1,6,        31159.64,   9.1784
uk20,dhi,1,7,        35639.04,  10.5134
uk20,dhi,1,8,        42575.61,  12.3697
uk20,dhi,1,9,        54271.88,  14.9735
uk20,dhi,1,10,               .,  23.7353
uk20,dhci,1,1,        14133.91,   3.1907
uk20,dhci,1,2,        17497.52,   5.0372
uk20,dhci,1,3,        20444.11,   5.9997
uk20,dhci,1,4,        23781.34,   6.9466
uk20,dhci,1,5,        27194.63,   8.0359
uk20,dhci,1,6,        31123.80,   9.1513
uk20,dhci,1,7,        35639.04,  10.5393
uk20,dhci,1,8,        42575.61,  12.3632
uk20,dhci,1,9,        54248.30,  14.9874
uk20,dhci,1,10,               .,  23.7487
uk20,mi,1,1,          696.29,   0.0176
uk20,mi,1,2,         7380.33,   1.3083
uk20,mi,1,3,        13614.87,   3.3423
uk20,mi,1,4,        19686.28,   5.2569
uk20,mi,1,5,        25817.51,   7.2459
uk20,mi,1,6,        31850.55,   9.0943
uk20,mi,1,7,        39429.43,  11.2287
uk20,mi,1,8,        48684.97,  13.8371
uk20,mi,1,9,        65798.61,  18.0095
uk20,mi,1,10,               .,  30.6593
uk20,hcexp,1,1,.,.
uk20,hcexp,1,2,.,.
uk20,hcexp,1,3,.,.
uk20,hcexp,1,4,.,.
uk20,hcexp,1,5,.,.
uk20,hcexp,1,6,.,.
uk20,hcexp,1,7,.,.
uk20,hcexp,1,8,.,.
uk20,hcexp,1,9,.,.
uk20,hcexp,1,10,.,.
