dataset,grossnet,n_dhi,n_dhci,n_mi,n_hcexp
cl94,200,45379,45379,45379,0
cl96,200,33636,33636,33636,0
cl98,200,48107,48107,48107,0
cl00,200,65036,65036,65036,0
cl03,200,68153,68153,68153,0
cl06,200,73720,73720,73720,0
cl09,200,71460,71460,71460,0
cl11,200,59084,59084,59084,0
cl13,200,66725,66725,66725,0
cl15,200,83887,83887,83887,0
cl17,200,70948,70948,70948,0
cn02,300,17113,17113,17113,17113
cn13,200,17883,17883,17883,17883
cn18,200,20451,20451,20451,20451
co01,100,64492,64492,64492,0
co02,100,129164,129164,129164,0
co03,100,132481,132481,132481,0
co04,100,150225,150225,150225,0
co05,100,151402,151402,151402,0
co06,100,77557,77557,77557,0
co07,100,219978,219978,219978,0
co08,100,221988,221988,221988,0
co09,100,221180,221180,221180,0
co10,100,226303,226303,226303,0
co11,100,230269,230269,230269,0
co12,100,228662,228662,228662,0
co13,100,228944,228944,228944,0
co14,100,228932,228932,228932,0
co15,100,232219,232219,232219,0
co16,100,231178,231178,231178,0
co17,100,230909,230909,230909,0
co18,100,231128,231128,231128,0
co19,100,231831,231831,231831,0
co20,100,134399,134399,134399,0
cz92,300,16234,16234,16234,0
cz96,100,28148,28148,28148,0
cz02,120,7973,7973,7973,0
cz04,100,4351,4351,4351,0
cz07,100,11294,11294,11294,0
cz10,100,8866,8866,8866,0
cz13,100,8053,8053,8053,0
cz16,100,8701,8701,8701,0
de73,100,46770,46770,46770,46770
de78,100,46068,46068,46068,46068
de81,100,2727,2727,2727,0
de83,100,42752,42752,42752,42752
de84,120,5322,5322,5322,0
de85,120,5090,5090,5090,0
de86,120,5026,5026,5026,0
de87,120,4814,4814,4814,0
de88,120,4690,4690,4690,0
de89,120,4640,4640,4640,0
de90,120,4669,4669,4669,0
de91,120,6665,6665,6665,0
de92,120,6637,6637,6637,0
de93,120,6559,6559,6559,0
de94,120,6768,6768,6768,0
de95,120,6699,6699,6699,0
de96,120,6621,6621,6621,0
de97,120,7492,7492,7492,0
de98,120,7220,7220,7220,0
de99,120,13082,13082,13082,0
de00,120,11796,11796,11796,0
de01,120,12320,12320,12320,0
de02,120,11909,11909,11909,0
de03,120,11644,11644,11644,0
de04,120,11294,11294,11294,0
de05,120,12361,12361,12361,0
de06,120,11552,11552,11552,0
de07,120,10921,10921,10921,0
de08,120,10270,10270,10270,0
de09,120,13888,13888,13888,0
de10,120,16703,16703,16703,0
de11,120,16397,16397,16397,0
de12,120,17992,17992,17992,0
de13,120,15946,15946,15946,0
de14,120,15908,15908,15908,0
de15,120,14426,14426,14426,0
de16,120,17516,17516,17516,0
de17,120,18240,18240,18240,0
de18,120,18716,18716,18716,0
de19,120,18822,18822,18822,0
dk87,110,12462,12462,12462,0
dk92,110,12895,12895,12895,0
dk95,110,80071,80071,80071,0
dk00,110,82062,82062,82062,0
dk04,110,83349,83349,83349,0
dk07,110,84669,84669,84669,0
dk10,110,85645,85645,85645,0
dk13,110,87517,87517,87517,0
dk16,110,89245,89245,89245,0
do07,110,8363,8363,8363,8363
ee00,200,6068,6068,6068,6068
ee04,100,4155,4155,4155,0
ee07,120,4744,4744,4744,0
ee10,120,4993,4993,4993,0
ee13,120,5772,5772,5772,0
ee16,120,6155,6155,6155,0
eg12,200,12039,12039,12039,0
es80,200,23936,23936,23936,23936
es85,200,3145,3145,3145,3145
es90,200,21153,21153,21153,21153
es95,200,5928,5928,5928,0
es00,200,4776,4776,4776,0
es04,200,12950,12950,12950,0
es07,110,13014,13014,13014,0
es10,110,13109,13109,13109,0
es13,110,11965,11965,11965,0
es16,110,13740,13740,13740,0
fi87,110,11863,11863,11863,0
fi91,110,11749,11749,11749,0
fi95,110,9262,9262,9262,0
fi00,110,10423,10423,10423,0
fi04,110,11228,11228,11228,0
fi07,110,10472,10472,10472,0
fi10,110,9351,9351,9351,0
fi13,110,11030,11030,11030,0
fi16,110,10210,10210,10210,0
fr70,320,37798,37798,37798,0
fr75,320,34643,34643,34643,0
fr79,320,34062,34062,34062,0
fr84,320,38081,38081,38081,0
fr90,320,27627,27627,27627,0
fr96,100,22592,22592,22592,0
fr97,100,45313,45313,45313,0
fr98,100,68707,68707,68707,0
fr99,100,69126,69126,69126,0
fr00,100,68883,68883,68883,0
fr01,100,68040,68040,68040,0
fr02,100,33685,33685,33685,0
fr03,100,35251,35251,35251,0
fr04,100,35911,35911,35911,0
fr05,100,35419,35419,35419,0
fr06,100,35977,35977,35977,0
fr07,100,37069,37069,37069,0
fr08,100,36907,36907,36907,0
fr09,100,49016,49016,49016,0
fr10,100,54639,54639,54639,0
fr11,100,56486,56486,56486,0
fr12,100,56162,56162,56162,0
fr13,100,50454,50454,50454,0
fr14,100,50096,50096,50096,0
fr15,100,51144,51144,51144,0
fr16,100,52174,52174,52174,0
fr17,100,51951,51951,51951,0
fr18,100,50802,50802,50802,0
ge09,200,3878,3878,3878,3878
ge10,200,5296,5296,5296,5296
ge11,200,2726,2726,2726,2726
ge12,200,2848,2848,2848,2848
ge13,200,2714,2714,2714,2714
ge14,200,2772,2772,2772,2772
ge15,200,2734,2734,2734,2734
ge16,200,2614,2614,2614,2614
ge17,200,2122,2122,2122,2122
ge18,200,2710,2710,2710,2710
ge19,200,3180,3180,3180,3180
gr95,200,4842,4842,4842,0
gr00,200,3895,3895,3895,0
gr04,200,5568,5568,5568,0
gr07,120,6504,6504,6504,0
gr10,120,6024,6024,6024,0
gr13,120,8616,8616,8616,0
gr16,120,22555,22555,22555,0
gt06,120,13646,13646,13646,13646
gt11,120,13367,13367,13367,13367
gt14,120,11491,11491,11491,11491
hu91,200,2019,2019,2019,2019
hu94,200,1926,1926,1926,1926
hu99,200,1740,1740,1740,1740
hu05,200,1827,1827,1827,1827
hu07,200,1624,1624,1624,1624
hu09,200,1664,1664,1664,1664
hu12,200,1779,1779,1779,1779
hu15,200,2264,2264,2264,2264
ie87,100,3294,3294,3294,0
ie94,200,3192,3192,3192,0
ie95,200,2830,2830,2830,0
ie96,200,2642,2642,2642,0
ie00,200,2420,2420,2420,0
ie02,110,3090,3090,3090,0
ie03,110,5477,5477,5477,0
ie04,110,6085,6085,6085,0
ie05,110,5836,5836,5836,0
ie06,110,5608,5608,5608,0
ie07,110,5247,5247,5247,0
ie08,110,5183,5183,5183,0
ie09,110,4642,4642,4642,0
ie10,110,4333,4333,4333,0
ie11,110,4592,4592,4592,0
ie12,110,4922,4922,4922,0
ie13,110,5486,5486,5486,0
ie14,110,5452,5452,5452,0
ie15,110,5218,5218,5218,0
ie16,110,5029,5029,5029,0
ie17,110,4382,4382,4382,0
ie18,110,4183,4183,4183,0
ie19,110,4243,4243,4243,0
il79,100,2271,2271,2271,0
il86,100,5000,5000,5000,0
il92,100,5212,5212,5212,5212
il97,100,5230,5230,5230,5230
il01,100,5787,5787,5787,5787
il02,120,6227,6227,6227,6227
il03,120,6218,6218,6218,6218
il04,120,6132,6132,6132,6132
il05,120,6272,6272,6272,6272
il06,120,6259,6259,6259,6259
il07,120,6173,6173,6173,6173
il08,120,5971,5971,5971,5971
il09,120,6270,6270,6270,6270
il10,120,6168,6168,6168,6168
il11,120,6051,6051,6051,6051
il12,120,8742,8742,8742,8742
il13,120,9507,9507,9507,9507
il14,120,8465,8465,8465,8465
il15,120,8550,8550,8550,8550
il16,120,8903,8903,8903,8903
il17,120,9017,9017,9017,9017
il18,120,8792,8792,8792,8792
in04,200,40816,40816,40816,40816
in11,200,41859,41859,41859,41859
is04,110,2924,2924,2924,0
is07,110,2886,2886,2886,0
is10,110,3015,3015,3015,0
it86,200,8022,8022,8022,0
it87,200,8022,8022,8022,8022
it89,200,8264,8264,8264,8264
it91,200,8174,8174,8174,8174
it93,200,8079,8079,8079,8079
it95,200,8133,8133,8133,8133
it98,200,7147,7147,7147,7147
it00,200,8000,8000,8000,8000
it04,200,8012,8012,8012,8012
it08,200,7974,7974,7974,7974
it10,200,7941,7941,7941,7941
it14,120,8156,8156,8156,8156
it16,120,7420,7420,7420,7420
jp08,120,3360,3360,3360,0
jp10,120,2685,2685,2685,0
jp13,120,2027,2027,2027,0
kr06,110,12458,12458,12458,12458
kr08,110,11012,11012,11012,11012
kr10,110,10667,10667,10667,10667
kr12,110,10401,10401,10401,10401
kr14,110,9933,9933,9933,9933
kr16,110,8947,8947,8947,8947
lt09,110,5296,5296,5296,0
lt10,110,5186,5186,5186,0
lt11,110,5376,5376,5376,0
lt12,110,5133,5133,5133,0
lt13,110,5186,5186,5186,0
lt14,110,4839,4839,4839,0
lt15,110,4798,4798,4798,0
lt16,110,4935,4935,4935,0
lt17,110,4899,4899,4899,0
lt18,110,5127,5127,5127,0
lu85,200,2012,2012,2012,0
lu91,200,1957,1957,1957,0
lu94,200,1813,1813,1813,0
lu97,200,2515,2515,2515,0
lu00,200,2415,2415,2415,0
lu04,110,3622,3622,3622,0
lu07,100,3755,3755,3755,0
lu10,100,5452,5452,5452,0
lu13,100,3873,3873,3873,0
lu15,100,3711,3711,3711,0
lu16,100,3849,3849,3849,0
lu17,100,3664,3664,3664,0
lu18,100,3761,3761,3761,0
lu19,100,2743,2743,2743,0
ml11,200,5591,5591,5591,5591
ml13,200,4631,4631,4631,4631
ml14,200,6057,6057,6057,6057
ml15,200,5841,5841,5841,5841
ml16,200,5915,5915,5915,5915
ml17,200,6081,6081,6081,6081
ml18,200,5674,5674,5674,5674
ml19,200,6613,6613,6613,6613
ml20,200,6703,6703,6703,6703
mx84,200,4735,4735,4735,4735
mx89,200,11531,11531,11531,11531
mx92,200,10530,10530,10530,10530
mx94,200,12815,12815,12815,12815
mx96,200,14042,14042,14042,14042
mx98,200,10952,10952,10952,10952
mx00,200,10108,10108,10108,10108
mx02,200,17167,17167,17167,17167
mx04,200,22595,22595,22595,22595
mx05,200,23174,23174,23174,23174
mx06,200,20875,20875,20875,20875
mx08,200,29468,29468,29468,29468
mx10,200,27655,27655,27655,27655
mx12,200,9002,9002,9002,9002
mx14,200,19479,19479,19479,19479
mx16,200,70311,70311,70311,70311
mx18,200,74647,74647,74647,74647
nl83,100,4833,4833,4833,0
nl87,100,4190,4190,4190,0
nl90,100,4378,4378,4378,0
nl93,100,5187,5187,5187,0
nl99,100,4344,4344,4344,0
nl04,100,9356,9356,9356,0
nl07,110,10337,10337,10337,0
nl10,110,10492,10492,10492,0
nl13,110,10174,10174,10174,0
nl15,110,12748,12748,12748,0
nl16,110,13328,13328,13328,0
nl17,110,12493,12493,12493,0
nl18,110,13764,13764,13764,0
no79,110,10414,10414,10414,0
no86,110,4975,4975,4975,0
no91,110,8073,8073,8073,0
no95,110,10127,10127,10127,0
no00,110,12919,12919,12919,0
no04,110,13131,13131,13131,0
no07,110,217884,217884,217884,0
no10,110,228200,228200,228200,0
no13,110,235732,235732,235732,0
no16,110,243915,243915,243915,0
no19,110,257116,257116,257116,0
no20,110,261320,261320,261320,0
pa07,120,12993,12993,12993,0
pa10,120,13347,13347,13347,0
pa13,120,11837,11837,11837,0
pa16,120,11565,11565,11565,0
pe04,110,19062,19062,19062,19062
pe05,110,19403,19403,19403,19403
pe06,110,20233,20233,20233,20233
pe07,110,22031,22031,22031,22031
pe08,110,21318,21318,21318,21318
pe09,110,21598,21598,21598,21598
pe10,110,21283,21283,21283,21283
pe11,110,24550,24550,24550,24550
pe12,110,24929,24929,24929,24929
pe13,110,30232,30232,30232,30232
pe14,110,30674,30674,30674,30674
pe15,110,32103,32103,32103,32103
pe16,110,35684,35684,35684,35684
pe17,110,34478,34478,34478,34478
pe18,110,37269,37269,37269,37269
pe19,110,34384,34384,34384,34384
pl86,200,10646,10646,10646,0
pl92,200,6602,6602,6602,0
pl95,320,32009,32009,32009,0
pl99,200,31428,31428,31428,31428
pl04,200,32214,32214,32214,32214
pl05,200,34767,34767,34767,34767
pl06,200,37508,37508,37508,37508
pl07,200,37366,37366,37366,37366
pl08,200,37358,37358,37358,37358
pl09,200,37302,37302,37302,37302
pl10,200,37412,37412,37412,37412
pl11,200,37375,37375,37375,37375
pl12,200,37427,37427,37427,37427
pl13,200,37181,37181,37181,37181
pl14,200,37215,37215,37215,37215
pl15,200,37148,37148,37148,37148
pl16,200,36886,36886,36886,36886
pl17,200,36655,36655,36655,36655
pl18,200,36166,36166,36166,36166
pl19,200,35923,35923,35923,35923
pl20,200,33529,33529,33529,33529
ps17,300,3736,3736,3736,3736
py97,320,4353,4353,4353,0
py99,200,5101,5101,5101,0
py00,320,8131,8131,8131,0
py02,200,3789,3789,3789,0
py03,200,9591,9591,9591,0
py04,320,7823,7823,7823,0
py05,320,4464,4464,4464,0
py06,320,5292,5292,5292,0
py07,320,4812,4812,4812,0
py08,320,4601,4601,4601,0
py09,320,4439,4439,4439,0
py10,320,5003,5003,5003,0
py11,320,4894,4894,4894,0
py12,320,5288,5288,5288,0
py13,320,5424,5424,5424,0
py14,320,5165,5165,5165,0
py15,320,8229,8229,8229,0
py16,320,10219,10219,10219,0
py17,320,9570,9570,9570,0
py18,320,4999,4999,4999,0
py19,320,5099,5099,5099,0
py20,320,4842,4842,4842,0
ro95,100,31571,31571,31571,31571
ro97,100,32187,32187,32187,32187
rs06,200,4560,4560,4560,4560
rs10,200,4585,4585,4585,4585
rs13,200,4517,4517,4517,4517
rs16,200,6448,6448,6448,6448
ru00,200,3112,3112,3112,3112
ru04,200,2636,2636,2636,2636
ru07,200,2566,2566,2566,2566
ru10,200,4376,4376,4376,4376
ru11,120,9990,9990,9990,0
ru13,120,45000,45000,45000,0
ru14,120,45000,45000,45000,0
ru15,120,60000,60000,60000,0
ru16,120,160008,160008,160008,0
ru17,120,59503,59503,59503,0
ru18,120,59622,59622,59622,0
ru19,120,59556,59556,59556,0
se67,,0,0,0,0
se75,110,10306,10306,10306,0
se81,110,9625,9625,9625,0
se87,110,9530,9530,9530,0
se92,110,12484,12484,12484,0
se95,110,16260,16260,16260,0
se00,110,14491,14491,14491,0
se05,110,16268,16268,16268,0
si97,200,2577,2577,2577,2577
si99,200,3859,3859,3859,3859
si04,200,3725,3725,3725,3725
si07,200,3697,3697,3697,3697
si10,200,3924,3924,3924,3924
si12,200,3663,3663,3663,3663
si15,200,3750,3750,3750,3750
sk92,300,15990,15990,15990,0
sk96,200,16336,16336,16336,0
sk04,110,5147,5147,5147,0
sk07,110,5448,5448,5448,0
sk10,110,5200,5200,5200,0
sk13,110,5486,5486,5486,0
sk14,110,5630,5630,5630,0
sk15,110,5734,5734,5734,0
sk16,110,5561,5561,5561,0
sk17,110,5659,5659,5659,0
sk18,110,5590,5590,5590,0
tw81,,0,0,0,0
tw86,,0,0,0,0
tw91,,0,0,0,0
tw95,,0,0,0,0
tw97,,0,0,0,0
tw00,,0,0,0,0
tw05,,0,0,0,0
tw07,,0,0,0,0
tw10,,0,0,0,0
tw13,,0,0,0,0
tw16,,0,0,0,0
uk68,110,7183,7183,7183,7183
uk69,110,7008,7008,7008,7008
uk70,110,6391,6391,6391,6391
uk71,110,7239,7239,7239,7239
uk72,110,7017,7017,7017,7017
uk73,110,7124,7124,7124,7124
uk74,110,6695,6695,6695,6695
uk75,110,7203,7203,7203,7203
uk76,110,7203,7203,7203,7203
uk77,110,7196,7196,7196,7196
uk78,110,7001,7001,7001,7001
uk79,110,6776,6776,6776,6776
uk80,110,6944,6944,6944,6944
uk81,110,7524,7524,7524,7524
uk82,110,6973,6973,6973,6973
uk83,110,6973,6973,6973,6973
uk84,110,7081,7081,7081,7081
uk85,110,7012,7012,7012,7012
uk86,110,7178,7178,7178,7178
uk87,110,7396,7396,7396,7396
uk88,110,7265,7265,7265,7265
uk89,110,7410,7410,7410,7410
uk90,110,7046,7046,7046,7046
uk91,110,7056,7056,7056,7056
uk92,110,7418,7418,7418,7418
uk93,110,6979,6979,6979,6979
uk94,110,26227,26227,26227,0
uk95,110,25314,25314,25314,0
uk96,110,24576,24576,24576,0
uk97,110,22745,22745,22745,0
uk98,110,22157,22157,22157,0
uk99,110,24233,24233,24233,0
uk00,110,23043,23043,23043,0
uk01,110,24577,24577,24577,0
uk02,110,28710,28710,28710,0
uk03,110,28860,28860,28860,0
uk04,110,28041,28041,28041,0
uk05,110,28029,28029,28029,0
uk06,110,25792,25792,25792,0
uk07,110,24977,24977,24977,0
uk08,110,25088,25088,25088,0
uk09,110,25200,25200,25200,0
uk10,110,25350,25350,25350,0
uk11,110,20759,20759,20759,0
uk12,110,20196,20196,20196,0
uk13,110,20137,20137,20137,0
uk14,110,19535,19535,19535,0
uk15,110,19322,19322,19322,0
uk16,110,19380,19380,19380,0
uk17,110,19105,19105,19105,0
uk18,110,19165,19165,19165,0
uk19,110,19210,19210,19210,0
uk20,110,10007,10007,10007,0
us74,120,11475,11475,11475,0
us79,120,65236,65236,65236,0
us80,120,65731,65731,65731,0
us81,120,59276,59276,59276,0
us82,120,59211,59211,59211,0
us83,120,59171,59171,59171,0
us84,120,59799,59799,59799,0
us85,120,58914,58914,58914,0
us86,120,58258,58258,58258,0
us87,120,58975,58975,58975,0
us88,120,55335,55335,55335,0
us89,120,59941,59941,59941,0
us90,120,59929,59929,59929,0
us91,120,59215,59215,59215,0
us92,120,58970,58970,58970,0
us93,120,57079,57079,57079,0
us94,120,56941,56941,56941,0
us95,120,49682,49682,49682,0
us96,120,50311,50311,50311,0
us97,120,50348,50348,50348,0
us98,120,50781,50781,50781,0
us99,120,51016,51016,51016,0
us00,120,78054,78054,78054,0
us01,120,78265,78265,78265,0
us02,120,78310,78310,78310,0
us03,120,77149,77149,77149,0
us04,120,76447,76447,76447,0
us05,120,75939,75939,75939,0
us06,120,75477,75477,75477,0
us07,120,75872,75872,75872,0
us08,120,76185,76185,76185,0
us09,120,76260,76260,76260,0
us10,120,75188,75188,75188,0
us11,120,74383,74383,74383,0
us12,120,74821,74821,74821,0
us13,120,51498,51498,51498,0
us14,120,74257,74257,74257,0
us15,120,69484,69484,69484,0
us16,120,69957,69957,69957,0
us17,120,67909,67909,67909,0
us18,120,68345,68345,68345,0
us19,120,60460,60460,60460,0
us20,120,62850,62850,62850,0
uy04,200,18392,18392,18392,0
uy05,200,18506,18506,18506,0
uy06,200,85313,85313,85313,0
uy07,200,49136,49136,49136,0
uy08,200,50397,50397,50397,0
uy09,200,46936,46936,46936,0
uy10,200,46550,46550,46550,0
uy11,200,46669,46669,46669,0
uy12,200,43839,43839,43839,0
uy13,200,46622,46622,46622,0
uy14,200,48583,48583,48583,0
uy15,200,45391,45391,45391,0
uy16,200,45158,45158,45158,0
uy17,200,45360,45360,45360,0
uy18,200,42282,42282,42282,0
uy19,200,42507,42507,42507,0
vn05,200,9135,9135,9135,9135
vn07,200,9189,9189,9189,9189
vn09,200,9397,9397,9397,9397
vn11,200,9395,9395,9395,9395
vn13,200,9392,9392,9392,9392
za08,120,7296,7296,7296,7296
za10,120,6391,6391,6391,6391
za12,120,7947,7947,7947,7947
za15,120,9499,9499,9499,9499
za17,120,10609,10609,10609,10609
