dataset,variable,eq,percentile,thr,share
at97,hcexp,0,80,.,.
at97,hcexp,0,90,.,.
at97,hcexp,0,100,.,.
at98,dhi,0,10,         8285.31,   3.2105
at98,dhi,0,20,        10434.41,   5.0050
at98,dhi,0,30,        12118.34,   5.9775
at98,dhi,0,40,        14006.40,   6.9321
at98,dhi,0,50,        15844.78,   7.9458
at98,dhi,0,60,        18044.08,   8.9197
at98,dhi,0,70,        20811.38,  10.3275
at98,dhi,0,80,        24705.01,  12.0336
at98,dhi,0,90,        31703.61,  14.6502
at98,dhi,0,100,               .,  24.9982
at98,dhci,0,10,         8285.31,   3.2105
at98,dhci,0,20,        10434.41,   5.0050
at98,dhci,0,30,        12118.34,   5.9775
at98,dhci,0,40,        14006.40,   6.9321
at98,dhci,0,50,        15844.78,   7.9458
at98,dhci,0,60,        18044.08,   8.9197
at98,dhci,0,70,        20811.38,  10.3275
at98,dhci,0,80,        24705.01,  12.0336
at98,dhci,0,90,        31703.61,  14.6502
at98,dhci,0,100,               .,  24.9982
at98,mi,0,10,.,.
at98,mi,0,20,.,.
at98,mi,0,30,.,.
at98,mi,0,40,.,.
at98,mi,0,50,.,.
at98,mi,0,60,.,.
at98,mi,0,70,.,.
at98,mi,0,80,.,.
at98,mi,0,90,.,.
at98,mi,0,100,.,.
at98,hcexp,0,10,.,.
at98,hcexp,0,20,.,.
at98,hcexp,0,30,.,.
at98,hcexp,0,40,.,.
at98,hcexp,0,50,.,.
at98,hcexp,0,60,.,.
at98,hcexp,0,70,.,.
at98,hcexp,0,80,.,.
at98,hcexp,0,90,.,.
at98,hcexp,0,100,.,.
at99,dhi,0,10,         8822.75,   3.5553
at99,dhi,0,20,        10965.50,   5.1221
at99,dhi,0,30,        12671.61,   6.0973
at99,dhi,0,40,        14576.25,   6.9703
at99,dhi,0,50,        16669.24,   8.0607
at99,dhi,0,60,        19127.63,   9.2626
at99,dhi,0,70,        21698.33,  10.5457
at99,dhi,0,80,        25199.97,  12.0846
at99,dhi,0,90,        32357.94,  14.5547
at99,dhi,0,100,               .,  23.7468
at99,dhci,0,10,         8822.75,   3.5553
at99,dhci,0,20,        10965.50,   5.1221
at99,dhci,0,30,        12671.61,   6.0973
at99,dhci,0,40,        14576.25,   6.9703
at99,dhci,0,50,        16669.24,   8.0607
at99,dhci,0,60,        19127.63,   9.2626
at99,dhci,0,70,        21698.33,  10.5457
at99,dhci,0,80,        25199.97,  12.0846
at99,dhci,0,90,        32357.94,  14.5547
at99,dhci,0,100,               .,  23.7468
at99,mi,0,10,.,.
at99,mi,0,20,.,.
at99,mi,0,30,.,.
at99,mi,0,40,.,.
at99,mi,0,50,.,.
at99,mi,0,60,.,.
at99,mi,0,70,.,.
at99,mi,0,80,.,.
at99,mi,0,90,.,.
at99,mi,0,100,.,.
at99,hcexp,0,10,.,.
at99,hcexp,0,20,.,.
at99,hcexp,0,30,.,.
at99,hcexp,0,40,.,.
at99,hcexp,0,50,.,.
at99,hcexp,0,60,.,.
at99,hcexp,0,70,.,.
at99,hcexp,0,80,.,.
at99,hcexp,0,90,.,.
at99,hcexp,0,100,.,.
at00,dhi,0,10,         8682.26,   3.4283
at00,dhi,0,20,        10934.11,   5.2559
at00,dhi,0,30,        12581.48,   6.2648
at00,dhi,0,40,        14395.24,   7.1082
at00,dhi,0,50,        16265.08,   8.1907
at00,dhi,0,60,        18715.75,   9.2986
at00,dhi,0,70,        21397.24,  10.5942
at00,dhi,0,80,        24962.05,  12.3389
at00,dhi,0,90,        31428.79,  14.5837
at00,dhi,0,100,               .,  22.9367
at00,dhci,0,10,         8682.26,   3.4283
at00,dhci,0,20,        10934.11,   5.2559
at00,dhci,0,30,        12581.48,   6.2648
at00,dhci,0,40,        14395.24,   7.1082
at00,dhci,0,50,        16265.08,   8.1907
at00,dhci,0,60,        18715.75,   9.2986
at00,dhci,0,70,        21397.24,  10.5942
at00,dhci,0,80,        24962.05,  12.3389
at00,dhci,0,90,        31428.79,  14.5837
at00,dhci,0,100,               .,  22.9367
at00,mi,0,10,.,.
at00,mi,0,20,.,.
at00,mi,0,30,.,.
at00,mi,0,40,.,.
at00,mi,0,50,.,.
at00,mi,0,60,.,.
at00,mi,0,70,.,.
at00,mi,0,80,.,.
at00,mi,0,90,.,.
at00,mi,0,100,.,.
at00,hcexp,0,10,.,.
at00,hcexp,0,20,.,.
at00,hcexp,0,30,.,.
at00,hcexp,0,40,.,.
at00,hcexp,0,50,.,.
at00,hcexp,0,60,.,.
at00,hcexp,0,70,.,.
at00,hcexp,0,80,.,.
at00,hcexp,0,90,.,.
at00,hcexp,0,100,.,.
at03,dhi,0,10,         9149.19,   3.3439
at03,dhi,0,20,        11544.09,   5.1376
at03,dhi,0,30,        13578.91,   6.1998
at03,dhi,0,40,        15570.16,   7.1840
at03,dhi,0,50,        17579.53,   8.1509
at03,dhi,0,60,        19919.58,   9.2177
at03,dhi,0,70,        22899.22,  10.4898
at03,dhi,0,80,        26609.78,  12.1077
at03,dhi,0,90,        33569.82,  14.6294
at03,dhi,0,100,               .,  23.5392
at03,dhci,0,10,         9142.41,   3.3389
at03,dhci,0,20,        11508.21,   5.1539
at03,dhci,0,30,        13506.96,   6.1764
at03,dhci,0,40,        15520.49,   7.2029
at03,dhci,0,50,        17491.03,   8.1648
at03,dhci,0,60,        19816.03,   9.1780
at03,dhci,0,70,        22675.74,  10.5151
at03,dhci,0,80,        26518.29,  12.1171
at03,dhci,0,90,        33445.01,  14.6085
at03,dhci,0,100,               .,  23.5444
at03,mi,0,10,            0.01,   0.0000
at03,mi,0,20,         4407.96,   0.6999
at03,mi,0,30,         9412.30,   3.5102
at03,mi,0,40,        12685.53,   5.5666
at03,mi,0,50,        16027.55,   7.2059
at03,mi,0,60,        19809.91,   9.0096
at03,mi,0,70,        24088.39,  10.9899
at03,mi,0,80,        30616.90,  13.5795
at03,mi,0,90,        41663.04,  17.7572
at03,mi,0,100,               .,  31.6812
at03,hcexp,0,10,.,.
at03,hcexp,0,20,.,.
at03,hcexp,0,30,.,.
at03,hcexp,0,40,.,.
at03,hcexp,0,50,.,.
at03,hcexp,0,60,.,.
at03,hcexp,0,70,.,.
at03,hcexp,0,80,.,.
at03,hcexp,0,90,.,.
at03,hcexp,0,100,.,.
at04,dhi,0,10,         9686.97,   3.4278
at04,dhi,0,20,        12079.76,   5.1139
at04,dhi,0,30,        14205.25,   6.1337
at04,dhi,0,40,        16206.77,   7.0663
at04,dhi,0,50,        18327.26,   8.0681
at04,dhi,0,60,        20810.18,   9.1073
at04,dhi,0,70,        23810.12,  10.3752
at04,dhi,0,80,        28126.42,  12.1219
at04,dhi,0,90,        35607.73,  14.7056
at04,dhi,0,100,               .,  23.8801
at04,dhci,0,10,         9636.25,   3.4222
at04,dhci,0,20,        11984.23,   5.0910
at04,dhci,0,30,        14062.97,   6.1336
at04,dhci,0,40,        16097.13,   7.0586
at04,dhci,0,50,        18273.19,   8.0792
at04,dhci,0,60,        20615.98,   9.0942
at04,dhci,0,70,        23691.98,  10.3612
at04,dhci,0,80,        28035.51,  12.0816
at04,dhci,0,90,        35290.55,  14.7458
at04,dhci,0,100,               .,  23.9327
at04,mi,0,10,          104.80,   0.0155
at04,mi,0,20,         3810.83,   0.6166
at04,mi,0,30,         9248.77,   3.4940
at04,mi,0,40,        12556.42,   5.3799
at04,mi,0,50,        15949.26,   6.9613
at04,mi,0,60,        20006.31,   8.8074
at04,mi,0,70,        24814.86,  10.9424
at04,mi,0,80,        32043.19,  13.8209
at04,mi,0,90,        43442.39,  18.2570
at04,mi,0,100,               .,  31.7050
at04,hcexp,0,10,.,.
at04,hcexp,0,20,.,.
at04,hcexp,0,30,.,.
at04,hcexp,0,40,.,.
at04,hcexp,0,50,.,.
at04,hcexp,0,60,.,.
at04,hcexp,0,70,.,.
at04,hcexp,0,80,.,.
at04,hcexp,0,90,.,.
at04,hcexp,0,100,.,.
at05,dhi,0,10,         9557.70,   3.5170
at05,dhi,0,20,        11751.22,   5.2656
at05,dhi,0,30,        13781.24,   6.2695
at05,dhi,0,40,        15570.09,   7.1601
at05,dhi,0,50,        17808.17,   8.1556
at05,dhi,0,60,        20020.63,   9.2594
at05,dhi,0,70,        23146.33,  10.6196
at05,dhi,0,80,        27044.61,  12.1749
at05,dhi,0,90,        33763.11,  14.7104
at05,dhi,0,100,               .,  22.8680
at05,dhci,0,10,         9486.85,   3.5188
at05,dhci,0,20,        11705.45,   5.2602
at05,dhci,0,30,        13704.07,   6.2699
at05,dhci,0,40,        15495.00,   7.1465
at05,dhci,0,50,        17732.67,   8.1726
at05,dhci,0,60,        19971.99,   9.2830
at05,dhci,0,70,        23054.55,  10.5172
at05,dhci,0,80,        26957.96,  12.2420
at05,dhci,0,90,        33611.07,  14.7105
at05,dhci,0,100,               .,  22.8793
at05,mi,0,10,           46.56,   0.0050
at05,mi,0,20,         2275.17,   0.3242
at05,mi,0,30,         8434.77,   3.0175
at05,mi,0,40,        11797.18,   5.3689
at05,mi,0,50,        15214.58,   7.1043
at05,mi,0,60,        18907.71,   9.0262
at05,mi,0,70,        23408.34,  11.1837
at05,mi,0,80,        29623.51,  13.8342
at05,mi,0,90,        40563.52,  18.2924
at05,mi,0,100,               .,  31.8437
at05,hcexp,0,10,.,.
at05,hcexp,0,20,.,.
at05,hcexp,0,30,.,.
at05,hcexp,0,40,.,.
at05,hcexp,0,50,.,.
at05,hcexp,0,60,.,.
at05,hcexp,0,70,.,.
at05,hcexp,0,80,.,.
at05,hcexp,0,90,.,.
at05,hcexp,0,100,.,.
at06,dhi,0,10,         9596.39,   3.4206
at06,dhi,0,20,        11868.22,   5.1676
at06,dhi,0,30,        13895.78,   6.2105
at06,dhi,0,40,        15813.88,   7.0923
at06,dhi,0,50,        17842.69,   8.0381
at06,dhi,0,60,        20340.83,   9.1373
at06,dhi,0,70,        23457.25,  10.4455
at06,dhi,0,80,        27428.29,  12.1112
at06,dhi,0,90,        34592.56,  14.5968
at06,dhi,0,100,               .,  23.7801
at06,dhci,0,10,         9552.72,   3.4244
at06,dhci,0,20,        11789.36,   5.1767
at06,dhci,0,30,        13825.86,   6.2014
at06,dhci,0,40,        15645.09,   7.0731
at06,dhci,0,50,        17802.32,   8.0368
at06,dhci,0,60,        20270.80,   9.1563
at06,dhci,0,70,        23363.92,  10.4186
at06,dhci,0,80,        27271.16,  12.1230
at06,dhci,0,90,        34295.87,  14.5994
at06,dhci,0,100,               .,  23.7904
at06,mi,0,10,           64.26,   0.0046
at06,mi,0,20,         2306.17,   0.3355
at06,mi,0,30,         7997.95,   2.8093
at06,mi,0,40,        11733.75,   5.0736
at06,mi,0,50,        15380.84,   6.9209
at06,mi,0,60,        19265.84,   8.8002
at06,mi,0,70,        23845.73,  10.9633
at06,mi,0,80,        30661.02,  13.7877
at06,mi,0,90,        42623.49,  18.3666
at06,mi,0,100,               .,  32.9382
at06,hcexp,0,10,.,.
at06,hcexp,0,20,.,.
at06,hcexp,0,30,.,.
at06,hcexp,0,40,.,.
at06,hcexp,0,50,.,.
at06,hcexp,0,60,.,.
at06,hcexp,0,70,.,.
at06,hcexp,0,80,.,.
at06,hcexp,0,90,.,.
at06,hcexp,0,100,.,.
at07,dhi,0,10,         9384.05,   3.0946
at07,dhi,0,20,        11997.44,   4.9384
at07,dhi,0,30,        14325.61,   6.0318
at07,dhi,0,40,        16641.80,   7.0744
at07,dhi,0,50,        18843.16,   8.0994
at07,dhi,0,60,        21731.29,   9.2434
at07,dhi,0,70,        24839.05,  10.5801
at07,dhi,0,80,        28772.19,  12.1793
at07,dhi,0,90,        37133.06,  14.8876
at07,dhi,0,100,               .,  23.8709
at07,dhci,0,10,         9330.75,   3.1019
at07,dhci,0,20,        11928.92,   4.9033
at07,dhci,0,30,        14205.89,   6.0291
at07,dhci,0,40,        16526.99,   7.0924
at07,dhci,0,50,        18735.48,   8.0647
at07,dhci,0,60,        21583.90,   9.2450
at07,dhci,0,70,        24609.55,  10.5789
at07,dhci,0,80,        28614.33,  12.1932
at07,dhci,0,90,        36868.62,  14.8532
at07,dhci,0,100,               .,  23.9383
at07,mi,0,10,          143.95,   0.0180
at07,mi,0,20,         2939.18,   0.4141
at07,mi,0,30,         8479.91,   2.6911
at07,mi,0,40,        12504.26,   4.8966
at07,mi,0,50,        16428.25,   6.7068
at07,mi,0,60,        20930.66,   8.6086
at07,mi,0,70,        26483.93,  10.8699
at07,mi,0,80,        33459.93,  13.8006
at07,mi,0,90,        46911.22,  18.1821
at07,mi,0,100,               .,  33.8121
at07,hcexp,0,10,.,.
at07,hcexp,0,20,.,.
at07,hcexp,0,30,.,.
at07,hcexp,0,40,.,.
at07,hcexp,0,50,.,.
at07,hcexp,0,60,.,.
at07,hcexp,0,70,.,.
at07,hcexp,0,80,.,.
at07,hcexp,0,90,.,.
at07,hcexp,0,100,.,.
at08,dhi,0,10,         9677.92,   3.0388
at08,dhi,0,20,        12488.05,   5.0106
at08,dhi,0,30,        14821.51,   6.1655
at08,dhi,0,40,        16972.34,   7.1258
at08,dhi,0,50,        19426.31,   8.1895
at08,dhi,0,60,        22064.91,   9.3270
at08,dhi,0,70,        24979.72,  10.4887
at08,dhi,0,80,        28935.02,  12.0471
at08,dhi,0,90,        36661.50,  14.4930
at08,dhi,0,100,               .,  24.1139
at08,dhci,0,10,         9574.50,   3.0321
at08,dhci,0,20,        12406.99,   5.0042
at08,dhci,0,30,        14708.87,   6.1428
at08,dhci,0,40,        16807.97,   7.1191
at08,dhci,0,50,        19312.68,   8.1861
at08,dhci,0,60,        21817.49,   9.2952
at08,dhci,0,70,        24791.77,  10.5177
at08,dhci,0,80,        28756.63,  12.0407
at08,dhci,0,90,        36523.41,  14.5058
at08,dhci,0,100,               .,  24.1563
at08,mi,0,10,          139.29,   0.0171
at08,mi,0,20,         2315.74,   0.3621
at08,mi,0,30,         8388.12,   2.5747
at08,mi,0,40,        12908.98,   4.8446
at08,mi,0,50,        16915.14,   6.7695
at08,mi,0,60,        20944.66,   8.5898
at08,mi,0,70,        26479.59,  10.7169
at08,mi,0,80,        33555.39,  13.5799
at08,mi,0,90,        46912.60,  17.9604
at08,mi,0,100,               .,  34.5851
at08,hcexp,0,10,.,.
at08,hcexp,0,20,.,.
at08,hcexp,0,30,.,.
at08,hcexp,0,40,.,.
at08,hcexp,0,50,.,.
at08,hcexp,0,60,.,.
at08,hcexp,0,70,.,.
at08,hcexp,0,80,.,.
at08,hcexp,0,90,.,.
at08,hcexp,0,100,.,.
at09,dhi,0,10,         9566.38,   2.8963
at09,dhi,0,20,        12648.36,   4.8574
at09,dhi,0,30,        15107.16,   5.9909
at09,dhi,0,40,        17374.11,   7.0338
at09,dhi,0,50,        20100.23,   8.0835
at09,dhi,0,60,        22683.53,   9.2366
at09,dhi,0,70,        25960.76,  10.4969
at09,dhi,0,80,        30215.59,  12.0364
at09,dhi,0,90,        38415.89,  14.6636
at09,dhi,0,100,               .,  24.7046
at09,dhci,0,10,         9552.95,   2.8971
at09,dhci,0,20,        12526.82,   4.8441
at09,dhci,0,30,        14909.56,   5.9935
at09,dhci,0,40,        17284.20,   7.0440
at09,dhci,0,50,        19900.53,   8.0977
at09,dhci,0,60,        22574.97,   9.2643
at09,dhci,0,70,        25709.70,  10.5131
at09,dhci,0,80,        29860.28,  12.0181
at09,dhci,0,90,        38088.23,  14.6512
at09,dhci,0,100,               .,  24.6769
at09,mi,0,10,           96.78,   0.0128
at09,mi,0,20,         2136.91,   0.2793
at09,mi,0,30,         7901.79,   2.2484
at09,mi,0,40,        12257.14,   4.5419
at09,mi,0,50,        16476.05,   6.4691
at09,mi,0,60,        21115.74,   8.4360
at09,mi,0,70,        27282.35,  10.7966
at09,mi,0,80,        34328.39,  13.7277
at09,mi,0,90,        48496.77,  18.1547
at09,mi,0,100,               .,  35.3334
at09,hcexp,0,10,.,.
at09,hcexp,0,20,.,.
at09,hcexp,0,30,.,.
at09,hcexp,0,40,.,.
at09,hcexp,0,50,.,.
at09,hcexp,0,60,.,.
at09,hcexp,0,70,.,.
at09,hcexp,0,80,.,.
at09,hcexp,0,90,.,.
at09,hcexp,0,100,.,.
at10,dhi,0,10,         9807.60,   3.1045
at10,dhi,0,20,        12758.51,   4.9417
at10,dhi,0,30,        15142.92,   6.0622
at10,dhi,0,40,        17498.18,   7.1332
at10,dhi,0,50,        20000.96,   8.1272
at10,dhi,0,60,        22690.96,   9.2922
at10,dhi,0,70,        26085.52,  10.5923
at10,dhi,0,80,        30586.37,  12.2587
at10,dhi,0,90,        38475.57,  14.8208
at10,dhi,0,100,               .,  23.6672
at10,dhci,0,10,         9794.70,   3.0983
at10,dhci,0,20,        12630.56,   4.9413
at10,dhci,0,30,        15093.16,   6.0610
at10,dhci,0,40,        17380.55,   7.1202
at10,dhci,0,50,        19782.50,   8.1421
at10,dhci,0,60,        22535.94,   9.2759
at10,dhci,0,70,        25949.69,  10.5973
at10,dhci,0,80,        30341.38,  12.2605
at10,dhci,0,90,        38189.15,  14.8435
at10,dhci,0,100,               .,  23.6598
at10,mi,0,10,           97.76,   0.0114
at10,mi,0,20,         2039.07,   0.2676
at10,mi,0,30,         7488.70,   2.2531
at10,mi,0,40,        12114.47,   4.5513
at10,mi,0,50,        16329.87,   6.5759
at10,mi,0,60,        20966.60,   8.5533
at10,mi,0,70,        26929.96,  11.1104
at10,mi,0,80,        35173.73,  14.1437
at10,mi,0,90,        47900.85,  18.9193
at10,mi,0,100,               .,  33.6140
at10,hcexp,0,10,.,.
at10,hcexp,0,20,.,.
at10,hcexp,0,30,.,.
at10,hcexp,0,40,.,.
at10,hcexp,0,50,.,.
at10,hcexp,0,60,.,.
at10,hcexp,0,70,.,.
at10,hcexp,0,80,.,.
at10,hcexp,0,90,.,.
at10,hcexp,0,100,.,.
at11,dhi,0,10,         9803.29,   2.9495
at11,dhi,0,20,        12403.71,   4.9031
at11,dhi,0,30,        14789.57,   6.0042
at11,dhi,0,40,        17136.72,   7.0097
at11,dhi,0,50,        19612.49,   8.0857
at11,dhi,0,60,        22623.30,   9.2625
at11,dhi,0,70,        25973.24,  10.6057
at11,dhi,0,80,        30737.17,  12.3469
at11,dhi,0,90,        38427.49,  14.9591
at11,dhi,0,100,               .,  23.8736
at11,dhci,0,10,         9747.59,   2.9470
at11,dhci,0,20,        12348.11,   4.8986
at11,dhci,0,30,        14736.35,   5.9879
at11,dhci,0,40,        17016.82,   7.0063
at11,dhci,0,50,        19496.87,   8.0796
at11,dhci,0,60,        22440.82,   9.2417
at11,dhci,0,70,        25866.59,  10.6222
at11,dhci,0,80,        30487.16,  12.3471
at11,dhci,0,90,        38271.39,  14.9683
at11,dhci,0,100,               .,  23.9014
at11,mi,0,10,          108.67,   0.0135
at11,mi,0,20,         2096.61,   0.2896
at11,mi,0,30,         7834.66,   2.3828
at11,mi,0,40,        12022.43,   4.5561
at11,mi,0,50,        16440.35,   6.5652
at11,mi,0,60,        21157.03,   8.5779
at11,mi,0,70,        27006.73,  10.9806
at11,mi,0,80,        35009.61,  14.1467
at11,mi,0,90,        48136.07,  18.7714
at11,mi,0,100,               .,  33.7161
at11,hcexp,0,10,.,.
at11,hcexp,0,20,.,.
at11,hcexp,0,30,.,.
at11,hcexp,0,40,.,.
at11,hcexp,0,50,.,.
at11,hcexp,0,60,.,.
at11,hcexp,0,70,.,.
at11,hcexp,0,80,.,.
at11,hcexp,0,90,.,.
at11,hcexp,0,100,.,.
at12,dhi,0,10,         9390.29,   2.8819
at12,dhi,0,20,        12394.13,   4.9354
at12,dhi,0,30,        14816.82,   6.1265
at12,dhi,0,40,        16938.07,   7.1842
at12,dhi,0,50,        19261.46,   8.0600
at12,dhi,0,60,        22139.83,   9.3153
at12,dhi,0,70,        25275.16,  10.6379
at12,dhi,0,80,        29803.97,  12.2995
at12,dhi,0,90,        37460.68,  14.9433
at12,dhi,0,100,               .,  23.6161
at12,dhci,0,10,         9338.42,   2.8856
at12,dhci,0,20,        12362.74,   4.9352
at12,dhci,0,30,        14738.95,   6.1097
at12,dhci,0,40,        16876.94,   7.1348
at12,dhci,0,50,        19143.89,   8.1195
at12,dhci,0,60,        22035.02,   9.2990
at12,dhci,0,70,        25080.41,  10.6448
at12,dhci,0,80,        29612.66,  12.2870
at12,dhci,0,90,        37253.52,  14.9389
at12,dhci,0,100,               .,  23.6456
at12,mi,0,10,           78.67,   0.0092
at12,mi,0,20,         1710.30,   0.2322
at12,mi,0,30,         7715.66,   2.1925
at12,mi,0,40,        12177.05,   4.7022
at12,mi,0,50,        16358.91,   6.7433
at12,mi,0,60,        20815.03,   8.6318
at12,mi,0,70,        26373.12,  11.0270
at12,mi,0,80,        33785.95,  14.0176
at12,mi,0,90,        46826.25,  18.6544
at12,mi,0,100,               .,  33.7899
at12,hcexp,0,10,.,.
at12,hcexp,0,20,.,.
at12,hcexp,0,30,.,.
at12,hcexp,0,40,.,.
at12,hcexp,0,50,.,.
at12,hcexp,0,60,.,.
at12,hcexp,0,70,.,.
at12,hcexp,0,80,.,.
at12,hcexp,0,90,.,.
at12,hcexp,0,100,.,.
at13,dhi,0,10,        10060.69,   3.1084
at13,dhi,0,20,        12802.30,   4.9544
at13,dhi,0,30,        15067.83,   5.9791
at13,dhi,0,40,        17542.54,   7.0042
at13,dhi,0,50,        19815.51,   8.0411
at13,dhi,0,60,        22762.42,   9.1073
at13,dhi,0,70,        26207.33,  10.4785
at13,dhi,0,80,        30680.15,  12.1792
at13,dhi,0,90,        38695.19,  14.6685
at13,dhi,0,100,               .,  24.4794
at13,dhci,0,10,        10060.69,   3.1084
at13,dhci,0,20,        12802.30,   4.9544
at13,dhci,0,30,        15067.83,   5.9791
at13,dhci,0,40,        17542.54,   7.0042
at13,dhci,0,50,        19815.51,   8.0411
at13,dhci,0,60,        22762.42,   9.1073
