dataset,variable,eq,povline,fgt0,fgt1,fgt2,meanpoor,meangap
at96,dhi,0,3000,    24.08,     6.20,   0.0248,  8128.73,  2821.27
at96,dhi,0,4000,    44.16,    13.18,   0.0564, 10241.83,  4358.17
at96,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at96,dhci,0,215,     0.00,     0.00,   0.0000,        .,        .
at96,dhci,0,365,     0.10,     0.02,   0.0000,  1105.52,   226.73
at96,dhci,0,685,     0.42,     0.13,   0.0005,  1740.64,   759.61
at96,dhci,0,1000,     0.96,     0.31,   0.0014,  2476.85,  1173.15
at96,dhci,0,2000,     6.68,     1.82,   0.0077,  5312.38,  1987.62
at96,dhci,0,3000,    24.08,     6.20,   0.0248,  8128.73,  2821.27
at96,dhci,0,4000,    44.16,    13.18,   0.0564, 10241.83,  4358.17
at96,mi,0,100,.,.,.,.,.
at96,mi,0,215,.,.,.,.,.
at96,mi,0,365,.,.,.,.,.
at96,mi,0,685,.,.,.,.,.
at96,mi,0,1000,.,.,.,.,.
at96,mi,0,2000,.,.,.,.,.
at96,mi,0,3000,.,.,.,.,.
at96,mi,0,4000,.,.,.,.,.
at96,hcexp,0,100,.,.,.,.,.
at96,hcexp,0,215,.,.,.,.,.
at96,hcexp,0,365,.,.,.,.,.
at96,hcexp,0,685,.,.,.,.,.
at96,hcexp,0,1000,.,.,.,.,.
at96,hcexp,0,2000,.,.,.,.,.
at96,hcexp,0,3000,.,.,.,.,.
at96,hcexp,0,4000,.,.,.,.,.
at97,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at97,dhi,0,215,     0.00,     0.00,   0.0000,        .,        .
at97,dhi,0,365,     0.17,     0.04,   0.0001,  1041.42,   290.83
at97,dhi,0,685,     0.69,     0.22,   0.0009,  1715.12,   785.13
at97,dhi,0,1000,     1.57,     0.46,   0.0022,  2588.05,  1061.95
at97,dhi,0,2000,     7.18,     2.12,   0.0098,  5145.36,  2154.64
at97,dhi,0,3000,    23.01,     6.29,   0.0271,  7955.00,  2995.00
at97,dhi,0,4000,    44.34,    13.20,   0.0578, 10252.14,  4347.86
at97,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at97,dhci,0,215,     0.00,     0.00,   0.0000,        .,        .
at97,dhci,0,365,     0.17,     0.04,   0.0001,  1041.42,   290.83
at97,dhci,0,685,     0.69,     0.22,   0.0009,  1715.12,   785.13
at97,dhci,0,1000,     1.57,     0.46,   0.0022,  2588.05,  1061.95
at97,dhci,0,2000,     7.18,     2.12,   0.0098,  5145.36,  2154.64
at97,dhci,0,3000,    23.01,     6.29,   0.0271,  7955.00,  2995.00
at97,dhci,0,4000,    44.34,    13.20,   0.0578, 10252.14,  4347.86
at97,mi,0,100,.,.,.,.,.
at97,mi,0,215,.,.,.,.,.
at97,mi,0,365,.,.,.,.,.
at97,mi,0,685,.,.,.,.,.
at97,mi,0,1000,.,.,.,.,.
at97,mi,0,2000,.,.,.,.,.
at97,mi,0,3000,.,.,.,.,.
at97,mi,0,4000,.,.,.,.,.
at97,hcexp,0,100,.,.,.,.,.
at97,hcexp,0,215,.,.,.,.,.
at97,hcexp,0,365,.,.,.,.,.
at97,hcexp,0,685,.,.,.,.,.
at97,hcexp,0,1000,.,.,.,.,.
at97,hcexp,0,2000,.,.,.,.,.
at97,hcexp,0,3000,.,.,.,.,.
at97,hcexp,0,4000,.,.,.,.,.
at98,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at98,dhi,0,215,     0.00,     0.00,   0.0000,        .,        .
at98,dhi,0,365,     0.23,     0.04,   0.0001,  1090.99,   241.26
at98,dhi,0,685,     0.92,     0.30,   0.0013,  1673.72,   826.53
at98,dhi,0,1000,     1.58,     0.60,   0.0030,  2269.66,  1380.34
at98,dhi,0,2000,     6.71,     1.97,   0.0101,  5158.86,  2141.14
at98,dhi,0,3000,    23.33,     5.99,   0.0258,  8137.52,  2812.48
at98,dhi,0,4000,    43.19,    12.86,   0.0558, 10251.93,  4348.07
at98,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at98,dhci,0,215,     0.00,     0.00,   0.0000,        .,        .
at98,dhci,0,365,     0.23,     0.04,   0.0001,  1090.99,   241.26
at98,dhci,0,685,     0.92,     0.30,   0.0013,  1673.72,   826.53
at98,dhci,0,1000,     1.58,     0.60,   0.0030,  2269.66,  1380.34
at98,dhci,0,2000,     6.71,     1.97,   0.0101,  5158.86,  2141.14
at98,dhci,0,3000,    23.33,     5.99,   0.0258,  8137.52,  2812.48
at98,dhci,0,4000,    43.19,    12.86,   0.0558, 10251.93,  4348.07
at98,mi,0,100,.,.,.,.,.
at98,mi,0,215,.,.,.,.,.
at98,mi,0,365,.,.,.,.,.
at98,mi,0,685,.,.,.,.,.
at98,mi,0,1000,.,.,.,.,.
at98,mi,0,2000,.,.,.,.,.
at98,mi,0,3000,.,.,.,.,.
at98,mi,0,4000,.,.,.,.,.
at98,hcexp,0,100,.,.,.,.,.
at98,hcexp,0,215,.,.,.,.,.
at98,hcexp,0,365,.,.,.,.,.
at98,hcexp,0,685,.,.,.,.,.
at98,hcexp,0,1000,.,.,.,.,.
at98,hcexp,0,2000,.,.,.,.,.
at98,hcexp,0,3000,.,.,.,.,.
at98,hcexp,0,4000,.,.,.,.,.
at99,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at99,dhi,0,215,     0.00,     0.00,   0.0000,        .,        .
at99,dhi,0,365,     0.18,     0.03,   0.0001,  1089.68,   242.57
at99,dhi,0,685,     0.46,     0.15,   0.0007,  1691.20,   809.05
at99,dhi,0,1000,     0.77,     0.30,   0.0015,  2216.80,  1433.20
at99,dhi,0,2000,     5.05,     1.23,   0.0058,  5517.66,  1782.34
at99,dhi,0,3000,    19.87,     4.70,   0.0182,  8359.07,  2590.93
at99,dhi,0,4000,    40.17,    11.15,   0.0449, 10547.31,  4052.69
at99,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at99,dhci,0,215,     0.00,     0.00,   0.0000,        .,        .
at99,dhci,0,365,     0.18,     0.03,   0.0001,  1089.68,   242.57
at99,dhci,0,685,     0.46,     0.15,   0.0007,  1691.20,   809.05
at99,dhci,0,1000,     0.77,     0.30,   0.0015,  2216.80,  1433.20
at99,dhci,0,2000,     5.05,     1.23,   0.0058,  5517.66,  1782.34
at99,dhci,0,3000,    19.87,     4.70,   0.0182,  8359.07,  2590.93
at99,dhci,0,4000,    40.17,    11.15,   0.0449, 10547.31,  4052.69
at99,mi,0,100,.,.,.,.,.
at99,mi,0,215,.,.,.,.,.
at99,mi,0,365,.,.,.,.,.
at99,mi,0,685,.,.,.,.,.
at99,mi,0,1000,.,.,.,.,.
at99,mi,0,2000,.,.,.,.,.
at99,mi,0,3000,.,.,.,.,.
at99,mi,0,4000,.,.,.,.,.
at99,hcexp,0,100,.,.,.,.,.
at99,hcexp,0,215,.,.,.,.,.
at99,hcexp,0,365,.,.,.,.,.
at99,hcexp,0,685,.,.,.,.,.
at99,hcexp,0,1000,.,.,.,.,.
at99,hcexp,0,2000,.,.,.,.,.
at99,hcexp,0,3000,.,.,.,.,.
at99,hcexp,0,4000,.,.,.,.,.
at00,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at00,dhi,0,215,     0.00,     0.00,   0.0000,        .,        .
at00,dhi,0,365,     0.04,     0.01,   0.0000,  1085.88,   246.37
at00,dhi,0,685,     0.60,     0.10,   0.0003,  2095.39,   404.86
at00,dhi,0,1000,     1.37,     0.36,   0.0014,  2690.03,   959.97
at00,dhi,0,2000,     5.41,     1.67,   0.0081,  5043.12,  2256.88
at00,dhi,0,3000,    20.06,     5.09,   0.0216,  8174.41,  2775.59
at00,dhi,0,4000,    41.07,    11.58,   0.0485, 10483.80,  4116.20
at00,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at00,dhci,0,215,     0.00,     0.00,   0.0000,        .,        .
at00,dhci,0,365,     0.04,     0.01,   0.0000,  1085.88,   246.37
at00,dhci,0,685,     0.60,     0.10,   0.0003,  2095.39,   404.86
at00,dhci,0,1000,     1.37,     0.36,   0.0014,  2690.03,   959.97
at00,dhci,0,2000,     5.41,     1.67,   0.0081,  5043.12,  2256.88
at00,dhci,0,3000,    20.06,     5.09,   0.0216,  8174.41,  2775.59
at00,dhci,0,4000,    41.07,    11.58,   0.0485, 10483.80,  4116.20
at00,mi,0,100,.,.,.,.,.
at00,mi,0,215,.,.,.,.,.
at00,mi,0,365,.,.,.,.,.
at00,mi,0,685,.,.,.,.,.
at00,mi,0,1000,.,.,.,.,.
at00,mi,0,2000,.,.,.,.,.
at00,mi,0,3000,.,.,.,.,.
at00,mi,0,4000,.,.,.,.,.
at00,hcexp,0,100,.,.,.,.,.
at00,hcexp,0,215,.,.,.,.,.
at00,hcexp,0,365,.,.,.,.,.
at00,hcexp,0,685,.,.,.,.,.
at00,hcexp,0,1000,.,.,.,.,.
at00,hcexp,0,2000,.,.,.,.,.
at00,hcexp,0,3000,.,.,.,.,.
at00,hcexp,0,4000,.,.,.,.,.
at03,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at03,dhi,0,215,     0.04,     0.01,   0.0000,   647.26,   137.49
at03,dhi,0,365,     0.25,     0.08,   0.0003,   927.76,   404.49
at03,dhi,0,685,     0.66,     0.23,   0.0012,  1629.12,   871.13
at03,dhi,0,1000,     0.95,     0.40,   0.0023,  2115.56,  1534.44
at03,dhi,0,2000,     5.16,     1.44,   0.0071,  5265.59,  2034.41
at03,dhi,0,3000,    17.36,     4.36,   0.0187,  8198.26,  2751.74
at03,dhi,0,4000,    34.61,     9.76,   0.0412, 10482.34,  4117.66
at03,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at03,dhci,0,215,     0.04,     0.01,   0.0000,   642.00,   142.75
at03,dhci,0,365,     0.25,     0.08,   0.0003,   920.80,   411.45
at03,dhci,0,685,     0.66,     0.23,   0.0012,  1622.04,   878.21
at03,dhci,0,1000,     0.95,     0.40,   0.0023,  2109.38,  1540.62
at03,dhci,0,2000,     5.26,     1.46,   0.0072,  5279.10,  2020.90
at03,dhci,0,3000,    17.56,     4.42,   0.0189,  8193.72,  2756.28
at03,dhci,0,4000,    34.82,     9.89,   0.0418, 10452.05,  4147.95
at03,mi,0,100,    14.46,    12.98,   0.1230,    37.37,   327.63
at03,mi,0,215,    15.08,    13.93,   0.1331,    60.19,   724.56
at03,mi,0,365,    15.86,    14.57,   0.1395,   108.80,  1223.45
at03,mi,0,685,    17.18,    15.46,   0.1476,   250.10,  2250.15
at03,mi,0,1000,    19.00,    16.30,   0.1536,   519.48,  3130.52
at03,mi,0,2000,    25.67,    19.14,   0.1721,  1857.72,  5442.28
at03,mi,0,3000,    34.85,    22.63,   0.1929,  3839.35,  7110.65
at03,mi,0,4000,    45.47,    27.03,   0.2174,  5919.67,  8680.33
at03,hcexp,0,100,.,.,.,.,.
at03,hcexp,0,215,.,.,.,.,.
at03,hcexp,0,365,.,.,.,.,.
at03,hcexp,0,685,.,.,.,.,.
at03,hcexp,0,1000,.,.,.,.,.
at03,hcexp,0,2000,.,.,.,.,.
at03,hcexp,0,3000,.,.,.,.,.
at03,hcexp,0,4000,.,.,.,.,.
at04,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at04,dhi,0,215,     0.00,     0.00,   0.0000,        .,        .
at04,dhi,0,365,     0.09,     0.01,   0.0000,  1250.83,    81.42
at04,dhi,0,685,     0.45,     0.09,   0.0003,  2016.99,   483.26
at04,dhi,0,1000,     0.77,     0.25,   0.0011,  2447.90,  1202.10
at04,dhi,0,2000,     3.68,     1.07,   0.0050,  5184.09,  2115.91
at04,dhi,0,3000,    15.12,     3.57,   0.0144,  8366.10,  2583.90
at04,dhi,0,4000,    32.16,     8.51,   0.0343, 10735.48,  3864.52
at04,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at04,dhci,0,215,     0.00,     0.00,   0.0000,        .,        .
at04,dhci,0,365,     0.09,     0.01,   0.0000,  1248.36,    83.89
at04,dhci,0,685,     0.45,     0.09,   0.0003,  2007.41,   492.84
at04,dhci,0,1000,     0.77,     0.25,   0.0011,  2441.37,  1208.63
at04,dhci,0,2000,     3.80,     1.09,   0.0051,  5208.06,  2091.94
at04,dhci,0,3000,    15.54,     3.66,   0.0148,  8374.35,  2575.65
at04,dhci,0,4000,    32.71,     8.68,   0.0351, 10723.79,  3876.21
at04,mi,0,100,    13.81,    11.15,   0.0966,    70.43,   294.57
at04,mi,0,215,    15.10,    12.98,   0.1175,   110.41,   674.34
at04,mi,0,365,    16.13,    14.07,   0.1297,   170.02,  1162.23
at04,mi,0,685,    17.90,    15.49,   0.1436,   336.76,  2163.49
at04,mi,0,1000,    19.51,    16.51,   0.1525,   561.85,  3088.15
at04,mi,0,2000,    24.89,    19.23,   0.1735,  1659.92,  5640.08
at04,mi,0,3000,    34.96,    22.69,   0.1936,  3843.30,  7106.70
at04,mi,0,4000,    46.34,    27.17,   0.2182,  6039.79,  8560.21
at04,hcexp,0,100,.,.,.,.,.
at04,hcexp,0,215,.,.,.,.,.
at04,hcexp,0,365,.,.,.,.,.
at04,hcexp,0,685,.,.,.,.,.
at04,hcexp,0,1000,.,.,.,.,.
at04,hcexp,0,2000,.,.,.,.,.
at04,hcexp,0,3000,.,.,.,.,.
at04,hcexp,0,4000,.,.,.,.,.
at05,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at05,dhi,0,215,     0.04,     0.01,   0.0000,   685.70,    99.05
at05,dhi,0,365,     0.09,     0.03,   0.0001,   863.87,   468.38
at05,dhi,0,685,     0.47,     0.13,   0.0006,  1812.56,   687.69
at05,dhi,0,1000,     0.92,     0.32,   0.0015,  2403.41,  1246.59
at05,dhi,0,2000,     3.90,     1.18,   0.0059,  5100.15,  2199.85
at05,dhi,0,3000,    15.67,     3.83,   0.0159,  8274.40,  2675.60
at05,dhi,0,4000,    35.44,     9.14,   0.0369, 10834.33,  3765.67
at05,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at05,dhci,0,215,     0.04,     0.01,   0.0000,   683.04,   101.71
at05,dhci,0,365,     0.09,     0.03,   0.0001,   859.63,   472.62
at05,dhci,0,685,     0.47,     0.13,   0.0006,  1802.90,   697.35
at05,dhci,0,1000,     0.92,     0.32,   0.0015,  2382.93,  1267.07
at05,dhci,0,2000,     3.94,     1.19,   0.0060,  5102.08,  2197.92
at05,dhci,0,3000,    16.03,     3.89,   0.0160,  8295.63,  2654.37
at05,dhci,0,4000,    35.89,     9.27,   0.0374, 10828.69,  3771.31
at05,mi,0,100,    15.51,    13.23,   0.1199,    53.75,   311.25
at05,mi,0,215,    17.00,    14.93,   0.1381,    95.37,   689.38
at05,mi,0,365,    18.26,    16.04,   0.1496,   162.15,  1170.10
at05,mi,0,685,    20.36,    17.58,   0.1638,   340.91,  2159.34
at05,mi,0,1000,    21.59,    18.64,   0.1733,   497.88,  3152.12
at05,mi,0,2000,    27.90,    21.50,   0.1950,  1674.83,  5625.17
at05,mi,0,3000,    37.63,    25.07,   0.2162,  3654.99,  7295.01
at05,mi,0,4000,    48.25,    29.54,   0.2413,  5660.09,  8939.91
at05,hcexp,0,100,.,.,.,.,.
at05,hcexp,0,215,.,.,.,.,.
at05,hcexp,0,365,.,.,.,.,.
at05,hcexp,0,685,.,.,.,.,.
at05,hcexp,0,1000,.,.,.,.,.
at05,hcexp,0,2000,.,.,.,.,.
at05,hcexp,0,3000,.,.,.,.,.
at05,hcexp,0,4000,.,.,.,.,.
at06,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at06,dhi,0,215,     0.00,     0.00,   0.0000,        .,        .
at06,dhi,0,365,     0.15,     0.03,   0.0001,  1056.48,   275.77
at06,dhi,0,685,     0.46,     0.13,   0.0006,  1789.04,   711.21
at06,dhi,0,1000,     0.74,     0.27,   0.0014,  2302.38,  1347.62
at06,dhi,0,2000,     4.11,     1.19,   0.0057,  5193.44,  2106.56
at06,dhi,0,3000,    15.39,     3.81,   0.0158,  8236.61,  2713.39
at06,dhi,0,4000,    33.75,     8.92,   0.0364, 10742.09,  3857.91
at06,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at06,dhci,0,215,     0.00,     0.00,   0.0000,        .,        .
at06,dhci,0,365,     0.15,     0.03,   0.0001,  1041.08,   291.17
at06,dhci,0,685,     0.46,     0.13,   0.0006,  1785.92,   714.33
at06,dhci,0,1000,     0.75,     0.27,   0.0014,  2308.93,  1341.07
at06,dhci,0,2000,     4.29,     1.21,   0.0057,  5249.97,  2050.03
at06,dhci,0,3000,    15.70,     3.88,   0.0160,  8245.40,  2704.60
at06,dhci,0,4000,    34.27,     9.05,   0.0370, 10742.80,  3857.20
at06,mi,0,100,    15.08,    12.70,   0.1147,    57.70,   307.30
at06,mi,0,215,    16.71,    14.51,   0.1333,   103.29,   681.46
at06,mi,0,365,    18.23,    15.69,   0.1454,   185.61,  1146.64
at06,mi,0,685,    20.16,    17.34,   0.1606,   348.76,  2151.49
at06,mi,0,1000,    21.75,    18.48,   0.1707,   549.19,  3100.81
at06,mi,0,2000,    27.97,    21.65,   0.1946,  1648.67,  5651.33
at06,mi,0,3000,    37.73,    25.37,   0.2174,  3586.94,  7363.06
at06,mi,0,4000,    47.97,    29.74,   0.2431,  5547.80,  9052.20
at06,hcexp,0,100,.,.,.,.,.
at06,hcexp,0,215,.,.,.,.,.
at06,hcexp,0,365,.,.,.,.,.
at06,hcexp,0,685,.,.,.,.,.
at06,hcexp,0,1000,.,.,.,.,.
at06,hcexp,0,2000,.,.,.,.,.
at06,hcexp,0,3000,.,.,.,.,.
at06,hcexp,0,4000,.,.,.,.,.
at07,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at07,dhi,0,215,     0.09,     0.04,   0.0002,   399.17,   385.58
at07,dhi,0,365,     0.34,     0.13,   0.0006,   827.80,   504.45
at07,dhi,0,685,     0.76,     0.37,   0.0021,  1288.88,  1211.37
at07,dhi,0,1000,     1.08,     0.53,   0.0034,  1860.58,  1789.42
at07,dhi,0,2000,     4.88,     1.49,   0.0081,  5072.77,  2227.23
at07,dhi,0,3000,    16.05,     4.19,   0.0189,  8093.34,  2856.66
at07,dhi,0,4000,    31.07,     8.93,   0.0392, 10403.22,  4196.78
at07,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at07,dhci,0,215,     0.09,     0.04,   0.0002,   400.28,   384.47
at07,dhci,0,365,     0.34,     0.13,   0.0006,   828.81,   503.44
at07,dhci,0,685,     0.76,     0.37,   0.0021,  1290.80,  1209.45
at07,dhci,0,1000,     1.11,     0.53,   0.0034,  1901.77,  1748.23
at07,dhci,0,2000,     5.06,     1.54,   0.0083,  5078.69,  2221.31
at07,dhci,0,3000,    16.31,     4.30,   0.0195,  8060.39,  2889.61
at07,dhci,0,4000,    31.55,     9.11,   0.0402, 10381.85,  4218.15
at07,mi,0,100,    13.48,    10.29,   0.0878,    86.35,   278.65
at07,mi,0,215,    16.00,    12.82,   0.1121,   155.73,   629.02
at07,mi,0,365,    17.31,    14.45,   0.1289,   220.23,  1112.02
at07,mi,0,685,    19.35,    16.34,   0.1482,   389.54,  2110.71
at07,mi,0,1000,    21.42,    17.59,   0.1598,   651.77,  2998.23
at07,mi,0,2000,    27.60,    20.94,   0.1861,  1762.65,  5537.35
at07,mi,0,3000,    35.59,    24.46,   0.2093,  3425.80,  7524.20
at07,mi,0,4000,    45.15,    28.49,   0.2339,  5388.12,  9211.88
at07,hcexp,0,100,.,.,.,.,.
at07,hcexp,0,215,.,.,.,.,.
at07,hcexp,0,365,.,.,.,.,.
at07,hcexp,0,685,.,.,.,.,.
at07,hcexp,0,1000,.,.,.,.,.
at07,hcexp,0,2000,.,.,.,.,.
at07,hcexp,0,3000,.,.,.,.,.
at07,hcexp,0,4000,.,.,.,.,.
at08,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at08,dhi,0,215,     0.14,     0.03,   0.0001,   620.78,   163.97
at08,dhi,0,365,     0.34,     0.13,   0.0006,   810.83,   521.42
at08,dhi,0,685,     0.93,     0.38,   0.0020,  1471.37,  1028.88
at08,dhi,0,1000,     1.39,     0.63,   0.0037,  1989.65,  1660.35
at08,dhi,0,2000,     4.79,     1.64,   0.0092,  4802.57,  2497.43
at08,dhi,0,3000,    14.13,     4.06,   0.0196,  7803.54,  3146.46
at08,dhi,0,4000,    29.03,     8.32,   0.0379, 10415.41,  4184.59
at08,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at08,dhci,0,215,     0.14,     0.03,   0.0001,   619.41,   165.34
at08,dhci,0,365,     0.36,     0.14,   0.0006,   801.75,   530.50
at08,dhci,0,685,     1.00,     0.42,   0.0022,  1458.24,  1042.01
at08,dhci,0,1000,     1.42,     0.67,   0.0040,  1935.45,  1714.55
at08,dhci,0,2000,     4.89,     1.69,   0.0096,  4772.74,  2527.26
at08,dhci,0,3000,    14.41,     4.17,   0.0202,  7778.34,  3171.66
at08,dhci,0,4000,    29.74,     8.52,   0.0389, 10415.69,  4184.31
at08,mi,0,100,    13.92,    10.44,   0.0886,    91.15,   273.85
at08,mi,0,215,    16.19,    13.09,   0.1142,   150.19,   634.56
at08,mi,0,365,    17.49,    14.68,   0.1313,   214.32,  1117.93
at08,mi,0,685,    20.21,    16.69,   0.1508,   435.12,  2065.13
at08,mi,0,1000,    21.71,    18.02,   0.1633,   620.25,  3029.75
at08,mi,0,2000,    27.68,    21.30,   0.1900,  1683.41,  5616.59
at08,mi,0,3000,    35.53,    24.81,   0.2130,  3305.13,  7644.87
at08,mi,0,4000,    44.31,    28.58,   0.2368,  5184.27,  9415.73
at08,hcexp,0,100,.,.,.,.,.
at08,hcexp,0,215,.,.,.,.,.
at08,hcexp,0,365,.,.,.,.,.
at08,hcexp,0,685,.,.,.,.,.
at08,hcexp,0,1000,.,.,.,.,.
at08,hcexp,0,2000,.,.,.,.,.
at08,hcexp,0,3000,.,.,.,.,.
at08,hcexp,0,4000,.,.,.,.,.
at09,dhi,0,100,     0.19,     0.06,   0.0002,   245.97,   119.03
at09,dhi,0,215,     0.19,     0.13,   0.0009,   245.97,   538.78
at09,dhi,0,365,     0.39,     0.22,   0.0015,   575.25,   757.00
at09,dhi,0,685,     0.87,     0.43,   0.0028,  1270.29,  1229.96
at09,dhi,0,1000,     1.28,     0.62,   0.0041,  1889.04,  1760.96
at09,dhi,0,2000,     4.63,     1.76,   0.0100,  4527.62,  2772.38
at09,dhi,0,3000,    13.77,     4.12,   0.0203,  7675.80,  3274.20
at09,dhi,0,4000,    28.20,     8.25,   0.0383, 10329.16,  4270.84
at09,dhci,0,100,     0.19,     0.06,   0.0002,   247.47,   117.53
at09,dhci,0,215,     0.22,     0.14,   0.0009,   289.44,   495.31
at09,dhci,0,365,     0.41,     0.23,   0.0016,   577.87,   754.38
at09,dhci,0,685,     0.92,     0.45,   0.0029,  1261.67,  1238.58
at09,dhci,0,1000,     1.35,     0.66,   0.0044,  1855.27,  1794.73
at09,dhci,0,2000,     4.72,     1.80,   0.0104,  4510.97,  2789.03
at09,dhci,0,3000,    14.17,     4.22,   0.0209,  7688.82,  3261.18
at09,dhci,0,4000,    28.60,     8.44,   0.0393, 10289.68,  4310.32
at09,mi,0,100,    14.48,    11.47,   0.0987,    75.98,   289.02
at09,mi,0,215,    16.74,    13.84,   0.1230,   135.67,   649.08
at09,mi,0,365,    18.65,    15.48,   0.1393,   226.29,  1105.96
