Country/territory,Entity
West Asia,West Asia
WANA,West Asia and North Africa
OCEANIA,Oceania
"USSR, Baltic",
"USSR, CAC",
"USSR, East Europe",Eastern Europe
"USSR, former",
Industrialized Countries (including South Africa),Industrialized Countries
"Former USSR & Europe,Transition Countries",
Developing Countries,Developing Countries
World,World
Low income (LI),Low income
Lower-middle-income (MI-L),Lower-middle income
Middle-income-upper (MI-U),Upper-middle income
"Middle-income-upper, excluding China",Upper-middle income (excl. China)
China,
High-income (HI),High income
