dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
at00,dhi,0,   6429974, 23765.96, 21831.55,    0.253,     4.22,     7.39,    12.70,     1.28,     2.13,     3.39,   0.0064,   0.0102,   0.0155,  6092.14,  7765.49,  9604.65,  2640.48,  3150.28,  3494.28
at00,dhci,0,   6429974, 23765.96, 21831.55,    0.253,     4.22,     7.39,    12.70,     1.28,     2.13,     3.39,   0.0064,   0.0102,   0.0155,  6092.14,  7765.49,  9604.65,  2640.48,  3150.28,  3494.28
at00,mi,0,   6429974,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at03,dhi,0,   6392901, 25579.44, 22849.18,    0.265,     3.69,     6.75,    12.10,     1.35,     2.11,     3.30,   0.0081,   0.0113,   0.0160,  5799.55,  7859.55,  9968.25,  3340.12,  3565.04,  3741.26
at03,dhci,0,   6392901, 25445.98, 22700.29,    0.264,     3.66,     6.84,    12.13,     1.34,     2.09,     3.29,   0.0080,   0.0112,   0.0159,  5760.60,  7885.93,  9925.11,  3319.52,  3464.21,  3695.06
at03,mi,0,   6392901, 25093.06, 21780.53,    0.480,    26.40,    28.83,    32.40,    21.94,    23.07,    24.33,   0.2041,   0.2117,   0.2195,  1472.60,  2174.91,  3253.82,  7239.61,  8715.35,  9814.51
at04,dhi,0,   6525200, 26722.63, 23853.21,    0.263,     3.33,     6.59,    11.88,     1.09,     1.82,     2.99,   0.0057,   0.0088,   0.0134,  6430.54,  8641.78, 10707.33,  3110.74,  3284.83,  3604.60
at04,dhci,0,   6525200, 26579.15, 23715.56,    0.264,     3.29,     6.53,    11.97,     1.10,     1.83,     3.00,   0.0058,   0.0089,   0.0135,  6326.06,  8531.27, 10658.83,  3160.16,  3326.51,  3570.51
at04,mi,0,   6525200, 25405.41, 21950.38,    0.481,    27.19,    30.02,    33.08,    22.39,    23.64,    24.96,   0.2067,   0.2152,   0.2237,  1549.79,  2334.57,  3233.83,  7230.37,  8640.62,  9936.40
at05,dhi,0,   6572414, 25383.70, 23012.62,    0.254,     3.06,     6.49,    11.88,     1.02,     1.73,     2.94,   0.0055,   0.0084,   0.0129,  6132.05,  8437.48, 10389.27,  3072.99,  3068.83,  3418.30
at05,dhci,0,   6572414, 25266.86, 22947.13,    0.254,     3.07,     6.48,    11.96,     1.02,     1.74,     2.96,   0.0055,   0.0084,   0.0130,  6119.08,  8391.98, 10355.60,  3059.77,  3081.58,  3412.68
at05,mi,0,   6572414, 23539.64, 21047.53,    0.490,    28.83,    31.78,    34.96,    24.22,    25.43,    26.74,   0.2253,   0.2336,   0.2420,  1345.75,  2102.31,  2967.99,  7073.26,  8421.46,  9660.53
at06,dhi,0,   6613834, 25939.80, 23002.95,    0.267,     3.07,     6.43,    12.05,     0.98,     1.68,     2.84,   0.0050,   0.0079,   0.0123,  6254.25,  8486.95, 10544.57,  2946.93,  3014.53,  3257.20
at06,dhci,0,   6613834, 25816.28, 22911.88,    0.267,     3.11,     6.42,    12.04,     0.99,     1.69,     2.86,   0.0049,   0.0079,   0.0124,  6258.60,  8433.97, 10483.01,  2906.16,  3021.97,  3264.12
at06,mi,0,   6613834, 24332.02, 20461.76,    0.506,    28.93,    31.66,    35.04,    24.12,    25.35,    26.69,   0.2232,   0.2320,   0.2406,  1360.77,  2041.31,  2925.34,  6823.93,  8189.57,  9351.71
at07,dhi,0,   6639519, 27164.50, 24313.07,    0.276,     4.91,     9.03,    14.59,     1.59,     2.62,     4.12,   0.0090,   0.0132,   0.0194,  6570.28,  8627.78, 10466.68,  3154.95,  3528.76,  4121.16
at07,dhci,0,   6639519, 26992.59, 24102.25,    0.276,     4.90,     8.99,    14.50,     1.61,     2.64,     4.11,   0.0091,   0.0134,   0.0196,  6476.24,  8511.17, 10360.92,  3164.66,  3539.95,  4100.43
at07,mi,0,   6639519, 26838.76, 22427.37,    0.510,    29.40,    31.80,    34.98,    24.03,    25.36,    26.69,   0.2191,   0.2292,   0.2387,  1640.43,  2271.05,  3192.27,  7330.52,  8942.63, 10264.15
at08,dhi,0,   6650692, 27682.89, 24601.92,    0.276,     4.55,     8.05,    13.39,     1.66,     2.57,     3.91,   0.0100,   0.0139,   0.0195,  6246.04,  8374.84, 10455.41,  3594.72,  3926.12,  4305.74
at08,dhci,0,   6650692, 27479.75, 24463.01,    0.276,     4.50,     8.26,    13.52,     1.71,     2.63,     3.97,   0.0104,   0.0144,   0.0200,  6070.71,  8341.35, 10367.22,  3714.49,  3890.15,  4310.58
at08,mi,0,   6650692, 27280.34, 22507.47,    0.518,    29.85,    32.69,    35.64,    24.58,    25.91,    27.27,   0.2242,   0.2345,   0.2441,  1589.22,  2335.30,  3168.89,  7413.76,  8918.43, 10335.59
at09,dhi,0,   6771349, 28311.64, 25174.07,    0.285,     4.62,     8.38,    14.36,     1.73,     2.66,     4.11,   0.0103,   0.0144,   0.0203,  6307.29,  8588.68, 10780.17,  3762.34,  3998.35,  4324.27
at09,dhci,0,   6771349, 28060.82, 24973.08,    0.284,     4.60,     8.38,    14.26,     1.76,     2.68,     4.11,   0.0106,   0.0147,   0.0205,  6172.96,  8491.53, 10661.76,  3816.27,  3995.01,  4322.09
at09,mi,0,   6771349, 27276.01, 21963.52,    0.531,    30.38,    33.25,    36.07,    25.01,    26.39,    27.75,   0.2281,   0.2386,   0.2484,  1553.94,  2266.13,  3041.38,  7231.47,  8715.63, 10136.73
at10,dhi,0,   6788411, 28107.72, 25084.77,    0.275,     4.39,     8.05,    13.79,     1.55,     2.48,     3.86,   0.0091,   0.0130,   0.0187,  6497.36,  8673.93, 10831.81,  3536.55,  3868.45,  4219.05
at10,dhci,0,   6788411, 27929.76, 24879.49,    0.276,     4.36,     8.08,    13.71,     1.57,     2.49,     3.85,   0.0094,   0.0133,   0.0188,  6365.50,  8613.08, 10731.26,  3586.29,  3826.67,  4196.44
at10,mi,0,   6788411, 26446.46, 21815.86,    0.520,    30.28,    33.01,    36.73,    25.11,    26.38,    27.79,   0.2309,   0.2406,   0.2499,  1489.67,  2189.48,  3186.56,  7236.68,  8718.45,  9902.95
at11,dhi,0,   6794198, 27990.49, 25059.83,    0.277,     4.80,     8.51,    14.12,     1.97,     2.87,     4.22,   0.0120,   0.0163,   0.0221,  5916.65,  8308.91, 10546.14,  4107.28,  4221.01,  4489.76
at11,dhci,0,   6794198, 27845.25, 24941.80,    0.277,     4.84,     8.48,    14.00,     1.97,     2.87,     4.22,   0.0120,   0.0163,   0.0221,  5913.90,  8253.35, 10454.15,  4062.82,  4217.55,  4510.93
at11,mi,0,   6794198, 26748.58, 22212.82,    0.518,    30.75,    33.41,    36.29,    24.84,    26.31,    27.74,   0.2268,   0.2373,   0.2474,  1706.71,  2360.19,  3139.74,  7178.41,  8746.22, 10187.95
at12,dhi,0,   6827225, 27297.47, 24639.39,    0.271,     4.76,     8.30,    13.33,     1.95,     2.84,     4.15,   0.0119,   0.0162,   0.0219,  5828.63,  8098.69, 10185.94,  4027.13,  4221.01,  4597.69
at12,dhci,0,   6827225, 27157.79, 24473.67,    0.271,     4.71,     8.13,    13.17,     1.94,     2.82,     4.11,   0.0119,   0.0161,   0.0217,  5759.34,  7987.48, 10098.80,  4030.12,  4249.35,  4585.40
at12,mi,0,   6827225, 26127.55, 21975.11,    0.517,    30.89,    33.30,    35.84,    25.54,    26.85,    28.14,   0.2343,   0.2444,   0.2538,  1522.00,  2129.58,  2833.60,  7268.04,  8857.97, 10351.46
at13,dhi,0,   6889711, 28422.78, 25095.78,    0.275,     3.89,     7.39,    13.32,     1.39,     2.21,     3.51,   0.0078,   0.0114,   0.0166,  6457.90,  8794.70, 11084.88,  3580.41,  3753.19,  3972.59
at13,dhci,0,   6889711, 28422.78, 25095.78,    0.275,     3.89,     7.39,    13.32,     1.39,     2.21,     3.51,   0.0078,   0.0114,   0.0166,  6457.90,  8794.70, 11084.88,  3580.41,  3753.19,  3972.59
at13,mi,0,   6889711, 27176.54, 23049.99,    0.520,    30.91,    33.73,    36.58,    25.45,    26.83,    28.20,   0.2331,   0.2434,   0.2532,  1627.54,  2358.79,  3166.02,  7592.46,  9166.21, 10663.98
at14,dhi,0,   6978034, 27829.92, 24901.68,    0.273,     3.76,     7.92,    13.66,     1.33,     2.24,     3.63,   0.0074,   0.0111,   0.0166,  6436.12,  8935.02, 10976.14,  3524.56,  3515.82,  3964.87
at14,dhci,0,   6978034, 27829.92, 24901.68,    0.273,     3.76,     7.92,    13.66,     1.33,     2.24,     3.63,   0.0074,   0.0111,   0.0166,  6436.12,  8935.02, 10976.14,  3524.56,  3515.82,  3964.87
at14,mi,0,   6978034, 26465.64, 21707.80,    0.522,    30.20,    32.84,    36.19,    24.95,    26.26,    27.65,   0.2310,   0.2401,   0.2491,  1509.86,  2174.13,  3071.17,  7173.26,  8679.77,  9953.51
at15,dhi,0,   7034252, 27875.51, 25000.23,    0.274,     4.40,     8.11,    14.45,     1.70,     2.61,     4.04,   0.0107,   0.0145,   0.0201,  6139.43,  8479.39, 10807.28,  3860.66,  4020.73,  4192.86
at15,dhci,0,   7034252, 27875.51, 25000.23,    0.274,     4.40,     8.11,    14.45,     1.70,     2.61,     4.04,   0.0107,   0.0145,   0.0201,  6139.43,  8479.39, 10807.28,  3860.66,  4020.73,  4192.86
at15,mi,0,   7034252, 26963.83, 22331.90,    0.525,    30.97,    33.84,    36.60,    25.59,    26.94,    28.30,   0.2363,   0.2459,   0.2552,  1553.96,  2277.20,  3038.80,  7378.81,  8888.75, 10360.34
at16,dhi,0,   7083687, 29131.08, 26041.55,    0.276,     4.70,     7.68,    13.51,     1.94,     2.78,     4.06,   0.0123,   0.0163,   0.0217,  6124.27,  8307.05, 10932.41,  4292.35,  4713.73,  4692.52
at16,dhci,0,   7083687, 29131.08, 26041.55,    0.276,     4.70,     7.68,    13.51,     1.94,     2.78,     4.06,   0.0123,   0.0163,   0.0217,  6124.27,  8307.05, 10932.41,  4292.35,  4713.73,  4692.52
at16,mi,0,   7083687, 27834.06, 22689.58,    0.525,    30.87,    32.77,    35.11,    25.75,    26.95,    28.13,   0.2387,   0.2478,   0.2563,  1505.75,  2012.87,  2708.80,  7570.08,  9331.92, 10904.95
at17,dhi,0,   7084426, 28790.43, 26084.06,    0.265,     4.01,     7.67,    13.73,     1.39,     2.25,     3.64,   0.0076,   0.0114,   0.0168,  6827.16,  9215.40, 11507.91,  3606.46,  3826.63,  4142.53
at17,dhci,0,   7084426, 28790.43, 26084.06,    0.265,     4.01,     7.67,    13.73,     1.39,     2.25,     3.64,   0.0076,   0.0114,   0.0168,  6827.16,  9215.40, 11507.91,  3606.46,  3826.63,  4142.53
at17,mi,0,   7084426, 27735.42, 23889.85,    0.509,    30.04,    32.56,    35.72,    25.13,    26.34,    27.65,   0.2329,   0.2418,   0.2504,  1561.71,  2279.82,  3237.81,  7994.23,  9665.11, 11096.10
at18,dhi,0,   7150871, 28978.42, 26132.69,    0.274,     4.45,     8.30,    13.98,     1.73,     2.65,     4.04,   0.0107,   0.0147,   0.0204,  6384.76,  8888.79, 11145.36,  4068.32,  4177.56,  4534.25
at18,dhci,0,   7150871, 28978.42, 26132.69,    0.274,     4.45,     8.30,    13.98,     1.73,     2.65,     4.04,   0.0107,   0.0147,   0.0204,  6384.76,  8888.79, 11145.36,  4068.32,  4177.56,  4534.25
at18,mi,0,   7150871, 27931.72, 23181.60,    0.520,    30.17,    32.90,    35.89,    25.48,    26.70,    27.95,   0.2360,   0.2450,   0.2537,  1441.06,  2183.83,  3078.00,  7831.58,  9406.97, 10830.96
at19,dhi,0,   7178958, 29587.79, 26855.39,    0.268,     4.56,     7.70,    13.79,     1.66,     2.53,     3.86,   0.0100,   0.0139,   0.0193,  6838.11,  9026.58, 11607.37,  3904.05,  4401.11,  4505.86
at19,dhci,0,   7178958, 29587.79, 26855.39,    0.268,     4.56,     7.70,    13.79,     1.66,     2.53,     3.86,   0.0100,   0.0139,   0.0193,  6838.11,  9026.58, 11607.37,  3904.05,  4401.11,  4505.86
at19,mi,0,   7178958, 28987.08, 24654.50,    0.515,    31.07,    34.07,    36.50,    25.16,    26.60,    28.03,   0.2322,   0.2418,   0.2515,  1876.71,  2702.96,  3435.14,  7985.09,  9624.29, 11357.56
at20,dhi,0,   7184331, 29571.65, 26647.13,    0.270,     4.56,     8.13,    14.41,     1.59,     2.48,     3.96,   0.0098,   0.0135,   0.0191,  6941.90,  9265.60, 11600.89,  3716.95,  4057.96,  4387.39
at20,dhci,0,   7184331, 29571.65, 26647.13,    0.270,     4.56,     8.13,    14.41,     1.59,     2.48,     3.96,   0.0098,   0.0135,   0.0191,  6941.90,  9265.60, 11600.89,  3716.95,  4057.96,  4387.39
at20,mi,0,   7184331, 27640.61, 23056.41,    0.524,    31.79,    34.58,    37.31,    26.76,    28.00,    29.33,   0.2483,   0.2575,   0.2665,  1460.34,  2192.33,  2960.84,  7762.22,  9335.87, 10873.00
au81,dhi,0,         0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au81,dhci,0,         0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au81,mi,0,         0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au85,dhi,0,  11310954, 19893.24, 18742.56,    0.277,     4.33,    12.56,    21.88,     1.78,     3.07,     5.52,   0.0118,   0.0160,   0.0241,  4419.93,  7078.20,  8407.69,  3077.09,  2293.08,  2837.85
au85,dhci,0,  11310954, 19893.24, 18742.56,    0.277,     4.33,    12.56,    21.88,     1.78,     3.07,     5.52,   0.0118,   0.0160,   0.0241,  4419.93,  7078.20,  8407.69,  3077.09,  2293.08,  2837.85
au85,mi,0,  11310954,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
au89,dhi,0,  12060284, 20107.85, 18381.06,    0.286,     4.76,    11.16,    20.64,     1.74,     2.95,     5.14,   0.0106,   0.0150,   0.0227,  4668.78,  6766.13,  8279.72,  2683.64,  2424.40,  2748.92
au89,dhci,0,  12060284, 20107.85, 18381.06,    0.286,     4.76,    11.16,    20.64,     1.74,     2.95,     5.14,   0.0106,   0.0150,   0.0227,  4668.78,  6766.13,  8279.72,  2683.64,  2424.40,  2748.92
au89,mi,0,  12060284, 23187.79, 21242.73,    0.431,    23.28,    26.32,    30.27,    17.15,    18.67,    20.26,   0.1474,   0.1589,   0.1699,  2239.62,  3088.74,  4213.79,  6257.47,  7532.62,  8531.85
au95,dhi,0,  12997441, 18009.39, 16104.90,    0.296,     4.83,    10.37,    19.86,     2.26,     3.15,     5.10,   0.0166,   0.0202,   0.0264,  3428.57,  5604.98,  7182.99,  3013.39,  2447.47,  2479.95
au95,dhci,0,  12997441, 18009.39, 16104.90,    0.296,     4.83,    10.37,    19.86,     2.26,     3.15,     5.10,   0.0166,   0.0202,   0.0264,  3428.57,  5604.98,  7182.99,  3013.39,  2447.47,  2479.95
au95,mi,0,  12997441, 19501.33, 17299.96,    0.471,    26.70,    29.43,    32.50,    21.72,    22.99,    24.31,   0.1994,   0.2082,   0.2169,  1289.76,  1893.03,  2615.40,  5630.23,  6756.95,  7764.58
au01,dhi,0,  14092681, 20431.45, 18327.73,    0.309,     5.22,    12.88,    22.66,     2.45,     3.69,     6.05,   0.0174,   0.0219,   0.0300,  3887.38,  6540.55,  8059.57,  3443.71,  2623.32,  2937.07
au01,dhci,0,  14092681, 20431.45, 18327.73,    0.309,     5.22,    12.88,    22.66,     2.45,     3.69,     6.05,   0.0174,   0.0219,   0.0300,  3887.38,  6540.55,  8059.57,  3443.71,  2623.32,  2937.07
au01,mi,0,  14092681, 21833.16, 19248.87,    0.481,    27.82,    30.92,    33.78,    22.27,    23.67,    25.10,   0.2017,   0.2119,   0.2217,  1535.56,  2258.56,  2966.23,  6163.99,  7365.87,  8583.09
au03,dhi,0,  14569496, 20928.44, 18858.13,    0.305,     5.26,    12.95,    21.70,     2.41,     3.68,     6.00,   0.0176,   0.0219,   0.0299,  4084.74,  6747.02,  8185.87,  3458.51,  2682.04,  3129.01
au03,dhci,0,  14569496, 20928.44, 18858.13,    0.305,     5.26,    12.95,    21.70,     2.41,     3.68,     6.00,   0.0176,   0.0219,   0.0299,  4084.74,  6747.02,  8185.87,  3458.51,  2682.04,  3129.01
au03,mi,0,  14569496, 22947.67, 20486.25,    0.469,    26.41,    29.91,    33.60,    20.67,    22.19,    23.78,   0.1868,   0.1968,   0.2069,  1781.06,  2643.62,  3592.76,  6413.44,  7599.51,  8698.99
au04,dhi,0,  14654141, 22930.20, 20384.71,    0.311,     5.06,    13.39,    22.07,     1.91,     3.36,     5.82,   0.0129,   0.0175,   0.0261,  5073.53,  7637.92,  9006.05,  3080.35,  2554.43,  3224.77
au04,dhci,0,  14654141, 22560.26, 20178.81,    0.306,     4.94,    12.91,    21.62,     1.90,     3.28,     5.69,   0.0128,   0.0173,   0.0256,  4966.02,  7524.61,  8921.13,  3105.51,  2564.80,  3186.16
au04,mi,0,  14654141, 24707.67, 22079.35,    0.471,    26.87,    30.09,    33.77,    20.71,    22.27,    23.86,   0.1841,   0.1953,   0.2062,  2024.97,  2869.75,  3886.90,  6806.77,  8169.92,  9360.71
au08,dhi,0,  15597146, 28634.57, 24741.71,    0.333,     6.56,    14.95,    22.04,     2.06,     3.76,     6.23,   0.0129,   0.0185,   0.0281,  6790.68,  9260.72, 10647.78,  3106.01,  3110.14,  4197.25
au08,dhci,0,  15597146, 27738.85, 24416.10,    0.323,     6.14,    14.52,    22.07,     2.02,     3.65,     6.10,   0.0128,   0.0182,   0.0275,  6547.68,  9136.11, 10598.93,  3218.76,  3071.94,  4050.73
au08,mi,0,  15597146, 31175.91, 26020.55,    0.471,    23.39,    27.38,    31.37,    16.89,    18.58,    20.37,   0.1463,   0.1575,   0.1690,  2894.51,  4183.98,  5475.71,  7513.71,  8826.30, 10136.62
au10,dhi,0,  16440647, 28231.54, 24400.04,    0.327,     5.75,    13.07,    21.52,     2.07,     3.53,     5.83,   0.0133,   0.0184,   0.0270,  6246.84,  8909.15, 10676.92,  3513.17,  3290.87,  3963.10
au10,dhci,0,  16440647, 27374.92, 24004.63,    0.317,     5.13,    12.57,    20.94,     2.02,     3.40,     5.61,   0.0131,   0.0180,   0.0261,  5814.41,  8757.63, 10544.48,  3787.44,  3244.69,  3858.30
au10,mi,0,  16440647, 29620.74, 24681.39,    0.472,    24.48,    27.88,    31.48,    17.93,    19.57,    21.23,   0.1561,   0.1675,   0.1787,  2640.12,  3678.45,  4820.79,  7232.44,  8662.25,  9988.05
au14,dhi,0,  17357913, 29892.95, 25183.89,    0.332,     5.53,    11.12,    19.43,     2.08,     3.28,     5.23,   0.0134,   0.0181,   0.0255,  6283.88,  8878.56, 11042.17,  3789.68,  3713.39,  4068.16
au14,dhci,0,  17357913, 29122.68, 24790.88,    0.324,     5.41,    10.72,    18.36,     2.04,     3.18,     5.06,   0.0132,   0.0177,   0.0248,  6178.88,  8718.74, 10775.97,  3737.47,  3676.70,  4098.55
au14,mi,0,  17357913, 32512.34, 26311.53,    0.491,    24.61,    27.96,    32.44,    17.66,    19.38,    21.19,   0.1517,   0.1639,   0.1759,  2971.82,  4035.39,  5475.36,  7552.79,  9120.37, 10311.56
au16,dhi,0,  17877118, 29450.53, 25136.60,    0.326,     5.52,    11.62,    19.82,     2.02,     3.26,     5.20,   0.0127,   0.0175,   0.0250,  6374.12,  9044.06, 11123.46,  3680.52,  3524.24,  3958.50
au16,dhci,0,  17877118, 28729.70, 24859.24,    0.319,     5.44,    11.46,    19.46,     2.01,     3.23,     5.14,   0.0126,   0.0173,   0.0248,  6270.15,  8929.30, 10973.98,  3673.55,  3500.32,  3941.56
au16,mi,0,  17877118, 32077.60, 26852.15,    0.476,    24.25,    28.40,    32.96,    17.25,    19.07,    21.00,   0.1494,   0.1611,   0.1731,  3098.04,  4410.46,  5845.27,  7642.82,  9015.61, 10266.02
au18,dhi,0,  18535956, 29612.52, 25352.79,    0.329,     5.97,    11.94,    20.95,     2.29,     3.51,     5.61,   0.0140,   0.0192,   0.0271,  6262.26,  8945.10, 11136.49,  3878.86,  3731.30,  4075.19
au18,dhci,0,  18535956, 28973.23, 25044.34,    0.323,     5.95,    11.63,    20.66,     2.29,     3.47,     5.50,   0.0141,   0.0192,   0.0269,  6163.61,  8788.76, 11028.44,  3854.13,  3733.41,  3998.16
au18,mi,0,  18535956, 33019.62, 27672.64,    0.476,    24.07,    27.56,    31.88,    17.37,    19.05,    20.82,   0.1512,   0.1625,   0.1738,  3082.11,  4269.47,  5758.73,  7986.95,  9566.85, 10844.86
be85,dhi,0,   7130422, 16469.92, 14800.82,    0.248,     2.66,     5.39,    11.62,     0.75,     1.38,     2.50,   0.0038,   0.0062,   0.0101,  4239.74,  5506.15,  6972.14,  1680.59,  1894.26,  1908.35
be85,dhci,0,   7130422, 16469.92, 14800.82,    0.248,     2.66,     5.39,    11.62,     0.75,     1.38,     2.50,   0.0038,   0.0062,   0.0101,  4239.74,  5506.15,  6972.14,  1680.59,  1894.26,  1908.35
be85,mi,0,   7130422,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
be88,dhi,0,   7246387, 16857.06, 15168.47,    0.254,     2.76,     5.83,    12.51,     1.00,     1.61,     2.79,   0.0061,   0.0085,   0.0125,  3872.14,  5486.43,  7071.71,  2195.25,  2097.80,  2029.37
be88,dhci,0,   7246387, 16857.06, 15168.47,    0.254,     2.76,     5.83,    12.51,     1.00,     1.61,     2.79,   0.0061,   0.0085,   0.0125,  3872.14,  5486.43,  7071.71,  2195.25,  2097.80,  2029.37
be88,mi,0,   7246387,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
be92,dhi,0,   7605221, 18333.53, 16915.16,    0.245,     3.19,     6.46,    13.20,     1.36,     1.94,     3.15,   0.0091,   0.0117,   0.0157,  3879.06,  5921.93,  7724.50,  2887.01,  2535.66,  2424.60
be92,dhci,0,   7605221, 18333.53, 16915.16,    0.245,     3.19,     6.46,    13.20,     1.36,     1.94,     3.15,   0.0091,   0.0117,   0.0157,  3879.06,  5921.93,  7724.50,  2887.01,  2535.66,  2424.60
be92,mi,0,   7605221, 18700.13, 17091.52,    0.496,    30.98,    32.93,    35.61,    28.61,    29.29,    30.09,   0.2793,   0.2830,   0.2872,   523.40,   946.17,  1588.92,  6313.20,  7599.59,  8665.99
be95,dhi,0,   7631166, 22195.18, 19454.71,    0.281,     3.57,     7.38,    14.08,     1.53,     2.30,     3.67,   0.0105,   0.0135,   0.0184,  4441.23,  6698.37,  8633.83,  3340.65,  3028.99,  3039.00
be95,dhci,0,   7631166, 22178.24, 19423.44,    0.281,     3.57,     7.38,    14.08,     1.53,     2.29,     3.65,   0.0105,   0.0135,   0.0183,  4441.23,  6697.78,  8633.52,  3328.14,  3013.94,  3020.54
be95,mi,0,   7631166,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
be97,dhi,0,   8077576, 20682.87, 18658.36,    0.266,     3.90,     7.99,    14.56,     1.32,     2.18,     3.65,   0.0079,   0.0113,   0.0167,  4926.49,  6781.67,  8391.40,  2536.85,  2547.50,  2803.61
be97,dhci,0,   8077576, 20682.87, 18658.36,    0.266,     3.90,     7.99,    14.56,     1.32,     2.18,     3.65,   0.0079,   0.0113,   0.0167,  4926.49,  6781.67,  8391.40,  2536.85,  2547.50,  2803.61
be97,mi,0,   8077576, 22333.12, 18993.30,    0.518,    33.42,    35.06,    37.01,    28.16,    29.39,    30.52,   0.2585,   0.2692,   0.2785,  1196.39,  1535.06,  1999.41,  6400.93,  7961.59,  9396.58
be00,dhi,0,   7744092, 24694.22, 21457.49,    0.303,     3.72,     9.60,    16.98,     1.02,     2.03,     3.92,   0.0059,   0.0091,   0.0153,  6218.62,  8455.84,  9898.82,  2364.37,  2272.90,  2975.67
