country_name,year,bioweapons_status_current,bioweapons_status_current_num,bioweapons_status_hist,bioweapons_status_hist_num,chemweapons_status_current,chemweapons_status_current_num,chemweapons_status_hist,chemweapons_status_hist_num,num_bioweapons_curr_neither,num_bioweapons_curr_allepur,num_bioweapons_hist_neither,num_bioweapons_hist_allepur,num_bioweapons_hist_pur,num_bioweapons_hist_alleposs,num_bioweapons_hist_poss,num_bioweapons_hist_use,num_chemweapons_curr_neither,num_chemweapons_curr_allepur,num_chemweapons_curr_poss,num_chemweapons_curr_alleuse,num_chemweapons_curr_use,num_chemweapons_hist_neither,num_chemweapons_hist_pur,num_chemweapons_hist_alleposs,num_chemweapons_hist_poss,num_chemweapons_hist_alleuse,num_chemweapons_hist_use
Guyana,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Haiti,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Holy See,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Honduras,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Hungary,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Iceland,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
India,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,possessed,3,,,,,,,,,,,,,,,,,,,
Indonesia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Iran,2022,allegedly pursues,1,allegedly pursued,1,allegedly pursues,1,allegedly possessed,2,,,,,,,,,,,,,,,,,,,
Iraq,2022,neither pursues nor possesses,0,possessed,4,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
Ireland,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Israel,2022,neither pursues nor possesses,0,allegedly pursued,1,neither pursues nor possesses,0,pursued,1,,,,,,,,,,,,,,,,,,,
Italy,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
Jamaica,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Japan,2022,neither pursues nor possesses,0,used,5,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
Jordan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Kazakhstan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Kenya,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Kiribati,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Kuwait,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Laos,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Latvia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Lebanon,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Lesotho,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Liberia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Libya,2022,neither pursues nor possesses,0,pursued,2,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
