Entity,Year,total_private_investment_by_country,total_private_investment_by_focus_area,total_private_investment_by_country_inflation_adjusted,total_private_investment_by_focus_area_inflation_adjusted
"Natural Language, Customer Support",2018,NA,1038284829,NA,1120414649
"Natural Language, Customer Support",2019,NA,1028928918.0000001,NA,1090555526
"Natural Language, Customer Support",2020,NA,1608171974,NA,1683721629
"Natural Language, Customer Support",2021,NA,4005563433,NA,4005563433
Portugal,2021,519515340.99999994,NA,519515341,NA
Retail,2017,NA,2492184504,NA,2755008678
Retail,2018,NA,3056582298,NA,3298362346
Retail,2019,NA,7262851986,NA,7697852812
Retail,2020,NA,3402189705,NA,3562019786
Retail,2021,NA,5740676995,NA,5740676995
Sales Enablement,2017,NA,444036305,NA,490864088
Sales Enablement,2018,NA,515776853,NA,556575543
Sales Enablement,2019,NA,476244371,NA,504768523
Sales Enablement,2020,NA,827927880,NA,866822766
Sales Enablement,2021,NA,1280934590,NA,1280934590
Semiconductor,2017,NA,704918210,NA,779258431
Semiconductor,2018,NA,1222491789,NA,1319192644
Semiconductor,2019,NA,1693681917,NA,1795123201
Semiconductor,2020,NA,2281138262,NA,2388302925
Semiconductor,2021,NA,6003831097,NA,6003831097
Singapore,2021,933902052,NA,933902052,NA
South Korea,2021,1099606364,NA,1099606364,NA
Spain,2021,894816921,NA,894816921,NA
Total,2017,NA,22910195166,NA,25326289602
Total,2018,NA,35256252550,NA,38045072739
Total,2019,NA,42572633211,NA,45122475977
Total,2020,NA,46002661475,NA,48163801731
Total,2021,NA,93535757202,NA,93535757202
United Arab Emirates,2021,819700000,NA,819700000,NA
United Kingdom,2021,4650457482,NA,4650457482,NA
United States,2013,1940905549,NA,2257611918,NA
United States,2014,4504134312,NA,5155461161,NA
United States,2015,5830841048,NA,6666110305,NA
United States,2016,7903633623,NA,8923256769,NA
United States,2017,11298686183,NA,12490238355,NA
United States,2018,16129638365.000002,NA,17405515915,NA
United States,2019,21647733474,NA,22944301538,NA
United States,2020,26906607561,NA,28170642095,NA
United States,2021,52875369257,NA,52875369257,NA
Venture Capital,2017,NA,164996816,NA,182397274
Venture Capital,2018,NA,478199338,NA,516025592
Venture Capital,2019,NA,118792235,NA,125907170
Venture Capital,2020,NA,144171096,NA,150944051
Venture Capital,2021,NA,290656926,NA,290656926
World,2013,2736516936,NA,3183046827,NA
World,2014,5920354774,NA,6776476229,NA
World,2015,8980714017,NA,10267203267,NA
World,2016,15730530245,NA,17759876935,NA
World,2017,23092889664,NA,25528250944,NA
World,2018,35256252550,NA,38045072739,NA
World,2019,42572633211,NA,45122475977,NA
World,2020,46002661475,NA,48163801731,NA
World,2021,93535757202,NA,93535757202,NA
