Entity,Year,Gini coefficient,Palma ratio (S90/S40 ratio),S90/S10 ratio,S80/S20 ratio,S90/S50 ratio,P90/P10 ratio,P90/P50 ratio,P50/P10 ratio,P0-P10 - share of the bottom 10%,P0-P40 - share of the bottom 40%,P0-P50 - share of the bottom 50%,P10-P20 - share of national income,P20-P30 - share of national income,P30-P40 - share of national income,P40-P50 - share of national income,P50-P60 - share of national income,P50-P90 - share of the middle 40%,P60-P70 - share of national income,P70-P80 - share of national income,P80-P90 - share of national income,P90-P100 - share of the top 10%,P99.999-P100 - share of the top 0.001%,P99.99-P100 - share of the top 0.01%,P99.9-P100 - share of the top 0.1%,P99-P100 - share of the top 1%,Mean income,P0-P10 - mean income of the bottom 10%,P10-P20 - mean income,P20-P30 - mean income,P30-P40 - mean income,P40-P50 - mean income,P50-P60 - mean income,P60-P70 - mean income,P70-P80 - mean income,P80-P90 - mean income,P90-P100 - mean income of the top 10%,P99.999-P100 - mean income of the top 0.001%,P99.99-P100 - mean income of the top 0.01%,P99.9-P100 - mean income of the top 0.1%,P99-P100 - mean income of the top 1%,P0 - income threshold of the bottom 10%,P10 - income threshold,P20 - income threshold,P30 - income threshold,P40 - income threshold,P50 - income threshold (median),P60 - income threshold,P70 - income threshold,P80 - income threshold,P90 - income threshold of the top 10%,P99.999 - income threshold of the top 0.001%,P99.99 - income threshold of the top 0.01%,P99.9 - income threshold of the top 0.1%,P99 - income threshold of the top 1%
Albania,2005,0.474481877113181,3.0752089,220.8,26.336842,1.79707,28.230373,2.5387337,11.119864,0.15,10.77,18.43,1.7500000000000002,3.91,5.57,7.04,8.450000000000001,48.44,10.25,12.82,16.919999999999998,33.12,0.13999999999999999,0.54,2.1399999999999997,8.42,12005.41697099695,181.7634067405666,2103.514619946557,4697.558755300769,6690.823891186882,8457.315108174314,10147.41855714065,12307.14252484398,15385.40369521813,20316.52672683821,39766.6899147095,1663050.925207847,653971.8122549041,257165.3769920973,101126.7214309691,0.0,839.9076659508141,3434.840002073015,5933.558928243001,7614.527670156018,9339.65875504307,11214.95831907021,13539.16205716122,17710.16036956189,23710.90730744881,991594.94338442,389930.9957145257,153334.9774273163,60296.86020092412
Albania,2008,0.472131626400237,3.0200913,206.6875,25.166666,1.7789134,26.992661,2.5243707,10.692827,0.16,10.95,18.59,1.82,4.01,5.6000000000000005,7.000000000000001,8.48,48.35,10.290000000000001,12.82,16.76,33.07,0.15,0.58,2.22,8.58,13937.20860584222,216.2280985125535,2530.579063013869,5586.217384531232,7811.35796429048,9759.800236068051,11822.53267990692,14339.56355374146,17861.74496598277,23357.78119986213,46086.28091251269,2085970.312931106,804218.4305448049,310055.8312256363,119537.9474236141,0.0,1003.339109234876,4144.735091382121,6881.23662202587,8893.954605717952,10728.53204101327,13136.82212110594,15757.73995913333,20405.12162597767,27082.79263987633,1225829.148260456,472602.2712644739,182205.5931144557,70246.96808492338
Albania,2012,0.467515321284942,2.9151943,206.25,23.62381,1.7322835,25.343693,2.5132415,10.084066,0.16,11.32,19.05,1.94,4.12,5.7299999999999995,7.1,8.450000000000001,47.949999999999996,10.2,12.690000000000001,16.61,33.0,0.15,0.5700000000000001,2.21,8.55,14835.32469677127,244.4954007005687,2875.593770910905,6118.119541909236,8496.100709034521,10526.79787784991,12534.17164509008,15139.02430809983,18819.18786426554,24641.89683468945,48957.84650529271,2201760.450927669,850223.5249031753,328319.1305078402,126782.4856814616,0.0,1136.581734303273,4716.138414182712,7467.774385518203,9612.121221052335,11461.36522790245,13863.23274075167,16662.40621797956,21497.43843637314,28805.1790592916,1295443.07188928,500243.4294406663,193172.1329376022,74594.62327514219
Albania,2015,0.493067210753804,3.4437928,185.42105,27.209425,2.0005679,24.663992,2.6793411,9.205245,0.19,10.23,17.61,1.72,3.53,5.37,6.78,8.08,47.160000000000004,9.81,12.53,16.74,35.23,0.2,0.72,2.63,9.62,15345.75741530388,296.0085432699653,2646.457988561569,5423.84177427278,8247.847343394458,10411.44686881501,12396.06017862871,15061.13035173415,19224.03477826314,25686.17324241967,54064.56557775732,3005803.715771157,1100775.173830747,403122.1607107886,147630.0238629358,0.0,1238.424585742745,4026.364199736061,7086.103256630142,9339.816379404716,11400.00181371735,13642.18584032602,16763.5109870907,22053.67229084607,30544.49383475254,1698168.812334484,621897.5614805341,227749.2133814148,83405.5373639881
Albania,2016,0.505049723330874,3.7862434,178.89999,28.467741,2.1711166,25.580271,2.8643167,8.9306707,0.2,9.45,16.48,1.66,3.25,4.89,6.47,8.02,47.75,9.93,12.629999999999999,17.169999999999998,35.78,0.16999999999999998,0.63,2.4299999999999997,9.33,15871.20447977649,321.8664445014343,2626.882544029879,5165.317805385966,7767.255668692308,10271.79168439913,12731.07449647038,15756.90429981922,20042.44298168062,27249.25897761552,56779.24489122247,2625732.714343276,1006897.519230556,386117.9948530787,148065.8176932694,0.0,1298.031614183821,3896.359129016336,6519.363613354994,9039.814685639789,11592.29352702609,14144.2794795355,17537.22142509935,22884.90060901053,33203.99961769458,1535505.274908763,588824.7678810767,225798.3992382906,86587.58541959533
Albania,2017,0.497760383647332,3.5771947,161.13637,26.18,2.0779603,22.890213,2.7753119,8.247798,0.22,9.91,17.06,1.78,3.4000000000000004,5.09,6.569999999999999,8.08,47.49,9.94,12.559999999999999,16.91,35.449999999999996,0.18,0.6799999999999999,2.53,9.48,16115.08939882244,357.5696134006178,2860.576922996897,5473.863740341551,8210.300219661449,10592.58728403099,13016.58225488611,16013.10393486529,20244.612488319,27255.50390470538,57126.19612699112,2917452.22367371,1091343.925313694,408243.7164890397,152713.492091071,0.0,1430.285959524454,4219.341453919245,6945.054472699415,9402.385745055086,11796.70980631138,14402.04535030203,17797.29161391467,22978.44441271079,32739.55067920389,1672018.680540476,625459.271579912,233968.2450404376,87521.50976233133
Albania,2018,0.491265798578301,3.4075875,152.30435,24.803827,2.0028589,21.789351,2.7470617,7.9318748,0.22999999999999998,10.280000000000001,17.49,1.8599999999999999,3.62,5.16,6.619999999999999,8.12,47.48,9.98,12.58,16.81,35.03,0.16999999999999998,0.65,2.46,9.29,16599.42402662012,384.9762365345811,3079.852425834552,6002.893631574058,8566.51626513113,10990.85150444949,13471.34355007073,16558.62683866846,20890.2318657136,27900.62038532712,58148.33506881943,2872651.634639641,1083543.946327129,408705.1705646591,154160.7064066411,0.0,1539.927463904274,4542.784142037111,7416.824187097534,9792.641146717717,12214.51194165165,14944.2556405367,18375.93314748088,23811.93951931412,33554.01827358029,1657639.735916064,625250.0565145056,235839.9217461209,88957.15995409965
Armenia,1996,0.588422260781208,5.641737,222.71428,32.397907,3.4695845,20.82604,3.3363519,6.2421598,0.21,8.290000000000001,13.48,1.7000000000000002,3.01,3.7800000000000002,4.78,6.08,39.75,7.91,10.639999999999999,15.110000000000001,46.77,0.84,2.41,7.08,18.970000000000002,4779.687120464248,101.6689542155951,813.3598328848346,1439.462833062491,1805.822118430734,2283.713316879226,2906.064885970621,3782.624475412095,5086.134512465609,7222.346831723643,22355.67155148376,4029284.755802336,1151487.19382153,338609.0906034682,90683.0863207276,0.0,406.6796010901068,1199.704886286277,1622.112999217205,1960.564866511317,2538.558979601231,3218.351972058684,4283.675147547128,5829.665252521495,8469.526116248844,2694722.124944886,484519.0462578967,142054.7244630362,32896.44930313191
Armenia,1999,0.552911803744848,4.4706478,163.59259,24.081966,2.8169644,15.364313,2.8930049,5.3108492,0.27,9.879999999999999,15.68,2.17,3.58,4.33,5.319999999999999,6.5600000000000005,40.150000000000006,8.28,10.72,14.59,44.17,0.7100000000000001,2.09,6.3100000000000005,17.39,5579.675384677286,151.6440962771532,1213.142048238667,1995.78971959937,2416.061005274034,2970.918350043766,3662.048258065369,4618.669492108407,5984.051021786539,8139.98736666002,24644.44248871954,3980444.771054732,1165825.618801961,352257.9586532016,97023.66015861182,0.0,606.5719701762649,1789.386586709667,2148.471955682843,2600.001593083504,3221.412150880228,3984.929920378555,5119.510139604617,6705.174088064227,9319.561422850244,2669140.34186239,500558.4702487318,151355.0443493062,36748.14665653226
Armenia,2002,0.535265136856889,4.0027986,147.96552,21.69434,2.5480998,14.631277,2.886622,5.0686502,0.29,10.72,16.84,2.36,3.8899999999999997,4.68,5.609999999999999,6.75,40.25,8.32,10.6,14.580000000000002,42.91,0.5700000000000001,1.73,5.48,16.009999999999998,7200.545895790937,212.2667937520058,1698.143179880742,2802.94468042189,3370.380167450083,4041.902099506521,4857.063224789197,5993.435906548405,7630.291626283663,10500.69142734071,30898.33859052692,4140166.945363644,1244166.137977956,394242.7486501587,115266.3151417423,0.0,849.0722206449921,2504.762672479954,3007.553458664583,3580.572573703314,4303.650193601769,5228.985324915482,6524.864466758389,8478.805042634367,12423.01099633356,2781537.354629116,551902.6197608347,178287.5696765199,46454.78853437214
Armenia,2003,0.526797579444484,3.7889581,137.25807,20.163702,2.4272676,12.970344,2.6464131,4.901103,0.31,11.23,17.53,2.5,4.09,4.8500000000000005,5.7700000000000005,6.9,39.92,8.37,10.54,14.11,42.55,0.64,1.95,6.069999999999999,17.02,8227.758113845206,257.4176761668225,2059.330687356021,3365.221003649541,3990.551390666358,4750.431255910221,5674.942056284164,6886.702861402637,8671.196441661863,11612.27237185399,35009.51539350044,5300930.246951745,1603796.263561395,499403.3624862031,140056.464273436,0.0,1029.667551144184,3037.51886591734,3553.686897115354,4218.790778947549,5046.506710417705,6031.898797161151,7453.843809372779,9550.074501290475,13355.14196993955,3569262.601840577,704772.0994322173,218595.3091482394,52832.96245894745
Armenia,2004,0.55557885030715,4.4382896,163.10715,23.305882,2.8296158,14.444767,2.8736019,5.026711,0.27999999999999997,10.290000000000001,16.14,2.27,3.73,4.49,5.37,6.43,38.190000000000005,7.95,10.040000000000001,13.76,45.67,0.7000000000000001,2.16,6.78,18.8,9208.315849667972,261.7398949351738,2093.965831623351,3432.088307577837,4132.327482441888,4945.460892367751,5923.049270834409,7322.923405535505,9243.066412880962,12673.76338606467,42054.77361241818,6444424.70653732,1991406.449254402,624421.6514004264,173160.4053056337,0.0,1046.981654402433,3088.596479656569,3667.134260129864,4410.900883714038,5262.874345616059,6397.326531804039,7962.160829447427,10309.65288972546,15123.40625888881,4395902.223260746,889195.3276459329,273947.0315073227,64597.14571513331
Armenia,2005,0.548789094315261,4.2654028,155.17241,22.192453,2.7305825,13.80054,2.7984207,4.9315462,0.29,10.549999999999999,16.48,2.36,3.84,4.55,5.4399999999999995,6.54,38.519999999999996,8.01,10.15,13.81,45.0,0.69,2.1,6.5600000000000005,18.33,10504.22778815118,309.6759689567377,2477.42414997405,4028.845883145272,4783.303580761596,5712.286707603711,6870.491860526679,8411.350552703832,10666.2526517869,14509.41594095925,47273.23121579837,7207097.765768162,2204824.608167715,689593.8010580409,192510.4584002303,0.0,1238.710813577783,3654.197246942002,4272.681966001474,5050.12695494278,6108.759615810667,7373.001983154923,9163.40968064614,11848.36024844006,17094.87853111731,4888137.208940357,978138.2015271436,302702.1165922017,72618.62368348992
Armenia,2006,0.484885356993523,3.0484262,111.08823,16.948387,1.9549689,12.213416,2.5006561,4.8840852,0.33999999999999997,12.389999999999999,19.32,2.76,4.51,5.36,6.36,7.6,42.91,9.180000000000001,11.360000000000001,14.77,37.769999999999996,0.47000000000000003,1.39,4.41,13.15,12047.45856040826,415.4981131022312,3323.991842568682,5427.734857228219,6452.585086476493,7659.987091958592,9159.563013162093,11054.40088970005,13683.96171626033,17799.18196655969,45497.68291918011,5629514.860282733,1672797.135264472,531387.7340691567,158439.7253912699,0.0,1661.993713818167,4902.882654102373,5764.423905106376,6808.55035968912,8117.31858116869,9736.33608210557,11852.72157089492,14930.31730055038,20298.62149203761,3746394.329614389,735863.7685409526,241887.9876507548,65659.12615612996
Armenia,2007,0.496552854209103,3.2606113,120.03125,18.564014,2.0695043,13.577842,2.6572866,5.109664,0.32,11.78,18.56,2.5700000000000003,4.25,5.2,6.21,7.380000000000001,43.04,9.030000000000001,11.39,15.24,38.41,0.45999999999999996,1.32,4.17,12.83,13776.9408222065,443.0952245027832,3544.784501388624,5856.787443342363,7165.395465848173,8559.051483689911,10172.76538946802,12438.48722632594,15686.35302112868,20991.79109880383,52910.89547545282,6284407.233801995,1816719.022915978,574446.8013551078,176781.5157881531,0.0,1772.392250694312,5228.557076477759,6275.763892429923,7624.71115179623,9056.328650076945,10890.93486600513,13439.88028930652,17378.89239045101,24065.26202023734,4149695.321733855,788622.5632899826,265733.8950187083,76719.9886146731
Armenia,2008,0.481139278828657,2.9878738,108.70588,16.809677,1.9120538,12.461524,2.5456526,4.8952174,0.33999999999999997,12.370000000000001,19.33,2.76,4.4799999999999995,5.36,6.38,7.6499999999999995,43.71,9.36,11.55,15.15,36.96,0.48,1.4000000000000001,4.33,12.590000000000002,14916.7098483503,514.240597875954,4113.960733171034,6679.340426784252,8001.919818056517,9522.672277617845,11418.21780474067,13957.15520711455,17226.82193785,22601.80970620695,55130.95871267595,7103702.504888536,2081368.302766247,646360.0254385239,187845.4996038661,0.0,2056.978789823964,6068.086736205612,7070.890054718955,8425.829007985647,10069.35884402131,12192.15418387483,14988.50169396009,18720.19172558194,25633.09090342168,4704509.526307504,898148.7095342319,286769.988071507,75885.06183727
Armenia,2009,0.474680356055828,2.8660362,103.91428,16.229559,1.8424519,11.96841,2.4977667,4.7916451,0.35000000000000003,12.690000000000001,19.74,2.83,4.62,5.47,6.460000000000001,7.6899999999999995,43.9,9.34,11.63,15.24,36.370000000000005,0.47000000000000003,1.35,4.14,12.19,12493.8832746058,442.586245873561,3540.660323871296,5776.803375409193,6830.805402949014,8065.931291460503,9602.434968229009,11675.22993783613,14528.32951113659,19036.42828400729,45439.62466669462,5883920.300639784,1684605.783196445,517640.8091105726,152341.4506090803,0.0,1770.333630811065,5222.484021681254,6088.182246842882,7172.599374030299,8482.810016978308,10226.79407012934,12521.71690023926,15827.80871495669,21188.08025238969,3863642.419588346,714832.191333241,229810.4987205178,62986.10536624402
Armenia,2010,0.498014068033392,3.26,118.54546,17.950001,2.0830672,12.643315,2.5962498,4.8698378,0.33,12.0,18.78,2.67,4.35,5.21,6.21,7.35,42.11,8.91,11.110000000000001,14.729999999999999,39.12,0.66,1.92,5.62,14.760000000000002,12754.14416720451,425.8448224112643,3406.704338692701,5549.330923947252,6650.793474224334,7915.571309791896,9374.22459236039,11370.18460220745,14165.54632096994,18791.94509820985,49891.29808134384,8460504.530593524,2448252.041732295,716728.3366604585,188302.819740393,0.0,1703.352800050972,5024.890570938979,5878.350603632917,7066.57729651992,8295.051774097361,9956.294318711807,12230.78799543989,15497.92496994013,21536.02611634511,5618719.608353385,1018617.025934381,292977.0549859028,67019.1586799166
Armenia,2011,0.482049842063567,2.9855886,106.54285,16.70607,1.914271,12.231459,2.5095365,4.873991,0.35000000000000003,12.49,19.48,2.78,4.53,5.42,6.41,7.59,43.230000000000004,9.19,11.44,15.0,37.29,0.5,1.49,4.64,13.26,13153.73149483042,456.8426931287506,3654.749113485458,5954.454576737122,7129.791559282845,8427.107446252603,9988.200404083665,12088.24622825436,15053.52481757631,19730.05641303304,49054.33791224233,6590336.558720545,1959794.323323045,609754.0194210382,174393.301022605,0.0,1827.374556742729,5390.756014588907,6318.535757013976,7503.330786057612,8906.607572189505,10524.17129897477,13010.85671560495,16380.43021184465,22351.45592179638,4393570.735330229,852675.1081788944,268768.3158635268,68366.86092836087
Armenia,2012,0.481792930897356,2.9992044,107.71429,16.696486,1.9205298,11.975106,2.4601049,4.8677216,0.35000000000000003,12.57,19.63,2.78,4.5600000000000005,5.47,6.47,7.66,42.67,9.19,11.26,14.56,37.7,0.47000000000000003,1.43,4.61,13.58,13982.27554146807,486.5520343053435,3892.442764036834,6376.025744635859,7651.457442662928,9045.049759337937,10711.44200718361,12843.05081341228,15741.6374346906,20359.62513510361,52715.46975649324,6573857.609924066,2005527.482335329,644413.0018002274,189917.1605665645,0.0,1946.221382018417,5741.353991476031,6808.743986007798,8060.345771336103,9473.6633750358,11341.69882799578,13719.90052697946,16978.1332136391,23306.20711663787,4411978.833596041,896545.1051928253,292862.1153757548,76159.03992467286
Armenia,2013,0.48938826229422,3.126749,111.73529,17.417763,1.9931794,12.680347,2.552438,4.9679356,0.33999999999999997,12.15,19.06,2.7,4.3999999999999995,5.28,6.329999999999999,7.539999999999999,42.96,9.139999999999999,11.32,14.96,37.99,0.58,1.7000000000000002,5.13,13.87,14634.53764651019,493.6789965236961,3949.450893328202,6440.037848744466,7732.880147836811,9270.319790263018,11037.41475284477,13376.46861599719,16567.60568365571,21887.28822519825,55590.22772648204,8419759.45927613,2490471.439972797,750308.9219880687,202913.8352580595,0.0,1974.728600187206,5825.448361424866,6819.134213935686,8205.865095037821,9810.324041206008,11763.02339038767,14391.96360360079,18104.80818114438,25040.24432720965,5634038.96949241,1064288.517171633,316734.6637069032,74849.88634266981
Armenia,2014,0.499119021007033,3.3214588,118.66666,18.341297,2.1087775,12.821553,2.5186634,5.0906181,0.33,11.790000000000001,18.57,2.6,4.26,5.16,6.22,7.5,42.26,9.030000000000001,11.15,14.580000000000002,39.160000000000004,0.45999999999999996,1.4000000000000001,4.61,14.24,14777.39728882476,480.9267797898137,3847.455864823502,6294.692599518171,7626.64930709685,9196.131897797693,11076.71395778509,13349.49905569463,16477.74541206084,21550.29896192045,57873.86031316977,6831153.621277366,2072835.756644259,680536.8568402538,210420.566803434,0.0,1923.725409593267,5674.990620539989,6736.344141143271,8151.004514981275,9792.951282417996,11771.90938779425,14310.50053333116,17914.72011539312,24665.14726002078,4578706.4579403,937461.184499774,321081.9340628044,89100.60049285367
Armenia,2015,0.511253043202704,3.5610185,130.83871,19.567858,2.249584,13.048218,2.5141397,5.1899333,0.31,11.39,18.029999999999998,2.4899999999999998,4.109999999999999,5.04,6.08,7.32,41.410000000000004,8.9,10.96,14.23,40.56,0.51,1.55,5.0,15.040000000000001,14898.57898260773,463.2380379866352,3705.88601345907,6115.86891829963,7512.438791490817,9058.054257920256,10904.22128955308,13259.53787136039,16333.07060184677,21202.11279950439,60431.3587218378,7652142.40491046,2308056.818027286,744302.942628016,224045.647828383,0.0,1852.946475604951,5466.192702203995,6576.555756093942,8067.960898931182,9616.66871011784,11693.63768290735,14284.05824209183,17794.126238317,24177.64853807918,5133750.339908767,1033519.718372527,344116.629147108,93960.33096748548
