Entity,Year,Fully vaccinated + booster,"Fully vaccinated, no booster",Unvaccinated
70-79,51,,0.0,1.4987710077736256
70-79,58,0.0,1.3349708976344317,1.1924148786121653
70-79,65,0.0,0.0,0.5335382120067439
70-79,72,0.0,0.0,2.0625631659969588
70-79,79,0.0,0.0,1.3782674784005797
70-79,86,0.0,0.671948179356408,1.7082920496088012
70-79,93,0.0,0.0,1.395426721491432
70-79,100,0.0,0.0,3.3930421755142417
70-79,107,0.0,0.0,1.2910680683362328
70-79,114,0.0,0.37795608906157285,2.4550520880218007
70-79,121,0.0,0.3324965503482901,5.047242186869095
70-79,128,0.0,0.0,1.7241280222527458
70-79,135,0.0,0.0,2.4775472282440383
70-79,142,0.0,0.0,4.013431617814285
70-79,149,0.0,0.18837464703300513,2.1077480819492456
70-79,156,0.0,0.1799645469842441,2.9404413602481734
70-79,163,0.0,0.0,2.3032806393907057
70-79,170,0.0,0.0,1.600448125475133
70-79,177,0.0,0.0,0.8314832830285948
70-79,184,0.0,0.0,0.0
70-79,191,0.0,0.0,0.8780402142418122
70-79,198,0.0,0.0,0.0
70-79,205,0.0,0.0,0.9214551619918174
70-79,212,0.0,0.0,1.884250492260441
70-79,219,0.0,0.0,0.0
70-79,226,0.0,0.0,0.9753052705496821
70-79,233,0.0,0.6425785391619491,4.9877799391490845
70-79,240,0.0,0.31997235438858085,3.0798924090918423
70-79,247,0.0,0.6379453057592107,10.631963936378328
70-79,254,0.0,0.1589461236219371,4.4470632705926825
70-79,261,0.0,0.474896195606577,4.682853731063711
70-79,268,0.0,0.31512985713587927,1.2207627325553005
70-79,275,0.0,0.156797812356922,10.074297947361794
70-79,282,0.0,0.15585889159390653,5.158694334463947
70-79,289,0.0,0.15482105008925434,6.593957297532541
70-79,296,0.0,0.4618162617820874,2.6846718659811803
70-79,303,0.0,0.6131771775454518,5.444324971757564
70-79,310,0.0,0.6125442946093039,1.3772018013799563
70-79,317,0.0,0.47245508133314223,9.840582562487699
70-79,324,0.9768200599767517,1.0768648157753515,4.277891854893908
70-79,331,0.5083987473054866,1.9401276604000544,13.017631658880195
70-79,338,1.379843249806822,1.6142267181425631,24.940582729380008
70-79,345,1.6043724497162934,3.4630115733846782,23.867060473164475
70-79,352,0.6745013748586357,4.563251225232954,28.874941110317472
70-79,359,0.41888588920049347,4.809285126484199,29.16346891788181
70-79,366,0.40361314487290223,4.127042148891889,20.073189938699567
70-79,373,0.19250463936180862,4.086330543277645,24.926777590826944
70-79,380,0.36981086023553256,4.74087184633254,10.992462311557789
70-79,387,0.35996925862531337,3.5550499484517757,22.12039816716701
70-79,394,0.3542550459203103,2.8847818143354425,9.513691788098372
70-79,401,0.5264469394129766,4.03469840629413,17.475851550584647
70-79,408,1.2215957181324943,3.1138743863072564,9.546083719154216
70-79,415,0.8696695777406332,4.224355521760711,12.738650658429005
70-79,422,1.0411081555207362,2.1388086835632554,12.747988208110907
70-79,429,0.17326067935512376,1.0781089968195785,7.970540880904178
70-79,436,0.34609560891196195,2.171175474401841,4.784307471493501
70-79,443,1.2097875267449456,3.2813063974537062,9.572431397574984
70-79,450,0.8630778737903964,3.3054937305802246,9.57548675390999
80+,30,,0.0,9.618245812305945
80+,37,,0.0,12.371201145963896
80+,44,,2.3762564455956086,12.225554285056777
80+,51,0.0,0.0,8.110675966908442
80+,58,0.0,1.8236694052102236,4.51222813825467
80+,65,0.0,0.0,6.8005313481826715
80+,72,0.0,1.8130065086933662,9.201748332183115
80+,79,0.0,0.5267427283166356,5.028129591660009
80+,86,0.0,0.4738730115103755,10.209681330321477
80+,93,0.0,0.4325521441609786,17.36776976126553
80+,100,0.0,0.7832417593176397,11.414408244464012
80+,107,0.0,1.0941357968408651,11.26559580919836
80+,114,0.0,1.3530792701490417,16.920831658876033
80+,121,0.0,0.9583654119533723,21.390628527968246
80+,128,0.0,0.6059596127918074,15.848697765333615
80+,135,0.0,0.5808499577431656,8.426847937528967
80+,142,0.0,0.5581618613581752,21.17202268431002
80+,149,0.0,0.0,6.369731038106916
80+,156,0.0,0.7953319317817291,10.045035241331972
80+,163,0.0,0.26131766821018304,3.504836674610963
80+,170,0.0,0.0,1.8214936247723132
80+,177,0.0,0.0,1.8837713101629463
80+,184,0.0,0.0,1.9386983579224908
80+,191,0.0,0.0,1.9879925251481054
80+,198,0.0,0.25140662003911884,0.0
80+,205,0.0,0.0,0.0
80+,212,0.0,0.24948792603181968,8.536611392107902
80+,219,0.0,0.0,2.168303735987337
80+,226,0.0,0.9924203892768977,8.836459230786224
80+,233,0.0,0.9894769130299267,15.848936989154799
80+,240,0.0,0.7400865407861693,35.04509135087145
80+,247,0.0,2.461829336143101,29.080334423845873
80+,254,0.0,3.19338919307968,25.526483726866623
80+,261,0.0,2.448927614597568,30.078477482157993
80+,268,0.0,2.684472037563085,26.31271196351304
80+,275,0.0,0.4862228748413698,27.702536321103178
80+,282,0.0,2.1777214258752022,25.620496397117694
80+,289,0.0,2.6465401299691798,23.241143464258442
80+,296,0.0,2.392762372376037,27.349492325048715
80+,303,0.0,3.573598256084051,31.492756665966827
80+,310,0.0,3.0956877070241156,42.86326618088298
80+,317,10.656436487638533,3.9528816507233775,81.52375305714074
80+,324,0.0,6.1284702462769545,107.18523906136355
80+,331,1.9911724687219992,12.012230634828189,110.92183971794161
80+,338,7.451460719159103,20.342799831580543,159.8229653307106
80+,345,5.3322973441350445,29.204363618664022,246.6510737826919
80+,352,3.334444814938313,23.459309827104885,229.75301550832856
80+,359,4.741868485858167,16.075734571760293,199.0950226244344
80+,366,3.999507752891952,19.29123984798503,192.466318394281
80+,373,0.8914986686953215,11.81753722524226,145.27391161722667
80+,380,2.8798608451239636,10.813018874725168,153.18334131163235
80+,387,3.09966551791184,13.12577113905442,145.88601439408674
80+,394,3.3362247280976844,15.331651497623595,142.42915377437257
80+,401,3.034943232766351,12.984015234577875,123.52999308232039
80+,408,3.2937805189351206,23.608918268876067,133.92857142857142
80+,415,2.73671938500442,4.4835677242904755,99.44806324896823
80+,422,3.5498175939882475,15.08727991430425,109.6163428001993
80+,429,3.817106088284211,0.0,74.82416321644136
80+,436,3.5400447134878426,12.226059846562949,69.92657709405124
80+,443,5.983366241847664,12.303906490310673,94.99525023748812
80+,450,4.346302518953953,9.28562585118237,85.03401360544218
All ages,30,,0.0,0.7464824044596895
All ages,37,,0.0,0.9213262026992332
All ages,44,,0.12926811245566586,0.946373468325454
All ages,51,0.0,0.0,0.6342826592542594
All ages,58,0.0,0.21643834556310684,0.36278557785147036
All ages,65,0.0,0.0,0.5175690563851554
All ages,72,0.0,0.09862737234570021,0.7959621640377277
All ages,79,0.0,0.02865475162221899,0.47175202198227084
All ages,86,0.0,0.08478599684957233,0.7842201490780643
All ages,93,0.0,0.023530793285371027,1.2148022520598283
All ages,100,0.0,0.04260827319842088,1.0167571621891907
All ages,107,0.0,0.05952087767713277,0.8027008170762566
All ages,114,0.0,0.10679771614887634,1.2927524295422923
All ages,121,0.0,0.08133327733820045,1.7667312114711786
All ages,128,0.0,0.09948653706876459,1.1596700343451452
All ages,135,0.0,0.03159817947956882,0.858956522140437
All ages,142,0.0,0.030363949310373086,1.5762926777177364
All ages,149,0.0,0.0775331204699488,0.6134657563085084
All ages,156,0.0,0.05906962382772521,0.9983834403808265
All ages,163,0.0,0.035428274602412865,0.4589896627932408
All ages,170,0.0,0.0,0.40857749843280416
All ages,177,0.0,0.024576861189854218,0.24510358003070137
All ages,184,0.0,0.0,0.10546499634500663
All ages,191,0.0,0.0,0.2117806370960491
All ages,198,0.0,0.013676494930314576,0.0
All ages,205,0.0,0.0,0.24090688190978196
All ages,212,0.0,0.013572118168638337,0.7182712139779749
All ages,219,0.0,0.0,0.20816434911813736
All ages,226,0.0,0.05398756970112552,0.6042518398548804
All ages,233,0.0,0.12597935892007361,1.3643147515170553
All ages,240,0.0,0.08394538476661947,2.658956745803378
All ages,247,0.0,0.2054246606528431,2.9936041068590096
All ages,254,0.0,0.2045987436772592,2.668064615104795
All ages,261,0.0,0.2054097995294735,2.4769071119713804
All ages,268,0.0,0.24160808631020828,2.1332291295829746
All ages,275,0.0,0.04021972761890027,3.2754509382078236
All ages,282,0.0,0.13215462760868923,1.9722737255434377
All ages,289,0.0,0.15756717972283138,2.122528708298418
All ages,296,0.0,0.18519593573561888,2.183687833581951
All ages,303,0.0,0.24824974441083936,2.5462562902970163
All ages,310,0.0,0.22219588162026122,2.507857032421926
All ages,317,0.5797090767766183,0.2565251654493612,5.595689308247061
All ages,324,0.08577977796593593,0.44284801770798676,6.298303326732353
All ages,331,0.28487490419823486,0.8859357373833443,7.760461555775392
All ages,338,0.7789449700938266,1.28338372775935,11.887439261038983
All ages,345,0.4309649405158399,1.9647579119593228,16.16110558507838
All ages,352,0.3657583107129161,1.820498502166646,16.436245350763137
All ages,359,0.42293976216720514,1.4791343094728888,13.957238118905215
All ages,366,0.2780999218213605,1.5383548758535013,13.36042788065492
All ages,373,0.08767257518958313,1.0666140394012973,11.136539186935103
All ages,380,0.20944934715914929,1.04879306168838,10.241510538029669
All ages,387,0.2002323134694735,1.0621280192520135,10.819351496914758
All ages,394,0.2777719964308307,1.2587772266889583,9.226712707680434
All ages,401,0.24778782470374103,1.216966899892154,8.484096626527599
All ages,408,0.3405999607162952,1.7370567795009888,8.931155292229143
All ages,415,0.24750632445659065,0.7973176597268329,6.813307499911738
All ages,422,0.2845349797220115,1.1122192493068197,7.565590637287211
All ages,429,0.2541747223688479,0.09467449959254767,4.894194968480845
All ages,436,0.3025390920636602,0.9807179890210918,4.3140004818765245
All ages,443,0.49663481337793647,1.0203856638607334,6.362494032280502
All ages,450,0.35594068139213697,0.8385127930182912,5.984388202416742
