Entity,Year,unvaccinated,vaccinated_with,vaccinated_without
65-79,463,3.653441282,,0.3799719012
80+,463,9.446453034,,1.813019151
All ages,463,0.951813957,,0.1370114788
12-17,470,0.0,,0.0
18-29,470,0.071505508,,0.0
30-49,470,0.137116873,,0.0162305096
5-11,470,0.0110638145,,0.0
50-64,470,0.7745202489,,0.1121569065
65-79,470,4.04399826,,0.346999855
80+,470,7.811225104,,1.788332501
All ages,470,0.973448461,,0.1372854976
12-17,477,0.0,,0.0
18-29,477,0.0119538567,,0.0
30-49,477,0.0634627363,,0.0243258476
5-11,477,0.0110850502,,0.0
50-64,477,0.5104193908,,0.1071478945
65-79,477,3.547422367,,0.4113270432
80+,477,9.739475856,,3.102748201
All ages,477,0.908791494,,0.1995196881
12-17,484,0.0,,0.0
18-29,484,0.0119875603,,0.0075214284
30-49,484,0.1802709175,,0.0486147491
5-11,484,0.0111038036,,0.0
50-64,484,0.4449997646,,0.1264797338
65-79,484,5.048311037,,0.4427134753
80+,484,15.98962634,,3.484859325
All ages,484,1.360333153,,0.2323528426
12-17,491,0.0686126432,,0.0
18-29,491,0.0240398716,,0.0075124724
30-49,491,0.1275686479,,0.0121454918
5-11,491,0.0,,0.0
50-64,491,0.6468493729,,0.1214856332
65-79,491,4.546389062,,0.6560938294
80+,491,15.73855051,,4.32582182
All ages,491,1.320390288,,0.2758135606
12-17,498,0.0229209075,,0.0
18-29,498,0.0361574251,,0.0150072342
30-49,498,0.1704835473,,0.0283209397
5-11,498,0.0111401498,,0.0
50-64,498,0.7378574819,,0.2136034627
65-79,498,5.984686011,,0.8169603775
80+,498,21.90915317,,5.484927236
All ages,498,1.760334104,,0.3646555614
12-17,505,0.0,,0.0
18-29,505,0.0241734493,,0.0
30-49,505,0.160210147,,0.036388713
5-11,505,0.0,,0.0
50-64,505,0.8518219036,,0.1988481937
65-79,505,6.458555244,,0.8285273032
80+,505,19.75866107,,5.724030566
All ages,505,1.73911267,,0.3729878991
12-17,512,0.0460864111,,0.0
18-29,512,0.0363621158,,0.0074865564
30-49,512,0.1927236779,,0.0686922197
5-11,512,0.0111854859,,0.0
50-64,512,0.9216255479,,0.1938189114
65-79,512,6.786298298,,0.8789390348
80+,512,23.73350543,,5.874260472
All ages,512,1.967762925,,0.3971621729
12-17,519,0.0462046998,,0.0165153257
18-29,519,0.024298452,,0.014956977
30-49,519,0.1716515189,,0.044420791
5-11,519,0.0,,0.0
50-64,519,0.901079615,,0.2613960826
65-79,519,8.617531392,,0.890472203
80+,519,24.16932926,,6.343473825
All ages,519,2.177182624,,0.4237854921
12-17,526,0.0231645188,,0.0164899847
18-29,526,0.0243636815,,0.0149414809
30-49,526,0.1505296895,,0.0484302817
5-11,526,0.0112334357,,0.0
50-64,526,1.061309501,,0.2321181609
65-79,526,6.746652912,,1.153217242
80+,526,24.97395889,,6.400708789
All ages,526,2.018273297,,0.4517760274
12-17,533,0.0,,0.0
18-29,533,0.0732803305,,0.0
30-49,533,0.1400767147,,0.0847093015
5-11,533,0.0,,0.0
50-64,533,1.086308476,,0.3189172431
65-79,533,8.58730053,,1.081279761
80+,533,25.2390803,,6.962671525
All ages,533,2.243416696,,0.4908325044
12-17,540,0.0,,0.0
18-29,540,0.1101888711,,0.0074561685
30-49,540,0.2915208929,,0.0282205788
5-11,540,0.0451151615,,0.0300673298
50-64,540,1.0885308,,0.2993531172
65-79,540,9.901399955,,1.125200146
80+,540,25.132814,,7.13679379
All ages,540,2.450189983,,0.4798220794
12-17,547,0.0,,0.0
18-29,547,0.073639257,,0.014897507
30-49,547,0.2812984305,,0.05238122
5-11,547,0.0,,0.0
50-64,547,1.408846154,,0.2460710653
65-79,547,11.44730882,,1.342684447
80+,547,28.9442556,,7.402661025
All ages,547,2.824461548,,0.5156672044
12-17,554,0.046747234,,0.0
18-29,554,0.0368948779,,0.0
30-49,554,0.2059132911,,0.1127659514
5-11,554,0.0113262199,,0.0
50-64,554,1.525175387,,0.3278914286
65-79,554,11.69624038,,1.540730897
80+,554,34.36693378,,7.578214204
All ages,554,3.061756617,,0.5792081533
12-17,561,0.0,,0.0163808428
18-29,561,0.0616492937,,0.0148704015
30-49,561,0.2823906762,,0.1046620671
5-11,561,0.0113537019,,0.0
50-64,561,1.300608977,,0.3999989205
65-79,561,12.03279373,,1.603925012
80+,561,38.40083491,,8.615879774
All ages,561,3.249497035,,0.6427296056
12-17,568,0.070462133,,0.0
18-29,568,0.074173439,,0.0297169314
30-49,568,0.3157168124,,0.080475368
5-11,568,0.0,,0.0
50-64,568,1.922312311,,0.409431944
65-79,568,10.84535588,,1.660818789
80+,568,38.15828326,,8.475342916
All ages,568,3.240960279,,0.6374097461
12-17,575,0.0,,0.0
18-29,575,0.0371754813,,0.0
30-49,575,0.3054855656,,0.0522838595
5-11,575,0.0114222676,,0.0
50-64,575,1.514365686,,0.2984304627
65-79,575,12.42324547,,1.486516025
80+,575,34.11992395,,8.627237189
All ages,575,3.163473329,,0.5876963164
0.5-4,582,0.0951069201,,0.0
12-17,582,0.0472267842,,0.0
18-29,582,0.0621089851,,0.0074158268
30-49,582,0.2405154942,,0.0683379173
5-11,582,0.0,,0.0
50-64,582,1.586651378,,0.3270224414
65-79,582,12.45238847,,1.542518801
80+,582,37.62631838,,8.279462535
All ages,582,3.306764207,,0.5925205504
0.5-4,589,0.019183217,,0.0
12-17,589,0.0,,0.0
18-29,589,0.0622618407,,0.0148193989
30-49,589,0.2190949138,,0.0522358637
5-11,589,0.0344775632,,0.0
50-64,589,1.820140868,,0.3267931138
65-79,589,12.01130783,,1.521956661
80+,589,37.5120589,,7.526398674
All ages,589,3.282113945,,0.5553330369
0.5-4,596,0.0,,0.0
12-17,596,0.0237324668,,0.0
18-29,596,0.0499270192,,0.0222101399
30-49,596,0.3073302709,,0.080329402
5-11,596,0.0,,0.0
50-64,596,1.430994425,,0.2257482932
65-79,596,12.26362779,,1.354871132
80+,596,29.40687691,,7.363657477
All ages,596,2.946281268,,0.523517548
0.5-4,603,0.0389495691,,0.0
12-17,603,0.023780308,,0.0
18-29,603,0.0500323271,,0.0073968371
30-49,603,0.2638713354,,0.0722653207
5-11,603,0.0,,0.0
50-64,603,1.29447971,,0.3216594941
65-79,603,10.80466247,,1.258407166
80+,603,26.17313108,,7.269737609
All ages,603,2.611457172,,0.5204251953
0.5-4,610,0.0196034535,,0.0
12-17,610,0.0,,0.0
18-29,610,0.0250655213,,0.0
30-49,610,0.2092278086,,0.0441451156
5-11,610,0.0,,0.0
50-64,610,1.504506901,,0.2543474091
65-79,610,10.66140683,,1.379247054
80+,610,30.20271022,,7.176460451
All ages,610,2.768182191,,0.5062432602
0.5-4,617,0.0,,0.0
12-17,617,0.0,,0.0
18-29,617,0.0752938342,,0.0221557893
30-49,617,0.264578325,,0.0641873552
5-11,617,0.0,,0.0
50-64,617,1.574994133,,0.2590603602
65-79,617,8.641059833,,1.238382536
80+,617,28.93710466,,6.94863882
All ages,617,2.533196626,,0.4937835135
0.5-4,624,0.0198050431,,0.0
12-17,624,0.0716075049,,0.0
18-29,624,0.0376973267,,0.0295209771
30-49,624,0.1655939152,,0.0240620416
5-11,624,0.0,,0.0
50-64,624,1.275271712,,0.2589909798
65-79,624,7.943543832,,1.129577642
80+,624,25.30449361,,6.112326334
All ages,624,2.217930828,,0.4344848418
