Entity,Year,0 or 1 dose,2 doses,3 doses,4 doses
41-50,352,0.6830717737666285,0.5624083450150233,0.0,
41-50,359,0.6949753283758426,0.4675905216283996,0.0,
41-50,366,0.3541954450465767,0.1734482022961073,0.0,
41-50,373,0.7166917508779473,0.9236800150744578,0.0,
41-50,380,2.270585697580691,0.2859847455736711,0.0,
41-50,387,1.5255064681474249,0.0,0.09653241099832371,
41-50,394,2.6892564205997043,0.6603493247928154,0.0,0.0
41-50,401,1.5097473060446507,1.4201116207733928,0.04783226563744386,0.0
41-50,408,2.719809147106706,2.896808441299798,0.3837221237868385,0.0
41-50,415,3.127907976947318,4.138870389392451,0.28759446879144657,0.0
41-50,422,1.574028529267093,1.9416043088082822,0.1913735501659448,0.0
41-50,429,2.3752216873574867,2.3868722028841374,0.28696174943360925,0.0
41-50,436,3.9813513502753106,2.8494203464895143,0.23908413561999775,0.0
41-50,443,1.6009157237940101,0.834741960391494,0.286657936339961,0.0
41-50,450,1.6086998487822142,1.2794540995841774,0.09560028374164214,0.0
41-50,457,0.0,0.4357165576649078,0.19253632919861566,0.9859404886321061
41-50,464,1.2157660541907456,0.4447547844495937,0.09753671037936903,0.0
41-50,471,0.8134909336435445,1.3625896470438617,0.0,0.0
41-50,478,0.40808831031035114,0.0,0.10033577366657519,0.0
41-50,485,0.0,0.0,0.0517669349056677,0.0
41-50,492,0.0,0.0,0.055985461695306965,0.0
41-50,499,0.41101013962014443,0.0,0.12079358972578043,0.0
41-50,506,0.0,0.0,0.1958987934593311,0.0
41-50,513,0.0,0.0,0.0,0.11716873469483403
41-50,520,0.0,0.0,0.0844251617375036,0.0
41-50,527,0.8305716824890572,1.113914462508424,0.09827072996480925,0.0
41-50,534,0.0,0.0,0.35232481529371557,0.28711788198880817
41-50,541,0.0,0.6038537949191741,0.0,0.0
41-50,548,0.0,0.0,0.0,0.0
41-50,555,0.0,0.6308312463332933,0.0,0.1857779544732545
41-50,562,1.6815766462635366,0.0,0.3312508695335325,0.18089146933919742
41-50,569,1.2643130776330374,0.6540650140623978,0.5375794945677592,0.05855150600328591
41-50,576,0.8446017280551356,0.6657523667496638,0.5735348097393858,0.1718161887503923
41-50,583,0.42322668020992044,0.0,0.4075826679546279,0.2245165317135214
41-50,590,0.4241889507262115,0.6886293521375055,0.4285343909562102,0.1105912706992299
41-50,597,0.4249749264793377,0.0,0.4468115527595081,0.27322882148758887
51-60,282,2.7236638726414775,0.12046741356463077,0.0,
51-60,289,0.0,0.38616673521126216,0.0,
51-60,296,2.8849205204396617,0.13568659111184986,0.0,
51-60,303,2.9429508968642857,0.5265767022908343,0.0,
51-60,310,3.011798721491443,0.25627751779847363,0.0,
51-60,317,3.1172312751813838,0.5293044093174514,0.0,
51-60,324,7.231587574525528,0.8954257813549327,0.0677014609298254,
51-60,331,13.213421532922066,1.9938711468440087,0.06210443357340837,
51-60,338,3.409362108349528,0.17871471948044057,0.0,
51-60,345,11.459196445886148,1.1916370908960912,0.0566147867632364,
51-60,352,14.573276254668002,1.8125957277118698,0.10916244026085457,
51-60,359,4.696732013864753,1.2398425895848264,0.05337478062965161,
51-60,366,9.727342587278581,1.358824888236653,0.10457461660331188,
51-60,373,3.973891532630617,1.7191435226969924,0.10343347417524734,
51-60,380,4.408830888269203,3.2630286616280064,0.14652873428479324,
51-60,387,6.710358556825553,2.6516758591429785,0.048365535106607314,
51-60,394,4.539316152021698,1.410994468901682,0.0962634383759973,0.0
51-60,401,16.401329601119663,2.528266014036933,0.5305638543245295,4.8095421315890725
51-60,408,13.89757487318463,4.635089688985482,0.5809416289215981,2.691862499663517
51-60,415,15.234613040828762,10.162166787899533,1.114075520757649,0.0
51-60,422,22.53187073821524,6.642605672785245,1.4047073195423367,1.8582524993496117
51-60,429,15.596506382570304,7.369906969097413,0.779901927332638,2.778047865764727
51-60,436,21.82373695122395,5.789482825499198,0.73419857819998,1.1760831726019665
51-60,443,9.794079478954972,4.141080703747086,0.5470443195415172,0.8213417438727906
51-60,450,14.830927427328456,3.0215679520416736,0.792930443612866,0.4078769190609042
51-60,457,9.968598913422719,4.31960111569126,0.6613271844601338,0.6126681391124277
51-60,464,8.787897809302617,1.8886216838950933,0.3426955863664273,0.0
51-60,471,7.5840885821546395,1.2827008549201198,0.1754721516921657,0.2280132521302138
51-60,478,1.271924803805599,0.653774238679899,0.06062810719049351,0.0
51-60,485,1.277596075224857,2.6519043988464217,0.19047171590254705,0.0
51-60,492,1.2841586192726526,1.3481449525452978,0.13914872981560705,0.0
51-60,499,2.5805119735755575,0.6855372212434274,0.15183826795050984,0.0
51-60,506,2.593630044610437,2.106046459384894,0.4168115086659281,0.0
51-60,513,0.0,0.0,0.3839692824574034,0.08877163142728804
51-60,520,1.3089347888688185,0.7505704335294824,0.22733369403612788,0.07728668103168444
51-60,527,0.0,0.0,0.540891389009087,0.0
51-60,534,2.645642626594,2.448499885736672,0.3282051282051282,0.19038154365163223
51-60,541,2.6595744680851063,1.6831899816532292,0.9182652133589223,0.0
51-60,548,4.008712267995778,1.7194539014409023,1.7944157780985572,0.41406177446764963
51-60,555,2.6831231553528307,0.0,1.6932291997375495,0.1742497242498114
51-60,562,4.0432356667295615,1.767596422384841,1.5663809886101725,0.22869662363739693
51-60,569,5.413305905916744,0.89850488786659,0.2384961387475137,0.11243560250866316
51-60,576,2.7169852331852575,1.8183967196123179,0.7523001577322664,0.2776384957990519
51-60,583,0.0,1.8441168063585147,1.056384523966724,0.10971871960448595
51-60,590,6.840226001067076,0.933889931732646,0.5517774129915992,0.32597410570362323
51-60,597,2.7450657443245765,1.8892341989174688,1.7164729912974819,0.32344961167178704
61-70,282,1.8165304268846503,1.134181809344038,0.0998759540650512,
61-70,289,1.834601501621329,0.34579820599890726,0.0,
61-70,296,1.8481811587171775,0.5421366690400206,0.09356007305170504,
61-70,303,4.6457391603291045,0.9453529286088376,0.09136817445473758,
61-70,310,2.8055475025951315,1.208478686464233,0.0,
61-70,317,3.303351486036261,2.629113367368401,0.1655178349605116,
61-70,324,5.707246776594581,3.9340761243730067,0.07858527641978054,
61-70,331,5.2692843832781655,4.88322579384974,0.5292221341865402,
61-70,338,5.792428330766966,6.644297531643467,0.22049890081297946,
61-70,345,9.254478680603587,5.200499247927801,0.14457709392812348,
61-70,352,9.829748751621908,4.425699149823194,0.4257704671411642,
61-70,359,3.963319478228991,3.312966477512057,0.4209093747040481,
61-70,366,5.998050633544098,1.5284988612683483,0.27733654304159144,
61-70,373,6.028999487535043,4.250503418998687,0.275600533562633,
61-70,380,2.5773993010093097,2.8278943498670888,0.6652541104388349,
61-70,387,4.655060050274648,6.828165423687665,0.3303651129154919,
61-70,394,7.262842261441571,6.432574557559481,0.26417444495298026,0.0
61-70,401,9.758953840148337,11.167521411574706,1.6553594579955848,5.787371954395509
61-70,408,9.900680541515117,23.542952809459035,2.9890640111379168,0.0
61-70,415,15.671770439906597,24.340112505408914,3.7278732416587173,2.93470286133529
61-70,422,15.190165153761138,27.91554616766077,2.943890123315543,2.191732783938982
61-70,429,15.22781333851429,19.074323099958992,3.8308794422239534,1.4954948218491793
61-70,436,14.210750696063622,21.501803219406355,3.6289050173556325,0.3587920190303287
61-70,443,13.185862645505994,15.045135406218655,3.0426030990814192,0.40193006818743604
61-70,450,4.757072180641887,9.221689413500552,2.6001040041601664,0.6361333271840445
61-70,457,6.883733737179046,7.313760317626162,2.2484994224906747,0.42309655909671706
61-70,464,6.365000981270985,9.579767530974582,1.9031934316988286,0.3906255086269644
61-70,471,3.1876743259397,3.2476319350473615,1.0688185546901094,0.24705479798946806
61-70,478,3.191676108708488,5.509884733211381,1.687104057766443,0.11783920604656534
61-70,485,1.5973845490317187,2.2321179451122197,1.0201315678256333,0.3428442127325484
61-70,492,1.0662629084453354,2.260755544502973,0.6185640345220588,0.1091785298237531
61-70,499,2.6687874631040134,2.2922373382540027,0.4950805496054208,0.31313180865976453
61-70,506,2.1371288742139374,2.3378414709698534,0.8913593408219402,0.29851637362309325
61-70,513,2.139117507072457,1.1971603356837581,1.4162242651819241,0.09312452331884626
61-70,520,1.0706179606869084,1.2367054167697253,1.8804547879904756,0.08729583686154008
61-70,527,1.607389706276321,0.0,0.27292799886461955,0.3313408702336616
61-70,534,2.145473854719238,3.964373496841716,1.9287147045209072,0.948297253257006
