country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_1993_total,weight_1993,weightedvalue_1993,population_2018,population_2018_total,weight_2018,weightedvalue_2018
Finland,gini_pip_disposable_perCapita,gini,1991,0.22879761457443237,2018,0.2732977271080017,income,income,national,national,W. Eur and Offshoots,5066609,4931067831,0.0010274871840431595,0.00023508661671487567,5515465,6706199961,0.0008224426697794972,0.0002247717123273734
France,gini_pip_disposable_perCapita,gini,1990,0.32119062542915344,2018,0.32380688190460205,income,income,national,national,W. Eur and Offshoots,57053728,4931067831,0.01157025819870536,0.0037162584672189645,64277812,6706199961,0.009584833791686577,0.0031036351436598943
Gambia,gini_pip_disposable_perCapita,gini,1998,0.4851946532726288,2020,0.3875720500946045,consumption,consumption,national,national,SS Africa,1168317,4931067831,0.0002369298172406341,0.00011495708052601677,2444916,6706199961,0.0003645754695980501,0.00014129926216631942
Georgia,gini_pip_disposable_perCapita,gini,1996,0.37132707238197327,2018,0.36411362886428833,consumption,consumption,national,national,EE & CA,5127512,4931067831,0.0010398380585570168,0.00038612002203533194,3772323,6706199961,0.000562512752667382,0.00020481855965616034
Germany,gini_pip_disposable_perCapita,gini,1993,0.2854154109954834,2018,0.3179068863391876,income,income,national,national,W. Eur and Offshoots,80573496,4931067831,0.016339969102323226,0.004663678996993084,82896696,6706199961,0.012361202541243461,0.003929711411294762
Ghana,gini_pip_disposable_perCapita,gini,1991,0.3843722939491272,2016,0.435208797454834,consumption,consumption,national,national,SS Africa,16643639,4931067831,0.003375260606914981,0.0012973566621560346,30870648,6706199961,0.0046032996599458245,0.0020033965093292686
Greece,gini_pip_disposable_perCapita,gini,1995,0.36975571513175964,2018,0.32891204953193665,income,income,national,national,W. Eur and Offshoots,10563442,4931067831,0.002142222001812897,0.0007920988282513174,10633275,6706199961,0.0015855887181769049,0.0005215192350102821
Guatemala,gini_pip_disposable_perCapita,gini,1989,0.5959877371788025,2014,0.4827858805656433,income,income,national,national,LAC,9831871,4931067831,0.0019938624527106002,0.0011883175714367676,16850176,6706199961,0.0025126265393206936,0.001213060616318546
Guinea,gini_pip_disposable_perCapita,gini,1994,0.46081608533859253,2018,0.2959195375442505,consumption,consumption,national,national,SS Africa,7046101,4931067831,0.0014289199097411484,0.000658469279069291,12554871,6706199961,0.0018721289363593434,0.0005539995290706664
Guinea-Bissau,gini_pip_disposable_perCapita,gini,1993,0.4361022710800171,2018,0.3476523160934448,consumption,consumption,national,national,SS Africa,1056767,4931067831,0.00021430794225876467,9.346018032953244e-05,1924954,6706199961,0.00028704094885249426,9.979045068222966e-05
Honduras,gini_pip_disposable_perCapita,gini,1993,0.5346744656562805,2018,0.48937785625457764,income,income,national,national,LAC,5496843,4931067831,0.0011147368457280506,0.000596021327337013,9792854,6706199961,0.001460268715062253,0.000714623173332792
Hungary,gini_pip_disposable_perCapita,gini,1993,0.2794097363948822,2018,0.29612043499946594,income,income,national,national,EE & CA,10357423,4931067831,0.002100442207443648,0.0005868840034945141,9776361,6706199961,0.0014578093490880922,0.0004316871385982542
India,gini_pip_disposable_perCapita,gini,1993,0.31557539105415344,2018,0.34544843435287476,consumption,consumption,national,national,S & SE Asia,926351296,4931067831,0.1878601811510956,0.0592840501302611,1369003264,6706199961,0.20413994094441826,0.0705198229881376
Indonesia,gini_pip_disposable_perCapita,gini,1993,0.3316279947757721,2018,0.38410377502441406,consumption,consumption,national,national,S & SE Asia,191737280,4931067831,0.03888352108941005,0.0128948641287025,267066848,6706199961,0.039823871872764156,0.015296499522417295
Iran,gini_pip_disposable_perCapita,gini,1994,0.4299837052822113,2018,0.3741990625858307,consumption,consumption,national,national,MENA,59755432,4931067831,0.012118152507320477,0.005210608116272578,85617560,6706199961,0.01276692620230684,0.004777371817005699
Ireland,gini_pip_disposable_perCapita,gini,1994,0.3691420555114746,2018,0.3060292601585388,income,income,national,national,W. Eur and Offshoots,3545700,4931067831,0.0007190531790516755,0.00026543276853719587,4834506,6706199961,0.0007209009615154838,0.00022061678790016276
Israel,gini_pip_disposable_perCapita,gini,1992,0.355072557926178,2018,0.3857717514038086,income,income,national,national,MENA,5213005,4931067831,0.0010571756825626193,0.0003753740737848624,8456487,6706199961,0.0012609953549221346,0.0004864563865803791
Italy,gini_pip_disposable_perCapita,gini,1993,0.35090646147727966,2018,0.35222572088241577,income,income,national,national,W. Eur and Offshoots,56869456,4931067831,0.01153288860527946,0.0040469651310902546,59877432,6706199961,0.008928667851871111,0.003144906470644953
Jamaica,gini_pip_disposable_perCapita,gini,1993,0.3567342162132263,2018,0.35638681054115295,consumption,consumption,national,national,LAC,2459064,4931067831,0.0004986879281077162,0.00017789904716850388,2811842,6706199961,0.0004192899132671717,0.00014942939488136396
Kazakhstan,gini_pip_disposable_perCapita,gini,1996,0.3537830710411072,2018,0.27792873978614807,consumption,consumption,national,national,EE & CA,16979700,4931067831,0.0034434123767785583,0.0012182210055176764,18538100,6706199961,0.002764322583252599,0.0007682846919257842
Kenya,gini_pip_disposable_perCapita,gini,1992,0.574609637260437,2020,0.36246457695961,consumption,consumption,national,national,SS Africa,25391832,4931067831,0.005149357678750617,0.0029588705479111376,49953300,6706199961,0.007448823520101416,0.002699934666060353
