country,series_code,indicator_name,year_1980,value_1980,year_2018,value_2018,pipwelfare_1980,pipwelfare_2018,pipreportinglevel_1980,pipreportinglevel_2018,region,population_1980,population_2018
Botswana,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7046369314193726,2018,0.7003383636474609,,,,,SS Africa,938582,2451411
Brazil,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7033324241638184,2018,0.6808987855911255,,,,,LAC,122288384,210166592
Brunei,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4830913245677948,2018,0.4756689965724945,,,,,S & SE Asia,187931,434283
Bulgaria,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.3329593241214752,2018,0.5472166538238525,,,,,EE & CA,8980602,7117424
Burkina Faso,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6732966303825378,2018,0.6545754075050354,,,,,SS Africa,6932969,20392730
Burundi,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5397094488143921,2018,0.5873684883117676,,,,,SS Africa,4312846,11493476
Cambodia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6794928908348083,2018,0.5794597268104553,,,,,S & SE Asia,6198963,16025242
Cameroon,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6413589715957642,2018,0.6376999616622925,,,,,SS Africa,8519894,25076752
Canada,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5025491118431091,2018,0.5248655676841736,,,,,W. Eur and Offshoots,24511512,37035260
Cape Verde,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7003399133682251,2018,0.6065521836280823,,,,,SS Africa,317249,571209
Central African Republic,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7544277906417847,2018,0.7332043051719666,,,,,SS Africa,2415284,5094795
Chad,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5903390645980835,2018,0.5761414170265198,,,,,SS Africa,4408239,15604213
Chile,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7266784310340881,2018,0.7280125617980957,,,,,LAC,11469825,18701452
China,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.3821532726287842,2018,0.5591817498207092,,,,,East Asia,982372480,1417069440
Colombia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7058095335960388,2018,0.6604695916175842,,,,,LAC,26176206,49276968
Comoros,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7391200661659241,2018,0.6214410662651062,,,,,SS Africa,328336,776322
Congo,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.653566837310791,2018,0.6647917032241821,,,,,SS Africa,1829262,5441061
Costa Rica,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6565482020378113,2018,0.6714146137237549,,,,,LAC,2414306,5040738
Cote d'Ivoire,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6423485279083252,2018,0.60120689868927,,,,,SS Africa,8303818,25493990
Croatia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4009973108768463,2018,0.4720795154571533,,,,,EE & CA,4680144,4160488
Cuba,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6412375569343567,2018,0.5698387622833252,,,,,LAC,9809115,11328243
Cyprus,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4933866560459137,2018,0.4864974319934845,,,,,EE & CA,679336,1218834
Czechia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.2766087055206299,2018,0.38028407096862793,,,,,EE & CA,10270060,10534598
Democratic Republic of Congo,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6060428619384766,2018,0.6034703850746155,,,,,SS Africa,26708692,87087352
Denmark,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.37027254700660706,2018,0.44195425510406494,,,,,W. Eur and Offshoots,5125397,5766689
Djibouti,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5906692147254944,2018,0.6009699702262878,,,,,SS Africa,324130,1057204
Dominican Republic,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6713725328445435,2018,0.6843967437744141,,,,,LAC,5755808,10765532
East Timor,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5885335803031921,2018,0.5280606746673584,,,,,S & SE Asia,642230,1261850
Ecuador,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6838656663894653,2018,0.5853714942932129,,,,,LAC,8135850,17015672
Egypt,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5478047728538513,2018,0.57752925157547,,,,,MENA,43748552,103740768
El Salvador,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6686826348304749,2018,0.5999932885169983,,,,,LAC,4509000,6276340
Equatorial Guinea,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6302743554115295,2018,0.6261404752731323,,,,,SS Africa,282517,1502102
Eritrea,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.623005747795105,2018,0.5543134212493896,,,,,SS Africa,1657983,3445380
Estonia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.36347782611846924,2018,0.484555184841156,,,,,EE & CA,1476989,1322146
Eswatini,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.757526695728302,2018,0.7046753764152527,,,,,SS Africa,598568,1160430
Ethiopia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.546919584274292,2018,0.5543134808540344,,,,,SS Africa,34945472,111129440
Finland,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.3933383524417877,2018,0.4425220191478729,,,,,W. Eur and Offshoots,4779423,5515465
France,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4293743968009949,2018,0.42462390661239624,,,,,W. Eur and Offshoots,53713836,64277812
Gabon,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6137570738792419,2018,0.5593624711036682,,,,,SS Africa,749079,2192013
Gambia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6584716439247131,2018,0.5642502307891846,,,,,SS Africa,718597,2444916
Georgia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5690982937812805,2018,0.5922427773475647,,,,,EE & CA,5145847,3772323
Germany,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.40338483452796936,2018,0.48779571056365967,,,,,W. Eur and Offshoots,77786696,82896696
Ghana,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5526267290115356,2018,0.6078388094902039,,,,,SS Africa,11865256,30870648
Greece,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.49061357975006104,2018,0.44837915897369385,,,,,W. Eur and Offshoots,9307159,10633275
Guatemala,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6783570647239685,2018,0.6467005014419556,,,,,LAC,6987769,16850176
Guinea,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6192516088485718,2018,0.49457934498786926,,,,,SS Africa,4972611,12554871
Guinea-Bissau,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7046554684638977,2018,0.5519309043884277,,,,,SS Africa,831469,1924954
Guyana,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6783570647239685,2018,0.6467005610466003,,,,,LAC,778187,785518
Haiti,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6783570647239685,2018,0.6467005610466003,,,,,LAC,5646680,11012427
Honduras,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.678356945514679,2018,0.6467005610466003,,,,,LAC,3777994,9792854
Hong Kong,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5256960988044739,2018,0.593197762966156,,,,,East Asia,4978551,7481563
Hungary,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.24731606245040894,2018,0.4267737865447998,,,,,EE & CA,10698682,9776361
Iceland,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.41767752170562744,2018,0.37653928995132446,,,,,W. Eur and Offshoots,228276,352951
India,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.440476655960083,2018,0.6336180567741394,,,,,S & SE Asia,696828352,1369003264
Indonesia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5309253931045532,2018,0.5983763337135315,,,,,S & SE Asia,148177104,267066848
Iran,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6593771576881409,2018,0.6132754683494568,,,,,MENA,38520668,85617560
Iraq,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6374688744544983,2018,0.6123083829879761,,,,,MENA,13653368,40590700
Ireland,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4137057662010193,2018,0.4715125858783722,,,,,W. Eur and Offshoots,3391393,4834506
Israel,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5930091738700867,2018,0.5936489701271057,,,,,MENA,3744612,8456487
Italy,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4091651141643524,2018,0.51613849401474,,,,,W. Eur and Offshoots,56329480,59877432
Jamaica,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6783570647239685,2018,0.6467005014419556,,,,,LAC,2135548,2811842
Japan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.47513219714164734,2018,0.5364195704460144,,,,,East Asia,117624200,126255872
Jordan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5855623483657837,2018,0.5853564739227295,,,,,MENA,2216908,10459864
Kazakhstan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.47160324454307556,2018,0.5314434766769409,,,,,EE & CA,14172706,18538100
Kenya,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7440922260284424,2018,0.5990399718284607,,,,,SS Africa,16187124,49953300
Kosovo,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.48479795455932617,2018,0.4793517291545868,,,,,EE & CA,1589403,1709966
Kuwait,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6449078917503357,2018,0.6409410834312439,,,,,MENA,1493882,4317190
Kyrgyzstan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.542579174041748,2018,0.5089826583862305,,,,,EE & CA,3691213,6223503
Laos,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5739885568618774,2018,0.6012710928916931,,,,,S & SE Asia,3297520,7105008
Latvia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.33936187624931335,2018,0.4936446249485016,,,,,EE & CA,2572039,1935632
Lebanon,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6155077219009399,2018,0.6514708995819092,,,,,MENA,2963707,5950842
Lesotho,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7152943015098572,2018,0.6188753843307495,,,,,SS Africa,1407685,2198030
Liberia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5551015138626099,2018,0.5487788915634155,,,,,SS Africa,1932174,4889396
Libya,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5676589012145996,2018,0.5430542826652527,,,,,MENA,2962724,6477791
Lithuania,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.36733123660087585,2018,0.49883225560188293,,,,,EE & CA,3521205,2876128
Luxembourg,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4512813091278076,2018,0.480541467666626,,,,,W. Eur and Offshoots,363745,607920
Macao,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4322986900806427,2018,0.5554570555686951,,,,,East Asia,245339,650996
Madagascar,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6479734182357788,2018,0.6137856245040894,,,,,SS Africa,8948166,26846544
Malawi,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.610064685344696,2018,0.6146237850189209,,,,,SS Africa,6267373,18367886
Malaysia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5886042714118958,2018,0.5178910493850708,,,,,S & SE Asia,13215709,32399270
Maldives,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6656395792961121,2018,0.5054401159286499,,,,,S & SE Asia,164900,489773
Mali,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6832321286201477,2018,0.5613488554954529,,,,,SS Africa,7372590,19934304
Malta,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4203856289386749,2018,0.45063096284866333,,,,,W. Eur and Offshoots,333593,491590
Mauritania,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6047149896621704,2018,0.5213519334793091,,,,,SS Africa,1506704,4270717
Mauritius,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.562771737575531,2018,0.5747034549713135,,,,,SS Africa,954876,1295386
Mexico,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6935595273971558,2018,0.7518177628517151,,,,,LAC,67705184,124013864
Moldova,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.3560434877872467,2018,0.4832301139831543,,,,,EE & CA,4103239,3141839
Mongolia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5647899508476257,2018,0.5596874356269836,,,,,East Asia,1697787,3163994
Montenegro,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4046502113342285,2018,0.5088379383087158,,,,,EE & CA,589334,631459
Morocco,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5917370915412903,2018,0.5959964394569397,,,,,MENA,19678446,35927516
Mozambique,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7090848088264465,2018,0.7247564792633057,,,,,SS Africa,11413590,29423882
Myanmar,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6185122132301331,2018,0.5445093512535095,,,,,S & SE Asia,33465782,52666016
Namibia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7811256051063538,2018,0.7366169691085815,,,,,SS Africa,975998,2405682
Nepal,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.43515247106552124,2018,0.5288262367248535,,,,,S & SE Asia,15600443,28506718
Netherlands,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.36845046281814575,2018,0.4144332706928253,,,,,W. Eur and Offshoots,14130383,17286042
New Zealand,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.47439101338386536,2018,0.45947596430778503,,,,,W. Eur and Offshoots,3147166,4838528
Nicaragua,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6783570051193237,2018,0.6467005610466003,,,,,LAC,3303310,6572234
Niger,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5708467364311218,2018,0.5874175429344177,,,,,SS Africa,6173179,22577060
Nigeria,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5699765086174011,2018,0.5451492071151733,,,,,SS Africa,72951440,198387616
North Korea,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.49788621068000793,2018,0.5514176487922668,,,,,East Asia,17973654,25638152
North Macedonia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.38399073481559753,2018,0.438228964805603,,,,,EE & CA,1907035,2113497
Norway,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.37714239954948425,2018,0.412593275308609,,,,,W. Eur and Offshoots,4085778,5312321
Oman,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.671078085899353,2018,0.6710781455039978,,,,,MENA,1017473,4601160
Pakistan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5453534722328186,2018,0.5297809839248657,,,,,S & SE Asia,80624056,219731488
Palestine,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6208849549293518,2018,0.6141013503074646,,,,,MENA,1453631,4805549
Panama,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6783570647239685,2018,0.6467005014419556,,,,,LAC,1956989,4165258
Papua New Guinea,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6290407776832581,2018,0.590217649936676,,,,,Other Oceania,3104793,9329233
Paraguay,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6783570051193237,2018,0.6467004418373108,,,,,LAC,3078914,6443337
Peru,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6830841898918152,2018,0.6949144601821899,,,,,LAC,17492406,32203946
Philippines,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6039862632751465,2018,0.5717208385467529,,,,,S & SE Asia,48419544,108568832
Poland,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.32326892018318176,2018,0.4818611145019531,,,,,EE & CA,35521432,38521464
Portugal,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4091736376285553,2018,0.48081833124160767,,,,,W. Eur and Offshoots,9785251,10289833
Qatar,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6582843661308289,2018,0.66236412525177,,,,,MENA,277459,2766743
Romania,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.3455871045589447,2018,0.5415336489677429,,,,,EE & CA,22125226,19606778
Russia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.31198176741600037,2018,0.546453058719635,,,,,EE & CA,138257424,145652288
Rwanda,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5076093077659607,2018,0.6360809206962585,,,,,SS Africa,5247537,12531810
Sao Tome and Principe,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5170484185218811,2018,0.5090415477752686,,,,,SS Africa,97225,211358
Saudi Arabia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6643569469451904,2018,0.6504836082458496,,,,,MENA,10171712,35018132
Senegal,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.7079160809516907,2018,0.5841781497001648,,,,,SS Africa,5703873,15574910
Serbia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.41809242963790894,2018,0.4955846667289734,,,,,EE & CA,7777013,7433825
Seychelles,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6274746060371399,2018,0.6253550052642822,,,,,SS Africa,65310,103120
Sierra Leone,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.742023766040802,2018,0.5710726976394653,,,,,SS Africa,3367486,7861287
Singapore,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4538537561893463,2018,0.545417845249176,,,,,S & SE Asia,2400734,5814543
Slovakia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.34144502878189087,2018,0.3854459226131439,,,,,EE & CA,4973886,5446746
Slovenia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.32986459136009216,2018,0.4076690375804901,,,,,EE & CA,1901574,2105931
Somalia,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5577266216278076,2018,0.5577266216278076,,,,,SS Africa,5892226,15411101
South Africa,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5893378853797913,2018,0.7464855909347534,,,,,SS Africa,29463546,57339632
South Korea,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.4429727792739868,2018,0.4614637792110443,,,,,East Asia,38170500,51676900
South Sudan,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.6217499375343323,2018,0.6160767078399658,,,,,SS Africa,4192017,10395332
Spain,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.46172091364860535,2018,0.4520643651485443,,,,,W. Eur and Offshoots,37491664,46792044
Sri Lanka,gini_widExtrapolated_pretaxNational_perAdult,gini,1980,0.5339537858963013,2018,0.5912574529647827,,,,,S & SE Asia,14943644,21580712
