country,year,gini_pip_disposable_perCapita,gini_widExtrapolated_pretaxNational_perAdult,gini_wid_pretaxNational_perAdult,headcountRatio50Median_pip_disposable_perCapita,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,headcountRatio50Median_wid_pretaxNational_perAdult,p90p100Share_pip_disposable_perCapita,p90p100Share_widExtrapolated_pretaxNational_perAdult,p90p100Share_wid_pretaxNational_perAdult,p99p100Share_pip_disposable_perCapita,p99p100Share_widExtrapolated_pretaxNational_perAdult,p99p100Share_wid_pretaxNational_perAdult
Ethiopia,2015,34.993125915527344,,55.43134307861328,12.365949630737305,,20.0,28.464752197265625,,45.470001220703125,6.4449523183183794,,13.819999694824219
Ethiopia,2018,,55.43133544921875,,,20.0,,,45.470001220703125,,,13.819999694824219,
Finland,1980,,39.799659729003906,39.799659729003906,,18.0,18.0,,28.630001068115234,28.630001068115234,,6.740000247955322,6.740000247955322
Finland,2017,,,43.583030700683594,,,17.0,,,33.099998474121094,,,9.880000114440918
Finland,2018,,43.37935256958008,,,17.0,,,32.86000061035156,,,9.730000495910645,
France,1979,34.04261779785156,,,11.246700286865234,,,26.597400665283203,,,6.1400907833041005,,
France,1980,,42.92876052856445,42.92876052856445,,19.0,19.0,,31.270000457763672,31.270000457763672,,8.319999694824219,8.319999694824219
France,2018,32.38068771362305,45.759124755859375,45.759124755859375,10.034907341003418,20.0,20.0,26.69635772705078,34.2599983215332,34.2599983215332,7.194184023314031,11.710000038146973,11.710000038146973
Gabon,1980,,61.37570571899414,,,22.0,,,50.779998779296875,,,17.139999389648438,
Gabon,2018,,55.936248779296875,,,24.0,,,43.31999969482422,,,11.020000457763672,
Gambia,1980,,65.84716033935547,,,25.0,,,55.25,,,18.559999465942383,
Gambia,2018,,56.425018310546875,,,19.0,,,45.869998931884766,,,13.609999656677246,
Georgia,1980,,56.909828186035156,,,23.0,,,45.03000259399414,,,18.529998779296875,
Georgia,2018,,59.224273681640625,,,20.0,,,48.400001525878906,,,22.040000915527344,
Germany,1980,,41.91271209716797,,,20.0,,,30.190000534057617,,,8.770000457763672,
Germany,1981,,,41.475467681884766,,,19.0,,,29.750001907348633,,,8.5600004196167
Germany,2017,,,49.1874885559082,,,20.0,,,38.060001373291016,,,13.00999927520752
Germany,2018,,48.6959114074707,,,20.0,,,37.619998931884766,,,12.850000381469727,
Ghana,1980,,55.26266860961914,,,23.0,,,43.81999969482422,,,13.169999122619629,
Ghana,2018,,60.78388214111328,,,26.0,,,48.90999984741211,,,15.229999542236328,
Greece,1980,,47.756195068359375,47.756195068359375,,18.0,18.0,,37.45000076293945,37.45000076293945,,10.980000495910645,10.980000495910645
Greece,2017,,,46.547515869140625,,,21.0,,,34.290000915527344,,,11.90999984741211
Greece,2018,,45.143463134765625,,,21.0,,,33.28999710083008,,,12.0,
Guatemala,1980,,67.57266998291016,,,30.000001907348633,,,54.959999084472656,,,18.93000030517578,
Guatemala,2018,,65.0727767944336,,,29.0,,,53.22999954223633,,,19.619998931884766,
Guinea,1980,,61.92515563964844,,,30.000001907348633,,,48.130001068115234,,,14.730000495910645,
Guinea,2018,,49.45793151855469,,,19.0,,,37.88999938964844,,,8.630000114440918,
Guinea-Bissau,1980,,70.46553802490234,,,31.0,,,59.5099983215332,,,23.600000381469727,
Guinea-Bissau,2018,,55.193092346191406,,,20.0,,,44.09000015258789,,,11.960000038146973,
Guyana,1980,,67.57266998291016,,,30.000001907348633,,,54.959999084472656,,,18.93000030517578,
Guyana,2018,,65.0727767944336,,,29.0,,,53.22999954223633,,,19.619998931884766,
Haiti,1980,,67.57267761230469,,,30.000001907348633,,,54.959999084472656,,,18.93000030517578,
Haiti,2018,,65.07276916503906,,,29.0,,,53.22999954223633,,,19.619998931884766,
Honduras,1980,,67.57266998291016,,,30.000001907348633,,,54.959999084472656,,,18.93000030517578,
Honduras,2018,,65.07276916503906,,,29.0,,,53.22999954223633,,,19.619998931884766,
Hong Kong,1980,,52.56962203979492,,,15.000000953674316,,,41.970001220703125,,,13.330000877380371,
Hong Kong,1981,,,52.56961441040039,,,15.000000953674316,,,41.970001220703125,,,13.330000877380371
Hong Kong,2016,,,59.31978225708008,,,22.0,,,48.18000030517578,,,17.850000381469727
Hong Kong,2018,,59.31978225708008,,,22.0,,,48.18000030517578,,,17.850000381469727,
Hungary,1980,,26.294517517089844,26.294517517089844,,14.0,14.0,,18.489999771118164,18.489999771118164,,2.9600000381469727,2.9600000381469727
Hungary,2018,,42.6773796081543,42.6773796081543,,19.0,19.0,,32.480003356933594,32.480003356933594,,10.970000267028809,10.970000267028809
Iceland,1980,,41.44527816772461,41.44527816772461,,19.0,19.0,,29.510000228881836,29.510000228881836,,7.689999580383301,7.689999580383301
Iceland,2016,,,39.307151794433594,,,17.0,,,29.010000228881836,,,8.640000343322754
Iceland,2018,,37.419700622558594,,,16.0,,,27.790000915527344,,,8.030000686645508,
India,1977,33.21363067626953,,,7.143517017364502,,,27.417200088500977,,,7.13034500349494,,
India,1980,,44.04766845703125,44.04766845703125,,11.0,11.0,,31.5,31.5,,7.339999675750732,7.339999675750732
India,2018,34.54484176635742,63.361812591552734,,6.75021505355835,10.0,,28.37216567993164,57.849998474121094,,5.690303007271711,22.360000610351562,
India,2022,,,63.36181640625,,,9.0,,,57.68000030517578,,,22.600000381469727
Indonesia,1980,,53.092529296875,,,20.0,,,41.2400016784668,,,14.789999961853027,
Indonesia,1984,33.45597839355469,,,8.429513931274414,,,26.970247268676758,,,5.90203935890087,,
Indonesia,1985,,,54.141849517822266,,,20.0,,,42.25,,,15.469999313354492
Indonesia,2017,,,54.46759033203125,,,21.0,,,41.72999954223633,,,15.530000686645508
Indonesia,2018,38.410377502441406,59.83763885498047,,12.357150077819824,25.0,,29.91118049621582,46.86000061035156,,6.80859197098766,17.850000381469727,
Iran,1980,,65.9377212524414,,,18.0,,,57.19000244140625,,,22.899999618530273,
Iran,2018,,61.327552795410156,,,18.0,,,52.38999557495117,,,18.06999969482422,
Iraq,1980,,63.74687957763672,,,21.0,,,53.4900016784668,,,23.270000457763672,
Iraq,2018,,61.23084259033203,,,21.0,,,50.66999816894531,,,20.1299991607666,
Ireland,1980,,42.00772476196289,42.00772476196289,,18.0,18.0,,31.830001831054688,31.830001831054688,,10.210000038146973,10.210000038146973
Ireland,2018,,47.52153015136719,47.52153015136719,,18.0,18.0,,36.64999771118164,36.64999771118164,,13.480000495910645,13.480000495910645
Israel,1979,36.32997512817383,,59.34280776977539,15.195395469665527,,21.0,26.907211303710938,,47.93000030517578,6.37893063483796,,17.350000381469727
Israel,1980,,59.30092239379883,,,21.0,,,47.880001068115234,,,17.209999084472656,
Israel,2016,,,59.364898681640625,,,24.0,,,47.79999923706055,,,16.040000915527344
Israel,2018,38.57717514038086,59.364898681640625,,20.49445152282715,24.0,,27.624862670898438,47.79999923706055,,5.55583309412679,16.040000915527344,
Italy,1980,32.89926528930664,42.889312744140625,,10.489429473876953,24.0,,25.367021560668945,28.389999389648438,,6.379454909062609,6.190000057220459,
Italy,1981,,,41.9456901550293,,,24.0,,,27.329999923706055,,,5.579999923706055
Italy,2018,35.222572326660156,51.75324630737305,,15.232851028442383,26.0,,25.92391014099121,37.59000015258789,,5.1366109754956,12.770000457763672,
Italy,2022,,,53.101802825927734,,,26.0,,,39.04999923706055,,,13.550000190734863
Jamaica,1980,,67.57267761230469,,,30.000001907348633,,,54.959999084472656,,,18.93000030517578,
Jamaica,2018,,65.0727767944336,,,29.0,,,53.22999954223633,,,19.619998931884766,
Japan,1980,,47.51322555541992,,,19.0,,,35.91999816894531,,,10.670000076293945,
Japan,1981,,,46.9959716796875,,,19.0,,,35.51000213623047,,,10.34000015258789
Japan,2018,,53.64195251464844,53.64195251464844,,18.0,18.0,,44.2400016784668,44.2400016784668,,12.860000610351562,12.860000610351562
Jordan,1980,,58.55622100830078,,,18.0,,,47.70000076293945,,,16.799999237060547,
Jordan,2018,,58.535648345947266,,,21.0,,,48.36000061035156,,,17.049999237060547,
Kazakhstan,1980,,47.16032409667969,,,18.0,,,35.290000915527344,,,10.639999389648438,
Kazakhstan,2018,,53.14434051513672,,,18.0,,,41.20000076293945,,,14.880000114440918,
Kenya,1980,,74.40921020507812,,,27.000001907348633,,,66.33999633789062,,,32.58000183105469,
Kenya,2018,,59.903995513916016,,,22.0,,,48.71999740600586,,,15.1899995803833,
Kosovo,1980,,48.47979736328125,,,26.0,,,33.869998931884766,,,8.690000534057617,
Kosovo,2018,,45.169979095458984,,,24.0,,,31.989999771118164,,,8.630000114440918,
Kuwait,1980,,64.49079895019531,,,21.0,,,52.85000228881836,,,19.979999542236328,
Kuwait,2018,,64.09410095214844,,,18.0,,,52.89999771118164,,,18.96000099182129,
Kyrgyzstan,1980,,54.2579231262207,,,21.0,,,43.349998474121094,,,15.579999923706055,
Kyrgyzstan,2018,,50.898258209228516,,,18.0,,,39.81999969482422,,,14.15999984741211,
Laos,1980,,57.39884948730469,,,20.0,,,45.68000030517578,,,17.059999465942383,
Laos,2018,,60.12710952758789,,,22.0,,,48.29999923706055,,,19.709999084472656,
Latvia,1980,,33.93619155883789,,,18.0,,,22.3700008392334,,,3.700000047683716,
Latvia,2018,,48.17802047729492,,,20.0,,,34.599998474121094,,,9.789999961853027,
Lebanon,1980,,61.550785064697266,,,23.0,,,49.47999954223633,,,19.40999984741211,
Lebanon,2018,,65.14708709716797,,,25.0,,,54.17000198364258,,,20.530000686645508,
Lesotho,1980,,71.52943420410156,,,29.0,,,61.040000915527344,,,24.899999618530273,
Lesotho,2018,,61.88753890991211,,,27.000001907348633,,,49.5099983215332,,,14.460000038146973,
Liberia,1980,,55.51015853881836,,,21.0,,,44.69000244140625,,,12.700000762939453,
Liberia,2018,,54.87788391113281,,,21.0,,,43.23999786376953,,,12.199999809265137,
Libya,1980,,56.765892028808594,,,19.0,,,46.57999801635742,,,14.589999198913574,
Libya,2018,,54.30543518066406,,,19.0,,,44.11000061035156,,,13.4399995803833,
Lithuania,1980,,36.73312759399414,,,17.0,,,24.920000076293945,,,4.489999771118164,
Lithuania,2018,,48.81193161010742,,,19.0,,,36.22999954223633,,,10.460000038146973,
Luxembourg,1980,,44.182701110839844,,,17.0,,,35.42000198364258,,,12.920000076293945,
Luxembourg,1985,26.294357299804688,,44.182701110839844,6.742944717407227,,17.0,21.539119720458984,,35.42000198364258,3.7376386523853498,,12.920000076293945
Luxembourg,2017,,,48.59314727783203,,,20.0,,,36.81999969482422,,,13.460000038146973
Luxembourg,2018,35.36809539794922,47.77910614013672,,14.313420295715332,19.0,,26.627275466918945,35.75,,6.27200855240346,12.279999732971191,
Macao,1980,,43.2298698425293,,,17.0,,,30.849998474121094,,,8.210000038146973,
Macao,2018,,55.54570388793945,,,25.0,,,41.65999984741211,,,14.0,
Madagascar,1980,,64.79734802246094,64.79734802246094,,20.0,20.0,,54.97999954223633,54.97999954223633,,17.239999771118164,17.239999771118164
Madagascar,2018,,61.37855529785156,,,22.0,,,50.76000213623047,,,15.170000076293945,
Madagascar,2022,,,61.37856674194336,,,22.0,,,50.76000213623047,,,15.170000076293945
Malawi,1980,,61.0064697265625,,,20.0,,,51.349998474121094,,,19.14000129699707,
Malawi,2018,,61.462379455566406,,,20.0,,,51.790000915527344,,,20.5,
Malaysia,1980,,58.86042785644531,,,22.0,,,47.47999954223633,,,20.1299991607666,
Malaysia,1984,48.624813079833984,,58.86042785644531,19.92789077758789,,22.0,38.45030212402344,,47.47999954223633,12.1248607187452,,20.1299991607666
Malaysia,2015,,,51.78910446166992,,,19.0,,,40.27000045776367,,,14.869999885559082
Malaysia,2018,41.17677688598633,51.789100646972656,,17.02021598815918,19.0,,31.192773818969727,40.27000045776367,,7.283327081873529,14.869999885559082,
Maldives,1980,,66.56395721435547,,,20.0,,,57.720001220703125,,,35.61000061035156,
Maldives,2018,,50.544010162353516,,,18.0,,,39.5099983215332,,,13.079998970031738,
Mali,1980,,68.3232192993164,,,24.0,,,58.54999923706055,,,21.6299991607666,
Mali,2018,,56.134891510009766,,,20.0,,,44.61000061035156,,,11.829999923706055,
Malta,1980,,41.104103088378906,41.104103088378906,,18.0,18.0,,28.490001678466797,28.490001678466797,,6.989999771118164,6.989999771118164
Malta,2017,,,46.09514236450195,,,19.0,,,33.47999954223633,,,9.770000457763672
Malta,2018,,45.618526458740234,,,20.0,,,32.869998931884766,,,9.119999885559082,
Mauritania,1980,,60.471492767333984,,,27.000001907348633,,,48.33000183105469,,,14.059999465942383,
Mauritania,2018,,52.13520431518555,,,20.0,,,40.47999954223633,,,10.75,
Mauritius,1980,,56.27716827392578,,,19.0,,,45.779998779296875,,,13.739999771118164,
Mauritius,2018,,57.47034454345703,,,20.0,,,47.400001525878906,,,15.889999389648438,
Mexico,1980,,69.78123474121094,,,32.0,,,54.84000015258789,,,11.710000038146973,
Mexico,1984,48.52701187133789,,,18.36092758178711,,,37.87241744995117,,,9.97697718710502,,
Mexico,2018,45.95524215698242,75.6332015991211,,16.032737731933594,28.0,,36.630882263183594,66.05999755859375,,10.8577517804299,29.6200008392334,
Moldova,1980,,35.60435104370117,,,18.0,,,24.779998779296875,,,4.980000019073486,
Moldova,2018,,46.48162841796875,,,27.000001907348633,,,32.90999984741211,,,9.269999504089355,
Mongolia,1980,,56.47898483276367,,,24.0,,,42.5099983215332,,,14.839999198913574,
Mongolia,2018,,55.96875,,,22.0,,,43.30999755859375,,,16.40999984741211,
Montenegro,1980,,40.465030670166016,40.465030670166016,,16.0,16.0,,28.770000457763672,28.770000457763672,,7.259999752044678,7.259999752044678
Montenegro,2017,,,46.03269577026367,,,25.0,,,32.19000244140625,,,8.449999809265137
Montenegro,2018,,46.553184509277344,,,27.000001907348633,,,32.470001220703125,,,8.34000015258789,
Morocco,1980,,59.173709869384766,,,20.0,,,50.31999969482422,,,15.520000457763672,
Morocco,1984,39.1866340637207,,59.173709869384766,14.076640129089355,,20.0,31.84375762939453,,50.31999969482422,10.7817427389404,,15.520000457763672
Morocco,2013,39.54850769042969,,,11.682022094726562,,,31.885164260864258,,,7.32185715783515,,
Morocco,2018,,59.59964370727539,,,20.0,,,49.43000030517578,,,15.140000343322754,
