,id,continent,country,color,type,sex,label,short_label,ages,total,ICD,cancers,ui_upper,ui_lower,asr,crude_rate,cum_risk
57,626,4,626,,1,0,Timor-Leste,,[],78,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 78}}",108.2,56.2,9.2093698367174,5.9160736687697,2.4750565770481
58,214,2,214,,1,0,Dominican Republic,,[],1476,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 1476}}",1583.2,1376.1,12.347042285899,13.606315100134,3.9999411018332003
59,662,2,662,,1,0,Saint Lucia,,[],21,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 21}}",34.9,12.6,8.3702741665988,11.436102140729,2.0425748811597
60,368,4,368,,1,0,Iraq,,[],2326,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 2326}}",2459.8,2199.5,11.068524392878,5.7828325601716,3.5482696185997
61,818,1,818,,1,0,Egypt,,[],5817,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 5817}}",6531.4,5180.7,7.1712509222132,5.6843054041171,1.8379992626394999
62,64,4,64,,1,0,Bhutan,,[],43,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 43}}",47.1,39.3,6.8765487024906005,5.5727489982012,0.95478577671735
63,496,4,496,,1,0,Mongolia,,[],420,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 420}}",477.3,369.6,17.312287385902,12.811549428788,5.3016223378003
64,242,6,242,,1,0,Fiji,,[],51,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 51}}",76.8,33.9,6.1793711543316,5.689145111128,1.6808446273283
65,703,5,703,,1,0,Slovakia,,[],2459,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 2459}}",2680.0,2256.2,22.031309080866,45.039574931914,5.8096363608515
66,398,4,398,,1,0,Kazakhstan,,[],3556,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 3556}}",3698.0,3419.4,16.657546129216,18.938358041162,3.4622030626556
67,862,2,862,,1,0,"Venezuela, Bolivarian Republic of",,[],4694,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 4694}}",4951.4,4450.0,14.310986924507,16.507277427023,4.1917178441143
68,96,4,96,,1,0,Brunei Darussalam,,[],94,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 94}}",124.7,70.9,24.906091113929,21.486549191626,9.8972882171224
69,524,4,524,,1,0,Nepal,,[],2285,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 2285}}",2603.2,2005.7,9.4771610633731,7.8423140928821,2.5554974637932
70,268,4,268,,1,0,Georgia,,[],1347,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 1347}}",1465.2,1238.4,18.824149750305,33.766380266596,4.0783073395021
71,728,1,728,,1,0,South Sudan,,[],110,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 110}}",407.0,29.7,1.8985058312455,0.98269307752582,0.44044178925094
72,418,4,418,,1,0,Lao People's Democratic Republic,,[],892,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 892}}",1237.1,643.2,17.554642579563,12.260231383004,4.1501211676755
73,124,3,124,,1,0,Canada,,[],21362,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 21362}}",21814.9,20918.5,22.536686238225,56.599838742656,7.6347182576265
74,566,1,566,,1,0,Nigeria,,[],1643,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 1643}}",2699.2,1000.1,1.8173913266428001,0.79703272913272,0.55127869696336
75,894,1,894,,1,0,Zambia,,[],201,C33-34,"{'15': {'id': 15, 'label': 'Lung', 'total': 201}}",355.4,113.7,3.0644417150171,1.0933446533488,0.98357244757862
