country,year,p0p100_gini,p0p10_share,p0p40_share,p0p50_share,p10p20_share,p20p30_share,p30p40_share,p40p50_share,p50p60_share,p50p90_share,p60p70_share,p70p80_share,p80p90_share,p90p100_share,p99_999p100_share,p99_99p100_share,p99_9p100_share,p99p100_share,p0p10_threshold,p10p20_threshold,p20p30_threshold,p30p40_threshold,p40p50_threshold,p50p60_threshold,p60p70_threshold,p70p80_threshold,p80p90_threshold,p90p100_threshold,p99_999p100_threshold,p99_99p100_threshold,p99_9p100_threshold,p99p100_threshold,p0p100_average,p0p10_average,p10p20_average,p20p30_average,p30p40_average,p40p50_average,p50p60_average,p60p70_average,p70p80_average,p80p90_average,p90p100_average,p99_999p100_average,p99_99p100_average,p99_9p100_average,p99p100_average,age,pop
AL,2005,.452740045951448,.003,.121,.1983,.0241,.0435,.0566,.0711,.0855,.4826,.1023,.1275,.1673,.3191,.0011,.0047,.0191,.078,0,1401.825216759519,4135.383418566811,5963.645520633478,7329.723165239433,9090.264394773743,10911.9828076412,13107.20849514546,16941.70599695396,22715.29569586416,810019.8879127143,331475.455026803,135646.0169055897,55508.91402063244,11641.37599801783,350.4514498210375,2803.650433519037,5066.075148905125,6587.412499373854,8277.218293324835,9948.264378885342,11911.1939541864,14840.71817178228,19476.36128982317,37152.41921492601,1324842.907505461,542150.7545235867,221858.3429790172,90788.62695955753,992,j
AL,2008,.451851652597465,.0031,.1217,.1987,.0246,.0438,.0565,.0707,.0853,.4822,.1031,.1277,.1662,.319,.0012,.0049,.0197,.0794,0,1664.796085676245,4911.152821676881,6885.810552100562,8558.912462865719,10417.14058379495,12734.85413310866,15299.3103962998,19563.31031733927,26045.83446914087,997179.9815342719,400880.3081104995,161159.4994428411,64788.37258665998,13516.38567203435,416.1941670502192,3329.594598536911,5915.584841911812,7639.677042994869,9560.77166761431,11524.38813610653,13929.35168380455,17255.15744746017,22470.5529819497,43122.57687136123,1650973.039815715,663714.3032433529,266822.4270978308,107266.3523825792,992,j
AL,2012,.44733495907993,.0033,.1257,.203,.0262,.0452,.0574,.071,.0848,.4782,.1025,.1263,.1646,.3188,.0012,.0049,.0198,.0795,0,1882.560644750488,5553.555722402256,7407.718309426191,9259.33477999242,11064.81290189848,13434.94878033852,16198.79338935196,20513.16952305079,27647.02133269406,1067833.960808429,428341.2542039208,171820.9191483261,68922.68076252825,14390.11866556335,470.6383407993063,3765.116435132134,6502.463471820722,8266.016837221583,10213.0701992244,12206.31288076024,14749.09438707119,18170.21568294235,23684.17431869922,45874.08410196236,1771833.064276664,710737.069362879,285098.6160797816,114361.8740958449,992,j
AL,2015,.47274249125674,.0029,.1152,.1898,.0228,.0406,.055,.0685,.0809,.4692,.0984,.1242,.1656,.3411,.0017,.0063,.0238,.09,0,1699.189288922849,5012.606703293309,7178.077536979637,9137.22313176824,11016.33960182523,13134.18179561684,16245.19630111403,20965.49233020868,29267.27858424361,1419848.420309261,537993.5337267835,203850.6758367541,77240.88449198732,14887.56040392457,424.7912542696595,3398.378577845698,6050.757169505785,8183.261984385102,10193.80563647434,12048.08472835049,14653.25458302071,18487.03849260942,24658.83934919411,50777.39226359033,2463372.214092136,933394.2666960351,353671.6196643192,134009.4125669642,992,j
AL,2016,.472937298226629,.0028,.1142,.1887,.0227,.0401,.0546,.0684,.0813,.4717,.099,.1248,.1666,.3396,.0016,.006,.023,.0884,0,1744.640744391861,5146.691652266642,7331.002291429339,9401.424583186452,11440.44881727257,13659.62596064397,16873.63803704939,21787.45833440503,30442.69361102103,1396239.877057122,536526.0094821143,206168.1272501503,79223.18542615297,15396.96816148167,436.1504773602809,3489.286343152563,6180.34697293129,8409.240135540256,10538.6041737787,12524.32743797805,15235.59680524663,19214.24478982266,25651.73496187568,52290.13738120846,2398262.606074532,921568.2402159997,354126.3769374514,136078.3518490401,992,j
AM,1996,.593985730976605,.0021,.0826,.1341,.0169,.03,.0376,.0475,.06,.3856,.0773,.1029,.1455,.4802,.0087,.025,.0728,.1945,0,411.4285485304983,1213.714474623389,1644.748628172859,1980.491167962733,2557.289234506681,3209.389904454212,4230.573991008929,5706.874958989193,8781.423514532227,2834344.804137396,507790.4915035626,147254.8211928823,34356.87210889465,4858.861214420777,102.8552136944789,822.856455914948,1458.114860312809,1826.982851847678,2306.4741826014,2913.697834879848,3754.229405061548,5000.28520981254,7069.898243109558,23333.21852811901,4203798.816464431,1214655.317980891,353913.1766031782,94517.87550246065,992,j
AM,1999,.557860189537998,.0027,.0985,.1562,.0217,.0357,.0431,.053,.0649,.391,.0811,.1041,.1409,.4528,.0073,.0217,.0649,.1782,0,614.5551573437519,1812.937265361834,2179.694604104837,2630.110602702331,3250.685480296029,3986.592914835268,5076.109706099654,6589.545853212618,9682.331808106992,2811542.162816034,524610.1117747974,156805.5635448364,38303.29914722567,5672.127407741337,153.6391099089623,1229.108391249358,2023.456288115006,2447.002496963322,3004.495014839025,3680.679053808683,4600.692858484542,5906.661838035489,7989.418365328023,25686.11937838887,4158270.452113153,1230911.2394405,368158.1030892721,101052.5059143219,992,j
AM,2002,.539431870390274,.0029,.107,.1679,.0235,.0388,.0467,.0559,.0668,.3936,.0818,.1033,.1415,.4386,.0059,.018,.0562,.1637,0,860.902703582654,2539.662206193571,3052.682910702881,3625.898253127466,4348.914805214321,5246.010203238288,6494.245904554391,8373.95788972789,12589.9624779293,2933930.685901048,578110.9284846664,184429.0332970184,48249.34009542056,7319.934302565836,215.2237524575178,1721.804766019259,2843.54619883041,3416.380700502148,4091.906923625981,4891.914857808332,5990.152517625255,7565.03289630214,10361.19647870569,32102.18072805139,4330365.483181187,1314520.038649085,411712.9256546076,119807.881387981,992,j
AM,2003,.530739661197991,.0031,.1121,.1748,.025,.0408,.0484,.0575,.0684,.3908,.0824,.1029,.1371,.4344,.0066,.0201,.0621,.1736,0,1044.305736504001,3080.701634171081,3607.491591219305,4273.591685137182,5102.040858033735,6056.790673328575,7427.795584607486,9443.844071277408,13534.46806166022,3742984.370161664,734841.490764742,225652.5315000564,54812.88362948771,8364.15412549933,261.0765944125124,2088.608908423807,3414.651529609176,4046.015612908073,4810.795136306148,5719.642741400253,6889.891360807443,8607.649212968181,11465.79302503225,36337.41713312546,5520185.508877118,1684129.161676497,519499.5391862955,145221.3854665214,992,j
AM,2004,.558963475805477,.0028,.1027,.161,.0227,.0372,.0448,.0535,.0638,.3746,.0784,.0982,.1342,.4644,.0071,.0222,.069,.191,0,1062.005214320598,3132.915927219905,3723.001745620296,4469.41884618756,5322.979145222085,6430.892340057853,7949.743606696971,10225.21388982807,15333.52900309303,4579356.005259401,921684.8877368296,281803.0509535795,66733.84675106754,9360.979150231038,265.4985787094431,2124.011710933293,3482.889985849707,4190.570324454963,5009.786353106178,5973.798164218541,7337.681225190027,9197.081062399038,12558.07700264222,43470.39773595302,6677524.314712549,2076073.407455827,646130.2403646519,178763.4276268831,992,j
AM,2005,.5525764667808421,.0029,.1053,.1643,.0235,.0383,.0454,.0542,.0648,.377,.0788,.0992,.1342,.4586,.007,.0216,.067,.1865,0,1256.259002967805,3705.964571671864,4337.210042951776,5115.201021826515,6175.39756314412,7402.794735589868,9131.198176740923,11719.24575178131,17326.43339970197,5110081.727087168,1016969.243723155,311942.9933005247,75180.48431571433,10678.31244349274,314.0634684498541,2512.518647081658,4087.824746734789,4849.477400854027,5784.40490376548,6923.788111248858,8414.620654419776,10588.73087644164,14334.02206444019,48973.67292034512,7487700.527092177,2307294.998289442,715518.2259488836,199188.4397360281,992,j
AM,2006,.48855265303348,.0034,.1237,.1928,.0275,.045,.0534,.0634,.0755,.4213,.0905,.1113,.144,.386,.0048,.0145,.0454,.1347,0,1686.219236885934,4974.345722979826,5853.000478355059,6900.793408217189,8213.591234331369,9795.577434664463,11845.73745570207,14818.09374256484,20577.78759532665,3964194.32375371,773051.1280914635,250563.5944250347,68248.00290519303,12247.08782949522,421.5509623451921,3372.435268041624,5509.008953504389,6544.94260490627,7761.853833727789,9244.077708904668,11086.4172909075,13628.40172808896,17632.46971962383,47269.71894260991,5901762.791710182,1773723.826059081,556290.7620571771,164938.0498040247,992,j
AM,2007,.500553138799106,.0032,.1176,.1851,.0257,.0424,.0519,.0619,.0732,.4218,.0889,.1113,.1483,.3931,.0047,.0138,.0431,.1318,0,1797.635673766858,5303.025397898744,6371.095212692688,7725.348901160825,9158.611658339281,10943.75908937225,13408.2712849218,17217.17249583631,24392.59376134841,4413220.189488711,832950.9926994502,275975.3154764141,79868.56986864019,14005.27635147827,449.4036289868139,3595.27006524162,5943.062263796536,7265.979297995165,8669.652523886447,10257.46994753121,12456.0873361133,15594.14012547429,20763.79175776701,55057.902721114,6611824.748097223,1938157.397788547,604050.2569543058,184543.0143180936,992,j
AM,2008,.484898621965186,.0034,.1234,.1928,.0275,.0447,.0535,.0636,.076,.4291,.0923,.1131,.1477,.3781,.0049,.0146,.0447,.1292,0,2086.857938565185,6156.231143168413,7179.26557721928,8539.378058279175,10187.76326683948,12264.79692450255,14979.09833827968,18574.60883328951,25985.38199030767,4979836.549031394,944710.3401329877,297437.884618756,79044.8638942109,15163.89842844084,521.71400378176,4173.710747961982,6779.035285572961,8116.029963559863,9648.669075973303,11522.04717933306,13996.58561679001,17153.95677774021,22390.3831298446,57336.84993926645,7448569.588539515,2208778.988602126,677503.6246089886,195874.3449115294,992,j
AM,2009,.478739090429656,.0035,.1267,.1968,.0283,.0462,.0545,.0643,.0762,.4303,.0921,.1137,.1482,.3729,.0049,.0141,.0429,.1254,0,1795.871880987265,5297.821215422568,6181.14415517738,7267.913635623678,8579.611255118525,10279.32725747273,12496.22179646117,15678.08858334273,21935.86315539026,4106120.054397235,755320.6188061159,238968.0834491654,65749.96325932605,12700.97755738382,448.9612382133063,3591.74824999687,5862.60292272437,6927.300309302878,8170.862697071014,9684.384757754486,11695.24957862179,14445.07433036553,18825.90474473121,47357.68674505679,6186879.003979613,1796564.355265036,544700.3033121704,159312.6125749778,992,j
AM,2010,.502028615170282,.0033,.1198,.1873,.0267,.0434,.052,.0618,.0729,.4125,.0878,.1085,.1432,.4003,.0068,.0199,.0576,.1511,0,1727.763577394593,5096.902072454513,5967.804089810536,7159.943358753772,8388.336872158985,10003.15167361659,12198.02348698298,15338.34721564797,21826.96770477228,5892309.450342488,1064466.368834291,303243.4364426412,69869.46767346632,12965.67855040886,431.9413752081846,3455.524590204992,5631.338337277884,6744.222337428153,8017.81280038068,9451.739784865447,11383.59104900009,14073.28720087156,18568.55705573713,51898.77033196839,8808184.116468187,2573689.46191317,747269.3240767873,195914.2363775248,992,j
AM,2011,.485653905835935,.0035,.1247,.1943,.0277,.0452,.0541,.0639,.0754,.4246,.0907,.1122,.1463,.3811,.0052,.0155,.0476,.1357,0,1854.101406263696,5469.598988191392,6415.806173535195,7605.622570344491,9013.231791827893,10589.14954481135,13008.47120227406,16266.41381469377,22660.61657212267,4633353.017719173,893604.1269769713,278227.0460448051,71109.00174061135,13371.74262995104,463.5216649761449,3708.206018257636,6043.827341372704,7232.316565861477,8539.880075635199,10081.57601713062,12126.43696607686,15000.1490864921,19561.80576780996,50959.70743704372,6891600.888908925,2070822.449528532,637131.7389032897,181439.0704985161,992,j
AM,2012,.485049426147682,.0035,.1255,.1959,.0278,.0455,.0546,.0645,.0761,.4197,.0908,.1105,.1423,.3844,.0048,.0149,.0473,.1386,0,1975.075407290532,5826.471778303718,6914.494058128906,8172.813704496788,9591.390370286887,11424.6647883091,13738.03385551674,16889.4699274954,23633.77817849406,4645423.387104449,937137.8410909501,302522.4548881125,78966.75307111463,14214.11172470792,493.7638829407566,3950.145685412675,6472.806621836533,7763.3194935948,9169.182874387969,10819.72553940168,12900.23549094006,15711.6904066018,20221.44246841229,54638.80542469665,6867295.072982958,2114226.187309817,671687.4009091251,197057.3940117961,992,j
AM,2013,.492842103272466,.0034,.1213,.1901,.0269,.0439,.0527,.0632,.0749,.4222,.0902,.111,.146,.3877,.0059,.0176,.0525,.1416,0,2003.628846563232,5910.705546163768,6924.075344678612,8318.148049638729,9928.944788809999,11840.82243009379,14397.26663410847,17992.61620146011,25389.28927457831,5905676.473496375,1110536.251549645,327324.4460473096,77808.18292698199,14876.81502686051,500.9120202361722,4007.253205104124,6536.740423507019,7844.237895237738,9395.114407002518,11143.18243860901,13424.99750303668,16518.89520517926,21721.45237612232,57675.360947694,8763864.920866048,2615447.209166385,781145.2513768361,210703.8645178256,992,j
AM,2014,.502706105004361,.0032,.1177,.1853,.026,.0425,.0515,.062,.0744,.4149,.0891,.1093,.1421,.3998,.0048,.0146,.0473,.1455,0,1951.589586385664,5757.188895150081,6839.485740761611,8261.167476864897,9909.062208698048,11843.99738532627,14302.82582115532,17778.86323803799,25004.60805690171,4841695.323991635,983024.5099114667,332007.2229109533,92379.63099039534,15021.96536308652,487.8922674280275,3903.180455063426,6388.474758631053,7735.402071202275,9318.262153599559,11179.33409970322,13389.09332431722,16411.73149003844,21353.05883266339,60053.22481936461,7158941.211575693,2194978.725752282,711113.9033021526,218549.5680729304,992,j
AM,2015,.5151453566631971,.0031,.1137,.1798,.0248,.041,.0503,.0606,.0726,.4058,.0877,.1072,.1383,.4144,.0053,.0161,.0514,.1537,0,1879.26510637765,5543.832159985976,6676.246109921485,8174.371689394793,9725.445032996482,11752.65330778767,14252.49265061297,17614.81640432273,24502.42528519729,5423862.50142129,1083551.49149104,355960.5418685901,97492.62326408456,15145.13336589153,469.8119488585847,3758.5302127553,6205.714795196413,7617.651111361558,9175.069236259815,10996.37986901587,13280.55114517199,16232.76262318895,20946.96205467273,62767.9019447262,8013701.746912606,2442352.790412863,777751.0184254355,232836.9679201573,992,j
AM,2016,.519762721417351,.0029,.1075,.1731,.0234,.0385,.0481,.0603,.0733,.4193,.0899,.1111,.1449,.4076,.0105,.0282,.0731,.1689,0,1727.037800067621,5094.761926944413,6144.341730843884,7825.979979212843,9604.040181825012,11647.12836194698,14348.19652128179,18027.28809747423,24786.26577006399,10243668.99673166,1559932.340658928,386222.9944024945,76311.22230987891,14789.63070488498,431.7560840001503,3454.075600135242,5691.091866711747,7109.298591231827,8914.946667167562,10844.21218928835,13297.02731632794,16433.17013161026,21435.74679740035,60284.98308726849,15592861.48726849,4167380.109064953,1081465.99085866,249726.0448251249,992,j
AM,2017,.543500315041292,.003,.107,.1677,.0238,.0388,.0465,.0556,.0667,.3872,.0812,.1025,.1367,.4451,.0104,.0289,.0789,.1911,0,1919.661795459384,5663.001976032158,6667.668216937776,8016.017591444707,9568.421954243209,11525.9729165884,14240.51732471793,18300.51697409119,26101.76730906496,11123506.02542044,1837503.237837635,481161.1828142805,99041.88857582929,16155.32115656736,479.9157694378702,3839.326155502962,6268.630456941784,7514.93438521357,8990.300562255032,10778.34982030379,13118.93938414917,16559.27458331768,22092.22008339908,71911.31651827642,16734146.51922311,4673999.27931177,1274248.608347421,308786.2478981179,992,j
AM,2018,.5443849384052441,.0029,.1063,.1669,.0235,.0386,.0463,.0556,.067,.3855,.0815,.1017,.1354,.4476,.0065,.0196,.0615,.1785,0,1949.469957549119,5750.935797738457,6864.212820416495,8192.784762763438,9847.51026459797,11885.4660706012,14640.10070000125,18658.10335975556,26797.27164306197,7287051.383548092,1435703.369372754,456923.1950110823,117878.8941232453,16601.73640382183,487.3684511063526,3898.938632806141,6401.46694215911,7692.510682845586,9224.497749727638,11124.45520367657,13523.33904854928,16878.61404260115,22480.95719097888,74305.21737605971,10742533.93765356,3262225.920673204,1020805.816797526,296307.8647081659,992,j
AO,1995,.598940493801734,.0019,.0779,.1286,.0152,.0281,.0367,.0467,.06,.3879,.0763,.1002,.1513,.4836,.0034,.0121,.0429,.1523,0,1481.81225946717,4371.347779169112,6425.813232334445,7832.128234622813,10267.02666467926,12980.72896913235,16672.98120073203,22703.321390407,39204.24230225995,3605152.392067615,1281175.114065668,455295.4959580966,161799.8764006801,19502.78678828384,370.4514511258301,2963.625594761647,5485.482070310939,7149.085476659661,9110.161588683857,11704.04362668846,14884.49038131329,19546.94196849345,29507.41164170698,94306.17623474894,6620287.14167472,2352673.581478752,836077.5067302905,297119.6589585411,992,j
AO,2000,.68246575541643,.0012,.0528,.0915,.0097,.0183,.0266,.0357,.047,.3282,.0621,.0853,.1337,.5803,.0062,.0203,.0667,.2198,0,1023.421608343441,3019.093099116765,4685.978854582742,6384.414321688391,8582.324133162527,11240.35775355387,15140.25648973257,21369.18902136094,38258.31576240661,6665407.375557896,2195537.526193415,723194.3544281027,238215.0401970951,21001.98979618774,255.8586295677847,2046.84429251419,3841.223114790592,5581.648121734486,7491.756915033679,9871.621399140211,13050.53402402358,17922.57721155596,28074.38061987459,121883.4557852969,12919291.39243336,4255522.034771865,1401738.511454764,461722.6260030562,992,j
AO,2008,.609367846642668,.0019,.0732,.1223,.0148,.0259,.0345,.0453,.058,.3845,.0748,.1015,.1501,.4932,.0025,.0098,.0387,.153,0,2468.84938824798,7283.105587748811,9866.305736410495,13019.80194113812,16889.70983944671,21663.95924883827,28150.11886237042,39543.12467685457,64728.08596637649,4855631.398913013,1922468.112581021,761154.1033684615,301360.3152363125,33267.84873227175,617.2225674214228,4937.684790740954,8622.38256298259,11462.7742912469,15061.19609250908,19299.2284274759,24882.98732238903,33782.99895634772,49939.94560295646,164072.061329511,8202573.813883195,3247607.747664917,1285810.714079063,509085.2175029437,992,j
AO,2018,.685596808730409,.0013,.0524,.0904,.0102,.0182,.0256,.0351,.0464,.3295,.0624,.0868,.1339,.5801,.021,.0485,.1123,.2598,0,1629.195221551217,4806.126172532919,6891.619561093456,9478.982085610487,12810.1705351755,16865.81248745012,23049.38276062909,32924.44465550086,57421.38425827739,24236226.58219568,5606336.809265881,1296860.934417479,299990.5719075384,31874.17900416373,407.2899298125119,3258.393670584359,5795.052454066892,8164.107025380836,11182.51159502037,14800.24234480975,19890.96357013924,27657.03385638521,42685.04928305541,184901.1398574188,66890153.7508575,15473066.76805219,3579238.257620982,827951.2860393944,992,j
AR,1932,,,,,,,,,,,,,,,,.0079,.04,.1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1933,,,,,,,,,,,,,,,,.0076,.0362,.1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1934,,,,,,,,,,,,,,,,.0078,.0387,.1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1935,,,,,,,,,,,,,,,,.0079,.0394,.1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1936,,,,,,,,,,,,,,,,.0078,.0413,.1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1937,,,,,,,,,,,,,,,,.0082,.0431,.1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1938,,,,,,,,,,,,,,,,.0082,.0431,.1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1939,,,,,,,,,,,,,,,,.0086,.0444,.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1940,,,,,,,,,,,,,,,,.0084,.0439,.1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1941,,,,,,,,,,,,,,,,.0098,.0502,.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1942,,,,,,,,,,,,,,,,.0132,.0605,.2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1943,,,,,,,,,,,,,,,,.0132,.0618,.2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1944,,,,,,,,,,,,,,,,.0115,.0565,.2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1945,,,,,,,,,,,,,,,,.0105,.0519,.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1946,,,,,,,,,,,,,,,,.0109,.0521,.2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1947,,,,,,,,,,,,,,,,.0118,.0559,.2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1948,,,,,,,,,,,,,,,,.0101,.052,.2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1949,,,,,,,,,,,,,,,,.0076,.0419,.1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,j
AR,1950,,,,,,,,,,,,,,,,.0082,.0433,.1789,,,,,,,,,,,,,,,,,,,,,,,,,,,4033273.302348485,2141882.557697556,884106.9846176194,992,j
AR,1951,,,,,,,,,,,,,,,,.0068,.0364,.1532,,,,,,,,,,,,,,,,,,,,,,,,,,,3409028.038176575,1834456.867024711,771303.1173838408,992,j
AR,1952,,,,,,,,,,,,,,,,.005,.03,.1441,,,,,,,,,,,,,,,,,,,,,,,,,,,2302728.868790727,1390664.466307974,668279.973905895,992,j
