country_year,gini,wgini,w2,w1,whalf,ede2,ede1,edehalf,a2,a1,ahalf,ge2,ge1,ge0,gem1,p75p50,p25p50,p10p50,p90p50,p75p25,p90p10,p95,p90,p75,p50,p25,p10,p5,max,min,sumw,sd,Var,mean
AM2010,.48010051,7155.2715,-.00022652157,9.0790834,207.73193,4414.5903,8769.9209,10788.14,.67923743,.36278066,.21613762,5.004601,.60571027,.45064136,1.0587853,1.6051439,.66302299,.36332068,2.5553901,2.4209473,7.0334291,35518.176,23089.074,14503.181,9035.4395,5990.7046,3282.762,1554.9805,8808184,172.80104,.95008999,43721.363,1911557632,13762.798
AM2011,.46214592,7621.9351,-.00021160937,9.1387863,213.11218,4725.6885,9309.46,11354.201,.66652423,.34306306,.19877258,3.2889833,.53137487,.42016724,.99935925,1.5984582,.66432732,.36364609,2.4711339,2.4061306,6.7954364,35433.984,23938.555,15484.704,9687.2754,6435.5215,3522.7397,1668.7166,6891601,185.38609,.95008999,36495.043,1331888000,14171.01
AM2012,.46145651,8111.6079,-.00019861283,9.1996784,219.59775,5034.9214,9893.9443,12055.793,.66572297,.34312415,.19959533,3.131079,.53495711,.42026025,.99576545,1.568109,.66873783,.36355203,2.4243724,2.3448787,6.668571,37560.586,25024.631,16186.188,10322.106,6902.7827,3752.6228,1777.5671,6867295,197.40373,.95008999,37847.344,1432421504,15062.123
AM2013,.4700909,8361.3604,-.0001947743,9.2321777,223.84195,5134.1475,10220.771,12526.305,.67461854,.35224903,.20613363,4.0300722,.56245244,.43424895,1.036658,1.5955625,.64866602,.35717437,2.5263605,2.4597595,7.0731854,39784.262,26926.893,17006.1,10658.373,6913.7241,3806.8977,1803.3374,8763865,200.40045,.95008999,44981.527,2023337856,15778.858
AM2014,.47986928,8278.791,-.00019882381,9.2240582,223.82803,5029.5786,10138.119,12524.748,.68400723,.36305347,.21310902,3.1756785,.57130945,.45106956,1.0823146,1.5778054,.63534737,.34676704,2.4667869,2.4833744,7.1136713,40624.461,26377.729,16871.715,10693.152,6793.8662,3708.033,1756.4651,7158941,195.1033,.95008999,40278.652,1622369792,15916.751
AM2015,.49319002,8137.9604,-.00020493704,9.2080717,222.99974,4879.5474,9977.3359,12432.222,.69611508,.37863871,.22575514,3.7589772,.61736763,.4758426,1.1453598,1.586594,.6325919,.33969423,2.4574201,2.5080845,7.2342119,40465.117,25830.621,16677.127,10511.276,6649.3481,3570.6199,1691.3369,8013701.5,187.85579,.95008999,44208.672,1954406784,16057.223
AM2016,.49983561,7871.2671,-.00021943064,9.1694717,219.22813,4557.2485,9599.5479,12015.244,.71041852,.39001536,.23651467,9.4942856,.70142496,.49432153,1.2266296,1.639742,.59176457,.31799582,2.5195463,2.7709365,7.9232059,38764.477,25998.59,16920.102,10318.759,6106.2754,3281.322,1554.3149,15592861,172.69205,.95008999,68859.719,4741661184,15737.36
AM2017,.52493429,8173.2744,-.0002021511,9.2198792,225.62218,4946.7949,10095.848,12726.342,.71247107,.41318604,.2602905,10.073261,.79347605,.53304744,1.2389555,1.6638331,.64742082,.3542158,2.6725349,2.5699408,7.5449343,44397.672,27518.627,17132.199,10296.826,6666.3794,3647.2983,1727.693,16734147,192.0085,.95008999,77540.688,6012557824,17204.512
AM2018,.52446252,8382.8691,-.00019837503,9.246666,229.24483,5040.957,10369.936,13138.298,.71404016,.41174161,.25469995,5.3483176,.72868925,.53058898,1.2484972,1.6413268,.64461571,.34974071,2.6688297,2.5462096,7.6308808,45843.141,28264.396,17382.566,10590.559,6826.8403,3703.9495,1754.5546,10742534,194.93982,.95008999,57892.031,3351487232,17628.199
AO1995,.58025193,8669.0283,-.00023859175,9.272954,242.29597,4191.2598,10646.151,14676.834,.79706222,.48452106,.28935832,2.7727983,.7430321,.66265887,1.9638095,1.8402419,.56423354,.25552028,3.732358,3.2614899,14.606894,69974.313,41125.277,20276.85,11018.578,6217.0513,2815.4702,1333.687,6620287,148.09731,.95008999,48836.336,2384987904,20652.932
AO2000,.6688028,7392.0767,-.00033129254,9.09797,233.81462,3018.4802,8937.1289,13667.32,.86475897,.59957772,.38764462,6.4810081,1.0945512,.91523558,3.1971023,2.0307839,.48302311,.21129882,4.3887253,4.2043204,20.770231,79753.016,40386.594,18687.988,9202.3516,4444.9482,1944.4459,921.08679,12919291,102.39832,.95008999,80686.953,6510384128,22319.262
AO2008,.5908516,14403.334,-.00014410431,9.7819939,314.44928,6939.4175,17711.932,24719.59,.8028754,.4968659,.29780281,2.371531,.75709647,.68689853,2.0364668,1.9603506,.52664918,.26017904,3.7979476,3.7223082,14.59744,122520.85,68473.539,35343.336,18029.09,9495.0059,4690.791,2222.0579,8202574,246.87332,.95008999,76983.703,5926490624,35203.203
AO2018,.67425323,11108.093,-.00021167709,9.5092363,285.15887,4724.1768,13483.698,20328.895,.86146265,.60458815,.40385154,30.251911,1.2922736,.92782742,3.1091356,2.1051409,.47581309,.22494343,4.3662958,4.4243026,19.410639,108250.36,60087.855,28970.418,13761.747,6548.0195,3095.6145,1466.3031,66890152,162.81679,.95008999,266340.97,70937518080,34100.391
AR2001,.54178315,38848.824,-.000031910658,10.817947,506.01263,31337.492,49908.516,64012.195,.63037837,.4113355,.24498446,1.2987453,.59890682,.52989888,.85273457,1.7661792,.5450784,.29712141,3.3852701,3.2402296,11.393558,283958.59,166583.05,86910.5,49208.203,26822.328,14620.811,12521.581,3617720.3,3006.2427,.91008997,137224.58,18830583808,84782.617
AR2002,.55150819,32812.852,-.000049719471,10.632246,463.59091,20112.846,41450.121,53729.133,.72509414,.43345252,.26562083,7.6513143,.75007719,.56819439,1.3188044,1.7411456,.53465611,.31778005,3.2886345,3.2565711,10.348776,228200.34,137371.56,72730.461,41771.609,22333.447,13274.185,9468.8535,22211804,701.01392,.91008997,287422.38,82611625984,73162.656
AR2003,.5457167,33086.648,-.000046377958,10.624315,466.03098,21561.967,41122.707,54296.219,.70395184,.43538076,.25450698,1.6963542,.62788856,.57160366,1.1889144,1.7388834,.54019088,.25401527,3.4204011,3.2190163,13.465336,236640.13,147180.55,74824.5,43030.199,23244.521,10930.328,5342.9326,5597571.5,1525.3546,.97008997,134696.89,18143250432,72832.633
AR2004,.52411515,41020.906,-.000028923758,10.872728,513.93091,34573.652,52718.871,66031.242,.59890997,.38840675,.23396945,2.0286963,.59906441,.49168783,.74660289,1.7214216,.59154326,.31107202,3.3278232,2.9100518,10.697919,265677.63,171090.88,88502.156,51412.25,30412.57,15992.912,12610.281,8318726.5,3600.9626,.97008997,174335.25,30392776704,86199.234
AR2005,.51882368,44641.824,-.000027592432,10.955354,537.06342,36241.82,57259.781,72109.281,.60936397,.3828198,.22276299,1.0472258,.52944994,.48259422,.77996379,1.7695566,.58950406,.30549785,3.6392608,3.0017719,11.912557,309780.84,201464.42,97960.203,55358.613,32634.127,16911.939,12398.806,3162364.8,3004.6125,.98008996,134808.42,18173310976,92776.438
AR2006,.52986234,46358.984,-.000028840645,10.984396,546.44635,34673.289,58947.125,74650.906,.64836985,.40220299,.24294719,5.5791016,.66512251,.51450408,.92194849,1.7788743,.58276188,.30214125,3.5475802,3.0524893,11.741463,315184.31,206077.09,103333.89,58089.484,33852.336,17551.229,11690.401,30500926,1982.5867,.98008996,330712.19,109370548224,98607.266
AR2007,.56007093,46085.824,-.000026868112,10.986637,548.21088,37218.84,59079.359,75133.789,.64471394,.43603641,.28278294,26.572012,.90316612,.57276559,.9073168,1.7411761,.59706676,.30437595,3.5534844,2.9162169,11.674657,317787.38,204785.75,100343.22,57629.563,34408.695,17541.053,11775.333,209714528,3082.9036,.98008996,766754.06,587911790592,104757.4
AR2008,.53971696,49979.98,-.00011115415,11.031078,569.54211,8996.5156,61764.168,81094.547,.91714793,.43119225,.25317204,3.7489207,.67723191,.56421274,5.5348544,1.8284826,.61163783,.30823314,3.9317303,2.9894857,12.755703,350141.28,240426.92,111812.47,61150.414,37401.906,18848.584,12305.448,15952976,113.80566,.99008995,298517.28,89112567808,108585.31
AR2009,.52562982,47291.52,-.000025735344,11.014164,554.09882,38857.066,60728.207,76756.375,.61023384,.39084956,.23007472,1.3458502,.56025326,.49568999,.7828204,1.8404025,.59566802,.31513849,3.7552509,3.0896447,11.916192,319301.59,218527.89,107097.84,58192.621,34663.484,18338.734,12510.248,10844782,3790.7219,.98008996,164219,26967879680,99693.281
