country,year,region,PIP: Bottom 50pc share – all observations,PIP: Gini – all observations,PIP: Ratio Top 10 Bottom 50 share – all observations,PIP: Top 10pc share – all observations,WID: Bottom 50pc share – pretax – all observations,WID: Gini – pretax – all observations,WID: Ratio Top 10 Bottom 50 share – pretax – all observations,WID: Top 10pc share – pretax – all observations,PIP: Bottom 50pc share – only matching observations,PIP: Gini – only matching observations,PIP: Ratio Top 10 Bottom 50 share – only matching observations,PIP: Top 10pc share – only matching observations,WID: Bottom 50pc share – pretax – only matching observations,WID: Gini – pretax – only matching observations,WID: Ratio Top 10 Bottom 50 share – pretax – only matching observations,WID: Top 10pc share – pretax – only matching observations
Iceland,1980,W. Europe,,,,,22.27,41.7677587825482,134.35114503816794,29.92,,,,,,,,
Iceland,2016,W. Europe,,,,,24.13,39.5322608345747,121.38416908412763,29.29,,,,,,,,
India,1977,S & SE Asia,28.02285117972093,33.33664717155239,98.16128189695785,27.50758994209084,,,,,28.02285117972093,33.33664717155239,98.16128189695785,27.50758994209084,,,,
India,1980,S & SE Asia,,,,,21.21,44.0476633907515,152.56954266855257,32.36,,,,,21.21,44.0476633907515,152.56954266855257,32.36
India,2013,S & SE Asia,,,,,13.39,62.7859110148449,420.2389843166542,56.27,,,,,13.39,62.7859110148449,420.2389843166542,56.27
India,2018,S & SE Asia,27.2758081567649,34.58968626484365,104.0437465082542,28.378772696702192,,,,,27.2758081567649,34.58968626484365,104.0437465082542,28.378772696702192,,,,
Indonesia,1980,S & SE Asia,,,,,16.46,53.0925396462649,250.54678007290403,41.24,,,,,16.46,53.0925396462649,250.54678007290403,41.24
Indonesia,1984,S & SE Asia,27.70241370045546,33.4559805760469,97.357030250745,26.97024728653895,,,,,27.70241370045546,33.4559805760469,97.357030250745,26.97024728653895,,,,
Indonesia,2017,S & SE Asia,,,,,15.35,54.4675902506,271.8566775244299,41.73,,,,,15.35,54.4675902506,271.8566775244299,41.73
Indonesia,2018,S & SE Asia,24.370623766440158,38.41037729176489,122.73457499726604,29.91118150392303,,,,,24.370623766440158,38.41037729176489,122.73457499726604,29.91118150392303,,,,
Ireland,1980,W. Europe,,,,,23.03,41.370576017591496,135.17151541467652,31.130000000000003,,,,,,,,
Ireland,2018,W. Europe,,,,,19.9,47.151255889397696,181.9095477386935,36.2,,,,,,,,
Israel,1979,MENA,25.0622126832329,36.3299757619656,107.36167523532936,26.907211387760032,13.3,59.3428071084141,360.3759398496241,47.93,25.0622126832329,36.3299757619656,107.36167523532936,26.907211387760032,13.3,59.3428071084141,360.3759398496241,47.93
Israel,2016,MENA,,,,,13.170000000000002,59.364902994380095,362.94608959757016,47.8,,,,,13.170000000000002,59.364902994380095,362.94608959757016,47.8
Israel,2018,MENA,23.566702584124148,38.57717384665088,117.21988777414238,27.62486232117624,,,,,23.566702584124148,38.57717384665088,117.21988777414238,27.62486232117624,,,,
Italy,1980,W. Europe,,,,,22.28,40.9165113946118,124.37163375224416,27.71,,,,,,,,
Italy,2014,W. Europe,,,,,16.79,50.389499771042,212.92435973793923,35.75,,,,,,,,
Japan,1980,East Asia,,,,,19.33,47.5132178141816,185.82514226590797,35.92,,,,,,,,
Japan,2018,East Asia,,,,,16.82,53.6419494431293,263.0202140309156,44.24,,,,,,,,
Luxembourg,1985,W. Europe,31.59499395463178,26.66724759342306,68.16518969633513,21.53678756372037,21.54,45.1281276766174,163.50974930362116,35.22,31.59499395463178,26.66724759342306,68.16518969633513,21.53678756372037,21.54,45.1281276766174,163.50974930362116,35.22
Luxembourg,2017,W. Europe,,,,,18.7,48.9659306244292,198.50267379679144,37.12,,,,,18.7,48.9659306244292,198.50267379679144,37.12
Luxembourg,2018,W. Europe,26.104573135848234,35.36809440930619,102.00233714939246,26.62727470143765,,,,,26.104573135848234,35.36809440930619,102.00233714939246,26.62727470143765,,,,
Malaysia,1984,S & SE Asia,18.77740081336117,48.624814852696055,204.76903175038825,38.45030183340919,13.83,58.8604283791611,343.31164135936365,47.48,18.77740081336117,48.624814852696055,204.76903175038825,38.45030183340919,13.83,58.8604283791611,343.31164135936365,47.48
Malaysia,2015,S & SE Asia,22.63754661966925,41.06639837531249,138.14815033306957,31.273351935859388,17.299999999999997,51.78910349343791,232.7745664739885,40.27,22.63754661966925,41.06639837531249,138.14815033306957,31.273351935859388,17.299999999999997,51.78910349343791,232.7745664739885,40.27
Malta,1980,W. Europe,,,,,22.11,42.038560706264,136.318407960199,30.14,,,,,,,,
Malta,2017,W. Europe,,,,,20.01,46.2370222302468,173.1134432783608,34.64,,,,,,,,
Mexico,1980,LAC,,,,,6.43,69.3559543209669,843.2348367029549,54.22,,,,,6.43,69.3559543209669,843.2348367029549,54.22
Mexico,1984,LAC,18.48858223588254,48.52701241671631,204.8421964942009,37.872417952618434,,,,,18.48858223588254,48.52701241671631,204.8421964942009,37.872417952618434,,,,
Mexico,2018,LAC,20.10048496370574,46.70695530062811,184.3693022796513,37.05912388241049,6.260000000000001,75.1817750226029,1047.923322683706,65.60000000000001,20.10048496370574,46.70695530062811,184.3693022796513,37.05912388241049,6.260000000000001,75.1817750226029,1047.923322683706,65.60000000000001
Montenegro,1980,EE & CA,,,,,22.15,40.4650200025381,129.88713318284425,28.77,,,,,,,,
Montenegro,2017,EE & CA,,,,,16.75,49.6557925618013,208.77611940298507,34.97,,,,,,,,
Morocco,1984,MENA,24.73876734811517,39.18663661414734,128.72006523222905,31.84375746814323,13.919999999999998,59.1737121561531,361.49425287356325,50.32,24.73876734811517,39.18663661414734,128.72006523222905,31.84375746814323,13.919999999999998,59.1737121561531,361.49425287356325,50.32
Morocco,2013,MENA,24.22715655273967,39.54850870115624,131.6091917243239,31.88516491684725,13.56,59.5996462783136,364.5280235988201,49.43,24.22715655273967,39.54850870115624,131.6091917243239,31.88516491684725,13.56,59.5996462783136,364.5280235988201,49.43
Netherlands,1980,W. Europe,,,,,25.95,36.8450448800043,105.24084778420035,27.31,,,,,25.95,36.8450448800043,105.24084778420035,27.31
Netherlands,1983,W. Europe,30.81692582576527,28.3660517601025,73.37019619125263,22.61043893847678,,,,,30.81692582576527,28.3660517601025,73.37019619125263,22.61043893847678,,,,
Netherlands,2017,W. Europe,,,,,22.12,41.893939158146495,135.08137432188065,29.880000000000003,,,,,22.12,41.893939158146495,135.08137432188065,29.880000000000003
Netherlands,2018,W. Europe,31.04825544973223,28.12108040445857,73.98989045535555,22.97257019555584,,,,,31.04825544973223,28.12108040445857,73.98989045535555,22.97257019555584,,,,
New Zealand,1980,W. Offshoots,,,,,16.259999999999998,47.4390969088939,179.02829028290287,29.110000000000003,,,,,,,,
New Zealand,2018,W. Offshoots,,,,,19.55,45.9475956659133,177.2378516624041,34.65,,,,,,,,
Nigeria,1985,SS Africa,23.463307825729903,38.67785059424594,120.21720352722522,28.20693252307708,13.69,56.997652973119095,322.2790357925493,44.12,23.463307825729903,38.67785059424594,120.21720352722522,28.20693252307708,13.69,56.997652973119095,322.2790357925493,44.12
Nigeria,2018,SS Africa,26.16062553888908,35.12774279386329,102.22688919639384,26.743193682723643,15.5,54.514921693797405,275.6129032258064,42.72,26.16062553888908,35.12774279386329,102.22688919639384,26.743193682723643,15.5,54.514921693797405,275.6129032258064,42.72
North Macedonia,1980,EE & CA,,,,,23.48,38.399071857432496,116.7802385008518,27.42,,,,,,,,
North Macedonia,2017,EE & CA,,,,,20.04,45.1205559404041,161.12774451097803,32.29,,,,,,,,
Norway,1979,W. Europe,31.705726968409408,26.89475873487844,68.90659720205858,21.84733757210633,,,,,31.705726968409408,26.89475873487844,68.90659720205858,21.84733757210633,,,,
Norway,1980,W. Europe,,,,,25.130000000000003,37.7142349718078,108.6350974930362,27.3,,,,,25.130000000000003,37.7142349718078,108.6350974930362,27.3
Norway,2017,W. Europe,,,,,24.25,40.3046491488844,127.6701030927835,30.96,,,,,24.25,40.3046491488844,127.6701030927835,30.96
Norway,2018,W. Europe,31.36169853040652,27.56086233181646,70.80509847674679,22.20568152843479,,,,,31.36169853040652,27.56086233181646,70.80509847674679,22.20568152843479,,,,
Panama,1979,LAC,17.55085522703498,48.74014232833994,205.09839973187212,35.99652320990638,,,,,,,,,,,,
Panama,2018,LAC,17.79007638209731,49.21247336244875,208.5880656585947,37.10797620460329,,,,,,,,,,,,
Peru,1985,LAC,20.19416842941927,45.63498240253612,174.08515015722128,35.15504843335671,,,,,,,,,,,,
Peru,2018,LAC,21.76051379441007,42.38764789835111,145.3294305156393,31.62443077469329,,,,,,,,,,,,
Philippines,1985,S & SE Asia,23.14199496384269,41.03743554912078,141.4521640386766,32.73485267807705,13.05,60.398626529755695,378.6973180076628,49.42,23.14199496384269,41.03743554912078,141.4521640386766,32.73485267807705,13.05,60.398626529755695,378.6973180076628,49.42
Philippines,2018,S & SE Asia,24.9202051768696,37.81170617851155,119.62699592059248,29.81129283033707,14.35,57.1720872847294,316.37630662020905,45.4,24.9202051768696,37.81170617851155,119.62699592059248,29.81129283033707,14.35,57.1720872847294,316.37630662020905,45.4
Poland,1980,EE & CA,,,,,28.02,32.326890897628104,80.12134189864383,22.45,,,,,28.02,32.326890897628104,80.12134189864383,22.45
Poland,1985,EE & CA,32.73516424807599,25.16496620900249,63.73836119569594,20.864857226443,,,,,32.73516424807599,25.16496620900249,63.73836119569594,20.864857226443,,,,
Poland,2018,EE & CA,29.65469602219091,30.215439384422787,80.98236757719194,24.01507493658956,19.6,48.1861063723656,191.07142857142856,37.45,29.65469602219091,30.215439384422787,80.98236757719194,24.01507493658956,19.6,48.1861063723656,191.07142857142856,37.45
Portugal,1980,W. Europe,,,,,22.54,40.9173559057764,125.37710736468502,28.26,,,,,,,,
Portugal,2017,W. Europe,,,,,18.94,49.0039400938429,198.7328405491024,37.64,,,,,,,,
Romania,1980,EE & CA,,,,,27.09,34.5587175450459,92.06349206349206,24.94,,,,,,,,
Romania,2018,EE & CA,,,,,15.2,54.1533599977285,269.2763157894737,40.93,,,,,,,,
Russia,1980,EE & CA,,,,,28.84,31.1981777651694,75.17337031900139,21.68,,,,,,,,
Russia,2017,EE & CA,,,,,17.34,53.967571921259605,260.0346020761246,45.09,,,,,,,,
Rwanda,1984,SS Africa,30.62532644062661,28.89859485975821,80.27544865005483,24.58461820075688,18.09,50.7609315654039,221.83526810392485,40.13,30.62532644062661,28.89859485975821,80.27544865005483,24.58461820075688,18.09,50.7609315654039,221.83526810392485,40.13
Rwanda,2016,SS Africa,22.070351809557017,43.71004775710726,161.45844295887022,35.6344463872556,11.84,63.6080875739118,455.5743243243243,53.94,22.070351809557017,43.71004775710726,161.45844295887022,35.6344463872556,11.84,63.6080875739118,455.5743243243243,53.94
Saudi Arabia,1980,MENA,,,,,9.89,66.435694320959,561.6784630940343,55.55,,,,,,,,
Saudi Arabia,2018,MENA,,,,,10.8,65.0483723925483,503.7962962962962,54.41,,,,,,,,
Serbia,1984,EE & CA,,,,,20.84,44.0905212393815,155.51823416506716,32.41,,,,,,,,
Serbia,2018,EE & CA,,,,,17.18,49.5584651903364,205.64610011641443,35.33,,,,,,,,
Singapore,1980,S & SE Asia,,,,,21.14,45.3859382166384,168.07000946073794,35.53,,,,,,,,
Singapore,2013,S & SE Asia,,,,,17.02,53.7085854295118,265.9224441833137,45.26,,,,,,,,
Slovakia,1980,EE & CA,,,,,26.22,34.1445109459901,87.37604881769641,22.91,,,,,,,,
Slovakia,2018,EE & CA,,,,,24.15,38.5445996886141,113.87163561076608,27.500000000000004,,,,,,,,
South Korea,1980,East Asia,,,,,20.77,44.2972730007116,154.11651420317764,32.01,,,,,,,,
South Korea,2016,East Asia,,,,,20.65,45.755712892519504,167.65133171912834,34.62,,,,,,,,
Spain,1980,W. Europe,26.77918763488931,34.48354621302908,98.1329921678868,26.27921810436964,20.31,46.172090473635,171.98424421467257,34.93,26.77918763488931,34.48354621302908,98.1329921678868,26.27921810436964,20.31,46.172090473635,171.98424421467257,34.93
Spain,2017,W. Europe,,,,,20.630000000000003,45.8747777819191,169.9951526902569,35.07,,,,,20.630000000000003,45.8747777819191,169.9951526902569,35.07
Spain,2018,W. Europe,26.28356817164688,34.71894730060089,96.407108026893,25.33922796056168,,,,,26.28356817164688,34.71894730060089,96.407108026893,25.33922796056168,,,,
Sri Lanka,1985,S & SE Asia,28.31409864779373,32.46785443356632,93.297768867738,26.41642231340193,16.650000000000002,53.39537534379561,253.6336336336336,42.23,28.31409864779373,32.46785443356632,93.297768867738,26.41642231340193,16.650000000000002,53.39537534379561,253.6336336336336,42.23
Sri Lanka,2016,S & SE Asia,24.68353498140038,39.34577335702164,131.92066877452794,32.56268442465794,14.14,59.1143677733967,346.3932107496464,48.98,24.68353498140038,39.34577335702164,131.92066877452794,32.56268442465794,14.14,59.1143677733967,346.3932107496464,48.98
Sweden,1980,W. Europe,,,,,26.590000000000003,35.3350536950767,96.27679578789018,25.6,,,,,26.590000000000003,35.3350536950767,96.27679578789018,25.6
Sweden,1981,W. Europe,33.86208906288181,22.92357328057954,54.0073872632831,18.28802957562841,,,,,33.86208906288181,22.92357328057954,54.0073872632831,18.28802957562841,,,,
Sweden,2017,W. Europe,,,,,24.08,40.071576437904,125.7059800664452,30.270000000000003,,,,,24.08,40.071576437904,125.7059800664452,30.270000000000003
Sweden,2018,W. Europe,29.68275182557552,29.97418872901206,77.18058088022683,22.90932028021532,,,,,29.68275182557552,29.97418872901206,77.18058088022683,22.90932028021532,,,,
Switzerland,1980,W. Europe,,,,,23.73,40.5964023114301,128.52928782132324,30.5,,,,,23.73,40.5964023114301,128.52928782132324,30.5
Switzerland,1982,W. Europe,26.21322659072117,36.00737342131724,108.95669048875328,28.56106416356764,,,,,26.21322659072117,36.00737342131724,108.95669048875328,28.56106416356764,,,,
Switzerland,2017,W. Europe,,,,,22.59,42.6631472086996,142.31961044710047,32.15,,,,,22.59,42.6631472086996,142.31961044710047,32.15
Switzerland,2018,W. Europe,27.722844417127988,33.14105099791199,93.01867458320704,25.787422433577067,,,,,27.722844417127988,33.14105099791199,93.01867458320704,25.787422433577067,,,,
Taiwan,1980,East Asia,,,,,18.73,47.2240686641911,186.43886812600107,34.92,,,,,18.73,47.2240686641911,186.43886812600107,34.92
Taiwan,1981,East Asia,29.79744718866134,29.96948245392569,81.505901180855,24.286677860007767,,,,,29.79744718866134,29.96948245392569,81.505901180855,24.286677860007767,,,,
Taiwan,2016,East Asia,28.8205284856546,31.48271564455893,87.17735748054385,25.12497514572108,,,,,28.8205284856546,31.48271564455893,87.17735748054385,25.12497514572108,,,,
Taiwan,2017,East Asia,,,,,11.79,60.8588788631522,408.1424936386769,48.120000000000005,,,,,11.79,60.8588788631522,408.1424936386769,48.120000000000005
Thailand,1981,S & SE Asia,20.49647148469692,45.2168212614456,173.23864357571017,35.507809180971165,9.66,66.8799346444295,579.3995859213251,55.97,20.49647148469692,45.2168212614456,173.23864357571017,35.507809180971165,9.66,66.8799346444295,579.3995859213251,55.97
Thailand,2018,S & SE Asia,25.43627515993882,36.41217335828974,110.66373648729407,28.148732515177738,13.38,60.03707484465009,369.88041853512703,49.49,25.43627515993882,36.41217335828974,110.66373648729407,28.148732515177738,13.38,60.03707484465009,369.88041853512703,49.49
Tunisia,1985,MENA,21.6422763389841,43.43376640983841,157.48930395309085,34.08427036587054,11.88,62.4067215753421,433.9225589225589,51.55,21.6422763389841,43.43376640983841,157.48930395309085,34.08427036587054,11.88,62.4067215753421,433.9225589225589,51.55
Tunisia,2015,MENA,27.80048246047175,32.81588249697604,91.9835970930613,25.57188377636751,16.61,52.7589989566753,249.0668272125226,41.370000000000005,27.80048246047175,32.81588249697604,91.9835970930613,25.57188377636751,16.61,52.7589989566753,249.0668272125226,41.370000000000005
Turkey,1980,MENA,,,,,10.5,67.8729806568526,568.3809523809524,59.68,,,,,,,,
Turkey,2018,MENA,,,,,13.68,61.3675061871977,388.8888888888889,53.2,,,,,,,,
United Kingdom,1979,W. Europe,30.54050358015514,28.42722217537883,73.27335716986562,22.37805226976267,,,,,30.54050358015514,28.42722217537883,73.27335716986562,22.37805226976267,,,,
United Kingdom,1980,W. Europe,,,,,22.57,40.800537628578,126.18520159503764,28.48,,,,,22.57,40.800537628578,126.18520159503764,28.48
United Kingdom,2017,W. Europe,26.27726617739978,35.148830704729576,101.48746213309552,26.66813056140132,20.34,46.7995467899918,177.5811209439528,36.120000000000005,26.27726617739978,35.148830704729576,101.48746213309552,26.66813056140132,20.34,46.7995467899918,177.5811209439528,36.120000000000005
United States,1979,W. Offshoots,26.37760203304462,34.5001938467581,95.79648675614392,25.26881603817394,,,,,26.37760203304462,34.5001938467581,95.79648675614392,25.26881603817394,,,,
United States,1980,W. Offshoots,,,,,20.09,45.3910398986572,168.4917869586859,33.85,,,,,20.09,45.3910398986572,168.4917869586859,33.85
United States,2018,W. Offshoots,22.342093033181342,41.407843639922994,137.6309144616445,30.74962695143884,13.320000000000002,58.406121113239394,344.069069069069,45.83,22.342093033181342,41.407843639922994,137.6309144616445,30.74962695143884,13.320000000000002,58.406121113239394,344.069069069069,45.83
Uruguay,1981,LAC,21.21914677587609,43.6454285030306,157.00891425010735,33.31595196593971,,,,,,,,,,,,
Uruguay,2018,LAC,23.28477849772664,39.68723978027348,127.46112574880289,29.67904080131757,,,,,,,,,,,,
