year,count,var
1989-1993,38,A089
1999-2004,59,A089
2005-2010,46,A089
1981-1984,16,A090
1989-1993,37,A090
1999-2004,60,A090
2005-2010,46,A090
1989-1993,38,A091
1999-2004,60,A091
2005-2010,46,A091
1989-1993,37,A092
1999-2004,60,A092
2005-2010,46,A092
1989-1993,37,A093
1999-2004,59,A093
2005-2010,46,A093
1989-1993,37,A094
1999-2004,58,A094
2005-2010,46,A094
1989-1993,38,A096
1999-2004,40,A096
2005-2010,46,A096
1981-1984,14,A097
1989-1993,36,A097
1999-2004,33,A097
2005-2010,44,A097
1981-1984,7,A098
1994-1998,51,A098
2005-2010,55,A098
2010-2014,60,A098
2017-2022,64,A098
1994-1998,52,A099
2005-2010,56,A099
2010-2014,60,A099
2017-2022,64,A099
1981-1984,7,A100
1994-1998,52,A100
2005-2010,56,A100
2010-2014,60,A100
2017-2022,64,A100
1981-1984,7,A101
1994-1998,53,A101
2005-2010,56,A101
2010-2014,58,A101
2017-2022,64,A101
1981-1984,7,A102
1994-1998,53,A102
2005-2010,56,A102
2010-2014,58,A102
2017-2022,64,A102
1981-1984,7,A103
1994-1998,51,A103
2005-2010,56,A103
2010-2014,60,A103
2017-2022,64,A103
1981-1984,7,A104
1994-1998,52,A104
2005-2010,56,A104
2010-2014,59,A104
2017-2022,64,A104
1981-1984,7,A105
1994-1998,52,A105
2005-2010,55,A105
2010-2014,60,A105
2017-2022,64,A105
1994-1998,51,A106
2005-2010,50,A106
2010-2014,58,A106
2017-2022,63,A106
2010-2014,60,A106B
2017-2022,64,A106B
2010-2014,60,A106C
2017-2022,64,A106C
1989-1993,36,A107
1989-1993,35,A108
1989-1993,35,A109
1989-1993,35,A110
1989-1993,35,A111
1989-1993,35,A112
1989-1993,35,A113
1989-1993,35,A114
1989-1993,35,A115
1989-1993,35,A116
1989-1993,35,A117
1989-1993,35,A118
1989-1993,35,A119
1989-1993,35,A120
1981-1984,24,A124_01
1989-1993,42,A124_01
1994-1998,52,A124_01
1999-2004,68,A124_01
2005-2010,51,A124_01
1981-1984,23,A124_02
1989-1993,42,A124_02
1994-1998,50,A124_02
1999-2004,67,A124_02
2005-2010,79,A124_02
2010-2014,59,A124_02
2017-2022,90,A124_02
1981-1984,24,A124_03
1989-1993,42,A124_03
1994-1998,53,A124_03
1999-2004,66,A124_03
2005-2010,79,A124_03
2010-2014,58,A124_03
2017-2022,90,A124_03
1981-1984,24,A124_04
1989-1993,42,A124_04
1994-1998,52,A124_04
1999-2004,67,A124_04
2005-2010,49,A124_04
1981-1984,1,A124_05
1989-1993,42,A124_05
1994-1998,9,A124_05
1999-2004,51,A124_05
2005-2010,48,A124_05
2017-2022,35,A124_05
1981-1984,24,A124_06
1989-1993,42,A124_06
1994-1998,51,A124_06
1999-2004,67,A124_06
2005-2010,78,A124_06
2010-2014,59,A124_06
2017-2022,90,A124_06
1989-1993,42,A124_07
1994-1998,53,A124_07
1999-2004,67,A124_07
2005-2010,79,A124_07
2010-2014,58,A124_07
2017-2022,64,A124_07
1989-1993,42,A124_08
1994-1998,52,A124_08
1999-2004,67,A124_08
2005-2010,79,A124_08
2010-2014,58,A124_08
2017-2022,90,A124_08
1989-1993,41,A124_09
1994-1998,52,A124_09
1999-2004,66,A124_09
2005-2010,78,A124_09
2010-2014,57,A124_09
2017-2022,88,A124_09
1989-1993,36,A124_10
1994-1998,7,A124_10
1999-2004,48,A124_10
2005-2010,49,A124_10
2017-2022,36,A124_10
1999-2004,1,A124_11
2005-2010,1,A124_11
1994-1998,15,A124_12
1999-2004,12,A124_12
2005-2010,53,A124_12
2010-2014,58,A124_12
2017-2022,64,A124_12
1999-2004,1,A124_14
2005-2010,16,A124_14
1999-2004,1,A124_16
2005-2010,1,A124_16
1994-1998,4,A124_17
1999-2004,34,A124_17
2005-2010,46,A124_17
2010-2014,1,A124_17
2017-2022,36,A124_17
1981-1984,7,A124_18
1989-1993,2,A124_18
1994-1998,52,A124_18
1999-2004,2,A124_18
2005-2010,1,A124_18
1994-1998,1,A124_19
1999-2004,1,A124_19
1994-1998,3,A124_24
1999-2004,4,A124_24
2005-2010,41,A124_24
2017-2022,30,A124_24
1981-1984,16,A124_26
1989-1993,29,A124_26
1999-2004,32,A124_26
2005-2010,46,A124_26
1981-1984,16,A124_27
1989-1993,36,A124_27
1999-2004,32,A124_27
2005-2010,46,A124_27
1981-1984,16,A124_28
1989-1993,40,A124_28
1999-2004,32,A124_28
2005-2010,46,A124_28
1989-1993,33,A124_29
1999-2004,2,A124_29
1994-1998,1,A124_30
1999-2004,1,A124_30
1994-1998,1,A124_34
2005-2010,2,A124_34
1994-1998,1,A124_35
2005-2010,1,A124_35
1994-1998,1,A124_36
2005-2010,1,A124_36
1994-1998,1,A124_37
2005-2010,1,A124_37
1994-1998,1,A124_38
1999-2004,1,A124_38
2005-2010,1,A124_38
2005-2010,52,A124_42
2010-2014,58,A124_42
2017-2022,63,A124_42
2005-2010,50,A124_43
2010-2014,60,A124_43
2017-2022,64,A124_43
1999-2004,1,A124_45
2005-2010,1,A124_45
1999-2004,1,A124_46
2005-2010,1,A124_46
1999-2004,1,A124_47
2005-2010,1,A124_47
1999-2004,1,A124_48
2005-2010,1,A124_48
1999-2004,1,A124_49
2005-2010,1,A124_49
1999-2004,1,A124_50
2005-2010,1,A124_50
1999-2004,1,A124_51
2005-2010,1,A124_51
1999-2004,1,A124_52
2005-2010,1,A124_52
1981-1984,24,A165
1989-1993,43,A165
1994-1998,55,A165
1999-2004,71,A165
2005-2010,81,A165
2010-2014,60,A165
2017-2022,90,A165
1999-2004,40,A168
2010-2014,1,A168
2005-2010,77,A168A
2010-2014,59,A168A
1994-1998,50,A169
1999-2004,35,A169
1981-1984,24,A170
1989-1993,43,A170
1994-1998,53,A170
1999-2004,71,A170
2005-2010,82,A170
2010-2014,60,A170
2017-2022,90,A170
1981-1984,24,A173
1989-1993,41,A173
1994-1998,51,A173
1999-2004,70,A173
2005-2010,82,A173
2010-2014,60,A173
2017-2022,90,A173
2005-2010,52,A189
2010-2014,60,A189
2005-2010,52,A190
2010-2014,60,A190
2005-2010,52,A191
2010-2014,60,A191
2005-2010,52,A192
2010-2014,60,A192
2005-2010,52,A193
2010-2014,27,A193
2005-2010,52,A194
2010-2014,60,A194
2005-2010,52,A195
2010-2014,60,A195
2005-2010,52,A196
2010-2014,60,A196
2005-2010,52,A197
2010-2014,60,A197
2005-2010,52,A198
2010-2014,60,A198
1989-1993,38,B001
1999-2004,59,B001
2005-2010,80,B001
1989-1993,40,B002
1994-1998,53,B002
1999-2004,59,B002
2005-2010,52,B002
1989-1993,38,B003
1999-2004,59,B003
2005-2010,52,B003
1989-1993,38,B005
1989-1993,38,B006
1989-1993,39,B007
1994-1998,53,B008
1999-2004,40,B008
2005-2010,57,B008
2010-2014,59,B008
2017-2022,90,B008
1994-1998,51,B009
1999-2004,28,B009
1989-1993,42,C001
1994-1998,55,C001
1999-2004,70,C001
2005-2010,81,C001
2010-2014,60,C001
2017-2022,90,C001
2017-2022,90,C001_01
1989-1993,42,C002
1994-1998,52,C002
1999-2004,69,C002
2005-2010,80,C002
2010-2014,55,C002
2017-2022,90,C002
2017-2022,90,C002_01
1989-1993,42,C004
1994-1998,54,C004
1989-1993,40,C005
1981-1984,24,C006
1989-1993,42,C006
1994-1998,54,C006
1999-2004,39,C006
2005-2010,57,C006
2010-2014,60,C006
2017-2022,64,C006
1994-1998,52,C008
1999-2004,38,C008
1994-1998,52,C009
1999-2004,30,C009
2005-2010,55,C009
1994-1998,51,C010
1999-2004,30,C010
2005-2010,54,C010
1981-1984,24,C011
1989-1993,42,C011
1994-1998,50,C011
1999-2004,67,C011
2005-2010,46,C011
2017-2022,36,C011
1981-1984,24,C012
1989-1993,42,C012
1994-1998,50,C012
1999-2004,67,C012
2005-2010,46,C012
1981-1984,24,C013
1989-1993,42,C013
1994-1998,50,C013
1999-2004,67,C013
2005-2010,46,C013
1981-1984,24,C014
1989-1993,42,C014
1994-1998,50,C014
1999-2004,67,C014
1981-1984,24,C015
1989-1993,41,C015
1994-1998,50,C015
1999-2004,67,C015
2005-2010,46,C015
2017-2022,36,C015
1981-1984,24,C016
1989-1993,42,C016
1994-1998,50,C016
1999-2004,66,C016
2005-2010,46,C016
2017-2022,36,C016
1981-1984,23,C017
1989-1993,42,C017
1994-1998,50,C017
1999-2004,67,C017
2005-2010,46,C017
2017-2022,36,C017
1981-1984,24,C018
1989-1993,41,C018
1994-1998,50,C018
1999-2004,67,C018
2005-2010,46,C018
2017-2022,36,C018
1981-1984,24,C019
1989-1993,42,C019
1994-1998,50,C019
1999-2004,67,C019
2005-2010,46,C019
2017-2022,36,C019
1981-1984,24,C020
1989-1993,41,C020
1994-1998,50,C020
1999-2004,67,C020
2005-2010,46,C020
1981-1984,24,C021
1989-1993,42,C021
1994-1998,49,C021
1999-2004,67,C021
2005-2010,46,C021
1981-1984,16,C022
1989-1993,40,C022
1999-2004,33,C022
2005-2010,46,C022
1981-1984,16,C023
1989-1993,40,C023
1999-2004,33,C023
1981-1984,16,C024
1989-1993,40,C024
1999-2004,33,C024
2005-2010,46,C024
1981-1984,16,C025
1989-1993,39,C025
1999-2004,33,C025
2005-2010,46,C025
1981-1984,16,C027_90
1989-1993,39,C027_90
1999-2004,33,C027_90
2005-2010,45,C027_90
2017-2022,36,C027_90
1999-2004,33,C029
2005-2010,46,C029
1981-1984,16,C031
1989-1993,40,C031
1981-1984,16,C033
1989-1993,41,C033
1999-2004,33,C033
2005-2010,46,C033
1981-1984,16,C034
1989-1993,43,C034
1999-2004,33,C034
2005-2010,46,C034
1999-2004,60,C036
2005-2010,76,C036
2017-2022,36,C036
1999-2004,60,C037
2005-2010,77,C037
2017-2022,36,C037
1999-2004,60,C038
2005-2010,76,C038
2017-2022,90,C038
1999-2004,60,C039
2005-2010,77,C039
2017-2022,90,C039
1999-2004,60,C040
1999-2004,60,C041
2005-2010,76,C041
2017-2022,90,C041
1989-1993,39,C042B1
1989-1993,38,C042B2
1989-1993,37,C042B3
1989-1993,37,C042B4
1989-1993,36,C042B5
1989-1993,35,C042B6
1989-1993,37,C042B7
1981-1984,23,C059
1989-1993,42,C059
1994-1998,51,C059
1999-2004,67,C059
2005-2010,53,C059
1981-1984,21,C060
1989-1993,43,C060
1994-1998,52,C060
1999-2004,37,C060
1981-1984,23,C061
1989-1993,41,C061
1994-1998,50,C061
1999-2004,68,C061
2005-2010,46,C061
1989-1993,40,D001
2005-2010,53,D001_B
2010-2014,59,D001_B
2017-2022,90,D001_B
1981-1984,16,D002
1989-1993,41,D002
1981-1984,16,D003
1989-1993,38,D003
1981-1984,16,D004
1989-1993,38,D004
1981-1984,16,D005
1989-1993,38,D005
1981-1984,16,D006
1989-1993,38,D006
1981-1984,16,D007
1989-1993,38,D007
1981-1984,15,D008
1989-1993,38,D008
1981-1984,12,D009
1989-1993,11,D009
1981-1984,16,D010
1989-1993,39,D010
1981-1984,16,D011
1989-1993,39,D011
1981-1984,16,D012
1989-1993,39,D012
1981-1984,16,D013
1989-1993,39,D013
1981-1984,16,D014
1989-1993,39,D014
1981-1984,15,D015
1989-1993,39,D015
1981-1984,12,D016
1989-1993,11,D016
1981-1984,24,D017
1989-1993,43,D017
1994-1998,55,D017
1999-2004,39,D017
1981-1984,23,D018
1989-1993,40,D018
1994-1998,53,D018
1999-2004,69,D018
2005-2010,80,D018
1981-1984,24,D019
1989-1993,43,D019
1994-1998,54,D019
1999-2004,69,D019
2005-2010,46,D019
1999-2004,32,D020
2005-2010,46,D020
1981-1984,24,D022
1989-1993,42,D022
1994-1998,53,D022
1999-2004,69,D022
2005-2010,79,D022
2017-2022,36,D022
1981-1984,24,D023
1989-1993,42,D023
1994-1998,51,D023
1999-2004,69,D023
2005-2010,81,D023
1981-1984,24,D024
1989-1993,42,D024
1994-1998,52,D024
1999-2004,33,D026
2005-2010,46,D026
2005-2010,46,D026_03
2017-2022,90,D026_03
2005-2010,46,D026_05
2017-2022,90,D026_05
1981-1984,16,D027
1989-1993,40,D027
1999-2004,33,D027
2005-2010,46,D027
2017-2022,36,D027
1981-1984,16,D028
1989-1993,40,D028
1999-2004,33,D028
2005-2010,46,D028
2017-2022,36,D028
1981-1984,16,D029
1989-1993,40,D029
1999-2004,33,D029
2005-2010,46,D029
1981-1984,16,D030
1989-1993,40,D030
1999-2004,33,D030
1981-1984,16,D031
1989-1993,40,D031
1999-2004,33,D031
2005-2010,46,D031
1981-1984,16,D032
1989-1993,40,D032
1999-2004,33,D032
2005-2010,46,D032
2017-2022,36,D032
1981-1984,16,D033
1989-1993,40,D033
1999-2004,33,D033
2005-2010,46,D033
1981-1984,16,D034
1989-1993,40,D034
1999-2004,33,D034
1981-1984,16,D035
1989-1993,40,D035
1999-2004,33,D035
2005-2010,46,D035
1981-1984,16,D036
1989-1993,39,D036
1999-2004,33,D036
2005-2010,46,D036
1981-1984,16,D037
1989-1993,39,D037
1999-2004,33,D037
2005-2010,46,D037
2017-2022,36,D037
1981-1984,16,D038
1989-1993,39,D038
1999-2004,33,D038
2005-2010,46,D038
2017-2022,36,D038
1999-2004,33,D039
2005-2010,46,D039
1981-1984,16,D043
1989-1993,40,D043
2005-2010,46,D043_01
2017-2022,36,D043_01
1994-1998,53,D054
1999-2004,40,D054
2005-2010,57,D054
2010-2014,60,D054
2017-2022,90,D054
1994-1998,52,D055
1999-2004,37,D055
2005-2010,56,D055
1989-1993,41,D056
1994-1998,53,D056
1999-2004,67,D056
2005-2010,46,D056
1989-1993,41,D057
1994-1998,53,D057
1999-2004,67,D057
2005-2010,81,D057
2010-2014,60,D057
2017-2022,64,D057
1989-1993,39,D058
1994-1998,53,D058
1999-2004,67,D058
2005-2010,46,D058
1994-1998,53,D059
1999-2004,40,D059
2005-2010,58,D059
2010-2014,60,D059
2017-2022,90,D059
1994-1998,53,D060
1999-2004,40,D060
2005-2010,58,D060
2010-2014,60,D060
2017-2022,90,D060
1989-1993,39,D061
1999-2004,29,D061
2005-2010,46,D061
2010-2014,59,D061
2017-2022,90,D061
1989-1993,38,D062
1999-2004,29,D062
2005-2010,46,D062
2017-2022,36,D062
1989-1993,39,D063
1999-2004,29,D063
2005-2010,46,D063
1999-2004,29,D064
2005-2010,46,D064
2010-2014,60,D066_B
2017-2022,64,D066_B
2005-2010,54,D078
2010-2014,60,D078
2017-2022,90,D078
2017-2022,82,D081
1989-1993,42,E001
1994-1998,53,E001
1999-2004,40,E001
2005-2010,55,E001
2010-2014,59,E001
2017-2022,90,E001
1989-1993,42,E002
1994-1998,52,E002
1999-2004,40,E002
2005-2010,55,E002
2010-2014,59,E002
2017-2022,90,E002
1981-1984,22,E003
1989-1993,43,E003
1994-1998,55,E003
1999-2004,70,E003
2005-2010,81,E003
2010-2014,59,E003
2017-2022,90,E003
1981-1984,22,E004
1989-1993,43,E004
1994-1998,54,E004
1999-2004,70,E004
2005-2010,81,E004
2010-2014,59,E004
2017-2022,90,E004
1989-1993,43,E005
1994-1998,54,E005
1999-2004,40,E005
2005-2010,55,E005
2010-2014,59,E005
2017-2022,64,E005
1989-1993,43,E006
1994-1998,53,E006
1999-2004,40,E006
2005-2010,55,E006
2010-2014,59,E006
2017-2022,64,E006
1981-1984,24,E012
1989-1993,43,E012
1994-1998,52,E012
1999-2004,44,E012
2005-2010,57,E012
2010-2014,60,E012
2017-2022,89,E012
1981-1984,24,E014
1989-1993,40,E014
1994-1998,54,E014
1999-2004,70,E014
2005-2010,46,E014
1981-1984,24,E015
1989-1993,40,E015
1994-1998,53,E015
1999-2004,70,E015
2005-2010,57,E015
