Entity,Year,‘cost of basic needs’ approach - share of population below poverty line,$1.90 - share of population below poverty line,$5 - share of population below poverty line,$10 - share of population below poverty line,$30 - share of population below poverty line,‘cost of basic needs’ approach - share of population above poverty line,$1.90 - share of population above poverty line,$5 - share of population above poverty line,$10 - share of population above poverty line,$30 - share of population above poverty line,$1.90-$5 - share of population between poverty lines,$5-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines
South and South-East Asia,1822,68.7175930745183,68.1355835555963,96.06215553519179,99.6268895568352,99.9979651277769,31.282406925481695,31.8644164444037,3.937844464808208,0.3731104431648049,0.0020348722231062766,27.926571979595494,3.564734021643403,0.37107557094169863
Sub-Saharan Africa,1822,87.5220332266926,91.7991175277872,99.680100493401,99.9922306253805,99.99846775007451,12.4779667733074,8.200882472212797,0.31989950659900046,0.007769374619499558,0.0015322499254892818,7.880982965613796,0.3121301319795009,0.0062371246940102765
Western Europe,1822,71.819206717559,54.7676730573723,87.5152235163786,96.5858861846026,99.7103520402005,28.180793282441,45.2323269426277,12.484776483621403,3.4141138153973998,0.2896479597994954,32.7475504590063,9.070662668224003,3.1244658555979044
Western Offshoots,1822,52.3020879741258,53.8763532314536,84.072880505702,94.7581776256513,99.5340641232186,47.6979120258742,46.1236467685464,15.927119494297997,5.2418223743487005,0.46593587678140125,30.196527274248403,10.685297119949297,4.775886497567299
World,1822,75.4256442062658,79.2968006759164,96.2167938614041,99.21429781785261,99.9455521093935,24.5743557937342,20.7031993240836,3.783206138595901,0.7857021821473893,0.054447890606496685,16.919993185487698,2.9975039564485115,0.7312542915408926
East Asia,1823,77.7273268146468,91.7139113268338,99.4002434980502,99.95475456492811,99.9997591904332,22.2726731853532,8.286088673166205,0.5997565019497983,0.04524543507189094,0.00024080956680450072,7.6863321712164066,0.5545110668779074,0.04500462550508644
Eastern Europe and former USSR,1823,89.39242850749,91.5501339723288,95.9554999218322,98.8150258606204,99.94940984566409,10.607571492510004,8.449866027671206,4.0445000781678,1.1849741393796052,0.0505901543359073,4.405365949503405,2.8595259387881953,1.1343839850436979
Latin America and Caribbean,1823,85.5648526313488,83.8117467565435,97.2393714270749,99.5554642762047,99.9788737086638,14.4351473686512,16.1882532434565,2.7606285729251,0.4445357237952976,0.02112629133620203,13.4276246705314,2.3160928491298023,0.42340943245909557
Middle East and North Africa,1823,74.31320562853409,81.4670396045066,96.7019320404307,99.3382716961474,99.9732224359689,25.686794371465908,18.532960395493404,3.2980679595692948,0.6617283038525983,0.026777564031092993,15.23489243592411,2.6363396557166965,0.6349507398215053
South and South-East Asia,1823,68.6942532091535,68.1102341180183,96.0547468761907,99.625932971729,99.9979600420574,31.3057467908465,31.889765881981702,3.9452531238092945,0.3740670282709999,0.0020399579425998127,27.944512758172408,3.5711860955382946,0.3720270703284001
Sub-Saharan Africa,1823,87.1776460575392,91.5455613446523,99.6651508103383,99.9915989887854,99.9985091845124,12.822353942460794,8.454438655347701,0.3348491896616963,0.008401011214601795,0.0014908154875996615,8.119589465686005,0.3264481784470945,0.006910195727002133
Western Europe,1823,71.3087669803584,54.0248300927485,87.19473245170039,96.4873421920478,99.7014799372591,28.6912330196416,45.9751699072515,12.80526754829961,3.512657807952195,0.2985200627409057,33.16990235895189,9.292609740347416,3.214137745211289
Western Offshoots,1823,52.1748031260627,53.766822331472,84.295080568039,94.9248072629972,99.5604059639725,47.8251968739373,46.233177668528,15.704919431961002,5.075192737002794,0.4395940360275006,30.528258236566998,10.629726694958208,4.635598700975294
World,1823,75.3046082241567,79.2390113586316,96.1666251674146,99.19852389200071,99.9442610632305,24.695391775843305,20.7609886413684,3.833374832585406,0.8014761079992923,0.055738936769500924,16.927613808782993,3.0318987245861138,0.7457371712297913
East Asia,1824,77.79074130842841,91.91427226133429,99.4182583658477,99.95605302083031,99.9997644709764,22.20925869157159,8.08572773866571,0.5817416341522943,0.04394697916968937,0.00023552902359824657,7.503986104513416,0.5377946549826049,0.043711450146091124
Eastern Europe and former USSR,1824,88.73124742456831,91.4065446949001,95.9231560892485,98.8134791570234,99.9494138048867,11.26875257543169,8.593455305099894,4.076843910751506,1.1865208429766056,0.050586195113297094,4.516611394348388,2.890323067774901,1.1359346478633086
Latin America and Caribbean,1824,85.5763739104036,83.82545770495699,97.24487852813239,99.5593811529173,99.97931314807201,14.423626089596397,16.17454229504301,2.7551214718676107,0.44061884708270327,0.0206868519279908,13.4194208231754,2.3145026247849074,0.41993199515471247
Middle East and North Africa,1824,74.1783300955404,81.358169855678,96.6792473196365,99.33431877487689,99.97310734715211,25.821669904459597,18.641830144322,3.3207526803634977,0.6656812251231088,0.02689265284789144,15.321077463958503,2.655071455240389,0.6387885722752173
South and South-East Asia,1824,68.7009938688084,68.0918144465452,96.0478047841397,99.62501533957901,99.99795506246019,31.299006131191604,31.9081855534548,3.9521952158603,0.3749846604209921,0.002044937539807279,27.9559903375945,3.577210555439308,0.3729397228811848
Sub-Saharan Africa,1824,86.8328411719252,91.29178024286901,99.6501949339964,99.9909671385919,99.9985504120961,13.167158828074804,8.70821975713099,0.3498050660035972,0.009032861408101667,0.0014495879039060355,8.358414691127393,0.3407722045954955,0.007583273504195631
Western Europe,1824,70.5572072104657,52.9754624298294,86.6834836216956,96.31323749642881,99.6850973344217,29.442792789534295,47.0245375701706,13.3165163783044,3.686762503571188,0.3149026655783018,33.7080211918662,9.629753874733211,3.3718598379928864
Western Offshoots,1824,50.8180199009486,52.3913847235846,83.7043831346785,94.7353314853,99.5431125886988,49.1819800990514,47.6086152764154,16.295616865321506,5.264668514700006,0.4568874113011958,31.312998411093893,11.0309483506215,4.80778110339881
World,1824,75.1451458001532,79.1250433739178,96.07684711676781,99.1665142698599,99.9412426425181,24.8548541998468,20.874956626082195,3.9231528832321914,0.8334857301400973,0.0587573574818947,16.951803742850004,3.089667153092094,0.7747283726582026
East Asia,1825,77.8541800200482,92.1147251148937,99.4362798262289,99.9573519462137,99.999769752928,22.145819979951796,7.885274885106298,0.5637201737711024,0.042648053786294327,0.00023024707199681416,7.321554711335196,0.5210721199848081,0.04241780671429751
Eastern Europe and former USSR,1825,88.3354243802301,91.3223873657837,95.9021003958357,98.8123467138193,99.9494085932626,11.664575619769906,8.677612634216302,4.097899604164297,1.187653286180705,0.05059140673739648,4.579713030052005,2.9102463179835922,1.1370618794433085
Latin America and Caribbean,1825,85.47566686003199,83.6921862594701,97.2087278454472,99.5521076808645,99.97921982557149,14.524333139968007,16.307813740529895,2.7912721545528,0.4478923191355051,0.020780174428509213,13.516541585977095,2.343379835417295,0.4271121447069959
Middle East and North Africa,1825,74.0421446983579,81.2494004719724,96.6568643541737,99.330476871302,99.97300038388471,25.9578553016421,18.750599528027607,3.343135645826294,0.6695231286980032,0.026999616115290337,15.407463882201313,2.6736125171282907,0.6425235125827129
South and South-East Asia,1825,68.6623250502295,68.0630561840219,96.0401736455732,99.62403829260509,99.9979499768198,31.337674949770502,31.936943815978097,3.959826354426795,0.3759617073949073,0.0020500231802031976,27.977117461551302,3.583864647031888,0.3739116842147041
Sub-Saharan Africa,1825,86.4877236816205,91.0378325944618,99.6352343679635,99.9903351268456,99.9985914832364,13.512276318379506,8.962167405538196,0.3647656320364945,0.00966487315440645,0.0014085167636039841,8.597401773501701,0.35510075888208803,0.008256356390802466
Western Europe,1825,70.9163804205866,53.2584709267635,86.9801534087227,96.4736774516825,99.70689144100649,29.083619579413394,46.7415290732365,13.0198465912773,3.526322548317495,0.2931085589935094,33.7216824819592,9.493524042959805,3.2332139893239855
Western Offshoots,1825,49.6006186108846,51.158832779765994,83.189899725587,94.582298375998,99.53134975880519,50.3993813891154,48.841167220234006,16.810100274413003,5.417701624002007,0.46865024119480836,32.031066945821,11.392398650410996,4.949051382807198
World,1825,75.1571346799761,79.2061894794357,96.1127964599875,99.1867771020167,99.944229418755,24.842865320023904,20.793810520564307,3.887203540012493,0.8132228979832945,0.05577058124499956,16.906606980551814,3.0739806420291984,0.7574523167382949
East Asia,1826,77.9177281179098,92.3152147624735,99.4543007552796,99.958650621213,99.99977503078989,22.082271882090197,7.684785237526498,0.5456992447203959,0.04134937878700384,0.00022496921010883852,7.139085992806102,0.504349865933392,0.041124409576895005
Eastern Europe and former USSR,1826,88.1221860140396,91.2802611587927,95.8903389663603,98.81151532745311,99.9494012020138,11.877813985960401,8.719738841207302,4.109661033639696,1.1884846725468918,0.05059879798619704,4.610077807567606,2.9211763610928045,1.1378858745606948
Latin America and Caribbean,1826,85.4570129599087,83.7149468533103,97.218406547478,99.5571513053699,99.9798610796207,14.542987040091305,16.285053146689705,2.781593452522003,0.4428486946301007,0.020138920379295655,13.503459694167702,2.3387447578919023,0.422709774250805
Middle East and North Africa,1826,73.9070544757392,81.13989244439679,96.63421564071129,99.3265662927582,99.972889508797,26.0929455242608,18.860107555603207,3.3657843592887104,0.6734337072417986,0.027110491203004017,15.494323196314497,2.692350652046912,0.6463232160387946
South and South-East Asia,1826,68.6044562372251,68.0299087877702,96.0322818256258,99.6230351977282,99.9979449878507,31.395543762774906,31.970091212229804,3.9677181743741983,0.3769648022718002,0.0020550121492988183,28.002373037855605,3.590753372102398,0.37490979012250136
Sub-Saharan Africa,1826,86.1423347424196,90.7837410356319,99.6202694141944,99.9897029639483,99.998632408006,13.857665257580393,9.216258964368095,0.3797305858056035,0.010297036051696296,0.0013675919939970527,8.836528378562491,0.3694335497539072,0.008929444057699243
Western Europe,1826,70.7770441534475,53.049536618057004,86.9937442058837,96.52066977208979,99.718476787095,29.222955846552495,46.950463381942996,13.0062557941163,3.4793302279102107,0.28152321290500026,33.944207587826696,9.526925566206089,3.1978070150052105
Western Offshoots,1826,48.8785077435251,50.44034212626261,83.0020287425685,94.5734365709838,99.53741408036369,51.1214922564749,49.55965787373739,16.9979712574315,5.426563429016198,0.4625859196363109,32.56168661630589,11.571407828415303,4.9639775093798875
World,1826,75.114252657869,79.228903124461,96.1109958773081,99.1918745251487,99.945916670566,24.885747342130998,20.771096875539,3.889004122691901,0.8081254748512947,0.0540833294339933,16.8820927528471,3.0808786478406063,0.7540421454173014
East Asia,1827,77.98134103631081,92.51576829718971,99.47232472697681,99.95994940988349,99.9997803073808,22.01865896368919,7.484231702810291,0.527675273023192,0.04005059011650758,0.00021969261919707606,6.956556429787099,0.48762468290668437,0.0398308974973105
Eastern Europe and former USSR,1827,87.40102613491621,91.116015019468,95.84824515581441,98.80927064936729,99.9493944006467,12.598973865083792,8.883984980532006,4.151754844185589,1.190729350632708,0.05060559935330389,4.732230136346416,2.9610254935528815,1.140123751279404
Latin America and Caribbean,1827,85.36940555840789,83.5192231760258,97.1649861832354,99.5459768211148,99.97935851146221,14.630594441592109,16.480776823974196,2.835013816764601,0.45402317888519406,0.02064148853779102,13.645763007209595,2.380990637879407,0.43338169034740304
Middle East and North Africa,1827,73.7708103654095,81.03014540826629,96.6116530872707,99.322686821516,99.97278094838819,26.229189634590497,18.969854591733707,3.388346912729304,0.677313178483999,0.02721905161180871,15.581507679004403,2.711033734245305,0.6500941268721903
South and South-East Asia,1827,68.57734445143731,68.0038787354421,96.0248724349614,99.6220831932455,99.9979400285463,31.422655548562687,31.9961212645579,3.975127565038605,0.3779168067544987,0.002059971453704179,28.020993699519295,3.597210758284106,0.3758568353007945
Sub-Saharan Africa,1827,85.9574233720367,90.6467893184159,99.61173296011569,99.9888784519101,99.99866959070441,14.0425766279633,9.353210681584102,0.38826703988431177,0.0111215480899034,0.0013304092955905844,8.96494364169979,0.37714549179440837,0.009791138794312815
Western Europe,1827,70.68611087382179,52.7272619518931,86.8884173935661,96.5069407357274,99.7177888305748,29.31388912617821,47.2727380481069,13.111582606433899,3.4930592642726026,0.28221116942519586,34.161155441673,9.618523342161296,3.2108480948474067
Western Offshoots,1827,48.249888079092,49.8161909467434,82.88124190413299,94.5956541174939,99.5476524628352,51.750111920908,50.1838090532566,17.11875809586701,5.404345882506107,0.4523475371647976,33.065050957389595,11.714412213360902,4.951998345341309
World,1827,75.0452392460091,79.2253772314169,96.0900198437723,99.18772472996051,99.9457415266408,24.954760753990897,20.7746227685831,3.9099801562277037,0.8122752700394926,0.05425847335919798,16.864642612355397,3.097704886188211,0.7580167966802946
East Asia,1828,78.0450542494784,92.7163605168486,99.4903485581484,99.96124799280089,99.9997855803189,21.954945750521603,7.283639483151404,0.5096514418516023,0.03875200719910765,0.000214419681100253,6.773988041299802,0.4708994346524946,0.0385375875180074
Eastern Europe and former USSR,1828,86.5308983407988,90.821120107902,95.7789812069179,98.8062942950539,99.9493856567035,13.4691016592012,9.178879892097996,4.221018793082095,1.1937057049460975,0.05061434329650183,4.957861099015901,3.0273130881359975,1.1430913616495957
Latin America and Caribbean,1828,85.3443853171749,83.4692664443685,97.1538721107208,99.5455607617672,99.9795607070798,14.655614682825103,16.5307335556315,2.8461278892792023,0.4544392382327942,0.020439292920201524,13.684605666352297,2.391688651046408,0.43399994531259267
Middle East and North Africa,1828,73.6336752114458,80.9200364016391,96.589132985428,99.3188336090962,99.97267465125151,26.366324788554195,19.079963598360905,3.4108670145720055,0.6811663909037975,0.027325348748490796,15.6690965837889,2.729700623668208,0.6538410421553067
South and South-East Asia,1828,68.5663380685114,67.9815739023595,96.0176979944392,99.6211475164911,99.9979350854431,31.4336619314886,32.0184260976405,3.982302005560797,0.37885248350889356,0.002064914556896724,28.036124092079703,3.6034495220519034,0.37678756895199683
Sub-Saharan Africa,1828,85.77234192690149,90.5097461804657,99.6031936287122,99.9880538405739,99.99870667726721,14.22765807309851,9.490253819534303,0.39680637128779495,0.011946159426102554,0.001293322732792035,9.093447448246508,0.3848602118616924,0.010652836693310519
Western Europe,1828,70.6375545316492,52.5724016423507,86.9228453998534,96.5615218437003,99.7288613546024,29.3624454683508,47.4275983576493,13.0771546001466,3.438478156299695,0.271138645397599,34.3504437575027,9.638676443846904,3.167339510902096
Western Offshoots,1828,47.7545229688889,49.329973927950796,82.8519124223539,94.6582173343334,99.5627556336719,52.2454770311111,50.670026072049204,17.148087577646095,5.341782665666599,0.4372443663281018,33.52193849440311,11.806304911979495,4.904538299338498
World,1828,74.9764483057202,79.2414111856211,96.0926948800698,99.1951747769374,99.9475086544775,25.023551694279803,20.758588814378896,3.9073051199302,0.8048252230625934,0.05249134552249757,16.851283694448696,3.1024798968676066,0.7523338775400958
East Asia,1829,78.1087931710926,92.9170408865604,99.5083786308995,99.9625470159137,99.9997908544936,21.8912068289074,7.0829591134396,0.4916213691004998,0.03745298408630049,0.00020914550640327434,6.5913377443391,0.4541683850141993,0.037243838579897215
Eastern Europe and former USSR,1829,85.9711720378498,90.46995368854151,95.7409905920731,98.8043708175595,99.9493876368827,14.028827962150203,9.530046311458491,4.2590094079268965,1.1956291824404985,0.050612363117295445,5.271036903531595,3.063380225486398,1.145016819323203
Latin America and Caribbean,1829,85.3067608586335,83.4323159013603,97.1466369738681,99.5463172876897,99.9799476071001,14.693239141366504,16.567684098639702,2.853363026131902,0.45368271231029667,0.02005239289989902,13.7143210725078,2.399680313821605,0.43363031941039765
Middle East and North Africa,1829,73.4973295564916,80.8100068448012,96.56660887152209,99.3149852433584,99.97256963944649,26.502670443508407,19.189993155198806,3.4333911284779077,0.6850147566416069,0.02743036055350956,15.756602026720898,2.748376371836301,0.6575843960880974
South and South-East Asia,1829,68.5605810104981,67.9601639537069,96.0105594221727,99.6202089787528,99.9979302153711,31.439418989501903,32.039836046293104,3.9894405778272954,0.37979102124720043,0.0020697846289010613,28.05039546846581,3.609649556580095,0.37772123661829937
Sub-Saharan Africa,1829,85.5873033415981,90.3727316145162,99.5946534430351,99.98722920009399,99.99874373565069,14.412696658401899,9.627268385483802,0.40534655696490063,0.012770799906007824,0.001256264349308367,9.221921828518902,0.3925757570588928,0.011514535556699457
Western Europe,1829,70.3158860767288,52.079190795440496,86.7633838085456,96.5345566453673,99.7297176627244,29.684113923271198,47.920809204559504,13.236616191454402,3.465443354632697,0.2702823372756029,34.6841930131051,9.771172836821705,3.195161017357094
Western Offshoots,1829,48.373953668994204,49.9918807046298,83.6130894018974,95.0515133076012,99.6138472572711,51.626046331005796,50.0081192953702,16.386910598102602,4.948486692398802,0.3861527427288962,33.6212086972676,11.4384239057038,4.562333949669906
World,1829,74.9095529276493,79.2200011628316,96.07803444770761,99.1949834594109,99.94823570498839,25.0904470723507,20.779998837168407,3.9219655522923915,0.8050165405890937,0.0517642950116084,16.858033284876015,3.116949011703298,0.7532522455774853
East Asia,1830,78.1725977206339,93.1177824901809,99.5264115147326,99.96384613398381,99.9997961272931,21.827402279366098,6.8822175098191,0.47358848526739905,0.03615386601619264,0.00020387270690491732,6.408629024551701,0.4374346192512064,0.03594999330928772
Eastern Europe and former USSR,1830,86.2963112960326,90.6665794284114,95.7671800910383,98.8052804727558,99.9493810767626,13.703688703967401,9.333420571588604,4.232819908961702,1.194719527244203,0.05061892323739414,5.100600662626903,3.0381003817174985,1.144100604006809
Latin America and Caribbean,1830,85.2729459127973,83.335804421814,97.1224518052644,99.5432109012499,99.9799628116665,14.727054087202703,16.664195578185996,2.8775481947355956,0.4567890987500931,0.020037188333503764,13.7866473834504,2.4207590959855025,0.43675191041658934
Middle East and North Africa,1830,73.36122079192961,80.6997431798125,96.54412964086309,99.3111647958134,99.9724665351484,26.63877920807039,19.3002568201875,3.4558703591369095,0.6888352041866028,0.027533464851600797,15.84438646105059,2.7670351549503067,0.661301739335002
South and South-East Asia,1830,68.545771116461,67.9367231336213,96.0032962745291,99.6192569454058,99.9979253250973,31.454228883539002,32.0632768663787,3.996703725470894,0.38074305459420543,0.00207467490270119,28.066573140907806,3.6159606708766887,0.37866837969150424
Sub-Saharan Africa,1830,87.5754142499365,91.8133240011065,99.6762237606145,99.9902220609396,99.9987792219099,12.4245857500635,8.186675998893506,0.32377623938549505,0.009777939060398921,0.0012207780901007936,7.862899759508011,0.3139983003250961,0.008557160970298128
Western Europe,1830,70.4100008518063,52.027173930302,86.8334798206428,96.6017077950209,99.74070861418261,29.589999148193698,47.972826069698,13.166520179357207,3.3982922049791,0.25929138581739153,34.806305890340795,9.768227974378107,3.1390008191617085
Western Offshoots,1830,45.358459416061706,46.8816292376235,81.8438609584549,94.395933690662,99.5519822692629,54.641540583938294,53.1183707623765,18.156139041545103,5.604066309337995,0.4480177307371065,34.9622317208314,12.552072732207108,5.156048578600888
World,1830,74.94957245562371,79.2729949781268,96.0637944710768,99.193933978468,99.9488640665478,25.05042754437629,20.727005021873197,3.936205528923196,0.8060660215320041,0.05113593345220124,16.79079949295,3.130139507391192,0.7549300880798029
East Asia,1831,78.24731534185601,93.3143584910907,99.54385691547711,99.9650839583833,99.99980084757199,21.75268465814399,6.685641508909299,0.45614308452289265,0.0349160416166967,0.00019915242801005206,6.229498424386406,0.42122704290619595,0.03471688918868665
Eastern Europe and former USSR,1831,86.78010679143429,90.9553962065751,95.8038023124291,98.80640204874351,99.9493761138458,13.219893208565708,9.044603793424898,4.196197687570901,1.1935979512564927,0.05062388615419877,4.8484061058539965,3.0025997363144086,1.142974065102294
Latin America and Caribbean,1831,85.2675670447448,83.3337640357918,97.1145880377859,99.5424482793261,99.98016027479039,14.732432955255206,16.666235964208198,2.885411962214107,0.45755172067390504,0.019839725209607195,13.780824001994091,2.427860241540202,0.43771199546429784
Middle East and North Africa,1831,73.2227977082799,80.58881175476171,96.5217197787395,99.3073783109151,99.97236612934721,26.7772022917201,19.411188245238293,3.478280221260505,0.692621689084902,0.027633870652792325,15.932908023977788,2.785658532175603,0.6649878184321096
South and South-East Asia,1831,68.5314909947192,67.9133307012527,95.99604332932981,99.61830543889721,99.9979204716292,31.468509005280794,32.086669298747296,4.003956670670192,0.38169456110279043,0.0020795283707997214,28.082712628077104,3.6222621095674015,0.3796150327319907
Sub-Saharan Africa,1831,89.5635563620055,93.25389185842769,99.7577909739799,99.9932148097375,99.9988145994695,10.4364436379945,6.746108141572307,0.24220902602010597,0.006785190262505125,0.001185400530502534,6.503899115552201,0.23542383575760084,0.005599789732002591
Western Europe,1831,70.0998356381345,51.5122723644863,86.6507009429211,96.5664104405981,99.7426281881262,29.900164361865507,48.4877276355137,13.349299057078895,3.433589559401895,0.25737181187379576,35.138428578434805,9.915709497677,3.1762177475280993
Western Offshoots,1831,42.8192883209315,44.260166009409105,80.2585111231499,93.7916302168739,99.49563909485461,57.1807116790685,55.739833990590895,19.7414888768501,6.208369783126102,0.5043609051453899,35.9983451137408,13.533119093723997,5.704008877980712
World,1831,74.94343142736581,79.2346422925531,96.0016994851496,99.1747852574968,99.9479546553498,25.05656857263419,20.765357707446896,3.998300514850399,0.8252147425032064,0.05204534465019606,16.767057192596496,3.173085772347193,0.7731693978530103
East Asia,1832,78.3220339590418,93.5109356005816,99.56130251594641,99.9663217992348,99.9998055679267,21.677966040958196,6.489064399418396,0.4386974840535913,0.03367820076519479,0.0001944320733002769,6.050366915364805,0.40501928328839654,0.03348376869189451
Eastern Europe and former USSR,1832,86.9549479651461,91.05315410336749,95.81795421855101,98.80644547759479,99.9493677695209,13.045052034853896,8.94684589663251,4.182045781448991,1.1935545224052078,0.0506322304790956,4.764800115183519,2.9884912590437835,1.1429222919261122
Latin America and Caribbean,1832,85.1630227057073,83.18537806968,97.081624272906,99.5391615660849,99.9805323516182,14.836977294292694,16.81462193032,2.918375727094002,0.46083843391510015,0.019467648381805702,13.896246203226,2.457537293178902,0.44137078553329445
Middle East and North Africa,1832,73.0844136152737,80.47769401445531,96.4993402229573,99.3036098483268,99.9722673786255,26.915586384726296,19.52230598554469,3.5006597770426993,0.6963901516731994,0.027732621374497057,16.02164620850199,2.8042696253695,0.6686575302987023
South and South-East Asia,1832,68.5525557657256,67.932166734263,95.9996756388168,99.6187789399392,99.9979240511183,31.4474442342744,32.067833265736994,4.000324361183203,0.3812210600607955,0.0020759488816963767,28.06750890455379,3.619103301122408,0.3791451111790991
Sub-Saharan Africa,1832,89.8084242959068,93.4234553383364,99.7657040748264,99.993589508378,99.9988461549153,10.191575704093196,6.576544661663604,0.23429592517359765,0.00641049162200602,0.0011538450847012882,6.342248736490006,0.22788543355159163,0.005256646537304732
