"Entity","Year","coveragetype","datatype","IsSurveyYear","ISO3DataYearCovType","ISO3Year","headcount_ratio_1_00","poverty_gap_index_1_00","headcount_1_00","income_gap_ratio_1_00","headcount_ratio_1_90","poverty_gap_index_1_90","headcount_1_90","income_gap_ratio_1_90","headcount_ratio_3_20","poverty_gap_index_3_20","headcount_3_20","income_gap_ratio_3_20","headcount_ratio_5_50","poverty_gap_index_5_50","headcount_5_50","income_gap_ratio_5_50","headcount_ratio_10_00","poverty_gap_index_10_00","headcount_10_00","income_gap_ratio_10_00","poverty_gap_index_15_00","headcount_15_00","income_gap_ratio_15_00","headcount_ratio_20_00","poverty_gap_index_20_00","headcount_20_00","income_gap_ratio_20_00","headcount_ratio_30_00","poverty_gap_index_30_00","headcount_30_00","income_gap_ratio_30_00","headcount_ratio_40_00","poverty_gap_index_40_00","headcount_40_00","income_gap_ratio_40_00","headcount_ratio_40_median","poverty_gap_index_40_median","headcount_40_median","income_gap_ratio_40_median","headcount_ratio_50_median","poverty_gap_index_50_median","headcount_50_median","income_gap_ratio_50_median","headcount_ratio_60_median","poverty_gap_index_60_median","headcount_60_median","income_gap_ratio_60_median","total_shortall_daily_1_00","total_shortall_daily_1_90","total_shortall_daily_3_20","total_shortall_daily_5_50","total_shortall_daily_10_00","total_shortall_daily_15_00","total_shortall_daily_20_00","total_shortall_daily_30_00","total_shortall_daily_40_00","total_shortall_daily_40_median","total_shortall_daily_50_median","total_shortall_daily_60_median","avg_shortfall_1_00","avg_shortfall_1_90","avg_shortfall_3_20","avg_shortfall_5_50","avg_shortfall_10_00","avg_shortfall_15_00","avg_shortfall_20_00","avg_shortfall_30_00","avg_shortfall_40_00"
"Angola",1991,"N","consumption",FALSE,"AGO:1991:N:c","AGO1991",13.81025,5.590113,1691604,40.2493377310529,29.63377,13.21604,3629811,44.5233460126913,51.72448,24.53711,6335680,47.3889107488611,74.95717,41.34942,9181430,55.1561400229413,90.53272,60.78673,11089263,67.1262428148423,71.65897,11665795,75.2313976804093,97.48319,77.9061,11940619,79.9458058707743,98.77263,84.64518,12098562,85.7217487204338,99.2146,88.23677,12152698,88.9095718271944,17.70381,7.538822,2168522,42.3848175544226,23.44608,10.1901,2871887,43.3909643236239,28.83105,12.83714,3531487,44.4440980132145,0.05590113,0.25110476,0.78518752,2.2742181,6.078673,10.7488455,15.58122,25.393554,35.294708,0.09325522814,0.157640847,0.2382573184,0.402493377310529,0.845943574241135,1.51644514396356,3.03358770126177,6.71262428148423,11.2847096520614,15.9891611741549,25.7165246161301,35.5638287308778
"Angola",1992,"N","consumption",FALSE,"AGO:1992:N:c","AGO1992",15.39838,6.390439,1949029,41.2788992384701,32.66512,14.7984,4134544,45.2833950297164,55.91732,27.13846,7077660,48.4836199869773,78.31122,44.48589,9912138,56.7675908564819,91.97429,63.49262,11641523,69.0465640062634,73.80636,12197631,76.6013206964336,97.74493,79.65607,12371934,81.490846038719,98.91343,85.90557,12519835,86.8180773360891,99.42273,89.22117,12584299,89.7162270321625,17.72551,7.546108,2243583,42.4406660166777,23.4487,10.19318,2967988,43.4104101587418,28.83105,12.83483,3649252,44.4413820564373,0.06390439,0.2811696,0.86843072,2.44672395,6.349262,11.070954,15.931214,25.771671,35.688468,0.08512009824,0.143723838,0.2170369753,0.412788992384701,0.860384505564612,1.55147583958327,3.1222174971065,6.90465640062634,11.490198104465,16.2981692077438,26.0454232008267,35.886490812865
"Angola",1993,"N","consumption",FALSE,"AGO:1993:N:c","AGO1993",22.67166,9.709085,2964331,42.8004315213721,46.07425,21.39541,6024231,46.4314994324719,69.05744,36.66352,9029294,53.081271075647,86.68025,54.61715,11333485,63.0257347455042,95.18957,71.52145,12446083,75.0877095028003,79.99722,12786204,81.7579772821436,98.74254,84.56278,12910635,85.6373192600739,99.43046,89.41326,13000581,89.9169667055595,99.6574,91.95392,13030254,92.2835022024409,17.72551,7.545185,2317619,42.425200034927,23.44387,10.18558,3065297,43.3729382766611,28.83497,12.84284,3770186,44.4658262666087,0.09709085,0.40651279,1.17323264,3.00394325,7.152145,11.999583,16.912556,26.823978,36.781568,0.0626250355,0.1056244646,0.159893358,0.428004315213721,0.882198489216966,1.6986006744207,3.46641541100273,7.50877095028003,12.2636965923215,17.1274638520148,26.9750900116678,36.9134008809764
"Angola",1994,"N","consumption",FALSE,"AGO:1994:N:c","AGO1994",23.09792,9.956868,3119085,42.9382934449006,46.95678,21.86683,6340925,46.5459461116783,69.94141,37.27997,9444711,53.2798329065203,87.15558,55.22235,11769269,63.3574226258054,95.4244,71.96787,12885870,75.3981997400198,80.33231,13216832,82.0992148959465,98.78566,84.82967,13339766,85.82026239488,99.43077,89.60137,13426880,90.1060295725863,99.67581,92.09862,13459969,92.3366413021106,17.70381,7.540015,2390678,42.3914048256151,23.44608,10.19174,3166099,43.207507093485,28.83105,12.8347,3893272,44.4328241019522,0.09956868,0.41546977,1.19295904,3.03722925,7.196787,12.0498465,16.965934,26.880411,36.839448,0.0613757221,0.1037519132,0.156711687,0.429382934449006,0.884372976121888,1.70495465300865,3.4846582444193,7.53981997400198,12.314882234392,17.164052478976,27.0318088717759,36.9346565208442
"Angola",1995,"N","consumption",FALSE,"AGO:1995:N:c","AGO1995",20.35268,8.611805,2838223,42.2390969768008,42.09656,19.28785,5870452,45.7257322535107,65.83238,33.81122,9180461,51.3276873981544,84.40701,51.7443,11770731,61.2665241630918,94.56074,69.35916,13186690,73.3568740605065,78.35782,13598880,80.3273232214475,98.38377,83.26095,13719819,84.6609151760352,99.24481,88.49038,13839893,89.1641452492588,99.62387,91.24151,13892754,91.5717162733753,17.72551,7.546,2471859,42.4240903359319,23.44387,10.18426,3269296,43.1783014201452,28.83105,12.83824,4020549,44.4462920124732,0.08611805,0.36646915,1.08195904,2.8459365,6.935916,11.753673,16.65219,26.547114,36.496604,0.06844222,0.1153876658,0.174600064,0.422390969768008,0.868788912816703,1.64248599674094,3.36965882897005,7.33568740605065,12.0490984832171,16.932183035207,26.7492435747776,36.6286865093501
"Angola",1996,"N","consumption",FALSE,"AGO:1996:N:c","AGO1996",17.78486,7.573861,2561148,42.3526295356343,38.25956,17.18417,5509652,44.8886507365269,62.02716,30.81649,8932357,49.6453377976348,81.82731,48.61724,11783721,59.3897228934731,93.66261,66.89104,13488089,71.4241564989377,76.46828,13987027,78.7121141064898,98.04952,81.77311,14119836,83.4020884379799,99.14297,87.42465,14277301,88.1810455354009,99.59312,90.40922,14342125,90.831305636868,17.70381,7.543225,2549476,42.4189020592931,23.44608,10.18676,3376404,43.3807964065363,28.83105,12.83441,4151878,44.4396174995358,0.07573861,0.32649923,0.98612768,2.6739482,6.689104,11.470242,16.354622,26.227395,36.163688,0.07520595325,0.1269270296,0.1918744295,0.423526295356343,0.852884363994011,1.58865080952431,3.26643475914102,7.14241564989377,11.8068171159735,16.680417687596,26.4543136606203,36.3325222547472
"Angola",1997,"N","consumption",FALSE,"AGO:1997:N:c","AGO1997",16.81089,7.193453,2500043,42.5967559653454,36.5385,16.40187,5433849,44.8325726744169,59.80394,29.65037,8893785,49.6041439224662,80.75094,47.34918,12008933,58.6289985124835,93.07418,65.8638,13841592,70.7815492381162,75.67176,14415846,78.0545595103042,97.99405,81.14298,14573254,82.8444044472484,99.07813,86.97116,14734473,87.8102280261563,99.48773,90.05575,14795387,90.4706587536853,17.72551,7.546543,2636062,42.4259338433625,23.4518,10.19374,3487651,43.4034092960667,28.83105,12.83468,4287630,44.4347708081696,0.07193453,0.31163553,0.94881184,2.6042049,6.58638,11.350764,16.228596,26.091348,36.0223,0.07818218548,0.132008933,0.1993225804,0.425967559653454,0.851818880813921,1.58733260551892,3.22459491818659,7.07815492381162,11.7081839265456,16.5688808894497,26.3430684078469,36.1882635014741
"Angola",1998,"N","consumption",FALSE,"AGO:1998:N:c","AGO1998",16.64881,7.063062,2557191,42.3252057666346,35.89915,16.1317,5513966,44.9563836445989,59.32534,29.24222,9112136,49.2502178070258,80.29788,46.89701,12333434,58.3564639887289,92.92197,65.49324,14272444,70.4558698343209,75.38199,14871070,77.8346113636766,97.96975,80.91324,15047763,82.6090844796454,99.01599,86.80659,15208461,87.6426817050954,99.4752,89.92705,15278994,90.4301643514881,17.72551,7.5452,2722568,42.4182476190065,23.44608,10.18694,3601224,43.3747041907057,28.83497,12.84286,4428936,44.463788853406,0.07063062,0.3065023,0.93575104,2.57933555,6.549324,11.3072985,16.182648,26.041977,35.97082,0.0792246,0.1336526528,0.202275045,0.423252057666346,0.854171289247379,1.57600696982483,3.20960551938009,7.04558698343209,11.6751917045515,16.5218168959291,26.2928045115286,36.1720657405952
"Angola",1999,"N","consumption",FALSE,"AGO:1999:N:c","AGO1999",16.79438,7.168029,2664742,42.4620237668942,36.36245,16.3489,5769582,44.9362129531172,59.65953,29.57083,9466099,49.4717114537488,80.53792,47.26117,12778846,58.5920805414285,93.06309,65.7918,14766199,70.7037581477262,75.61549,15380408,77.995438805852,97.99208,81.09839,15548275,82.797680733909,99.04209,86.93913,15714879,87.7785521719064,99.48765,90.03079,15785575,90.4486568901476,17.70381,7.539282,2809040,42.4017483385287,23.44608,10.18938,3720159,43.3941797916935,28.83497,12.84382,4575207,44.4684179727526,0.07168029,0.3106291,0.94626656,2.59936435,6.57918,11.3423235,16.219678,26.081739,36.012316,0.07825774716,0.1322581524,0.2001067156,0.424620237668942,0.853788046109227,1.58309476651996,3.22256442977857,7.07037581477262,11.6993158208778,16.5595361467818,26.3335656515719,36.179462756059
"Angola",2000,"N","consumption",TRUE,"AGO:2000:N:c","AGO2000",16.81089,7.193839,2756225,42.5987105018179,36.54118,16.40268,5991099,44.8352505988809,59.80394,29.65158,9805139,49.6058036887658,80.75094,47.35052,13239499,58.6309880478329,93.07418,65.86489,15259952,70.7814399329305,75.67262,15893050,78.0554773327629,97.99405,81.14366,16066588,82.8460326797242,99.07813,86.97164,16244328,87.8118510674868,99.48773,90.05612,16311484,90.4720811111073,17.70381,7.537134,2902623,42.3721022197141,23.44387,10.18404,3843733,43.3617362181094,28.83105,12.83532,4726987,44.4370440312757,0.07193839,0.31165092,0.94885056,2.6042786,6.586489,11.350893,16.228732,26.091492,36.022448,0.0780093369,0.1317814776,0.1993325196,0.425987105018179,0.851869761378737,1.58738571804051,3.22470434263081,7.07814399329305,11.7083215999144,16.5692065359448,26.343555320246,36.1888324444429
"Angola",2001,"N","consumption",FALSE,"AGO:2001:N:c","AGO2001",17.71732,7.236797,3002333,40.6720330144355,38.33782,17.11435,6496632,44.5832689949472,61.61043,30.81603,10440351,49.9625364897047,81.78956,48.60126,13859857,59.4395252095954,93.55847,66.8599,15854187,71.4655836846035,76.43716,16464483,78.6779457352581,98.14311,81.7603,16631089,83.3015502998406,99.10455,87.41707,16794012,88.1696623509622,99.53533,90.40353,16867011,90.8151391757077,17.63453,7.194943,2988304,40.665057027435,23.88098,9.91321,4046812,41.4881258079522,29.05608,12.66304,4923772,43.5305492821878,0.07236797,0.32517265,0.98611296,2.6730693,6.68599,11.465574,16.35206,26.225121,36.161412,0.07166163228,0.1234194645,0.1891858176,0.406720330144355,0.847082110903997,1.59880116767055,3.26917388652775,7.14655836846035,11.8016918602887,16.6603100599681,26.4508987052887,36.3260556702831
"Angola",2002,"N","consumption",FALSE,"AGO:2002:N:c","AGO2002",16.73937,6.350573,2932640,37.7930496714647,36.64568,16.18178,6420109,44.1019719248246,59.87273,29.67482,10489353,49.5551462276619,80.84493,47.37387,14163560,58.5799165749106,93.14275,65.88778,16318067,70.7279203510692,75.67877,16976678,78.0584964948055,98.13791,81.17151,17193190,82.7018931938239,99.10316,87.00751,17362296,87.7553932457079,99.54555,90.08434,17439800,90.4965758173243,17.0974,6.548026,2995365,38.2872202874825,23.57655,9.286644,4130474,39.3474868349837,28.93501,12.11344,5069245,41.7773344909602,0.06350573,0.30745382,0.94959424,2.60556285,6.588778,11.3518155,16.234302,26.102253,36.033736,0.06672438494,0.11831184456,0.1850933632,0.377930496714647,0.837937466571667,1.58576467928518,3.22189541162008,7.07279203510692,11.7087744742208,16.5403786387648,26.3266179737124,36.1986303269297
"Angola",2003,"N","consumption",FALSE,"AGO:2003:N:c","AGO2003",17.75127,6.466422,3216793,36.398470160338,39.54057,17.22612,7165336,43.5465490363377,62.68066,31.51154,11358663,50.2183128534639,82.86792,49.46885,15016893,59.7162461292329,93.98775,67.62482,17031970,71.9920439699286,77.03857,17633102,79.1515809882103,98.3772,82.26951,17827404,83.6668882911917,99.23069,87.80303,17982069,88.4835265157043,99.61483,90.70766,18051680,91.0464097325464,16.61608,5.965142,3011079,35.7929204247844,23.03748,8.701955,4174732,37.7301954052405,28.99498,11.62095,5254319,39.9884487218084,0.06466422,0.32729628,1.00836928,2.72078675,6.762482,11.5557855,16.453902,26.340909,36.283064,0.0569671061,0.10381432315,0.166412004,0.36398470160338,0.827384431690416,1.60698601131084,3.28439353710781,7.19920439699286,11.8727371482315,16.7333776582383,26.5450579547113,36.4185638930186
"Angola",2004,"N","consumption",FALSE,"AGO:2004:N:c","AGO2004",16.6094,5.738674,3115615,34.4250717253438,39.37697,16.54976,7386389,42.0438404103052,62.60709,31.00087,11743929,49.5575049221986,82.73104,49.10279,15518808,59.3415187295231,94.10233,67.43376,17651852,71.6313159188207,76.93021,18228229,79.1982261820128,98.46348,82.19797,18469922,83.4199582804414,99.30386,87.77061,18627562,88.3623066571309,99.5859,90.69082,18680468,91.1164903228911,15.19706,5.280165,2850687,34.8048309636794,22.21662,7.965053,4167426,35.7673271200392,28.6101,10.88607,5366724,37.9753604417749,0.05738674,0.31444544,0.99202784,2.70065345,6.743376,11.5395315,16.439594,26.331183,36.276328,0.05053117905,0.09526203388,0.1562151045,0.344250717253438,0.798832967795799,1.58584015751036,3.26378353012377,7.16313159188207,11.8797339273019,16.6839916560883,26.5086919971393,36.4465961291564
"Angola",2005,"N","consumption",FALSE,"AGO:2005:N:c","AGO2005",14.02683,4.670057,2725918,33.0908263027322,37.25767,14.93736,7240507,40.0451074546476,61.09383,29.25994,11872732,47.8992852103884,81.86833,47.5063,15909965,58.0247331960452,94.05642,66.30207,18278550,70.4886012376192,76.14747,18883940,78.3777557430593,98.46257,81.58823,19134824,82.8706012060348,99.26316,87.36463,19290407,88.025214479569,99.58548,90.38985,19353046,90.7983753961687,14.08192,4.698113,2736624,33.0553904604113,21.14902,7.30743,4110016,34.4492733606796,28.33918,10.22438,5507323,35.9879633064429,0.04670057,0.28380984,0.93631808,2.6128465,6.630207,11.4221205,16.317646,26.209389,36.15594,0.04712207339,0.0916351722,0.1537746752,0.330908263027322,0.760857041638304,1.53277712673243,3.19136032578249,7.04886012376192,11.7566633614589,16.574120241207,26.4075643438707,36.3193501584675
"Angola",2006,"N","consumption",FALSE,"AGO:2006:N:c","AGO2006",12.94082,3.935149,2607562,30.2683307118901,36.28901,13.91519,7312200,38.2488095583431,60.78444,28.36217,12248004,46.6725525374165,81.68209,46.90522,16458860,57.3704560857888,94.16453,66.04062,18974060,70.1447799631119,76.05213,19612096,78.126403034844,98.65521,81.54746,19878927,82.6705034378459,99.34352,87.37549,20017621,87.9561079268647,99.63489,90.41421,20076332,90.7388887428935,13.51403,4.153182,2723064,30.5382012369566,20.41387,6.675127,4113375,32.5721042605444,27.88105,9.570089,5618004,34.3162752830141,0.03935149,0.26438861,0.90758944,2.5797871,6.604062,11.4078195,16.309492,26.212647,36.165684,0.04252858368,0.0854416256,0.14699656704,0.302683307118901,0.726727381608519,1.49352168119733,3.15537508471838,7.01447799631119,11.7189604552266,16.5341006875692,26.3868323780594,36.2955554971574
"Angola",2007,"N","consumption",FALSE,"AGO:2007:N:c","AGO2007",10.63809,3.060232,2223931,28.7659614174543,34.39986,12.29587,7191416,35.8155971248979,59.57352,26.6118,12454061,44.6337164627425,81.39179,45.46165,17015249,55.8368625863077,94.09414,65.18714,19670722,69.2622783868973,75.53959,20377350,77.5431203221971,98.67712,81.19044,20628810,82.2450003727062,99.40899,87.17491,20781810,87.6860635075469,99.71988,90.28138,20846803,90.5421648876692,12.25534,3.51793,2562023,28.5143196155692,19.0025,5.883287,3972542,30.7433904312419,26.67076,8.673045,5575619,32.5639966832123,0.03060232,0.23362153,0.8515776,2.50039075,6.518714,11.3309385,16.238088,26.152473,36.112552,0.0372196994,0.07777705414,0.1375544937,0.287659614174543,0.68049634537306,1.42827892680776,3.07102744224692,6.92622783868973,11.6314680483296,16.4490000745412,26.3058190522641,36.2168659550677
"Angola",2008,"N","consumption",TRUE,"AGO:2008:N:c","AGO2008",9.167151,2.460114,1988872,26.6715578744259,33.23631,11.16218,7210828,33.5208568843353,58.59231,25.54858,12711973,43.6129159787183,81.30862,44.81799,17640421,55.0811541080226,94.67539,65.05476,20540426,68.7277652392421,75.61575,21241898,77.1992771016994,98.9428,81.32944,21466268,82.1943503882365,99.56957,87.33546,21602249,87.7352421260546,99.84455,90.43297,21661908,90.5756392416305,10.94821,3.015383,2375284,27.3590478732268,17.4764,5.262881,3791616,30.0568773977279,25.25835,7.972639,5479959,31.3832869138465,0.02460114,0.21208142,0.81755456,2.46498945,6.505476,11.3423625,16.265888,26.200638,36.173188,0.03253598257,0.07094363588,0.12899729902,0.266715578744259,0.63689628080237,1.39561331131899,3.02946347594124,6.87277652392421,11.5798915652549,16.4388700776473,26.3205726378164,36.2302556966522
