"","Entity","Year","X_1_9_per_day___share_of_population_below_poverty_line","X_1_9_per_day___poverty_gap_index","X_1_9_per_day___total_number_of_people_below_poverty_line","X_1_9_per_day___absolute_poverty_gap","X_1_9_per_day___income_gap_ratio","X_1_9_per_day___watts_index","X_3_2_per_day___share_of_population_below_poverty_line","X_3_2_per_day___poverty_gap_index","X_3_2_per_day___total_number_of_people_below_poverty_line","X_3_2_per_day___absolute_poverty_gap","X_3_2_per_day___income_gap_ratio","X_3_2_per_day___watts_index","X_5_5_per_day___share_of_population_below_poverty_line","X_5_5_per_day___poverty_gap_index","X_5_5_per_day___total_number_of_people_below_poverty_line","X_5_5_per_day___absolute_poverty_gap","X_5_5_per_day___income_gap_ratio","X_5_5_per_day___watts_index","X_10_per_day___share_of_population_below_poverty_line","X_10_per_day___poverty_gap_index","X_10_per_day___total_number_of_people_below_poverty_line","X_10_per_day___absolute_poverty_gap","X_10_per_day___income_gap_ratio","X_10_per_day___watts_index","X_15_per_day___share_of_population_below_poverty_line","X_15_per_day___poverty_gap_index","X_15_per_day___total_number_of_people_below_poverty_line","X_15_per_day___absolute_poverty_gap","X_15_per_day___income_gap_ratio","X_15_per_day___watts_index","X_20_per_day___share_of_population_below_poverty_line","X_20_per_day___poverty_gap_index","X_20_per_day___total_number_of_people_below_poverty_line","X_20_per_day___absolute_poverty_gap","X_20_per_day___income_gap_ratio","X_20_per_day___watts_index","X_30_per_day___share_of_population_below_poverty_line","X_30_per_day___poverty_gap_index","X_30_per_day___total_number_of_people_below_poverty_line","X_30_per_day___absolute_poverty_gap","X_30_per_day___income_gap_ratio","X_30_per_day___watts_index","X_40_per_day___share_of_population_below_poverty_line","X_40_per_day___poverty_gap_index","X_40_per_day___total_number_of_people_below_poverty_line","X_40_per_day___absolute_poverty_gap","X_40_per_day___income_gap_ratio","X_40_per_day___watts_index","X_40__of_median_income___share_of_population_below_poverty_line","X_40__of_median_income___poverty_gap_index","X_40__of_median_income___total_number_of_people_below_poverty_line","X_40__of_median_income___absolute_poverty_gap","X_40__of_median_income___income_gap_ratio","X_40__of_median_income___watts_index","X_50__of_median_income___share_of_population_below_poverty_line","X_50__of_median_income___poverty_gap_index","X_50__of_median_income___total_number_of_people_below_poverty_line","X_50__of_median_income___absolute_poverty_gap","X_50__of_median_income___income_gap_ratio","X_50__of_median_income___watts_index","X_60__of_median_income___share_of_population_below_poverty_line","X_60__of_median_income___poverty_gap_index","X_60__of_median_income___total_number_of_people_below_poverty_line","X_60__of_median_income___absolute_poverty_gap","X_60__of_median_income___income_gap_ratio","X_60__of_median_income___watts_index","Mean","Mean_estimated","Median","Median_estimated","PPP","Population","Decile_1___share_of_income_or_consumption","Decile_2___share_of_income_or_consumption","Decile_3___share_of_income_or_consumption","Decile_4___share_of_income_or_consumption","Decile_5___share_of_income_or_consumption","Decile_6___share_of_income_or_consumption","Decile_7___share_of_income_or_consumption","Decile_8___share_of_income_or_consumption","Decile_9___share_of_income_or_consumption","Decile_10___share_of_income_or_consumption","Decile_1___threshold_of_income_or_consumption","Decile_2___threshold_of_income_or_consumption","Decile_3___threshold_of_income_or_consumption","Decile_4___threshold_of_income_or_consumption","Decile_5___threshold_of_income_or_consumption","Decile_6___threshold_of_income_or_consumption","Decile_7___threshold_of_income_or_consumption","Decile_8___threshold_of_income_or_consumption","Decile_9___threshold_of_income_or_consumption","Decile_1___average_income_or_consumption","Decile_2___average_income_or_consumption","Decile_3___average_income_or_consumption","Decile_4___average_income_or_consumption","Decile_5___average_income_or_consumption","Decile_6___average_income_or_consumption","Decile_7___average_income_or_consumption","Decile_8___average_income_or_consumption","Decile_9___average_income_or_consumption","Decile_10___average_income_or_consumption","Gini_index","Gini_estimated","Polarization","Polarization_estimated","MLD","MLD_estimated","Palma","P90_P10_ratio","P90_50_ratio","Entropy_0_5","Entropy_1_0","Entropy_1_5","Entropy_2_0","Atkinson_0_5","Atkinson_1_0","Atkinson_1_5","Atkinson_2_0","Theil_0_0","Theil_0_5","Theil_1_0","Theil_1_5","Theil_2_0","Var_Coeff","datayear","isinterpolated","usemicrodata","coveragetype","datatype","IsSurveyYear","OriginalMedian","OriginalMean","OriginalDecileShares","MonotonicityBreaks","DataframeRowsForGpinter","GpinterError","LessThan33Rows","ISO3DataYearCovType"
"AllCols696","BRA",2014,0.02731255,0.008725687,5537995,6.0512639345,0.340806604915075,0.009692065,0.0699099,0.02400479,14175192,28.03759472,0.347155866807915,0.03202711,0.1759837,0.06415295,35683112,128.787047125,0.367467941032467,0.09357319,0.3901632,0.164346,79110948,599.8629,0.421555116771722,0.2576388,0.5768267,0.2726367,116959536,1492.6859325,0.474090917703676,0.4527919,0.7009974,0.3654447,142136851,2667.74631,0.521204451486002,0.6366934,0.8313209,0.5024504,168561731,5501.83188,0.605115270990963,0.9490663,0.8906579,0.5928151,180593122,8655.10046,0.66503659345453,1.1967,0.1543669,0.05626108,31300009,104.73000042,0.366456120330489,0.08126619,0.2220939,0.08252935,45032589,191.8848652175,0.374005012163269,0.1224268,0.2811316,0.1105823,57003293,308.36980178,0.393836657551451,0.1676459,635.9985,635.9985,387.5035,387.039509823804,1.651221,202763735,0.01218,0.02382,0.03337,0.04338,0.05463,0.0679,0.08472,0.1096,0.1585,0.4119,1434.90207290455,2163.39338516262,2905.46473695665,3725.67550420201,4644.47411788565,5746.63001257736,7266.72280353922,9692.29515168119,15389.1296091403,914.255330411206,1811.89225784272,2540.08215180453,3302.48599464125,4161.79542324373,5172.53696846383,6451.24695134308,8347.72893558854,12046.5453045638,31571.2506820973,0.5211355,0.522869665842688,NA,NA,0.4974353,0.495500035887177,3.68447870831412,10.7248640166707,3.31342778935455,0.467540164704219,0.511087505761938,0.637403093088444,0.914857611107011,0.220107969501382,0.390733823838517,0.655278471660105,0.984071458591171,0.511087505761938,0.495500035887177,0.495500035887177,0.495500035887177,0.495500035887177,1.35266966485318,2014,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,158,NA,FALSE,"BRA:2014:N:i"
"AllCols697","BRA",2015,0.03153079,0.01050667,6447156,7.286375645,0.345629035428831,0.01168934,0.07721452,0.0275624,15788189,32.1928832,0.367537716346335,0.03699399,0.1862546,0.06937234,38083808,139.26497255,0.374281124043171,0.1023544,0.4005218,0.1714886,81895401,625.93339,0.427005358050512,0.2719043,0.585866,0.2806812,119793057,1536.72957,0.478319450002614,0.4709296,0.7119275,0.3740562,145569075,2730.61026,0.526135032798304,0.657683,0.8394694,0.5111213,171647793,5596.778235,0.609096599022353,0.9735564,0.8953739,0.6008808,183078685,8772.85968,0.67118158756483,1.222915,0.1569038,0.05881722,32082398,106.912060794,0.378617907904007,0.08564867,0.2241532,0.08515963,45833001,193.337907989,0.381233721143995,0.12737,0.2828519,0.1131802,57835228,308.59147431,0.402112634938014,0.1730976,615.8794,615.8794,378.653,377.156888929418,1.651221,204471769,0.0118,0.02377,0.03351,0.04378,0.05508,0.06878,0.0854,0.11,0.1589,0.4089,1367.22408130503,2086.69284264482,2860.14254465091,3641.79817014107,4525.88266715302,5623.91501885537,7077.25124335835,9419.33232219459,14978.417782534,855.376658341817,1749.39929264473,2468.19870868896,3227.60021876301,4061.85755498378,5071.63816034692,6297.40753987304,8107.45363213434,11696.1660082807,30370.4302259427,0.5194285,0.52138913671344,NA,NA,0.4989138,0.498924850851684,3.6588345591379,10.9553495929043,3.30950200968336,0.46493611983067,0.507355372270912,0.634346620013929,0.918129229519672,0.218957710195135,0.39281687868123,0.709861830905378,0.989888889081553,0.507355372270912,0.498924850851684,0.498924850851684,0.498924850851684,0.498924850851684,1.35508614450866,2015,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,163,NA,FALSE,"BRA:2015:N:i"
"AllCols698","BRA",2016,0.03871028,0.01408867,7980630,9.770492645,0.3747038961377,0.016889,0.08779243,0.03350954,18099556,39.13914272,0.385073669649568,0.04694409,0.1999113,0.07880282,41214325,158.19666115,0.393450094843659,0.119804,0.4142374,0.1829312,85400449,667.69888,0.441299236007785,0.2975784,0.5907332,0.2914377,121787363,1595.6214075,0.493444434323464,0.500469,0.7189946,0.3840485,148230125,2803.55405,0.534384215905644,0.689363,0.8378201,0.5181469,172727554,5673.708555,0.618516639594648,1.005707,0.8943103,0.6057938,184373746,8844.58948,0.677788026005588,1.254613,0.1686732,0.06548333,34774183,116.7345130578,0.389233040278095,0.09819093,0.2310775,0.09246746,47639644,206.216305919,0.399742212665101,0.1422344,0.2905912,0.12061,59909170,322.6860245,0.41529213531376,0.1892972,617.7726,617.7726,371.3719,371.059690665675,1.651221,206163058,0.01057,0.02225,0.03197,0.04221,0.05353,0.06743,0.08366,0.1087,0.1594,0.4203,1272.38378713076,1998.20707048708,2745.05548588554,3522.01818574513,4452.7162879881,5578.90855868715,6904.17903508394,9418.32215112177,15179.4085294816,772.705871694571,1644.65954512639,2365.28244764648,3124.36854892518,3962.88339841706,4990.98219339228,6193.31992659582,8041.71321813754,11777.828893065,31258.9679569997,0.5327707,0.534042930099438,NA,NA,0.5321935,0.532187217248526,3.95332023139024,11.9298977894959,3.40902216708271,0.490122482477157,0.53287346050477,0.665560341629338,0.962293018448411,0.23004748824923,0.412681030370473,0.730514136537807,0.98934769941383,0.53287346050477,0.532187217248526,0.532187217248526,0.532187217248526,0.532187217248526,1.38729450258293,2016,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,163,NA,FALSE,"BRA:2016:N:i"
"AllCols699","BRA",2017,0.04418437,0.0163658,9183007,11.3496823,0.376355944567582,0.02037707,0.09072437,0.03678117,18855593,42.96040656,0.409149065509197,0.05294399,0.2023223,0.08184853,42049419,164.310923975,0.404880629306043,0.1273377,0.4148268,0.1851846,86215043,675.92379,0.445913462114282,0.3059454,0.5877072,0.2927541,122145439,1602.8286975,0.497633623460636,0.5086504,0.7176623,0.384186,149154505,2804.5578,0.535583576562982,0.6965421,0.8396387,0.5189297,174505328,5682.280215,0.618287592525175,1.013726,0.8964106,0.6070863,186304449,8863.45998,0.677328383424447,1.263444,0.1698069,0.06819404,35291619,121.0191892052,0.403272415689975,0.1047207,0.2309358,0.09469183,47996272,210.140109136,0.409569743406203,0.1488033,0.2910336,0.1225235,60486628,326.016654975,0.420720532623522,0.1958648,614.4114,614.4114,369.7085,369.248725681798,1.651221,207833831,0.01007,0.02211,0.03192,0.04238,0.05377,0.06805,0.08481,0.1088,0.1583,0.4199,1241.25006437844,1988.82394066352,2734.48709098692,3520.85163225609,4430.98470818158,5638.59638605537,6964.21307462086,9352.92230671967,14869.106969661,735.458440947414,1627.79787713993,2351.28243601265,3122.69701545877,3961.33360885702,5013.38153959015,6249.51780248432,8012.36649992601,11652.1166200143,31003.4161595694,0.5327279,0.533360247365781,NA,NA,0.5370453,0.531273754189803,3.95591214443136,11.9791389312892,3.35571164174995,0.489123201455173,0.52996573095299,0.659493220824694,0.948476920985542,0.229609006589977,0.412144291079593,0.709423037510211,0.986831399678438,0.52996573095299,0.531273754189803,0.531273754189803,0.531273754189803,0.531273754189803,1.37729947432324,2017,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,163,NA,FALSE,"BRA:2017:N:i"
"AllCols700","BRA",2018,0.04420117,0.01638241,9258790,11.361201335,0.380084651629528,0.02053631,0.09132107,0.03670361,19128964,42.86981648,0.405276280787725,0.05306338,0.1982362,0.08075722,41524405,162.12011915,0.408174729907239,0.1262752,0.4056491,0.1816471,84971046,663.011915,0.448471435956979,0.3012174,0.5763882,0.2866882,120735652,1569.617895,0.49760740735847,0.4994683,0.7066849,0.3771865,148028815,2753.46145,0.534128418707122,0.6845867,0.8308048,0.5108363,174028127,5593.657485,0.614592568238406,0.9975668,0.8905568,0.599113,186544339,8747.0498,0.673017220806165,1.245111,0.1717743,0.07016273,35981448,127.91893526775,0.408399650179129,0.1086216,0.2353152,0.09686592,49291318,220.621819392,0.412407745112423,0.1533107,0.2928986,0.1249918,61353274,341.70883243,0.426667624854534,0.2012408,637.6187,637.6187,379.8443,379.585880477321,1.651221,209469333,0.009708,0.02158,0.03127,0.04162,0.05316,0.06727,0.08344,0.1085,0.1582,0.4253,1245.86165584671,2014.82296364081,2791.32116685377,3604.26792329796,4555.03056572785,5732.40173969833,7156.10901874841,9644.50649278501,15558.5186830976,734.56864695124,1647.95769864452,2389.4473472979,3181.64629204645,4064.15012171259,5143.03812918112,6380.02760730394,8291.16068974907,12086.5213713751,32595.7260957381,0.5386498,0.539437580013032,NA,NA,0.5503376,0.543513602039436,4.09822523045568,12.4881591869233,3.41567821743288,0.500353361799682,0.544002752598862,0.683138091368975,0.999361084317886,0.234529587983326,0.419295700153361,0.713559203767614,0.986893379264649,0.544002752598862,0.543513602039436,0.543513602039436,0.543513602039436,0.543513602039436,1.41376170857601,2018,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,158,NA,FALSE,"BRA:2018:N:i"
"AllCols701","BRA",2019,0.04612411,0.01739118,9734472,12.06078333,0.382718855783243,0.02187477,0.0912033,0.03768634,19248413,44.01764512,0.414403196183243,0.05480288,0.1961641,0.08108632,41400341,162.7807874,0.415456549501739,0.1275765,0.3966259,0.1790484,83707709,653.52666,0.452883874420178,0.2988736,0.5659777,0.281651,119449326,1542.039225,0.498137829150486,0.4930724,0.7010539,0.3712858,147957094,2710.38634,0.530050441831812,0.6756637,0.8285525,0.5054593,174865613,5534.779335,0.610047029923267,0.9867457,0.8913573,0.5949648,188120537,8686.48608,0.667274025134341,1.234075,0.1776598,0.07276803,37495017,135.457687845,0.413138163278706,0.113624,0.2386827,0.0995656,50373871,231.49499828,0.417971129966188,0.158949,0.2935767,0.1274648,61959224,355.9135878,0.436107087275376,0.2071496,639.9604,639.9604,387.8302,386.568420468178,1.651221,211049527,0.009525,0.02157,0.03166,0.04227,0.05414,0.06862,0.08469,0.1097,0.1582,0.4196,1251.59035588025,2029.37137544831,2844.07396998965,3669.01045074753,4638.82104561814,5834.55753528962,7253.38663495554,9773.13376498743,15367.1272611739,719.955785695751,1650.90075499794,2425.4364490574,3239.81514416609,4150.34818796339,5260.03719395397,6493.25572162419,8405.1166941784,12110.3263179113,32340.0557504516,0.5342883,0.535718574611044,NA,NA,0.5460652,0.542126892701426,4.02434302917816,12.2780805948014,3.31272258835892,0.495671420448105,0.538552478596438,0.678379561100133,0.999572526182868,0.232480075408487,0.418489873483588,0.732763231314364,0.990163571481502,0.538552478596438,0.542126892701426,0.542126892701426,0.542126892701426,0.542126892701426,1.41391126042823,2019,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,157,NA,FALSE,"BRA:2019:N:i"
"AllCols819","CAN",1981,0.004947209,0.003537964,122789,2.453578034,0.789775987439047,0.001807793,0.007481242,0.004542918,185684,5.306128224,0.803768121168179,0.003705915,0.01243022,0.006374876,308517,12.79756357,0.691025230230599,0.007234877,0.03235221,0.01253621,802979,45.7571665,0.425200033662191,0.0173186,0.08498705,0.02722774,2109371,149.0718765,0.333875595576919,0.0386743,0.1574761,0.05026927,3908543,366.965671,0.326054423352655,0.07188753,0.384941,0.121286,9554203,1328.0817,0.317019583933321,0.174625,0.5873403,0.2129077,14577736,3108.45242,0.363161759564658,0.3129147,0.07492632,0.02437393,1859665,126.5969737235,0.340787896137417,0.03457963,0.1224686,0.03918321,3039660,254.4302966535,0.329224654196927,0.05585179,0.1824745,0.05786692,4529002,450.94244083,0.321092732794953,0.08286542,1276.224,1276.224,1082.119,1077.97550551391,1.282345,24819915,0.02634,0.04624,0.05865,0.06825,0.07892,0.09082,0.1056,0.126,0.1565,0.2427,5891.58063755617,8108.98472507933,9744.71879150617,11215.0387977843,12935.706066167,14850.226989915,17546.4606173282,21307.5914488691,27221.0780906122,3904.96237089177,7062.13216580902,8964.31391479557,10431.7360957946,12066.7057997688,13880.3149127113,16132.3532843841,19249.535157765,23889.4103434646,37565.4159546152,0.3243864,0.327255498381816,NA,NA,0.1977034,0.214811480252509,1.23720439745978,4.62033531665341,2.1043364738944,0.181040083791742,0.177775167927047,0.186473847356437,0.206623853173444,0.0884715723996634,0.19330649650101,0.658784464207753,0.992915493738774,0.177775167927047,0.214811480252509,0.214811480252509,0.214811480252509,0.214811480252509,0.642843453997074,1981,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,79,NA,FALSE,"CAN:1981:N:i"
"AllCols825","CAN",1987,0.002210968,0.0006411529,58473,0.44463953615,0.778477433407334,0.000757196,0.002210968,0.00127889,58473,1.49374352,0.769158579735048,0.001909767,0.007462342,0.002970424,197354,5.96312618,0.618172294806607,0.004688673,0.02249526,0.00818182,594923,29.863643,0.401139345009611,0.01299116,0.07229186,0.0207918,1911874,113.835105,0.309262549660258,0.03101565,0.1374344,0.04160955,3634673,303.749715,0.313090444856069,0.06050054,0.3449343,0.1062381,9122340,1163.307195,0.312007756253274,0.153141,0.5649423,0.1948803,14940804,2845.25238,0.346670880785376,0.2842357,0.0672767,0.01993045,1779240,107.227814045,0.310450297217049,0.0297983,0.1149832,0.03438558,3040915,231.310077381,0.305406134058687,0.05017887,0.1772405,0.05248233,4687409,423.5402754495,0.305362597943684,0.07606656,1313.119,1313.119,1121.044,1117.31882381525,1.282345,26446601,0.02835,0.04766,0.05969,0.06976,0.07966,0.09129,0.1055,0.1249,0.1547,0.2384,6227.72206714305,8537.79219498185,10253.0519805577,11683.7876448898,13407.825885783,15427.079099681,18000.8774450337,21571.2382548165,27782.913690577,4331.74881504147,7487.69427113871,9388.56493650619,10983.1656387215,12525.729037454,14351.4691991313,16590.8091653627,19625.5412421609,24289.3813840467,38000.1763104366,0.3147403,0.317654401584651,NA,NA,0.1747378,0.187966689445224,1.18045327300361,4.46116788627376,2.07214159307041,0.167154151783908,0.165524104329469,0.173752932833691,0.191964542319705,0.0818307939882915,0.171357690692008,0.378316370506471,0.896533338295113,0.165524104329469,0.187966689445224,0.187966689445224,0.187966689445224,0.187966689445224,0.619620113165647,1987,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,77,NA,FALSE,"CAN:1987:N:i"
"AllCols829","CAN",1991,0.002175738,0.001206406,61002,0.836642561,0.741912366560149,0.001759119,0.002175738,0.001600197,61002,1.869030096,0.730157458843849,0.002893324,0.004769477,0.002715421,133724,5.4512076575,0.744842475659721,0.005138357,0.02249259,0.006801399,630634,24.82510635,0.422127909864497,0.01177458,0.06727969,0.01877967,1886349,102.81869325,0.291337717455573,0.02847727,0.1324208,0.03901925,3712738,284.840525,0.303656754120991,0.05673173,0.3323988,0.1022536,9319605,1119.67692,0.310573791332664,0.1467431,0.5524403,0.1888616,15489001,2757.37936,0.342828965355834,0.2742943,0.06727969,0.01835566,1886349,99.626262433,0.293677952838678,0.02789164,0.1124848,0.03268943,3153784,221.8092238505,0.299304169719646,0.04778681,0.1749761,0.05081263,4905878,413.7748679845,0.297821438190552,0.07340308,1321.423,1321.423,1130.887,1128.44072924372,1.282345,28037420,0.02908,0.04796,0.06014,0.07061,0.08042,0.09187,0.1061,0.1248,0.153,0.236,6351.77471882557,8586.51817705572,10415.4302256299,11939.2567511301,13541.2887509247,15585.4119276406,18131.4716825383,21517.1255311865,27537.1005233394,4467.27168316826,7586.63835890174,9511.26136245958,11177.2676667263,12732.751503335,14542.091072326,16791.397035969,19736.3296661654,24187.3368172701,37838.4148336787,0.3102109,0.313208531738513,NA,NA,0.1701123,0.182047404053747,1.15563824525511,4.33533960858595,2.03356571371089,0.162703221300575,0.161698196061567,0.170446987444034,0.18944680248769,0.0796970895114382,0.166438174730413,0.365215946104826,0.886722737852817,0.161698196061567,0.182047404053747,0.182047404053747,0.182047404053747,0.182047404053747,0.615543341264756,1991,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,77,NA,FALSE,"CAN:1991:N:i"
"AllCols832","CAN",1994,0.00248141,0.001516977,71963,1.0520235495,0.746011369596753,0.002345037,0.00248141,0.001908778,71963,2.229452704,0.735033856100278,0.003638588,0.004922982,0.002972763,142770,5.9678217225,0.749927790306897,0.005988533,0.01995737,0.007137719,578777,26.05267435,0.418010031845591,0.01287633,0.06496074,0.01838794,1883905,100.6739715,0.304089227016351,0.02883026,0.1324956,0.03805246,3842460,277.782958,0.294497177119038,0.05629099,0.3274958,0.1002243,9497595,1097.456085,0.308956399708781,0.1446881,0.5374882,0.1842187,15587514,2689.59302,0.344276901137115,0.2687116,0.06746648,0.01919014,1956573,106.817116775,0.302184486173528,0.02994304,0.1174549,0.03376765,3406270,235.0414162075,0.295909139726325,0.05029834,0.179982,0.05297614,5219597,442.414340368,0.298261803676231,0.07728864,1345.962,1345.962,1159.843,1155.91792932795,1.282345,29000663,0.02889,0.0474,0.05959,0.07013,0.08032,0.09207,0.1054,0.125,0.1551,0.2362,6483.07165132954,8682.31019267195,10479.2770637389,12124.1131687966,13871.0151519354,15856.3173784174,18324.1580936843,22186.1835551393,28427.6151886563,4519.14019037044,7636.78232811829,9608.74570406246,11310.1445712821,12951.380246347,14846.3029863846,16986.5622242306,20137.2257667122,24977.1814070787,38541.9745754137,0.3125574,0.315385351090928,NA,NA,0.1732218,0.185183009888814,1.16529683223482,4.38489912151849,2.04942571810902,0.165130113866872,0.163559550250088,0.171554576179646,0.189228225529503,0.0808608097768307,0.169047802533374,0.369616517859857,0.888588079300582,0.163559550250088,0.185183009888814,0.185183009888814,0.185183009888814,0.185183009888814,0.615188142814055,1994,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,75,NA,FALSE,"CAN:1994:N:i"
"AllCols835","CAN",1997,0.004992699,0.002350043,149311,1.6297548205,0.69502450351902,0.005103387,0.004992699,0.003423622,149311,3.998790496,0.708267439418661,0.007706065,0.00997613,0.00494111,298346,9.919278325,0.548129172312448,0.01142352,0.02499039,0.009449567,747361,34.49091955,0.459084838001618,0.01995885,0.06998801,0.0213006,2093058,116.620785,0.322762248172836,0.03757093,0.1399552,0.041747,4185493,304.7531,0.30812559504799,0.06674209,0.3274389,0.1042797,9792371,1141.862715,0.323295992726673,0.157187,0.5299849,0.1853518,15849701,2706.13628,0.351593296415511,0.2790777,0.07498974,0.02269175,2242639,127.715976525,0.323735496880614,0.03956926,0.1299989,0.03828638,3887740,269.428913336,0.305365219086085,0.06181504,0.1924209,0.05854817,5754529,494.2899978165,0.30845479908313,0.09077208,1350.075,1350.075,1172.694,1170.46044950684,1.282345,29905948,0.02752,0.04629,0.05891,0.07018,0.08123,0.09278,0.1063,0.1244,0.1542,0.2382,6311.80751148951,8554.47182937807,10462.0329628084,12227.7523495893,14045.5253940821,16030.5241308122,18444.574020147,22139.5268398,28288.397390647,4316.93695235908,7477.12946245992,9526.23572678721,11352.0776293873,13137.77361265,15006.8142036436,17180.1592050336,20097.7622114931,24901.9486544882,39012.162341698,0.3163097,0.319186058942853,NA,NA,0.1843467,0.194013162320563,1.19404104063252,4.48182194072824,2.014050496293,0.170461280374664,0.167952210253753,0.176058486633192,0.19486137746666,0.0834145746806465,0.176352936909446,0.398850371229436,0.911873800845335,0.167952210253753,0.194013162320563,0.194013162320563,0.194013162320563,0.194013162320563,0.624277786672984,1997,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,75,NA,FALSE,"CAN:1997:N:i"
"AllCols836","CAN",1998,0.004993151,0.002084711,150569,1.4457470785,0.722847577070703,0.003512149,0.004993151,0.003266265,150569,3.81499752,0.735035784364615,0.006115064,0.009966984,0.005118663,300556,10.2757159725,0.579000354272311,0.01018845,0.02228411,0.009547276,671981,34.8475574,0.506008085979621,0.01874796,0.06996031,0.02080886,2109665,113.9285085,0.313993973134345,0.03564663,0.1399894,0.04193086,4221405,306.095278,0.303708534872101,0.06545439,0.3224815,0.1040764,9724485,1139.63658,0.326118086343986,0.1555949,0.5274616,0.184653,15905696,2695.9338,0.351833027400619,0.2768528,0.07748341,0.02250529,2336526,127.2415338665,0.311173950996401,0.03803874,0.1324936,0.03884957,3995367,274.6684023785,0.301089706573061,0.06108083,0.1949685,0.05957495,5879309,505.35047087,0.311098230770642,0.09064838,1391.255,1391.255,1178.092,1173.04868895997,1.282345,30155173,0.02676,0.04469,0.05739,0.0684,0.07902,0.09055,0.1049,0.1231,0.1521,0.2531,6255.05005227849,8569.13470278363,10519.7097692493,12281.8892867509,14076.5842675196,16211.3381167059,18866.9267684861,22447.5393304731,28798.9520259306,4315.90115663015,7436.41374742674,9557.12262114595,11401.3459652411,13168.4354120962,15091.8257624242,17471.7429624598,20507.8078276866,25300.7493959441,42699.2551489452,0.3316103,0.334651497164848,NA,NA,0.2004192,0.207514127992345,1.30535715114923,4.60411216300982,2.04587643412766,0.185052450817649,0.186430251635855,0.202316445436247,0.236214800962915,0.0903859498117234,0.187398238739463,0.415686867085285,0.919418881900395,0.186430251635855,0.207514127992345,0.207514127992345,0.207514127992345,0.207514127992345,0.687335145271818,1998,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,73,NA,FALSE,"CAN:1998:N:i"
"AllCols838","CAN",2000,0.002498105,0.001471762,76656,1.020666947,0.786640582688389,0.002222142,0.004991395,0.002322778,153165,2.713004704,0.77829467741212,0.004001295,0.007380431,0.003865069,226474,7.7591260175,0.577664579783165,0.007174216,0.02245141,0.008171987,688938,29.82775255,0.464859475557104,0.01481745,0.07247453,0.0198712,2223934,108.79482,0.297890407239699,0.0316793,0.1399293,0.04086456,4293833,298.311288,0.299330796792936,0.06107855,0.3199187,0.1019658,9816939,1116.52551,0.321022950721169,0.149498,0.5123505,0.180814,15721849,2639.8844,0.353675575168059,0.2682536,0.07998948,0.02246382,2454536,128.974899339,0.299716610770747,0.03527678,0.1349545,0.03921396,4141177,281.395455564,0.300367630804025,0.05874149,0.194855,0.06012992,5979268,517.95913088,0.313068255941812,0.08861891,1411.384,1411.384,1196.221,1192.52661161549,1.282345,30685730,0.02674,0.04448,0.05709,0.06784,0.07915,0.09057,0.1044,0.1232,0.1512,0.2552,6264.00049468292,8692.00927568978,10575.1618447803,12389.8520060029,14310.3193393859,16356.6929269258,19131.5894583319,22808.808422896,28981.7350640254,4389.05855738758,7511.88012424432,9651.5536943917,11470.7196049643,13383.7723774714,15311.3073487315,17645.0616334075,20823.9917478371,25526.4289402787,43652.305971286,0.3334391,0.336277778885361,NA,NA,0.1996078,0.206634598959744,1.32186735791835,4.62671340601362,2.02523328632226,0.18655693444104,0.189079359001345,0.206282647432099,0.242285151882384,0.0911032491087677,0.186683217503617,0.398365951368602,0.90384425540899,0.189079359001345,0.206634598959744,0.206634598959744,0.206634598959744,0.206634598959744,0.696110841579678,2000,0,1,"N","income",TRUE,TRUE,TRUE,TRUE,0,72,NA,FALSE,"CAN:2000:N:i"
